31.13.65.51,graph.oculus.com
104.20.114.14,prod.escapefromtarkov.com
20.36.219.28,activity.windows.com
20.36.218.63,settings-win.data.microsoft.com
70.37.74.6,checkappexec.microsoft.com
52.35.252.98,ekg.riotgames.com
52.114.158.53,v10.events.data.microsoft.com
204.79.197.200,www.bing.com
72.21.81.200,iecvlist.microsoft.com
54.225.147.125,tracking.overwolf.com
104.16.35.99,playerpreferences.riotgames.com
162.159.134.233,discordapp.com
104.17.166.5,pft.leagueoflegends.com
52.35.252.98,ekg.riotgames.com
13.225.59.51,api-v2.soundcloud.com
52.20.168.249,www.netflix.com
128.116.112.44,users.roblox.com
104.20.115.14,trading.escapefromtarkov.com
85.195.84.18,notifier-01.escapefromtarkov.com
172.217.160.106,chat-pa.clients6.google.com
35.164.63.111,sm.ga-se.net
52.35.252.98,ekg.riotgames.com
172.217.160.106,chat-pa.clients6.google.com
51.143.111.7,watson.telemetry.microsoft.com
92.223.21.26,cat.wargaming.net
162.125.19.9,telemetry.dropbox.com
104.17.48.19,na1.cap.riotgames.com
172.217.12.138,firebasestorage.googleapis.com
104.18.96.33,acs.leagueoflegends.com
52.35.252.98,ekg.riotgames.com
173.222.100.177,www.zhihu.com
35.186.224.47,dealer.spotify.com
52.113.194.132,config.teams.microsoft.com
54.244.28.12,ece4.playfabapi.com
3.221.116.27,public-ubiservices.ubi.com
59.111.239.62,httpdns.n.netease.com
103.126.92.133,interface.music.163.com
204.79.197.203,www.msn.com
13.107.21.200,c.bing.com
74.6.138.75,pr-bh.ybp.yahoo.com
40.114.54.223,otf.msn.com
40.114.54.223,otf.msn.com
40.114.54.223,otf.msn.com
40.114.54.223,otf.msn.com
20.36.253.92,c.msn.com
204.79.197.200,www.bing.com
23.63.244.27,img-s-msn-com.akamaized.net
13.107.42.12,api.onedrive.com
52.179.129.229,arc.msn.com
172.217.12.142,www.google-analytics.com
52.35.252.98,ekg.riotgames.com
162.159.133.233,discordapp.com
128.116.112.44,users.roblox.com
52.114.74.43,v20.events.data.microsoft.com
184.28.88.219,api1.origin.com
162.159.130.233,discordapp.com
104.196.12.179,eg.poly.edu
173.222.100.177,www.zhihu.com
104.101.133.197,pic3.zhimg.com
192.144.195.62,zhihu-web-analytics.zhihu.com
172.217.3.106,wirelessdevicestats.googleapis.com
172.217.3.106,wirelessdevicestats.googleapis.com
172.217.9.229,mail.google.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
52.35.252.98,ekg.riotgames.com
52.113.194.132,config.teams.microsoft.com
52.114.74.43,mobile.pipe.aria.microsoft.com
54.244.26.90,video-edge-27bce6.pdx01.abs.hls.ttvnw.net
