23.55.235.203,heads4-ak-spotify-com.akamaized.net
40.90.136.20,apis.live.net
144.217.180.139,bigcdnjs1.funnyjunk.com
17.167.192.128,gs-loc.apple.com
17.248.187.204,gateway.icloud.com
104.16.119.50,auth.riotgames.com
34.232.176.182,et.nytimes.com
104.81.12.105,sb.scorecardresearch.com
3.94.216.109,api-js.datadome.co
23.10.89.229,stags.bluekai.com
31.13.66.19,static.xx.fbcdn.net
23.10.89.229,stags.bluekai.com
31.13.66.19,scontent.xx.fbcdn.net
104.81.12.105,sb.scorecardresearch.com
13.225.212.39,api-cache.blizzcon.com
34.227.153.53,errors.client.optimizely.com
34.227.153.53,errors.client.optimizely.com
148.153.38.118,api.bilibili.com
35.173.5.226,logx.optimizely.com
164.52.34.38,data.bilibili.com
17.248.187.204,gateway.icloud.com
69.28.62.188,app-cdn.2q10.com
31.13.66.4,edge-chat.facebook.com
31.13.66.28,video-iad3-1.xx.fbcdn.net
108.174.10.14,px.ads.linkedin.com
104.18.24.250,pas.geo.si.riotgames.com
104.16.199.132,entitlements.auth.riotgames.com
104.16.199.132,entitlements.auth.riotgames.com
13.107.136.9,nyu0-my.sharepoint.com
23.40.28.198,cdn.optimizely.com
172.217.12.131,beacons3.gvt2.com
34.232.176.182,et.nytimes.com
23.10.89.229,tags.bluekai.com
23.78.199.149,a3013110282.cdn.optimizely.com
96.6.25.130,contextual.media.net
72.21.206.140,s.amazon-adsystem.com
104.196.12.179,eg.poly.edu
24.105.29.76,telemetry-in.battle.net
107.167.110.211,features.opera-api.com
13.225.64.107,d3cv4a9a9wh0bt.cloudfront.net
104.16.34.99,playerpreferences.riotgames.com
52.25.95.45,ekg.riotgames.com
164.52.34.38,data.bilibili.com
164.52.34.38,data.bilibili.com
23.55.235.72,upos-hz-mirrorakam.akamaized.net
164.52.34.38,data.bilibili.com
52.114.88.20,mobile.pipe.aria.microsoft.com
52.114.88.20,mobile.pipe.aria.microsoft.com
23.55.235.72,upos-hz-mirrorakam.akamaized.net
17.248.187.139,gateway.icloud.com
40.91.72.120,presence-heartbeat.xboxlive.com
17.248.135.175,gateway-asset.icloud-content.com
52.25.170.114,ekg.riotgames.com
173.222.102.63,c.go-mpulse.net
173.222.102.63,c.go-mpulse.net
173.222.102.63,c.go-mpulse.net
192.99.103.81,bigcdnjs2.funnyjunk.com
20.36.218.208,presence-heartbeat.xboxlive.com
34.232.176.182,et.nytimes.com
34.232.176.182,et.nytimes.com
172.217.12.161,cdn.ampproject.org
13.225.206.153,slack.com
31.13.66.35,www.facebook.com
23.55.235.72,upos-hz-mirrorakam.akamaized.net
216.165.47.12,www.nyu.edu
17.167.194.47,gsp85-ssl.ls.apple.com
14.215.140.53,p.qlogo.cn
17.57.144.164,courier.push.apple.com
13.225.62.108,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
20.36.219.28,activity.windows.com
54.156.65.23,ss-prod-ue1-notif-32.aws.adobess.com
134.209.129.254,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
68.67.179.155,nym1-ib.adnxs.com
68.67.179.155,nym1-ib.adnxs.com
185.167.164.39,c1.adform.net
68.67.179.87,ib.adnxs.com
52.177.166.224,client.wns.windows.com
172.217.10.238,play.google.com
40.90.22.185,login.live.com
52.177.166.224,client.wns.windows.com
13.107.42.12,bn1301.storage.live.com
148.153.38.118,api.bilibili.com
52.179.129.229,arc.msn.com
52.114.132.23,mobile.pipe.aria.microsoft.com
52.114.132.23,mobile.pipe.aria.microsoft.com
184.28.190.42,resources.tidal.com
167.114.172.69,capture.trackjs.com
162.159.133.233,discordapp.com
31.13.66.19,static.xx.fbcdn.net
34.228.33.28,sirius.mwbsys.com
13.107.42.12,d.docs.live.net
17.248.187.204,gateway.icloud.com
17.248.135.108,gateway.icloud.com
23.55.235.72,upos-hz-mirrorakam.akamaized.net
18.233.133.222,udc-service.mathworks.com
52.54.188.100,rtm.tnt-ea.com
40.90.22.188,login.live.com
40.90.22.188,login.live.com
13.74.179.117,sls.update.microsoft.com
104.25.58.99,cdn.betterttv.net
13.74.179.117,sls.update.microsoft.com
20.44.82.31,licensing.mp.microsoft.com
13.107.42.12,dm2301.settings.live.net
13.107.42.12,dm2301.storage.live.com
13.88.28.53,v10.events.data.microsoft.com
54.194.155.146,www.netflix.com
104.17.209.9,api.golinkapi.com
23.217.96.53,bag.itunes.apple.com
23.217.96.53,init.itunes.apple.com
23.55.235.72,upos-hz-mirrorakam.akamaized.net
74.125.192.189,0.client-channel.google.com
17.33.9.1,guzzoni.apple.com
23.193.217.205,xp.apple.com
23.43.56.203,play.itunes.apple.com
17.120.254.9,p72-buy.itunes.apple.com
13.107.136.9,nyu0-my.sharepoint.com
52.17.178.194,push.prod.netflix.com
23.217.96.53,sync.itunes.apple.com
20.44.82.31,licensing.mp.microsoft.com
111.221.29.40,fe3.delivery.mp.microsoft.com
104.16.2.92,na.ledge.leagueoflegends.com
23.43.56.195,client-api.itunes.apple.com
13.107.42.12,d.docs.live.net
17.248.187.207,p14-fmfmobile.icloud.com
104.214.78.152,telecommand.telemetry.microsoft.com
148.153.38.118,api.bilibili.com
23.217.96.53,init.itunes.apple.com
20.44.82.31,licensing.mp.microsoft.com
23.217.96.53,bag.itunes.apple.com
23.217.96.53,init.itunes.apple.com
23.217.96.53,bag.itunes.apple.com
54.217.255.92,a.wunderlist.com
54.217.255.92,a.wunderlist.com
172.217.7.10,firebasestorage.googleapis.com
23.43.56.185,play.itunes.apple.com
23.217.96.53,init.itunes.apple.com
54.217.255.92,a.wunderlist.com
45.57.90.1,assets.nflxext.com
54.217.255.92,a.wunderlist.com
54.217.255.92,a.wunderlist.com
45.57.90.1,codex.nflxext.com
23.43.56.185,play.itunes.apple.com
23.55.235.72,upos-hz-mirrorakam.akamaized.net
172.253.122.109,imap.gmail.com
172.253.122.109,imap.gmail.com
17.137.166.35,gsa.apple.com
23.217.96.53,init.itunes.apple.com
17.248.187.207,gateway.icloud.com
17.137.166.35,gsa.apple.com
17.253.97.206,mesu.apple.com
23.51.184.66,storecatalogrevocation.storequality.microsoft.com
17.253.97.206,mesu.apple.com
17.253.97.206,mesu.apple.com
17.137.166.35,gsa.apple.com
130.211.16.53,d.joinhoney.com
17.248.132.58,p14-keyvalueservice.icloud.com
23.62.128.136,configuration.ls.apple.com
23.62.129.218,cl4.apple.com
208.80.154.224,ko.wikipedia.org
208.80.154.224,ko.wikipedia.org
13.225.206.153,slack.com
23.62.129.218,cl4.apple.com
23.62.129.218,cl4.apple.com
208.80.154.240,upload.wikimedia.org
208.80.154.240,upload.wikimedia.org
23.55.235.72,upos-hz-mirrorakam.akamaized.net
17.248.187.207,gateway.icloud.com
149.56.126.48,funnyjunk.com
144.217.180.139,bigcdnjs1.funnyjunk.com
13.107.42.12,d.docs.live.net
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
13.107.42.12,d.docs.live.net
67.195.204.57,apple-finance.query.yahoo.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
17.167.192.94,gsp85-ssl.ls.apple.com
111.221.29.40,fe3.delivery.mp.microsoft.com
52.114.75.78,v10.events.data.microsoft.com
35.186.224.47,dealer.spotify.com
52.17.27.129,www.netflix.com
17.142.169.200,gsp64-ssl.ls.apple.com
13.78.180.90,geo.prod.do.dsp.mp.microsoft.com
172.253.122.109,imap.gmail.com
52.114.75.78,v10.events.data.microsoft.com
17.36.205.69,p14-imap.mail.me.com
104.107.183.221,kv501.prod.do.dsp.mp.microsoft.com
104.107.183.221,cp501.prod.do.dsp.mp.microsoft.com
17.248.187.207,gateway.icloud.com
157.185.163.114,p1.music.126.net
104.107.183.221,disc501.prod.do.dsp.mp.microsoft.com
104.107.183.221,cp501.prod.do.dsp.mp.microsoft.com
157.185.163.114,p1.music.126.net
157.185.156.120,m7.music.126.net
40.79.65.78,array508.prod.do.dsp.mp.microsoft.com
13.78.180.90,geo.prod.do.dsp.mp.microsoft.com
59.111.179.214,httpdns.n.netease.com
104.107.183.221,cp501.prod.do.dsp.mp.microsoft.com
104.107.183.221,cp501.prod.do.dsp.mp.microsoft.com
104.17.209.9,api.golinkapi.com
104.107.183.221,cp501.prod.do.dsp.mp.microsoft.com
104.107.183.221,disc501.prod.do.dsp.mp.microsoft.com
23.55.235.72,upos-hz-mirrorakam.akamaized.net
157.185.163.114,p3.music.126.net
157.185.163.114,p3.music.126.net
157.185.163.114,p3.music.126.net
157.185.163.114,p3.music.126.net
157.185.163.114,p3.music.126.net
157.185.163.114,p3.music.126.net
157.185.163.114,p4.music.126.net
157.185.163.114,p4.music.126.net
157.185.163.114,p4.music.126.net
157.185.163.114,p4.music.126.net
157.185.163.114,p4.music.126.net
157.185.163.114,p4.music.126.net
134.209.129.254,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
198.27.121.189,bigcdnjs4.funnyjunk.com
172.217.10.72,www.googletagmanager.com
17.57.144.165,courier.push.apple.com
68.67.179.155,nym1-ib.adnxs.com
68.67.179.155,nym1-ib.adnxs.com
185.167.164.39,c1.adform.net
13.225.62.26,streamapi.majorleaguegaming.com
172.217.9.229,mail.google.com
13.226.39.41,streamapi.majorleaguegaming.com
23.62.132.253,init.itunes.apple.com
68.67.181.207,ib.adnxs.com
13.226.39.41,streamapi.majorleaguegaming.com
148.153.38.118,api.bilibili.com
23.40.30.102,xp.apple.com
23.43.56.200,play.itunes.apple.com
13.226.39.41,streamapi.majorleaguegaming.com
172.217.9.229,mail.google.com
13.107.42.12,d.docs.live.net
198.27.121.189,bigcdnjs4.funnyjunk.com
23.62.129.218,cl4.apple.com
23.62.129.218,cl4.apple.com
17.142.171.5,gsp64-ssl.ls.apple.com
198.27.121.188,bigcdnjs3.funnyjunk.com
23.55.235.72,upos-hz-mirrorakam.akamaized.net
13.225.57.191,www.amazon.com
54.239.26.255,unagi-na.amazon.com
52.216.81.104,ams-ads-cornerstone-pda-creatives.s3.amazonaws.com
23.111.9.57,twemoji.maxcdn.com
52.46.145.164,aax-us-east.amazon-adsystem.com
13.225.64.84,d2gmlks8mlsx4p.cloudfront.net
52.46.133.117,aan.amazon.com
52.46.133.117,aan.amazon.com
54.239.17.112,s.amazon-adsystem.com
192.229.173.16,abs.twimg.com
192.229.173.16,abs.twimg.com
192.229.173.16,pbs.twimg.com
104.244.42.5,t.co
192.229.210.163,video.twimg.com
192.229.173.16,pbs.twimg.com
192.229.210.163,video.twimg.com
52.46.145.164,aax-us-east.amazon-adsystem.com
192.229.173.16,pbs.twimg.com
192.229.173.16,pbs.twimg.com
17.142.169.200,gsp64-ssl.ls.apple.com
52.179.129.229,arc.msn.com
52.46.131.253,completion.amazon.com
54.239.26.255,unagi-na.amazon.com
18.233.135.214,usersync.samplicio.us
72.21.202.25,cloudfront-labs.amazonaws.com
13.33.227.147,ae738b47dfa70a071cba51bbc64623e25.profile.lax3-c1.cloudfront.net
13.226.39.77,cdn-d.amazon-adsystem.com
23.62.128.136,configuration.ls.apple.com
18.235.79.162,ss-prod-ue1-notif-32.aws.adobess.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
192.229.210.163,video.twimg.com
192.229.210.163,video.twimg.com
111.221.29.40,fe3.delivery.mp.microsoft.com
17.137.166.35,gsa.apple.com
13.88.28.53,v10.events.data.microsoft.com
151.101.202.164,prod-fastly-us-east-1.video.pscp.tv
23.55.235.72,upos-hz-mirrorakam.akamaized.net
17.137.166.35,gsa.apple.com
23.217.96.53,configuration.apple.com
104.107.183.221,cp501.prod.do.dsp.mp.microsoft.com
13.88.28.53,v10.events.data.microsoft.com
17.137.166.35,gsa.apple.com
151.101.202.167,gql.twitch.tv
35.186.224.53,spclient.wg.spotify.com
13.107.42.12,d.docs.live.net
23.62.129.218,cl4.apple.com
23.55.235.72,upos-hz-mirrorakam.akamaized.net
13.225.62.97,www.thecamp.or.kr
13.225.62.97,www.thecamp.or.kr
13.107.136.9,nyu0-my.sharepoint.com
172.217.6.238,clients4.google.com
148.153.64.18,message.bilibili.com
148.153.38.118,api.vc.bilibili.com
54.148.127.69,proxsee.pscp.tv
148.153.38.118,api.bilibili.com
54.148.127.69,proxsee.pscp.tv
17.142.171.6,gsp64-ssl.ls.apple.com
52.33.245.178,ekg.riotgames.com
17.137.166.35,gsa.apple.com
23.55.235.72,upos-hz-mirrorakam.akamaized.net
17.120.254.7,p72-buy.itunes.apple.com
