17.253.15.205,valid.apple.com
13.107.3.128,config.edge.skype.com
20.36.219.28,activity.windows.com
52.253.130.84,geo.prod.do.dsp.mp.microsoft.com
172.217.6.193,apidata.googleusercontent.com
172.217.6.193,apidata.googleusercontent.com
162.125.19.130,telemetry.dropbox.com
23.205.0.60,kv601.prod.do.dsp.mp.microsoft.com
40.126.7.100,login.microsoftonline.com
20.44.82.31,licensing.mp.microsoft.com
20.44.82.31,licensing.mp.microsoft.com
52.177.166.224,client.wns.windows.com
35.186.224.47,dealer.spotify.com
20.44.82.31,licensing.mp.microsoft.com
20.44.82.31,licensing.mp.microsoft.com
40.126.7.100,login.microsoftonline.com
20.44.82.31,licensing.mp.microsoft.com
20.44.82.31,licensing.mp.microsoft.com
34.73.232.153,www.overleaf.com
20.44.82.31,licensing.mp.microsoft.com
54.213.243.187,sn.webrootcloudav.com
54.213.243.187,sn.webrootcloudav.com
18.213.11.209,datarouter.ol.epicgames.com
13.225.226.153,softrobotsvip.slack.com
13.225.226.153,eg1003.slack.com
172.253.63.188,mtalk.google.com
151.139.128.10,kit-free.fontawesome.com
104.16.88.20,cdn.jsdelivr.net
3.228.162.4,edgeapi.slack.com
52.1.17.102,bis.vidazoo.com
3.228.162.4,edgeapi.slack.com
54.85.172.124,www.netflix.com
69.192.108.87,filedownload.lenovo.com
172.217.10.46,i9.ytimg.com
54.148.122.222,ekg.riotgames.com
52.114.132.20,self.events.data.microsoft.com
23.248.167.13,static.zhihu.com
173.222.100.177,www.zhihu.com
180.149.135.236,rm.api.weibo.com
52.109.6.6,roaming.officeapps.live.com
180.149.135.236,rm.api.weibo.com
40.126.7.100,login.microsoftonline.com
148.153.64.18,api.bilibili.com
172.253.122.108,imap.gmail.com
172.253.122.108,imap.gmail.com
24.105.29.76,telemetry-in.battle.net
40.126.7.100,login.microsoftonline.com
13.107.3.128,config.edge.skype.com
17.248.135.83,p56-ckdatabase.icloud.com
35.186.224.53,spclient.wg.spotify.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
52.25.95.45,ekg.riotgames.com
104.16.1.92,na.ledge.leagueoflegends.com
52.114.132.20,v10.events.data.microsoft.com
52.13.229.94,ekg.riotgames.com
104.16.35.99,playerpreferences.riotgames.com
52.13.229.94,ekg.riotgames.com
23.43.59.177,steamcommunity-a.akamaihd.net
23.43.59.177,steamcommunity-a.akamaihd.net
23.192.75.231,steamcommunity.com
13.107.3.128,config.edge.skype.com
52.109.12.23,nexus.officeapps.live.com
31.13.71.1,api.facebook.com
31.13.71.36,b-api.facebook.com
31.13.71.1,graph.facebook.com
31.13.71.36,b-graph.facebook.com
31.13.71.1,lithium.facebook.com
31.13.71.3,edge-mqtt.facebook.com
17.120.254.11,p28-buy.itunes.apple.com
17.120.254.11,p28-buy.itunes.apple.com
17.120.254.11,p28-buy.itunes.apple.com
20.36.218.63,settings-win.data.microsoft.com
31.13.65.52,scontent.cdninstagram.com
31.13.65.52,scontent.cdninstagram.com
162.125.4.3,client.dropbox.com
104.84.148.238,sb.scorecardresearch.com
148.153.64.18,api.bilibili.com
13.107.3.128,config.edge.skype.com
52.109.88.34,nexusrules.officeapps.live.com
104.17.165.5,pft.leagueoflegends.com
52.109.88.34,nexusrules.officeapps.live.com
52.13.229.94,ekg.riotgames.com
52.179.129.229,arc.msn.com
23.52.161.49,www.weibo.com
172.217.3.110,app-measurement.com
52.4.42.220,prd-collector-anon.playbuzz.com
34.226.151.95,play.hulu.com
104.18.96.33,acs.leagueoflegends.com
8.36.80.244,events.gfe.nvidia.com
128.116.112.44,users.roblox.com
107.178.254.148,control.kochava.com
40.67.188.15,presence-heartbeat.xboxlive.com
8.36.80.244,events.gfe.nvidia.com
104.16.2.92,na.ledge.leagueoflegends.com
180.149.135.236,rm.api.weibo.com
52.13.229.94,ekg.riotgames.com
140.82.114.25,live.github.com
164.52.34.38,data.bilibili.com
164.52.34.38,data.bilibili.com
164.52.34.38,data.bilibili.com
104.17.187.107,zwyr157wwiu6eior.com
35.174.183.161,acp-ss-ue1.adobe.io
54.156.65.23,ss-prod-ue1-notif-32.aws.adobess.com
54.197.88.104,ss-prod-ue1-notif-1.aws.adobess.com
172.217.12.138,android.googleapis.com
52.114.128.10,browser.pipe.aria.microsoft.com
13.68.92.143,ris.api.iris.microsoft.com
69.192.108.133,livetileedge.dsx.mp.microsoft.com
13.107.3.128,config.edge.skype.com
148.153.64.18,api.bilibili.com
40.90.22.192,login.live.com
40.116.120.16,officehomeblobs.blob.core.windows.net
52.25.95.45,ekg.riotgames.com
20.36.218.63,settings-win.data.microsoft.com
52.179.129.229,arc.msn.com
23.43.59.201,img-prod-cms-rt-microsoft-com.akamaized.net
23.43.59.201,img-prod-cms-rt-microsoft-com.akamaized.net
23.43.59.201,img-prod-cms-rt-microsoft-com.akamaized.net
23.43.59.201,img-prod-cms-rt-microsoft-com.akamaized.net
23.43.59.201,img-prod-cms-rt-microsoft-com.akamaized.net
52.13.229.94,ekg.riotgames.com
165.254.0.107,play.itunes.apple.com
20.36.218.63,settings-win.data.microsoft.com
20.36.219.28,activity.windows.com
17.253.15.207,aod.itunes.apple.com
20.36.218.63,settings-win.data.microsoft.com
23.78.208.56,is4-ssl.mzstatic.com
52.33.245.178,ekg.riotgames.com
52.25.95.45,ekg.riotgames.com
69.192.108.239,api1.origin.com
47.246.24.228,s1.hdslb.com
47.246.24.228,i0.hdslb.com
148.153.64.18,www.bilibili.com
148.153.64.18,www.bilibili.com
172.217.7.3,update.googleapis.com
13.107.6.158,edge.microsoft.com
52.25.170.114,ekg.riotgames.com
52.209.86.177,logs.dashlane.com
52.18.244.146,ws1.dashlane.com
172.253.122.188,mtalk.google.com
34.239.36.80,cc-api-data.adobe.io
128.116.112.44,users.roblox.com
52.25.170.114,ekg.riotgames.com
52.33.176.204,R5-ps4-sub.stryder.respawn.com
52.25.170.114,ekg.riotgames.com
148.153.38.118,api.vc.bilibili.com
104.244.42.130,api.twitter.com
40.67.188.15,presence-heartbeat.xboxlive.com
148.153.64.18,api.bilibili.com
34.233.152.111,capture.condenastdigital.com
31.13.65.36,www.facebook.com
13.225.230.103,www.geoguessr.com
13.225.230.111,ipm-release.cengage.com
104.16.122.97,www.webassign.net
104.16.122.97,www.webassign.net
35.186.224.47,dealer.spotify.com
52.179.129.229,arc.msn.com
151.139.128.10,kit-free.fontawesome.com
104.16.85.20,cdn.jsdelivr.net
108.167.183.84,aquascapinglove.com
52.13.229.94,ekg.riotgames.com
164.52.34.38,data.bilibili.com
164.52.34.38,data.bilibili.com
164.52.34.38,data.bilibili.com
104.18.97.33,acs.leagueoflegends.com
52.25.95.45,ekg.riotgames.com
172.217.10.10,www.googleapis.com
180.149.135.236,rm.api.weibo.com
13.88.23.8,smartscreen-prod.microsoft.com
13.107.3.128,config.edge.skype.com
180.149.135.236,rm.api.weibo.com
104.16.3.92,na.ledge.leagueoflegends.com
104.17.166.5,pft.leagueoflegends.com
20.36.218.63,settings-win.data.microsoft.com
52.114.132.22,v10.events.data.microsoft.com
52.25.233.180,ekg.riotgames.com
52.201.200.150,www.netflix.com
104.16.37.99,playerpreferences.riotgames.com
59.110.148.212,privilege.lenovo.com.cn
54.243.120.80,tracking.overwolf.com
148.153.64.18,api.bilibili.com
52.25.95.45,ekg.riotgames.com
104.255.107.132,nba2k20-ws.2ksports.com
148.153.64.18,api.vc.bilibili.com
52.13.229.94,ekg.riotgames.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
52.25.233.180,ekg.riotgames.com
52.4.42.220,prd-collector-anon.playbuzz.com
172.217.12.142,www.google-analytics.com
52.25.95.45,ekg.riotgames.com
52.159.17.76,tsfe.trafficshaping.dsp.mp.microsoft.com
52.25.233.180,ekg.riotgames.com
20.36.218.63,settings-win.data.microsoft.com
40.79.70.158,geo.prod.do.dsp.mp.microsoft.com
23.205.0.60,kv601.prod.do.dsp.mp.microsoft.com
3.19.216.74,capi.connatix.com
23.205.0.60,cp601.prod.do.dsp.mp.microsoft.com
23.205.0.60,cp601.prod.do.dsp.mp.microsoft.com
23.205.0.60,cp601.prod.do.dsp.mp.microsoft.com
23.205.0.60,cp601.prod.do.dsp.mp.microsoft.com
23.205.0.60,cp601.prod.do.dsp.mp.microsoft.com
23.205.0.60,cp601.prod.do.dsp.mp.microsoft.com
23.205.0.60,cp601.prod.do.dsp.mp.microsoft.com
23.205.0.60,disc601.prod.do.dsp.mp.microsoft.com
23.205.0.60,disc601.prod.do.dsp.mp.microsoft.com
23.205.0.60,disc601.prod.do.dsp.mp.microsoft.com
23.205.0.60,disc601.prod.do.dsp.mp.microsoft.com
23.205.0.60,disc601.prod.do.dsp.mp.microsoft.com
23.205.0.60,disc601.prod.do.dsp.mp.microsoft.com
23.205.0.60,disc601.prod.do.dsp.mp.microsoft.com
40.69.221.239,array608.prod.do.dsp.mp.microsoft.com
40.79.70.158,geo.prod.do.dsp.mp.microsoft.com
52.114.88.29,v10.events.data.microsoft.com
34.199.31.71,rtm.tnt-ea.com
204.79.197.200,www.bing.com
104.17.143.21,loadouts.na2.leagueoflegends.com
52.25.95.45,ekg.riotgames.com
148.153.64.18,api.bilibili.com
52.114.88.29,v10.events.data.microsoft.com
31.13.65.1,www.messenger.com
52.25.233.180,ekg.riotgames.com
52.114.88.29,v10.events.data.microsoft.com
172.217.12.142,i1.ytimg.com
34.197.129.254,datarouter.ol.epicgames.com
52.114.132.74,self.events.data.microsoft.com
172.217.6.202,firebasestorage.googleapis.com
23.78.208.56,bag.itunes.apple.com
17.248.135.15,gateway-carry.icloud.com
24.105.29.76,telemetry-in.battle.net
23.52.161.49,www.weibo.com
13.35.78.58,api-cache.blizzcon.com
157.55.212.205,smartscreen-prod.microsoft.com
157.55.212.205,smartscreen-prod.microsoft.com
23.22.55.141,account-public-service-prod03.ol.epicgames.com
17.57.144.165,courier.push.apple.com
128.116.112.44,users.roblox.com
52.25.233.180,ekg.riotgames.com
17.167.192.94,gsp85-ssl.ls.apple.com
52.179.129.229,arc.msn.com
13.225.218.21,d3cv4a9a9wh0bt.cloudfront.net
13.225.218.21,d3cv4a9a9wh0bt.cloudfront.net
180.149.135.236,rm.api.weibo.com
104.17.142.21,loadouts.na2.leagueoflegends.com
17.57.144.164,courier.push.apple.com
208.91.159.11,p.hulu.com
54.175.98.232,i79zj-tzyj9.ads.tremorhub.com
52.25.233.180,ekg.riotgames.com
172.217.7.3,update.googleapis.com
34.228.151.213,pr-5c2f1a37a251ff2a6a8c6eab.data.ea.com
40.91.72.120,presence-heartbeat.xboxlive.com
52.25.233.180,ekg.riotgames.com
54.157.68.204,home.hulu.com
148.153.64.18,message.bilibili.com
47.246.24.226,i0.hdslb.com
47.246.24.230,s1.hdslb.com
35.164.116.34,ekg.riotgames.com
52.25.233.180,ekg.riotgames.com
3.135.178.253,secure-dcr.imrworldwide.com
52.25.233.180,ekg.riotgames.com
54.243.120.80,tracking.overwolf.com
54.243.120.80,tracking.overwolf.com
54.243.120.80,tracking.overwolf.com
128.116.112.44,users.roblox.com
35.186.224.53,spclient.wg.spotify.com
39.106.232.147,ldc.lenovo.com.cn
54.148.175.65,R5-ps4-sub.stryder.respawn.com
104.16.122.97,www.webassign.net
104.16.122.97,www.webassign.net
13.225.230.111,ipm-release.cengage.com
172.253.122.109,imap.gmail.com
13.225.230.87,et.tidal.com
148.153.38.118,api.vc.bilibili.com
151.139.128.10,kit-free.fontawesome.com
104.16.88.20,cdn.jsdelivr.net
35.186.224.47,dealer.spotify.com
162.159.134.233,discordapp.com
52.179.129.229,arc.msn.com
180.149.153.11,rm.api.weibo.com
38.106.231.204,osfsr.lenovomm.com
38.106.231.204,osfsr.lenovomm.com
180.149.135.236,rm.api.weibo.com
35.190.44.0,lsp.hackerrank.com
35.190.44.0,lsp.hackerrank.com
39.106.232.147,ldc.lenovo.com.cn
173.222.102.230,metrics.hackerrank.com
172.217.10.138,www.googleapis.com
172.217.12.138,remotedesktop-pa.googleapis.com
172.217.12.138,remotedesktop-pa.googleapis.com
172.253.63.95,fcm-stream.googleapis.com
13.225.218.115,d3cv4a9a9wh0bt.cloudfront.net
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
52.206.30.127,www.netflix.com
13.225.218.138,d3cv4a9a9wh0bt.cloudfront.net
52.35.252.98,ekg.riotgames.com
39.106.232.147,ldc.lenovo.com.cn
172.217.9.229,mail.google.com
172.217.11.35,clientservices.googleapis.com
39.106.232.147,ldc.lenovo.com.cn
54.82.200.32,dora.robinhood.com
18.211.222.15,datarouter.ol.epicgames.com
110.88.157.254,saascdn.lenovo.com.cn
35.190.44.0,lsp.hackerrank.com
54.239.21.125,feed.browserapps.amazon.com
54.89.207.10,fls-na.amazon.com
110.88.157.254,saascdn.lenovo.com.cn
