165.254.49.142,steamcdn-a.akamaihd.net
172.217.9.225,geo1.ggpht.com
104.16.121.97,www.webassign.net
104.16.121.97,www.webassign.net
148.153.38.118,api.vc.bilibili.com
23.248.167.13,static.zhihu.com
182.92.244.228,dsp.lenovo.com.cn
172.217.10.68,www.google.com
172.217.12.161,lh5.googleusercontent.com
172.217.11.2,adservice.google.com
172.217.10.131,fonts.gstatic.com
172.217.6.238,clickserve.dartsearch.net
23.192.16.113,www.bkstr.com
104.126.112.89,bkstr.scene7.com
172.217.12.202,fonts.googleapis.com
72.22.185.201,ds-aksb-a.akamaihd.net
182.92.244.228,dsp.lenovo.com.cn
23.192.0.143,request.eprotect.vantivcnp.com
152.195.14.37,edge1.certona.net
104.126.113.55,assets.adobedtm.com
152.195.14.37,edge1.certona.net
52.72.8.164,dpm.demdex.net
172.217.12.142,www.google-analytics.com
172.217.10.72,www.googletagmanager.com
35.186.249.72,d.impactradius-event.com
151.101.118.49,client.px-cloud.net
192.243.250.58,cm.everesttech.net
13.33.87.43,content.bkstr.com
172.217.10.131,fonts.gstatic.com
52.21.44.227,follett.demdex.net
172.217.11.2,adservice.google.com
35.186.220.184,collector-px6tnjz910.px-cloud.net
69.43.132.198,www.res-x.com
13.33.87.43,content.bkstr.com
182.92.244.228,dsp.lenovo.com.cn
172.217.197.156,stats.g.doubleclick.net
18.211.155.46,follett.d2.sc.omtrdc.net
172.217.6.230,8851240.fls.doubleclick.net
204.79.197.200,bat.bing.com
34.230.114.151,rtm.tnt-ea.com
35.186.240.205,efollett.7eer.net
31.13.65.7,connect.facebook.net
159.127.42.140,login.dotomi.com
35.244.186.129,us-u.openx.net
198.148.27.140,bh.contextweb.com
104.126.113.65,dsum-sec.casalemedia.com
68.67.160.75,ib.adnxs.com
35.190.72.21,idsync.rlcdn.com
159.127.42.76,exchange-match.mediaplex.com
3.221.13.230,eb2.3lift.com
159.127.42.172,login-ds.dotomi.com
31.13.65.36,www.facebook.com
23.192.16.113,www.bkstr.com
169.55.111.99,collector.tealeaf.ibmcloud.com
34.95.127.121,www.ojrq.net
13.78.180.50,array806.prod.do.dsp.mp.microsoft.com
31.13.71.36,www.facebook.com
3.217.100.252,follett.d2.sc.omtrdc.net
162.159.129.233,discordapp.com
162.159.129.233,discordapp.com
52.114.158.50,v10.events.data.microsoft.com
13.225.210.76,d3cv4a9a9wh0bt.cloudfront.net
128.116.112.44,users.roblox.com
13.248.131.92,metrics-collector.s-onetag.com
39.96.106.241,hao.lenovo.com.cn
54.71.49.71,ece4.playfabapi.com
23.221.201.164,mps.cnbc.com
35.186.240.205,efollett.7eer.net
162.159.129.232,media.discordapp.net
204.154.111.110,tps10268.doubleverify.com
204.154.111.110,tps10268.doubleverify.com
18.232.223.28,m.dlx.addthis.com
52.54.70.243,ss-prod-ue1-notif-27.aws.adobess.com
216.98.62.23,msr-public-ubiservices.ubi.com
204.154.111.110,tps10250.doubleverify.com
204.154.111.110,tps10250.doubleverify.com
35.186.224.47,dealer.spotify.com
130.211.16.53,d.joinhoney.com
130.211.26.229,s.joinhoney.com
18.232.223.28,m.dlx.addthis.com
96.17.66.14,nbcudisplay.s.moatpixel.com
18.232.223.28,m.dlx.addthis.com
18.232.223.28,m.dlx.addthis.com
192.16.31.139,www.dota2.com
192.16.31.139,www.dota2.com
20.36.219.28,activity.windows.com
40.90.22.190,login.live.com
52.179.129.229,arc.msn.com
13.107.42.12,api.onedrive.com
192.16.31.139,www.dota2.com
40.67.188.15,presence-heartbeat.xboxlive.com
134.170.179.106,xsts.auth.xboxlive.com
23.60.68.72,steamuserimages-a.akamaihd.net
96.17.66.14,nbcudisplay.s.moatpixel.com
54.243.120.80,tracking.overwolf.com
54.243.120.80,tracking.overwolf.com
204.154.111.110,tps30.doubleverify.com
69.192.108.239,api1.origin.com
13.225.210.120,d3cv4a9a9wh0bt.cloudfront.net
204.154.111.110,tps10250.doubleverify.com
172.217.10.234,safebrowsing.googleapis.com
150.138.164.135,smartdl.lenovo.com.cn
162.159.129.233,discordapp.com
