40.69.216.73,array611.prod.do.dsp.mp.microsoft.com
119.28.164.141,dlied1.qq.com
52.179.129.229,arc.msn.com
119.28.164.141,dlied1.qq.com
128.116.112.44,users.roblox.com
52.4.42.220,prd-collector-anon.playbuzz.com
119.28.164.141,dlied1.qq.com
54.210.113.65,www.netflix.com
119.28.164.141,dlied1.qq.com
119.28.164.141,dlied1.qq.com
119.28.164.141,dlied1.qq.com
68.67.160.74,ib.adnxs.com
172.217.7.10,remotedesktop-pa.googleapis.com
172.217.7.10,remotedesktop-pa.googleapis.com
17.174.1.5,guzzoni.apple.com
40.69.221.239,array608.prod.do.dsp.mp.microsoft.com
128.116.112.44,users.roblox.com
52.179.129.229,arc.msn.com
52.46.130.13,s.amazon-adsystem.com
52.46.130.13,s.amazon-adsystem.com
13.225.230.127,broker.lp1.npns.srv.nintendo.net
172.217.9.234,wirelessdevicestats.googleapis.com
172.217.9.234,wirelessdevicestats.googleapis.com
18.206.39.29,app-a05.lp1.npns.srv.nintendo.net
13.225.218.225,d3cv4a9a9wh0bt.cloudfront.net
20.36.218.63,settings-win.data.microsoft.com
31.13.65.7,scontent.xx.fbcdn.net
17.249.121.246,api-glb-nyc.smoot.apple.com
17.248.135.150,keyvalueservice.icloud.com
17.248.135.42,p11-keyvalueservice.icloud.com
35.168.30.237,launcher-public-service-prod06.ol.epicgames.com
128.116.112.44,users.roblox.com
68.67.160.74,ib.adnxs.com
72.21.91.70,pbs.twimg.com
72.21.91.70,pbs.twimg.com
18.204.189.76,s.update.adsrvr.org
52.21.54.233,insight.adsrvr.org
172.217.6.198,ad.doubleclick.net
54.230.71.104,choices.truste.com
172.217.12.194,googleads4.g.doubleclick.net
209.15.224.17,use-tor.adsrvr.org
52.207.39.97,hubble-02.tmmp.io
18.204.189.76,s.update.adsrvr.org
192.229.173.16,abs.twimg.com
192.229.173.16,abs.twimg.com
128.116.112.44,users.roblox.com
35.186.224.53,spclient.wg.spotify.com
52.179.129.229,arc.msn.com
34.192.187.24,www.netflix.com
52.46.141.211,aax-us-east.amazon-adsystem.com
209.15.224.17,use-tor.adsrvr.org
52.46.141.211,aax.amazon-adsystem.com
13.225.230.56,choices.trustarc.com
18.205.47.109,prd-collector-anon.playbuzz.com
85.195.84.18,notifier-01.escapefromtarkov.com
17.248.187.134,p55-sharedstreams.icloud.com
128.116.112.44,users.roblox.com
52.232.26.228,push2.notify-service.com
172.217.10.234,safebrowsing.googleapis.com
3.221.201.246,spocs.getpocket.com
96.17.65.84,getpocket.cdn.mozilla.net
211.234.127.21,logs.81plug.com
52.179.129.229,arc.msn.com
68.67.160.74,ib.adnxs.com
209.15.224.17,use-tor.adsrvr.org
35.190.90.30,odr.mookie1.com
107.178.246.49,pixel.tapad.com
52.203.32.250,s.update.rubiconproject.com
35.211.99.204,x.bidswitch.net
172.217.10.42,remotedesktop-pa.googleapis.com
172.217.10.42,remotedesktop-pa.googleapis.com
23.43.56.41,steamcdn-a.akamaihd.net
23.43.56.41,steamcdn-a.akamaihd.net
23.43.56.41,steamcdn-a.akamaihd.net
23.36.87.113,api.steampowered.com
128.116.112.44,users.roblox.com
104.20.114.14,prod-01.escapefromtarkov.com
172.217.10.238,play.google.com
172.217.12.170,play.googleapis.com
104.20.114.14,prod.escapefromtarkov.com
104.20.114.14,prod.escapefromtarkov.com
104.20.114.14,prod.escapefromtarkov.com
104.20.114.14,prod.escapefromtarkov.com
104.20.115.14,trading.escapefromtarkov.com
85.195.84.18,notifier-01.escapefromtarkov.com
128.116.112.44,users.roblox.com
18.205.47.109,prd-collector-anon.playbuzz.com
13.225.218.21,d3cv4a9a9wh0bt.cloudfront.net
52.179.129.229,arc.msn.com
34.233.159.233,www.netflix.com
13.68.225.90,smartscreen-prod.microsoft.com
172.217.197.92,pay.google.com
52.46.130.13,s.amazon-adsystem.com
52.46.130.13,s.amazon-adsystem.com
128.116.112.44,users.roblox.com
52.71.133.205,datarouter.ol.epicgames.com
52.109.76.30,nexusrules.officeapps.live.com
184.28.207.194,sb.scorecardresearch.com
68.67.160.74,ib.adnxs.com
52.179.129.229,arc.msn.com
35.186.224.53,spclient.wg.spotify.com
52.46.134.16,aax-us-east.amazon-adsystem.com
209.15.224.17,use-tor.adsrvr.org
208.185.50.76,beacon-us-iad3.rubiconproject.com
52.46.134.16,aax.amazon-adsystem.com
128.116.112.44,users.roblox.com
13.107.3.128,config.edge.skype.com
172.217.10.106,instantmessaging-pa.googleapis.com
104.17.188.107,zwyr157wwiu6eior.com
128.116.112.44,users.roblox.com
52.70.102.109,rtm.tnt-ea.com
172.217.7.10,instantmessaging-pa.googleapis.com
173.222.101.71,quote.cnbc.com
52.4.42.220,prd-collector-anon.playbuzz.com
17.249.162.38,gsp-ssl.ls.apple.com
31.13.65.1,edge-chat.messenger.com
23.78.200.111,webql-redesign.cnbcfm.com
31.13.65.1,www.messenger.com
172.217.7.10,safebrowsing.googleapis.com
52.179.129.229,arc.msn.com
17.248.135.118,api.apple-cloudkit.com
17.248.132.54,gateway-carry.icloud.com
35.241.52.229,cdp.cloud.unity3d.com
18.205.32.242,api.robinhood.com
128.116.112.44,users.roblox.com
68.67.160.74,ib.adnxs.com
20.36.218.63,settings-win.data.microsoft.com
23.43.56.82,steamcdn-a.akamaihd.net
23.43.56.82,steamcdn-a.akamaihd.net
23.43.56.82,steamcdn-a.akamaihd.net
23.10.85.13,store.steampowered.com
52.94.232.32,s.amazon-adsystem.com
52.94.232.32,s.amazon-adsystem.com
52.179.129.229,arc.msn.com
52.159.17.76,tsfe.trafficshaping.dsp.mp.microsoft.com
52.4.236.189,datarouter.ol.epicgames.com
3.12.180.40,capi.connatix.com
128.116.112.44,users.roblox.com
