34.213.23.47,util.geeksforgeeks.org
3.220.152.64,collect.tealiumiq.com
52.5.191.34,pixel.adsafeprotected.com
35.186.236.204,x.vindicosuite.com
52.1.128.202,sync.ipredictive.com
13.225.62.66,static.adsafeprotected.com
35.244.140.139,us-u.openx.net
31.13.66.35,www.facebook.com
151.101.2.49,sync-tm.everesttech.net
8.28.7.81,image6.pubmatic.com
69.166.1.10,sync.go.sonobi.com
192.184.68.145,cms.quantserve.com
199.127.207.6,sync.1rx.io
159.127.42.44,dclk-match.dotomi.com
172.217.11.2,cm.g.doubleclick.net
72.21.91.12,cache.vindicosuite.com
72.21.91.74,cache.specificmedia.com
72.21.91.12,cache.vindicosuite.com
72.21.91.74,cache.specificmedia.com
13.225.212.81,torque.admission.net
172.217.3.102,s0.2mdn.net
104.244.38.20,dt.adsafeprotected.com
162.159.130.233,discordapp.com
54.193.5.32,da.admission.net
23.218.107.169,eaassets-a.akamaihd.net
23.218.107.169,eaassets-a.akamaihd.net
104.244.38.20,dt.adsafeprotected.com
104.244.38.20,dt.adsafeprotected.com
172.217.3.102,s0.2mdn.net
13.226.39.65,cdn.admission.net
104.17.65.4,cdnjs.cloudflare.com
23.208.59.46,c.betrad.com
13.226.39.65,cdn.admission.net
3.223.169.108,gm.demdex.net
173.223.177.168,c.evidon.com
54.193.5.32,da.admission.net
207.186.149.230,traffic.prod.cobaltgroup.com
40.122.160.14,v10.events.data.microsoft.com
104.36.115.102,lyr.pubmatic.com
3.209.144.12,l.betrad.com
34.96.105.8,tr.blismedia.com
52.55.119.85,sync.extend.tv
3.218.25.123,pm.w55c.net
209.15.36.35,pixel-sync.sitescout.com
23.193.216.69,ssum-sec.casalemedia.com
208.185.50.80,pixel.rubiconproject.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
52.218.222.40,s3-us-west-2.amazonaws.com
52.218.228.131,ubp-common-us-prod.s3.amazonaws.com
34.196.124.253,river.data.ea.com
20.36.218.63,settings-win.data.microsoft.com
173.194.31.120,r2---sn-ab5szn7k.googlevideo.com
24.105.29.76,telemetry-in.battle.net
5.62.45.25,uib.ff.avast.com
172.217.9.234,android.googleapis.com
18.211.222.15,datarouter.ol.epicgames.com
172.217.12.214,i.ytimg.com
172.217.12.130,ade.googlesyndication.com
172.217.11.10,www.googleapis.com
24.105.29.76,telemetry-in.battle.net
172.217.7.3,update.googleapis.com
172.217.11.10,www.googleapis.com
172.217.11.10,www.googleapis.com
172.217.11.10,www.googleapis.com
17.248.187.141,p14-contacts.icloud.com
40.121.3.131,wdcp.microsoft.com
34.252.171.118,yupmaster.gaijinent.com
128.116.112.44,users.roblox.com
104.31.90.126,pokemongohub.net
104.27.175.141,wizardsunitehub.info
35.186.224.47,dealer.spotify.com
104.244.38.20,dt.adsafeprotected.com
104.196.12.179,eg.poly.edu
162.159.134.233,discordapp.com
40.79.66.209,array506.prod.do.dsp.mp.microsoft.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
34.196.124.253,river.data.ea.com
52.87.92.96,datarouter.ol.epicgames.com
104.18.57.100,api.ffzap.com
17.248.135.110,metrics.icloud.com
35.186.224.53,spclient.wg.spotify.com
17.248.135.73,gateway.icloud.com
17.248.135.213,p14-streams.icloud.com
17.248.135.206,p14-content.icloud.com
17.132.6.73,us-east-1.blobstore.apple.com
134.209.129.254,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
74.119.119.151,bidder.criteo.com
17.248.132.60,p14-keyvalueservice.icloud.com
172.217.10.46,play.google.com
185.167.164.39,c1.adform.net
17.253.15.205,mesu.apple.com
172.217.3.99,www.gstatic.com
172.217.6.193,lh3.googleusercontent.com
17.248.132.184,gateway.icloud.com
40.79.65.235,array502.prod.do.dsp.mp.microsoft.com
172.217.11.14,docs.google.com
128.116.112.44,users.roblox.com
52.109.120.19,nexusrules.officeapps.live.com
52.179.129.229,arc.msn.com
13.88.28.53,v10.events.data.microsoft.com
13.225.62.113,9zqhb3hba48m0c382uno7k2t74isfi.ext-twitch.tv
172.217.6.238,clients4.google.com
172.217.10.10,www.googleapis.com
172.217.10.10,www.googleapis.com
172.217.10.10,www.googleapis.com
172.217.10.10,www.googleapis.com
172.217.10.10,www.googleapis.com
172.217.222.108,imap.gmail.com
172.217.222.108,imap.gmail.com
172.217.222.108,imap.gmail.com
172.217.222.108,imap.gmail.com
172.217.222.108,imap.gmail.com
23.193.217.189,livetileedge.dsx.mp.microsoft.com
40.79.70.158,array503.prod.do.dsp.mp.microsoft.com
159.153.191.240,accounts.ea.com
159.153.191.240,accounts.ea.com
162.159.130.233,cdn.discordapp.com
34.205.196.218,river.data.ea.com
148.153.38.118,api.vc.bilibili.com
52.71.236.26,msmetrics.ws.sonos.com
31.13.66.63,graph.instagram.com
31.13.66.10,edge-mqtt.facebook.com
31.13.66.63,i.instagram.com
31.13.66.4,graph.facebook.com
31.13.66.63,scontent-iad3-1.cdninstagram.com
31.13.66.63,scontent-iad3-1.cdninstagram.com
24.105.29.76,telemetry-in.battle.net
31.13.66.19,scontent-iad3-1.xx.fbcdn.net
31.13.66.19,scontent-iad3-1.xx.fbcdn.net
31.13.66.63,scontent-iad3-1.cdninstagram.com
31.13.66.63,scontent-iad3-1.cdninstagram.com
31.13.66.63,scontent-iad3-1.cdninstagram.com
52.223.241.2,video-weaver.atl01.hls.ttvnw.net
23.47.147.197,configuration.ls.apple.com
23.47.147.57,gspe35-ssl.ls.apple.com
72.21.91.70,abs.twimg.com
72.21.91.70,abs.twimg.com
104.244.42.129,twitter.com
17.248.187.70,gateway.icloud.com
23.51.191.53,smp-device-content.apple.com
23.48.20.53,configuration.apple.com
128.116.112.44,users.roblox.com
13.225.210.76,d3cv4a9a9wh0bt.cloudfront.net
59.111.0.200,mumu.nie.netease.com
13.225.210.76,d3cv4a9a9wh0bt.cloudfront.net
35.186.224.53,spclient.wg.spotify.com
34.205.196.218,river.data.ea.com
17.248.135.170,p64-calendars.icloud.com
17.248.135.141,p14-keyvalueservice.icloud.com
17.167.192.231,gsp64-ssl.ls.apple.com
17.248.187.7,p14-escrowproxy.icloud.com
104.16.120.50,auth.riotgames.com
104.16.198.132,entitlements.auth.riotgames.com
104.16.198.132,entitlements.auth.riotgames.com
17.179.252.32,gsa.apple.com
35.161.179.71,ekg.riotgames.com
13.78.184.186,array804.prod.do.dsp.mp.microsoft.com
34.198.166.64,prd-collector-anon.playbuzz.com
134.209.129.254,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
3.211.205.226,datarouter.ol.epicgames.com
185.151.204.50,view.adjust.com
3.227.62.15,pixel.adsafeprotected.com
104.244.39.20,dt.adsafeprotected.com
23.193.218.54,api1.origin.com
52.113.194.132,config.teams.microsoft.com
52.114.7.36,mobile.pipe.aria.microsoft.com
52.114.7.36,mobile.pipe.aria.microsoft.com
148.153.64.18,api.vc.bilibili.com
23.218.107.169,eaassets-a.akamaihd.net
20.36.218.208,presence-heartbeat.xboxlive.com
172.217.9.234,remotedesktop-pa.googleapis.com
172.217.9.234,remotedesktop-pa.googleapis.com
52.179.129.229,arc.msn.com
31.13.66.63,graph.instagram.com
34.211.136.113,pipes-prod-glutton.public.aws.demonware.net
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
35.186.224.53,spclient.wg.spotify.com
35.168.198.30,river.data.ea.com
40.90.22.190,login.live.com
52.114.132.74,browser.pipe.aria.microsoft.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
52.114.77.28,prod.registrar.skype.com
162.159.135.233,discordapp.com
162.159.133.233,cdn.discordapp.com
13.78.180.90,array805.prod.do.dsp.mp.microsoft.com
13.107.3.128,edge.skype.com
52.114.142.67,api.asm.skype.com
24.105.29.76,telemetry-in.battle.net
13.107.3.128,config.edge.skype.com
23.13.175.209,contentstorage.osi.office.net
52.109.6.6,roaming.officeapps.live.com
52.114.128.9,v20.events.data.microsoft.com
52.109.6.6,roaming.officeapps.live.com
52.109.6.39,messaging.office.com
52.109.16.6,ocws.officeapps.live.com
52.109.16.6,ocws.officeapps.live.com
52.109.16.6,ocws.officeapps.live.com
52.109.16.6,ocws.officeapps.live.com
52.109.12.6,odc.officeapps.live.com
52.96.87.210,outlook.office365.com
13.91.131.5,directory.services.live.com
52.96.69.50,autodiscover-s.outlook.com
172.217.10.229,gmail.com
23.51.183.138,profile.live.com
104.17.209.9,api.golinkapi.com
40.90.22.186,login.live.com
13.225.210.120,d3cv4a9a9wh0bt.cloudfront.net
104.17.209.9,api.golinkapi.com
24.105.29.76,telemetry-in.battle.net
23.193.218.54,api1.origin.com
128.116.112.44,users.roblox.com
162.159.130.232,images-ext-1.discordapp.net
35.186.224.47,dealer.spotify.com
40.118.201.45,stats.norton.com
52.114.158.102,self.events.data.microsoft.com
172.217.9.229,mail.google.com
172.217.197.109,imap.gmail.com
172.217.197.109,imap.gmail.com
17.248.187.70,gateway.icloud.com
17.248.187.70,gateway.icloud.com
35.168.198.30,river.data.ea.com
172.217.10.110,clients6.google.com
172.217.10.110,clients6.google.com
172.217.12.202,people-pa.clients6.google.com
20.36.219.28,activity.windows.com
173.222.100.177,www.zhihu.com
23.13.167.68,pic2.zhimg.com
17.248.135.10,gateway.icloud.com
24.105.29.76,telemetry-in.battle.net
134.209.129.254,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
185.151.204.50,view.adjust.com
172.217.12.131,beacons.gcp.gvt2.com
128.116.112.44,users.roblox.com
104.244.39.20,dt.adsafeprotected.com
52.41.38.113,ekg.riotgames.com
104.16.36.99,playerpreferences.riotgames.com
162.159.129.233,discordapp.com
35.241.52.229,cdp.cloud.unity3d.com
52.109.4.13,nleditor.osi.office.net
52.109.12.55,augmentation.osi.office.net
52.109.12.55,augmentation.osi.office.net
172.217.3.100,www.google.com
52.40.23.104,ps4updptl.us.np.community.playstation.net
172.217.10.37,mail.google.com
52.179.129.229,arc.msn.com
52.109.6.6,roaming.officeapps.live.com
52.179.129.229,arc.msn.com
13.73.26.107,v20.events.data.microsoft.com
104.17.165.5,pft.leagueoflegends.com
52.41.38.113,ekg.riotgames.com
104.16.2.92,na.statstones.leagueoflegends.com
24.105.29.76,telemetry-in.battle.net
157.55.212.205,checkappexec.microsoft.com
172.217.10.130,googleads.g.doubleclick.net
18.205.44.71,f-log-extension.grammarly.io
35.168.198.30,river.data.ea.com
52.179.129.229,arc.msn.com
104.31.75.156,twitchemotes.com
17.249.121.246,api-glb-nyc.smoot.apple.com
23.193.217.205,xp.apple.com
23.43.56.185,play.itunes.apple.com
216.165.46.10,newclasses.nyu.edu
216.165.47.16,shibboleth.nyu.edu
13.73.26.107,v10.events.data.microsoft.com
162.125.4.3,client.dropbox.com
172.217.10.106,chat-pa.clients6.google.com
216.165.47.12,www.nyu.edu
24.105.29.76,telemetry-in.battle.net
13.107.5.88,evoke-windowsservices-tas.msedge.net
35.186.224.53,spclient.wg.spotify.com
52.179.129.229,arc.msn.com
23.193.216.28,settings-ssl.xboxlive.com
23.38.167.80,steamcdn-a.akamaihd.net
23.38.167.80,steamcdn-a.akamaihd.net
23.21.243.53,e.crashlytics.com
23.38.167.80,steamcdn-a.akamaihd.net
52.41.38.113,ekg.riotgames.com
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
54.241.191.153,api-e4c9863e.duosecurity.com
23.48.20.53,configuration.apple.com
172.217.3.106,safebrowsing.googleapis.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
52.109.6.6,roaming.officeapps.live.com
72.21.91.70,abs.twimg.com
72.21.91.70,abs.twimg.com
104.244.39.20,dt.adsafeprotected.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
31.13.66.19,platform-lookaside.fbsbx.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
216.176.184.42,rateyourmusic.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
23.48.20.53,configuration.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.82.18,gsp57-ssl-locus.ls.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
104.236.97.159,e.snmc.io
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
23.193.217.205,xp.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
130.211.16.53,d.joinhoney.com
17.179.252.32,gsa.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
23.193.217.205,xp.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
52.41.38.113,ekg.riotgames.com
17.249.121.246,api-glb-nyc.smoot.apple.com
24.105.29.76,telemetry-in.battle.net
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
216.165.46.10,newclasses.nyu.edu
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
172.217.11.10,www.googleapis.com
172.217.222.109,imap.gmail.com
128.116.112.44,users.roblox.com
104.196.12.179,eg.poly.edu
103.235.46.191,hm.baidu.com
103.235.46.191,hm.baidu.com
3.227.192.89,adult.yourblocksite.com
154.8.131.191,mqtt-web.zhihu.com
104.193.88.123,sp0.baidu.com
103.235.46.191,hm.baidu.com
107.155.58.98,s1.url.cn
35.168.198.30,river.data.ea.com
172.217.12.206,www.youtube.com
172.217.10.98,googleads.g.doubleclick.net
172.217.7.6,static.doubleclick.net
104.16.3.92,na.ledge.leagueoflegends.com
172.217.12.161,yt3.ggpht.com
107.155.58.98,s1.url.cn
104.196.12.179,eg.poly.edu
173.194.185.138,r5---sn-ab5sznld.googlevideo.com
173.194.185.138,r5---sn-ab5sznld.googlevideo.com
172.217.10.22,i.ytimg.com
107.155.58.98,s1.url.cn
52.114.132.22,v10.events.data.microsoft.com
107.155.58.99,s1.url.cn
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
13.225.212.54,api-cache.blizzcon.com
192.229.163.25,platform.twitter.com
192.229.163.25,platform.twitter.com
172.93.105.50,cache.cdnfile.info
104.31.70.253,gogoanime.video
104.27.137.219,www1.gogoanime.in
