23.21.193.169,duckduckgo.com
3.225.11.220,acp-ss-ue1.adobe.io
23.44.163.39,smgbacdcm963283424490.s.moatpixel.com
104.106.75.61,c.evidon.com
23.44.163.39,smgbacdcm963283424490.s.moatpixel.com
23.44.163.39,smgbacdcm963283424490.s.moatpixel.com
23.44.163.39,smgbacdcm963283424490.s.moatpixel.com
162.159.129.233,discordapp.com
54.165.35.162,tag.placelocal.com
151.101.2.49,sync-tm.everesttech.net
104.193.83.156,google2waycm.netmng.com
13.225.71.69,ak-cdn.placelocal.com
185.86.139.94,ssbsync.smartadserver.com
34.199.35.82,collector.placelocal.com
13.225.62.38,adacus-cdn.placelocal.com
34.232.106.33,sync.placelocal.com
34.199.35.82,collector.placelocal.com
13.225.212.102,creative.placelocal.com
13.225.212.102,creative.placelocal.com
104.244.37.20,dt.adsafeprotected.com
34.233.34.112,bofa.demdex.net
52.179.129.229,arc.msn.com
52.179.129.229,arc.msn.com
54.208.250.186,l.betrad.com
54.88.245.98,eb2.3lift.com
74.6.138.75,pr-bh.ybp.yahoo.com
52.204.222.100,match.360yield.com
202.241.208.57,tg.socdm.com
52.179.129.229,arc.msn.com
204.154.111.131,tps10220.doubleverify.com
204.154.111.127,tps10209.doubleverify.com
13.225.210.4,d3cv4a9a9wh0bt.cloudfront.net
204.154.111.131,tps10220.doubleverify.com
23.38.167.33,steamcdn-a.akamaihd.net
23.38.167.33,steamcdn-a.akamaihd.net
23.38.167.33,steamcdn-a.akamaihd.net
35.186.224.47,dealer.spotify.com
96.6.24.64,us-prof.np.community.playstation.net
52.20.194.214,www.mb6gpu84.com
23.78.182.45,www.autodesk.com
68.67.179.90,ib.adnxs.com
68.67.179.90,ib.adnxs.com
72.21.206.141,aax.amazon-adsystem.com
72.21.206.141,aax.amazon-adsystem.com
13.107.136.9,nyu0-my.sharepoint.com
13.225.212.117,streamapi.majorleaguegaming.com
13.225.212.117,streamapi.majorleaguegaming.com
13.225.212.117,streamapi.majorleaguegaming.com
13.225.212.117,streamapi.majorleaguegaming.com
104.196.12.179,eg.poly.edu
104.106.67.86,dco-assets.everestads.net
104.106.67.86,dco-assets.everestads.net
52.109.12.20,nexusrules.officeapps.live.com
178.128.135.80,e.serverbid.com
54.156.65.23,ss-prod-ue1-notif-32.aws.adobess.com
69.166.1.15,apex.go.sonobi.com
68.67.179.155,nym1-ib.adnxs.com
68.67.179.155,nym1-ib.adnxs.com
185.167.164.37,c1.adform.net
52.179.129.229,arc.msn.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
150.109.206.56,dlied1.qq.com
68.67.179.164,ib.adnxs.com
52.41.38.113,ekg.riotgames.com
150.109.206.56,dlied1.qq.com
20.36.219.28,activity.windows.com
13.107.42.12,d.docs.live.net
150.109.206.56,dlied1.qq.com
45.57.90.1,assets.nflxext.com
45.57.91.1,codex.nflxext.com
54.77.24.36,www.netflix.com
150.109.206.56,dlied1.qq.com
150.109.206.56,dlied1.qq.com
23.38.167.80,steamcdn-a.akamaihd.net
150.109.206.56,dlied1.qq.com
54.174.170.148,clear.aminopay.net
52.21.71.71,hp.demdex.net
96.6.24.72,secure.insightexpressai.com
63.251.114.182,ap.lijit.com
104.244.37.20,dt.adsafeprotected.com
104.107.183.242,px.owneriq.net
35.160.203.223,files.bidsimulator.com
8.28.7.81,image6.pubmatic.com
52.36.203.203,go.bidsimulator.com
104.244.37.20,dt.adsafeprotected.com
38.67.14.225,aep.mxptint.net
185.86.139.94,ssbsync.smartadserver.com
104.244.37.20,dt.adsafeprotected.com
40.90.22.184,login.live.com
52.35.92.72,view.bidsimulator.com
148.153.38.118,api.vc.bilibili.com
17.134.127.250,gs-loc.apple.com
96.6.26.73,static.yieldmo.com
96.6.26.73,static.yieldmo.com
3.91.171.221,kinesis.us-east-1.amazonaws.com
68.67.179.90,nym1-ib.adnxs.com
23.51.104.251,matchadsrvr.yieldmo.com
68.67.179.90,nym1-ib.adnxs.com
52.86.222.128,ads.yieldmo.com
96.6.24.215,acdn.adnxs.com
17.134.127.250,gs-loc.apple.com
104.107.127.223,presence.gog.com
13.226.39.71,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
172.217.197.108,imap.gmail.com
172.217.197.108,imap.gmail.com
172.217.197.108,imap.gmail.com
172.217.197.108,imap.gmail.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
31.13.66.4,www.messenger.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.104,wal.wolfram.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
35.227.229.34,api.bounceexchange.com
35.190.62.200,events.bouncex.net
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
31.13.66.4,www.messenger.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
151.101.1.16,m.media-amazon.com
140.177.17.102,www.wolframalpha.com
13.107.246.254,tring.clo.footprintdns.com
72.21.81.200,fp-vs.azureedge.net
23.13.62.16,cl4.apple.com
204.79.197.222,fp.msedge.net
140.177.17.102,www.wolframalpha.com
72.21.206.141,aax-us-east.amazon-adsystem.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
23.38.167.80,steamcdn-a.akamaihd.net
23.38.167.80,steamcdn-a.akamaihd.net
23.38.167.80,steamcdn-a.akamaihd.net
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
23.44.160.4,t.teads.tv
23.44.160.4,t.teads.tv
68.70.205.4,cdn.storygize.net
68.70.205.4,cdn.storygize.net
52.41.123.207,www.storygize.net
52.41.123.207,www.storygize.net
140.177.17.102,www.wolframalpha.com
35.190.72.21,idsync.rlcdn.com
172.217.10.142,fcmatch.youtube.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
40.91.72.120,presence-heartbeat.xboxlive.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
172.217.197.108,imap.gmail.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
172.217.197.108,imap.gmail.com
140.177.17.102,www.wolframalpha.com
13.107.136.9,nyu0-my.sharepoint.com
140.177.17.102,www.wolframalpha.com
52.109.8.20,nexusrules.officeapps.live.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
23.192.14.136,www.rakuten.com
140.177.17.102,www.wolframalpha.com
40.69.220.46,array606.prod.do.dsp.mp.microsoft.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
178.128.135.80,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
20.36.219.28,activity.windows.com
68.67.179.165,nym1-ib.adnxs.com
20.36.219.28,activity.windows.com
68.67.179.165,nym1-ib.adnxs.com
185.167.164.37,c1.adform.net
23.192.14.136,www.rakuten.com
140.177.17.102,www.wolframalpha.com
52.114.128.10,v10.events.data.microsoft.com
68.67.179.164,ib.adnxs.com
140.177.17.102,www.wolframalpha.com
31.13.66.19,scontent.xx.fbcdn.net
13.107.42.12,d.docs.live.net
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
148.153.64.18,message.bilibili.com
140.177.17.102,www.wolframalpha.com
128.238.155.11,128.238.155.11
140.177.17.102,www.wolframalpha.com
54.201.13.152,ekg.riotgames.com
52.179.129.229,arc.msn.com
140.177.17.102,www.wolframalpha.com
128.238.155.11,128.238.155.11
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
104.16.31.91,na.ledge.leagueoflegends.com
140.177.17.104,wal.wolfram.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
172.217.10.42,wirelessdevicestats.googleapis.com
172.217.10.42,wirelessdevicestats.googleapis.com
18.235.79.162,ss-prod-ue1-notif-32.aws.adobess.com
140.177.17.102,www4d.wolframalpha.com
140.177.17.102,www4d.wolframalpha.com
140.177.17.102,www4d.wolframalpha.com
140.177.18.78,www.wolframcdn.com
140.177.17.102,www4d.wolframalpha.com
140.177.17.102,www4d.wolframalpha.com
140.177.17.102,www4d.wolframalpha.com
140.177.17.102,www4d.wolframalpha.com
140.177.17.102,www4d.wolframalpha.com
140.177.17.104,wal.wolfram.com
185.26.182.111,merchandise.opera-api.com
68.67.160.74,ib.adnxs.com
68.67.160.74,ib.adnxs.com
96.6.24.21,storeedgefd.dsx.mp.microsoft.com
96.6.24.21,storeedgefd.dsx.mp.microsoft.com
96.6.24.21,livetileedge.dsx.mp.microsoft.com
96.6.24.21,livetileedge.dsx.mp.microsoft.com
104.244.37.20,dt.adsafeprotected.com
104.244.37.20,dt.adsafeprotected.com
13.78.184.186,array804.prod.do.dsp.mp.microsoft.com
204.154.111.131,tps30.doubleverify.com
172.217.10.37,mail.google.com
40.91.116.226,fe2cr.update.microsoft.com
13.225.64.110,d3cv4a9a9wh0bt.cloudfront.net
13.225.238.120,firefox.settings.services.mozilla.com
13.225.64.110,d3cv4a9a9wh0bt.cloudfront.net
13.225.238.120,firefox.settings.services.mozilla.com
13.225.238.120,firefox.settings.services.mozilla.com
13.225.238.120,firefox.settings.services.mozilla.com
13.225.238.120,firefox.settings.services.mozilla.com
13.225.238.120,firefox.settings.services.mozilla.com
13.225.238.120,firefox.settings.services.mozilla.com
13.225.238.120,firefox.settings.services.mozilla.com
13.225.238.120,firefox.settings.services.mozilla.com
104.244.37.20,dt.adsafeprotected.com
52.114.7.38,v10.events.data.microsoft.com
52.114.7.38,v10.events.data.microsoft.com
23.248.167.10,static.zhihu.com
23.192.7.112,www.zhihu.com
104.196.12.179,eg.poly.edu
172.217.12.138,remotedesktop-pa.googleapis.com
172.217.12.138,remotedesktop-pa.googleapis.com
40.90.22.184,login.live.com
65.52.108.90,fe3cr.delivery.mp.microsoft.com
172.217.12.142,play.google.com
52.218.240.88,s3-us-west-2.amazonaws.com
52.114.7.38,v10.events.data.microsoft.com
52.218.237.147,ubp-common-us-prod.s3.amazonaws.com
35.186.224.47,dealer.spotify.com
104.107.127.223,content-system.gog.com
23.38.167.33,steamcdn-a.akamaihd.net
23.38.167.33,steamcdn-a.akamaihd.net
23.38.167.33,steamcdn-a.akamaihd.net
13.78.180.90,geo.prod.do.dsp.mp.microsoft.com
104.107.183.221,kv501.prod.do.dsp.mp.microsoft.com
40.69.221.239,array608.prod.do.dsp.mp.microsoft.com
104.107.183.221,cp501.prod.do.dsp.mp.microsoft.com
104.107.183.221,kv501.prod.do.dsp.mp.microsoft.com
104.107.183.221,cp501.prod.do.dsp.mp.microsoft.com
104.107.183.221,disc501.prod.do.dsp.mp.microsoft.com
13.225.62.78,cdn.jwplayer.com
13.225.62.78,cdn.jwplayer.com
13.225.62.30,seccdn-gl.imrworldwide.com
151.101.202.114,ssl.p.jwpcdn.com
151.101.202.114,ssl.p.jwpcdn.com
151.101.202.114,ssl.p.jwpcdn.com
151.101.202.114,ssl.p.jwpcdn.com
72.21.81.189,entitlements.jwplayer.com
72.21.81.189,entitlements.jwplayer.com
3.135.130.114,secure-dcr.imrworldwide.com
3.214.106.232,dora.robinhood.com
172.217.10.234,imasdk.googleapis.com
52.114.7.38,v10.events.data.microsoft.com
23.8.174.49,videos-a.jwpsrv.com
54.201.13.152,ekg.riotgames.com
13.225.62.57,streamapi.majorleaguegaming.com
52.114.7.38,v10.events.data.microsoft.com
13.225.62.57,streamapi.majorleaguegaming.com
34.197.184.12,genuine.adobe.com
13.225.62.57,streamapi.majorleaguegaming.com
13.107.136.9,nyu0-my.sharepoint.com
13.225.62.57,streamapi.majorleaguegaming.com
52.179.224.121,client.wns.windows.com
52.179.224.121,client.wns.windows.com
40.90.22.184,login.live.com
137.135.96.104,wdcp.microsoft.com
178.128.135.80,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
96.6.24.64,us-prof.np.community.playstation.net
