151.139.244.6,gms.yoyogames.com
216.165.47.16,shibboleth.nyu.edu
216.165.47.16,shibboleth.nyu.edu
216.165.47.16,shibboleth.nyu.edu
130.211.16.53,d.joinhoney.com
216.165.47.12,www.nyu.edu
96.6.24.89,xp.apple.com
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
23.60.68.75,play.itunes.apple.com
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
13.107.42.254,l-ring.msedge.net
13.107.136.254,spo-ring.msedge.net
13.107.255.15,peer3-ash.msedge.net
204.79.197.222,fp.msedge.net
172.217.9.229,mail.google.com
172.217.12.161,yt3.ggpht.com
69.28.62.188,chassis-cdn.appcloudcdn.com
69.28.62.188,app-cdn.2q10.com
192.81.242.131,34acf0414d836d3f8d491c6186153694.my.2k.com
52.179.129.229,arc.msn.com
211.234.127.21,logs.81plug.com
20.36.218.63,settings-win.data.microsoft.com
72.21.91.66,platform.twitter.com
72.21.91.66,platform.twitter.com
20.36.218.63,settings-win.data.microsoft.com
72.21.91.66,platform.twitter.com
72.21.91.66,platform.twitter.com
104.244.42.136,syndication.twitter.com
104.244.42.136,syndication.twitter.com
192.229.173.16,cdn.syndication.twimg.com
192.229.173.16,cdn.syndication.twimg.com
13.88.23.8,smartscreen-prod.microsoft.com
151.139.241.3,docs.yoyogames.com
104.16.249.48,dota2lounge.com
96.17.66.14,nbcudisplay.s.moatpixel.com
96.17.66.14,nbcudisplay.s.moatpixel.com
96.17.66.14,nbcudisplay.s.moatpixel.com
96.17.66.14,nbcudisplay.s.moatpixel.com
20.188.74.161,fe2cr.update.microsoft.com
172.217.12.174,calendar.google.com
172.217.12.174,calendar.google.com
104.244.36.20,dt.adsafeprotected.com
52.114.132.20,v10.events.data.microsoft.com
104.31.75.156,twitchemotes.com
52.114.75.78,v10.events.data.microsoft.com
216.165.47.16,shibboleth.nyu.edu
216.165.47.16,shibboleth.nyu.edu
216.165.47.12,www.nyu.edu
52.179.129.229,arc.msn.com
216.165.46.10,newclasses.nyu.edu
20.36.218.63,settings-win.data.microsoft.com
52.114.74.44,v10.events.data.microsoft.com
111.221.29.40,fe3cr.delivery.mp.microsoft.com
165.254.0.112,ubisoft-avatars.akamaized.net
165.254.0.112,ubisoft-avatars.akamaized.net
165.254.0.112,ubisoft-avatars.akamaized.net
165.254.0.112,ubisoft-avatars.akamaized.net
165.254.0.112,ubisoft-avatars.akamaized.net
165.254.0.112,ubisoft-avatars.akamaized.net
52.179.129.229,arc.msn.com
13.68.92.143,ris.api.iris.microsoft.com
130.211.26.229,s.joinhoney.com
52.3.43.18,srv-2020-03-01-23.pixel.parsely.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
173.223.18.18,configuration.ls.apple.com
52.114.75.78,v10.events.data.microsoft.com
173.194.207.108,imap.gmail.com
173.194.207.108,imap.gmail.com
172.217.14.83,beacons.gcp.gvt2.com
20.36.219.28,activity.windows.com
13.225.63.35,d3cv4a9a9wh0bt.cloudfront.net
54.187.92.209,api.accounts.firefox.com
52.39.207.76,profile.accounts.firefox.com
52.38.131.12,sync-632-us-west-2.sync.services.mozilla.com
104.122.146.69,presence.gog.com
54.156.65.23,ss-prod-ue1-notif-32.aws.adobess.com
120.92.163.246,api.vc.bilibili.com
120.92.163.246,api.vc.bilibili.com
192.81.242.131,34acf0414d836d3f8d491c6186153694.my.2k.com
17.57.12.11,gsp64-ssl.ls.apple.com
172.217.9.229,mail.google.com
52.114.75.78,v10.events.data.microsoft.com
52.22.137.21,prd-collector-anon.playbuzz.com
172.253.63.109,imap.gmail.com
13.107.5.88,outlookmobile-office365-tas.msedge.net
13.107.18.11,outlook.office.com
172.217.10.138,www.googleapis.com
52.96.88.82,outlook.office365.com
13.226.36.20,d3cv4a9a9wh0bt.cloudfront.net
13.225.63.55,d3cv4a9a9wh0bt.cloudfront.net
198.185.159.145,www.nelsonajames.com
23.211.235.44,use.typekit.net
52.179.129.229,arc.msn.com
54.243.222.127,e.crashlytics.com
13.226.39.81,js.driftt.com
35.186.224.47,dealer.spotify.com
172.217.9.229,mail.google.com
172.217.9.229,mail.google.com
172.253.63.108,imap.gmail.com
172.253.63.108,imap.gmail.com
172.253.63.108,imap.gmail.com
172.253.63.108,imap.gmail.com
172.253.63.108,imap.gmail.com
172.253.63.108,imap.gmail.com
35.227.229.34,api.bounceexchange.com
35.190.62.200,events.bouncex.net
13.107.3.128,config.edge.skype.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
172.217.10.238,contacts.google.com
64.30.224.206,ws.audioscrobbler.com
172.217.10.110,hangouts.google.com
172.217.11.10,chat-pa.clients6.google.com
52.114.158.50,mobile.pipe.aria.microsoft.com
74.125.192.189,0.client-channel.google.com
13.225.212.63,api-cache.blizzcon.com
52.179.129.229,arc.msn.com
24.105.29.76,telemetry-in.battle.net
40.91.72.120,presence-heartbeat.xboxlive.com
172.217.197.189,26.client-channel.google.com
96.17.64.33,emsfs.autodesk.com
192.81.242.131,34acf0414d836d3f8d491c6186153694.my.2k.com
40.90.22.189,login.live.com
17.248.135.143,gateway.icloud.com
172.217.10.106,remotedesktop-pa.googleapis.com
172.217.10.106,remotedesktop-pa.googleapis.com
24.105.29.76,telemetry-in.battle.net
172.217.10.42,content.googleapis.com
173.194.31.121,r3---sn-ab5szn7k.googlevideo.com
173.194.31.121,r3---sn-ab5szn7k.googlevideo.com
151.139.241.3,docs.yoyogames.com
54.156.65.23,ss-prod-ue1-notif-32.aws.adobess.com
40.91.72.120,presence-heartbeat.xboxlive.com
172.217.12.174,calendar.google.com
172.217.12.174,calendar.google.com
172.217.12.174,calendar.google.com
172.217.12.174,calendar.google.com
104.22.2.109,builds.parsecgaming.com
104.22.2.109,builds.parsecgaming.com
172.217.12.174,calendar.google.com
150.70.183.140,titanium160-en.fbs25.trendmicro.com
23.192.17.167,configuration.ls.apple.com
31.13.65.1,www.messenger.com
17.248.135.176,p31-caldav.icloud.com
17.248.187.69,p31-caldav.icloud.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
17.248.135.244,gateway-carry.icloud.com
172.217.6.202,remotedesktop-pa.googleapis.com
172.217.6.202,remotedesktop-pa.googleapis.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
17.57.12.11,gsp64-ssl.ls.apple.com
52.22.137.21,prd-collector-anon.playbuzz.com
172.253.63.108,imap.gmail.com
172.253.63.108,imap.gmail.com
52.109.2.16,officeclient.microsoft.com
13.107.3.128,config.edge.skype.com
52.109.88.34,nexusrules.officeapps.live.com
52.109.88.34,nexusrules.officeapps.live.com
52.114.132.20,v10.events.data.microsoft.com
17.253.15.207,valid.apple.com
54.177.49.202,hbxlp.media.net
52.179.129.229,arc.msn.com
192.81.242.131,34acf0414d836d3f8d491c6186153694.my.2k.com
104.17.209.9,api.golinkapi.com
120.92.163.246,api.vc.bilibili.com
52.113.194.132,config.teams.microsoft.com
69.31.116.56,audio-akp-bbr-spotify-com.akamaized.net
52.114.158.50,mobile.pipe.aria.microsoft.com
52.114.158.50,mobile.pipe.aria.microsoft.com
172.217.9.229,mail.google.com
172.217.7.3,update.googleapis.com
172.217.11.19,cloud.bluestacks.com
13.225.210.76,d3cv4a9a9wh0bt.cloudfront.net
31.13.65.51,graph.oculus.com
34.68.125.225,rpc.znly.co
17.142.171.9,gs-loc.apple.com
13.107.3.128,config.edge.skype.com
20.36.218.63,settings-win.data.microsoft.com
162.159.130.233,discordapp.com
23.211.235.44,use.typekit.net
23.0.52.83,steam-chat.com
23.0.52.83,steam-chat.com
150.70.183.140,titanium160-en.fbs25.trendmicro.com
35.186.224.47,dealer.spotify.com
54.156.65.23,ss-prod-ue1-notif-32.aws.adobess.com
34.68.125.225,rpc.znly.co
17.142.171.8,gs-loc.apple.com
172.217.11.46,www.youtube.com
13.226.26.231,www.flickr.com
31.13.65.36,www.facebook.com
52.114.158.50,mobile.pipe.aria.microsoft.com
104.17.187.107,zwyr157wwiu6eior.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
104.106.0.233,api.weather.com
3.221.116.27,public-ubiservices.ubi.com
172.217.9.229,mail.google.com
54.87.129.169,public-rest.a.upc.ubisoft.com
31.13.65.36,www.facebook.com
172.217.6.234,play.googleapis.com
165.254.0.99,ubistatic3-a.akamaihd.net
3.221.116.27,public-ubiservices.ubi.com
13.225.62.6,news-page-themes-api.a.upc.ubisoft.com
20.36.219.28,activity.windows.com
23.0.52.83,steam-chat.com
192.81.242.131,34acf0414d836d3f8d491c6186153694.my.2k.com
104.26.13.240,ulogs.bytefence.com
20.36.218.63,settings-win.data.microsoft.com
34.68.125.225,rpc.znly.co
17.142.171.9,gs-loc.apple.com
52.179.129.229,arc.msn.com
172.217.11.42,appsitemsuggest-pa.clients6.google.com
104.16.3.92,na.ledge.leagueoflegends.com
172.217.10.238,play.google.com
20.36.219.28,activity.windows.com
151.139.241.3,docs.yoyogames.com
13.225.212.25,api-cache.blizzcon.com
180.101.217.20,pub.idqqimg.com
40.90.22.192,login.live.com
159.153.191.240,accounts.ea.com
137.221.106.104,nydus.battle.net
137.221.106.104,nydus.battle.net
137.135.96.104,wdcp.microsoft.com
40.90.22.192,login.live.com
151.101.129.28,bandcamp.com
151.101.129.28,bandcamp.com
96.6.24.89,xp.apple.com
23.60.68.75,play.itunes.apple.com
162.159.129.232,media.discordapp.net
20.44.82.31,licensing.mp.microsoft.com
40.91.72.120,presence-heartbeat.xboxlive.com
13.74.179.117,slscr.update.microsoft.com
64.4.54.18,fe3cr.delivery.mp.microsoft.com
52.114.132.23,v10.events.data.microsoft.com
104.17.209.9,api.golinkapi.com
104.102.91.104,storecatalogrevocation.storequality.microsoft.com
13.74.179.117,slscr.update.microsoft.com
52.87.63.98,prd-collector-anon.playbuzz.com
59.111.0.200,mumu.nie.netease.com
17.248.135.209,gateway.icloud.com
52.114.132.23,v10.events.data.microsoft.com
34.68.125.225,rpc.znly.co
17.142.171.9,gs-loc.apple.com
172.253.63.108,imap.gmail.com
172.253.63.108,imap.gmail.com
54.156.65.23,ss-prod-ue1-notif-32.aws.adobess.com
3.221.245.228,public-ubiservices.ubi.com
128.238.155.11,128.238.155.11
128.238.155.11,128.238.155.11
192.81.242.131,34acf0414d836d3f8d491c6186153694.my.2k.com
120.92.163.246,api.vc.bilibili.com
52.179.129.229,arc.msn.com
104.22.2.109,builds.parsecgaming.com
104.22.2.109,builds.parsecgaming.com
165.254.0.66,blzprofile.akamaized.net
104.16.2.92,na.ledge.leagueoflegends.com
17.248.135.80,api.apple-cloudkit.com
52.114.77.34,v10.events.data.microsoft.com
107.155.58.99,s1.url.cn
107.155.58.99,s1.url.cn
107.155.58.99,s1.url.cn
151.101.1.164,www.nytimes.com
151.101.129.164,mwcm.nyt.com
151.101.65.164,g1.nyt.com
13.225.202.14,c.amazon-adsystem.com
172.217.7.19,a.et.nytimes.com
151.101.1.164,samizdat-graphql.nytimes.com
35.244.188.62,als-svc.nytimes.com
96.17.64.29,contextual.media.net
107.155.58.99,s1.url.cn
13.225.202.14,c.amazon-adsystem.com
173.194.66.81,pay.sandbox.google.com
104.110.252.198,cdn.optimizely.com
52.55.57.213,et.nytimes.com
52.55.57.213,et.nytimes.com
52.55.57.213,et.nytimes.com
13.226.39.125,js.datadome.co
104.107.53.36,sb.scorecardresearch.com
184.24.63.222,cdneast2-xch.media.net
35.241.35.241,meter-svc.nytimes.com
198.185.159.145,www.nelsonajames.com
23.209.125.86,use.typekit.net
172.217.7.19,purr.nytimes.com
172.217.7.19,a.nytimes.com
52.55.57.213,et.nytimes.com
52.55.57.213,et.nytimes.com
52.55.57.213,et.nytimes.com
23.78.199.149,a3013110282.cdn.optimizely.com
54.177.49.202,hbxlp.media.net
54.243.49.165,e.crashlytics.com
40.67.188.15,userpresence.xboxlive.com
17.167.194.47,gsp85-ssl.ls.apple.com
17.57.144.52,courier.push.apple.com
23.10.89.229,tags.bluekai.com
13.225.205.210,static.chartbeat.com
34.196.66.109,logx.optimizely.com
52.86.84.216,api-js.datadome.co
54.84.42.205,pnytimes.chartbeat.net
72.21.206.141,aax-us-east.amazon-adsystem.com
68.67.179.166,nym1-ib.adnxs.com
23.10.89.229,stags.bluekai.com
23.10.89.229,stags.bluekai.com
72.21.206.141,aax.amazon-adsystem.com
68.67.179.166,nym1-ib.adnxs.com
151.101.2.49,displayf-tm.everesttech.net
69.192.109.37,acdn.adnxs.com
104.20.131.56,mwzeom.zeotap.com
96.17.64.132,cdn.doubleverify.com
96.17.64.132,cdn.doubleverify.com
72.21.81.64,playtime.tubemogul.com
3.212.167.49,i.liadm.com
72.21.81.64,playtime.tubemogul.com
35.186.224.47,dealer.spotify.com
69.192.110.94,z.moatads.com
204.154.111.143,rtb2.doubleverify.com
205.185.216.42,servedby.flashtalking.com
204.79.197.200,c.bing.com
104.244.42.67,analytics.twitter.com
172.217.3.101,mail.google.com
204.154.111.119,tps601.doubleverify.com
205.185.216.10,cdn.flashtalking.com
69.192.110.94,px.moatads.com
13.225.212.122,choices.truste.com
3.132.125.241,geo.moatads.com
13.225.62.95,choices.trustarc.com
34.228.107.213,tracker.samplicio.us
205.185.216.10,cdn.flashtalking.com
96.17.64.205,code.createjs.com
34.198.39.84,d9.flashtalking.com
68.67.179.122,ib.adnxs.com
204.154.111.119,tps.doubleverify.com
204.154.111.119,tps.doubleverify.com
35.190.90.30,odr.mookie1.com
151.101.1.253,t.wayfair.com
216.200.232.235,sync.mathtag.com
204.13.192.56,m.adnxs.com
52.3.121.18,match.adsrvr.org
107.178.246.49,pixel.tapad.com
96.17.66.14,tubemogul154237275611.s.moatpixel.com
96.17.66.14,tubemogul154237275611.s.moatpixel.com
35.211.114.141,x.bidswitch.net
185.167.164.43,c1.adform.net
69.192.108.133,livetileedge.dsx.mp.microsoft.com
204.154.111.143,tps10263.doubleverify.com
5.62.44.228,analytics.ff.avast.com
204.154.111.143,tps10219.doubleverify.com
40.90.22.189,login.live.com
172.217.12.202,firebasestorage.googleapis.com
20.44.82.15,collections.md.mp.microsoft.com
159.153.190.222,proxy.novafusion.ea.com
23.197.40.170,tms16.icrc.trendmicro.com
17.248.135.145,p10-caldav.icloud.com
20.36.218.63,settings-win.data.microsoft.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
40.90.22.189,login.live.com
52.158.208.111,watson.telemetry.microsoft.com
172.217.10.138,home-devices.googleapis.com
31.13.65.51,www.oculus.com
52.114.158.50,mobile.pipe.aria.microsoft.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
40.90.22.183,login.live.com
13.225.210.76,d3cv4a9a9wh0bt.cloudfront.net
40.84.43.40,cs.dds.microsoft.com
52.22.230.160,river.data.ea.com
52.179.129.229,arc.msn.com
31.13.65.51,scontent.oculuscdn.com
31.13.65.51,scontent.oculuscdn.com
31.13.65.51,scontent.oculuscdn.com
31.13.65.51,scontent.oculuscdn.com
31.13.65.51,scontent.oculuscdn.com
31.13.65.51,scontent.oculuscdn.com
31.13.65.51,scontent.oculuscdn.com
31.13.65.51,scontent.oculuscdn.com
31.13.65.51,scontent.oculuscdn.com
31.13.65.51,scontent.oculuscdn.com
31.13.65.51,scontent.oculuscdn.com
31.13.65.51,scontent.oculuscdn.com
31.13.65.51,scontent.oculuscdn.com
31.13.65.51,scontent.oculuscdn.com
31.13.65.51,scontent.oculuscdn.com
31.13.65.51,scontent.oculuscdn.com
31.13.65.51,scontent.oculuscdn.com
31.13.65.51,scontent.oculuscdn.com
31.13.65.51,scontent.oculuscdn.com
31.13.65.51,scontent.oculuscdn.com
31.13.65.51,scontent.oculuscdn.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
17.57.12.11,gsp64-ssl.ls.apple.com
20.36.219.28,activity.windows.com
192.81.242.131,34acf0414d836d3f8d491c6186153694.my.2k.com
52.87.63.98,prd-collector-anon.playbuzz.com
159.153.190.222,proxy.novafusion.ea.com
172.217.9.246,i.ytimg.com
172.253.63.109,imap.gmail.com
172.253.63.109,imap.gmail.com
157.55.212.205,nav.smartscreen.microsoft.com
68.67.179.166,nym1-ib.adnxs.com
52.200.7.105,pixel.adsafeprotected.com
69.192.109.37,crcdn01.adnxs.com
69.192.109.37,crcdn01.adnxs.com
69.192.109.37,crcdn01.adnxs.com
69.192.109.37,crcdn01.adnxs.com
69.192.109.37,crcdn01.adnxs.com
69.192.109.37,crcdn01.adnxs.com
13.225.62.84,cdn.justpremium.com
13.225.62.84,cdn.justpremium.com
13.225.62.84,cdn.justpremium.com
13.225.62.117,d.agkn.com
104.244.37.20,dt.adsafeprotected.com
104.244.37.20,dt.adsafeprotected.com
104.244.37.20,dt.adsafeprotected.com
104.244.37.20,dt.adsafeprotected.com
104.244.37.20,dt.adsafeprotected.com
151.139.241.3,docs.yoyogames.com
68.67.179.122,ib.adnxs.com
172.253.63.109,imap.gmail.com
172.253.63.109,imap.gmail.com
23.20.28.69,ss-prod-ue1-notif-32.aws.adobess.com
96.17.66.14,nbcudisplay.s.moatpixel.com
96.17.66.14,nbcudisplay.s.moatpixel.com
65.55.44.109,vortex.data.microsoft.com
96.6.24.89,xp.apple.com
23.60.68.90,play.itunes.apple.com
52.22.230.160,river.data.ea.com
13.107.5.88,evoke-windowsservices-tas.msedge.net
172.217.12.142,i1.ytimg.com
68.67.179.166,nym1-ib.adnxs.com
204.154.111.143,rtb2.doubleverify.com
205.185.216.42,servedby.flashtalking.com
68.67.179.122,ib.adnxs.com
204.154.111.143,tps604.doubleverify.com
204.154.111.119,tps.doubleverify.com
204.154.111.119,tps.doubleverify.com
151.139.242.15,marketplace.yoyogames.com
172.217.11.36,www.google.com
34.239.7.127,accounts.yoyogames.com
151.139.244.6,gms.yoyogames.com
151.139.245.4,www.yoyogames.com
172.253.63.109,imap.gmail.com
77.88.55.88,www.yandex.ru
104.193.88.123,www.baidu.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
5.255.255.5,yandex.ru
20.36.219.28,activity.windows.com
172.253.63.109,imap.gmail.com
204.154.111.119,tps10256.doubleverify.com
204.154.111.119,tps10203.doubleverify.com
104.20.24.197,api.reasonsecurity.com
104.20.24.197,api.reasonsecurity.com
24.105.29.76,telemetry-in.battle.net
52.109.88.34,nexusrules.officeapps.live.com
34.204.32.255,srv-2020-03-01-23.pixel.parsely.com
13.67.187.213,phoenix.maelstrom.gameservices.xboxlive.com
13.225.212.126,assets.splitwise.com
54.225.114.178,www.splitwise.com
54.225.114.178,www.splitwise.com
52.179.129.229,arc.msn.com
192.81.242.131,34acf0414d836d3f8d491c6186153694.my.2k.com
104.17.209.9,api.golinkapi.com
52.54.188.100,rtm.tnt-ea.com
203.205.255.191,btrace.qq.com
17.57.12.11,gsp64-ssl.ls.apple.com
17.248.185.175,gateway-carry.icloud.com
35.170.254.125,acp-ss-ue1.adobe.io
96.17.43.92,content-system.gog.com
13.226.214.110,d3cv4a9a9wh0bt.cloudfront.net
69.192.108.239,api1.origin.com
69.192.108.239,api1.origin.com
172.217.10.110,myaccount.google.com
172.217.10.110,myaccount.google.com
172.217.10.238,play.google.com
198.185.159.145,www.nelsonajames.com
23.209.125.86,use.typekit.net
35.186.224.47,dealer.spotify.com
54.156.65.23,ss-prod-ue1-notif-32.aws.adobess.com
120.92.163.246,api.vc.bilibili.com
216.165.47.16,shibboleth.nyu.edu
216.165.47.16,shibboleth.nyu.edu
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
216.165.47.16,shibboleth.nyu.edu
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
104.27.143.37,maranhesduve.club
104.19.248.121,adobviewe.club
54.241.191.153,api-e4c9863e.duosecurity.com
173.234.158.85,icon5.expelates.com
165.254.0.104,cdn.rtclx.com
165.254.0.104,cdn.rtclx.com
173.234.158.85,icon5.expelates.com
96.7.64.140,iphone-ld.apple.com
14.215.140.53,p.qlogo.cn
69.192.108.133,livetileedge.dsx.mp.microsoft.com
17.42.254.11,p14-buy.itunes.apple.com
172.217.10.138,play.googleapis.com
172.217.11.3,settings.crashlytics.com
23.21.219.229,e.crashlytics.com
54.241.191.153,api-e4c9863e.duosecurity.com
52.114.158.50,mobile.pipe.aria.microsoft.com
172.217.12.138,play.googleapis.com
54.241.191.153,api-e4c9863e.duosecurity.com
69.192.108.239,api1.origin.com
69.192.108.239,secure.download.dm.origin.com
