52.218.228.19,ubp-common-us-prod.s3.amazonaws.com
172.217.11.42,youtubei.googleapis.com
23.48.94.154,bnetus-a.akamaihd.net
172.217.3.110,app-measurement.com
172.217.3.110,app-measurement.com
108.177.125.155,stats.g.doubleclick.net
216.239.38.117,www.google.com
52.109.120.22,nexus.officeapps.live.com
18.235.79.162,ss-prod-ue1-notif-32.aws.adobess.com
24.105.29.76,telemetry-in.battle.net
162.159.129.232,media.discordapp.net
172.217.11.35,clientservices.googleapis.com
23.194.120.195,api1.origin.com
13.107.136.9,nyu0-my.sharepoint.com
172.253.63.109,imap.gmail.com
172.253.63.109,imap.gmail.com
172.217.10.138,fcmconnection.googleapis.com
172.217.6.202,play.googleapis.com
13.107.3.128,config.edge.skype.com
8.36.113.137,events.gfe.nvidia.com
3.87.149.58,datarouter-prod.ak.epicgames.com
104.18.58.155,njtzzrvg0lwj3bsn.info
148.153.38.118,message.bilibili.com
52.114.158.53,v10.events.data.microsoft.com
8.36.113.137,events.gfe.nvidia.com
148.153.38.118,api.vc.bilibili.com
52.177.166.224,client.wns.windows.com
152.195.55.22,gfwsl.geforce.com
23.192.54.165,go.microsoft.com
24.105.29.76,telemetry-in.battle.net
24.105.29.76,telemetry-in.battle.net
157.55.109.224,windows.policies.live.net
20.186.48.46,geo.prod.do.dsp.mp.microsoft.com
23.192.19.139,kv801.prod.do.dsp.mp.microsoft.com
20.44.82.31,licensing.mp.microsoft.com
52.114.128.9,browser.pipe.aria.microsoft.com
23.192.19.139,cp801.prod.do.dsp.mp.microsoft.com
23.192.19.139,cp801.prod.do.dsp.mp.microsoft.com
20.44.82.31,licensing.mp.microsoft.com
23.192.19.139,disc801.prod.do.dsp.mp.microsoft.com
23.192.19.139,disc801.prod.do.dsp.mp.microsoft.com
20.44.82.31,licensing.mp.microsoft.com
20.44.82.31,licensing.mp.microsoft.com
20.44.82.31,licensing.mp.microsoft.com
20.44.82.31,licensing.mp.microsoft.com
172.253.63.188,mtalk.google.com
34.253.130.117,push.prod.netflix.com
34.253.36.84,www.netflix.com
172.217.7.10,safebrowsing.googleapis.com
162.159.134.234,gateway.discord.gg
23.43.58.58,id.razer.com
34.253.36.84,www.netflix.com
162.159.129.235,best.discord.media
162.159.133.233,discordapp.com
162.159.130.233,status.discordapp.com
24.105.29.76,telemetry-in.battle.net
20.44.82.31,licensing.mp.microsoft.com
52.179.129.229,arc.msn.com
20.44.82.31,licensing.mp.microsoft.com
172.217.12.202,people-pa.clients6.google.com
128.116.112.44,users.roblox.com
13.107.3.128,config.edge.skype.com
172.217.10.238,play.google.com
172.217.10.42,remotedesktop-pa.googleapis.com
172.217.10.42,remotedesktop-pa.googleapis.com
148.153.38.118,api.bilibili.com
52.114.75.79,v20.events.data.microsoft.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
164.52.33.179,data.bilibili.com
164.52.33.179,data.bilibili.com
151.101.0.93,www.houzz.com
172.253.63.188,mtalk.google.com
34.253.36.84,www.netflix.com
137.221.106.102,us.battle.net
17.249.121.246,api-glb-nyc.smoot.apple.com
24.105.29.76,telemetry-in.battle.net
20.37.137.5,lfghub-anonymous.xboxlive.com
23.194.131.138,www3.corsair.com
52.114.75.79,v20.events.data.microsoft.com
172.253.63.188,mtalk.google.com
35.153.197.208,nc-unit2-mqtt.nordvpn.com
184.26.95.162,static.nvidiagrid.net
34.253.36.84,www.netflix.com
3.221.245.228,public-ubiservices.ubi.com
13.107.5.91,www.xboxab.com
20.36.219.28,activity.windows.com
162.159.130.234,gateway.discord.gg
172.217.6.238,clients3.google.com
162.159.130.233,discordapp.com
13.225.212.47,api2.branch.io
17.154.66.154,p25-buy.itunes.apple.com
128.116.112.44,users.roblox.com
162.159.130.235,best.discord.media
35.186.224.53,spclient.wg.spotify.com
54.243.82.73,e.crashlytics.com
172.217.9.229,mail.google.com
169.54.204.232,realtime.services.disqus.com
162.254.192.100,cm1-iad1.cm.steampowered.com
23.38.167.80,steamcdn-a.akamaihd.net
23.38.167.80,steamcdn-a.akamaihd.net
23.38.167.80,steamcdn-a.akamaihd.net
23.43.56.194,steamstore-a.akamaihd.net
23.43.56.194,steamstore-a.akamaihd.net
23.43.56.194,steamstore-a.akamaihd.net
172.217.3.110,app-measurement.com
172.217.3.110,app-measurement.com
164.52.33.179,data.bilibili.com
164.52.33.179,data.bilibili.com
164.52.33.179,data.bilibili.com
54.192.151.61,api-cache.blizzcon.com
23.55.235.81,upos-hz-mirrorakam.akamaized.net
23.55.235.81,upos-hz-mirrorakam.akamaized.net
164.52.33.179,data.bilibili.com
13.107.136.9,nyu0-my.sharepoint.com
17.171.98.34,radarsubmissions.apple.com
8.36.80.236,events.gfe.nvidia.com
45.57.91.1,codex.nflxext.com
8.36.80.236,events.gfe.nvidia.com
18.235.79.162,ss-prod-ue1-notif-32.aws.adobess.com
52.179.129.229,arc.msn.com
17.248.135.232,p31-keyvalueservice.icloud.com
23.194.122.92,livetileedge.dsx.mp.microsoft.com
23.194.122.92,livetileedge.dsx.mp.microsoft.com
23.43.56.194,steamstore-a.akamaihd.net
23.38.167.33,steamcdn-a.akamaihd.net
23.43.56.194,steamstore-a.akamaihd.net
23.38.167.33,steamcdn-a.akamaihd.net
23.38.167.33,steamcdn-a.akamaihd.net
54.88.95.39,fls-na.amazon.com
13.226.35.231,www.amazon.com
151.101.129.208,sdk.iad-03.braze.com
13.225.212.92,et.tidal.com
54.175.38.149,api.tidal.com
31.13.66.4,graph.facebook.com
52.1.79.74,datarouter-prod.ak.epicgames.com
54.243.219.198,e.crashlytics.com
148.153.38.118,api.bilibili.com
13.226.39.14,ab-pr-cf.audio.tidal.com
17.171.98.35,iphonesubmissions.apple.com
17.171.98.35,iphonesubmissions.apple.com
172.217.3.110,app-measurement.com
172.217.3.110,app-measurement.com
23.55.235.81,upos-hz-mirrorakam.akamaized.net
52.179.129.229,arc.msn.com
184.27.220.134,storeedgefd.dsx.mp.microsoft.com
184.27.220.134,storeedgefd.dsx.mp.microsoft.com
184.27.220.134,storeedgefd.dsx.mp.microsoft.com
128.116.112.44,users.roblox.com
13.107.42.12,cid-d93c27fb3193ec6f.users.storage.live.com
115.236.96.246,sdk-log-scdn.yfdts.net
164.52.33.179,data.bilibili.com
23.55.235.81,upos-hz-mirrorakam.akamaized.net
23.55.235.81,upos-hz-mirrorakam.akamaized.net
164.52.33.179,data.bilibili.com
23.55.235.81,upos-hz-mirrorakam.akamaized.net
23.55.235.81,upos-hz-mirrorakam.akamaized.net
40.90.22.190,login.live.com
164.52.33.179,data.bilibili.com
23.55.235.81,upos-hz-mirrorakam.akamaized.net
157.55.109.224,storage.live.com
173.222.103.209,www.expedia.com
172.217.7.10,safebrowsing.googleapis.com
40.90.22.190,login.live.com
17.248.187.138,p31-caldav.icloud.com
104.40.91.191,nav.smartscreen.microsoft.com
13.225.62.88,ab-pr-cf.audio.tidal.com
104.40.91.191,smartscreen-prod.microsoft.com
17.248.187.138,p31-caldav.icloud.com
23.246.7.206,ipv4-c378-nyc001-ix.1.oca.nflxvideo.net
23.246.7.178,ipv4-c350-nyc001-ix.1.oca.nflxvideo.net
23.246.7.178,ipv4-c350-nyc001-ix.1.oca.nflxvideo.net
23.246.7.178,ipv4-c350-nyc001-ix.1.oca.nflxvideo.net
23.246.7.178,ipv4-c350-nyc001-ix.1.oca.nflxvideo.net
23.246.7.206,ipv4-c378-nyc001-ix.1.oca.nflxvideo.net
23.246.7.206,ipv4-c378-nyc001-ix.1.oca.nflxvideo.net
148.153.38.118,api.bilibili.com
23.55.235.81,upos-hz-mirrorakam.akamaized.net
23.55.235.81,upos-hz-mirrorakam.akamaized.net
172.217.11.46,google.com
172.217.11.46,calendar.google.com
172.217.11.46,calendar.google.com
13.107.3.128,config.edge.skype.com
52.43.166.90,mc-002.bytefence.com
52.41.38.113,ekg.riotgames.com
172.253.63.109,imap.gmail.com
172.253.63.109,imap.gmail.com
