104.25.57.99,cdn.betterttv.net
13.225.62.35,cdn.adrise.tv
151.101.200.233,dev.appboy.com
18.204.98.216,s.iaudienc.com
31.13.66.19,connect.facebook.net
44.225.163.116,analytics-ingestion.production-public.tubi.io
31.13.66.4,an.facebook.com
31.13.66.4,an.facebook.com
172.217.10.238,play.google.com
23.51.184.143,store.steampowered.com
35.186.224.47,dealer.spotify.com
23.38.167.80,steamcdn-a.akamaihd.net
172.217.12.142,www.google-analytics.com
13.226.27.36,l9bjkkhaycw6f8f4.soundcloud.com
148.153.38.118,api.vc.bilibili.com
34.198.166.64,prd-collector-anon.playbuzz.com
148.153.64.18,api.vc.bilibili.com
148.153.64.18,message.bilibili.com
76.223.7.58,metrics-collector.s-onetag.com
35.186.224.53,spclient.wg.spotify.com
128.116.112.44,users.roblox.com
13.226.37.63,d3cv4a9a9wh0bt.cloudfront.net
63.251.28.140,29ccd.v.fwmrm.net
54.225.147.125,tracking.overwolf.com
13.226.39.27,slack.com
193.182.15.116,audio-sp-dca-13.spotifycdn.net
52.179.129.229,arc.msn.com
172.217.12.170,firebasestorage.googleapis.com
216.165.46.10,newclasses.nyu.edu
172.217.3.100,www.google.com
31.13.66.19,scontent-iad3-1.xx.fbcdn.net
104.22.3.109,builds.parsecgaming.com
104.22.3.109,builds.parsecgaming.com
52.2.255.246,orgsync.com
52.2.255.246,orgsync.com
52.2.255.246,orgsync.com
85.195.119.219,prod-02.escapefromtarkov.com
52.109.6.6,roaming.officeapps.live.com
13.226.37.39,d3cv4a9a9wh0bt.cloudfront.net
44.225.163.116,analytics-ingestion.production-public.tubi.io
13.225.62.35,cdn.adrise.tv
13.225.62.123,cloudfront.tubi.video
172.217.12.142,hangouts.google.com
172.217.12.206,redirector.gvt1.com
173.194.31.249,r3---sn-ab5l6nzd.gvt1.com
162.159.134.233,discordapp.com
128.116.112.44,users.roblox.com
13.225.59.39,l9bjkkhaycw6f8f4.soundcloud.com
162.254.193.47,cm04-ord.cm.steampowered.com
155.133.254.133,cm-02-okc1.cm.steampowered.com
162.254.198.133,cm4-sto1.cm.steampowered.com
162.254.198.130,cm1-sto1.cm.steampowered.com
155.133.254.132,cm-01-okc1.cm.steampowered.com
185.25.182.77,cm2-par1.cm.steampowered.com
72.21.91.70,abs.twimg.com
72.21.91.70,abs.twimg.com
70.37.74.6,smartscreen-prod.microsoft.com
70.37.74.6,smartscreen-prod.microsoft.com
17.57.144.53,courier.push.apple.com
203.205.136.105,pub.idqqimg.com
23.194.122.92,livetileedge.dsx.mp.microsoft.com
13.107.3.128,config.edge.skype.com
13.226.37.216,d3cv4a9a9wh0bt.cloudfront.net
52.179.129.229,arc.msn.com
13.225.59.35,api-v2.soundcloud.com
13.225.62.86,i1.sndcdn.com
13.225.62.126,cf-hls-media.sndcdn.com
13.225.62.126,cf-hls-media.sndcdn.com
104.16.125.175,unpkg.com
151.139.128.10,cdn.intergi.com
104.27.138.150,epic7x.com
13.226.39.67,cdn.pubguru.com
211.234.127.21,logs.81plug.com
13.225.59.39,l9bjkkhaycw6f8f4.soundcloud.com
172.217.11.16,steamcloud-us-east1.storage.googleapis.com
172.217.10.138,play.googleapis.com
20.150.50.4,steamclouduseast2.blob.core.windows.net
31.13.66.4,graph.facebook.com
31.13.66.4,graph.facebook.com
23.192.75.231,api.steampowered.com
17.120.254.11,p28-buy.itunes.apple.com
23.38.167.80,steamcdn-a.akamaihd.net
23.38.167.80,steamcdn-a.akamaihd.net
23.38.167.80,steamcdn-a.akamaihd.net
23.60.68.104,steamstore-a.akamaihd.net
23.60.68.104,steamstore-a.akamaihd.net
23.60.68.104,steamstore-a.akamaihd.net
52.109.6.6,roaming.officeapps.live.com
23.192.69.74,steam-chat.com
23.192.69.74,steam-chat.com
23.51.184.143,store.steampowered.com
23.51.184.143,store.steampowered.com
23.38.167.80,steamcdn-a.akamaihd.net
172.217.12.142,www.google-analytics.com
8.36.80.244,events.gfe.nvidia.com
8.36.80.244,events.gfe.nvidia.com
34.198.166.64,prd-collector-anon.playbuzz.com
128.116.112.44,users.roblox.com
52.109.6.6,roaming.officeapps.live.com
52.109.92.22,ocws.officeapps.live.com
52.109.92.22,ocws.officeapps.live.com
52.109.92.22,ocws.officeapps.live.com
13.91.131.5,directory.services.live.com
52.109.6.6,roaming.officeapps.live.com
23.51.183.138,profile.live.com
31.13.66.4,edge-chat.facebook.com
59.111.0.200,mumu.nie.netease.com
35.186.224.47,dealer.spotify.com
63.251.28.140,29ccd.v.fwmrm.net
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
128.116.112.44,presence.roblox.com
52.109.6.40,odc.officeapps.live.com
52.109.6.40,odc.officeapps.live.com
52.109.6.40,odc.officeapps.live.com
52.109.6.40,odc.officeapps.live.com
52.109.6.40,odc.officeapps.live.com
52.109.6.40,odc.officeapps.live.com
52.109.6.40,odc.officeapps.live.com
52.109.6.40,odc.officeapps.live.com
52.109.6.40,odc.officeapps.live.com
52.109.6.40,odc.officeapps.live.com
52.109.6.40,odc.officeapps.live.com
52.109.6.40,odc.officeapps.live.com
52.109.6.40,odc.officeapps.live.com
52.109.6.40,odc.officeapps.live.com
52.109.6.40,odc.officeapps.live.com
52.109.6.40,odc.officeapps.live.com
52.109.6.40,odc.officeapps.live.com
52.109.6.40,odc.officeapps.live.com
172.217.197.189,23.client-channel.google.com
52.114.74.43,mobile.pipe.aria.microsoft.com
52.114.74.43,mobile.pipe.aria.microsoft.com
148.153.64.18,message.bilibili.com
148.153.38.118,api.vc.bilibili.com
192.147.130.245,hbrt.adobe.com
128.116.112.44,users.roblox.com
13.107.42.12,dm2304.settings.live.net
104.196.12.179,eg.poly.edu
13.225.212.57,slack.com
104.196.12.179,eg.poly.edu
104.196.12.179,eg.poly.edu
104.196.12.179,eg.poly.edu
104.196.12.179,eg.poly.edu
104.196.12.179,eg.poly.edu
130.211.16.53,d.joinhoney.com
5.62.44.178,uib.ff.avast.com
5.62.44.178,uib.ff.avast.com
5.62.44.178,uib.ff.avast.com
99.86.230.103,api-cache.blizzcon.com
209.197.3.15,maxcdn.bootstrapcdn.com
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
209.197.3.15,maxcdn.bootstrapcdn.com
23.51.180.243,cloud.typography.com
99.84.32.107,globalnav.digicomm.home.nyu.edu
216.165.46.10,newclasses.nyu.edu
24.105.29.76,telemetry-in.battle.net
149.96.16.128,nyu.service-now.com
52.2.255.246,orgsync.com
52.2.255.246,orgsync.com
149.96.16.128,nyu.service-now.com
149.96.16.128,nyu.service-now.com
149.96.16.128,nyu.service-now.com
149.96.16.128,nyu.service-now.com
149.96.16.128,nyu.service-now.com
85.195.119.219,prod-02.escapefromtarkov.com
52.2.255.246,orgsync.com
35.186.224.53,spclient.wg.spotify.com
52.158.238.42,arc.msn.com
149.96.16.128,nyu.service-now.com
23.51.185.137,support.apple.com
23.51.185.137,support.apple.com
23.47.147.53,www.apple.com
23.51.185.137,km.support.apple.com
23.51.185.137,km.support.apple.com
23.51.185.137,km.support.apple.com
23.51.185.137,km.support.apple.com
23.51.185.137,km.support.apple.com
23.51.185.137,km.support.apple.com
149.96.16.128,nyu.service-now.com
52.11.105.241,ekg.riotgames.com
203.205.158.52,pub.idqqimg.com
23.47.147.53,www.apple.com
34.234.23.242,securemetrics.apple.com
13.225.59.39,l9bjkkhaycw6f8f4.soundcloud.com
130.211.26.229,s.joinhoney.com
