13.107.42.12,api.onedrive.com
52.27.97.98,live-g-gate-epic.game.playstove.com
172.217.9.229,mail.google.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.179.129.229,arc.msn.com
52.27.97.98,live-g-gate-epic.game.playstove.com
128.116.112.44,users.roblox.com
52.27.97.98,live-g-gate-epic.game.playstove.com
18.205.47.109,prd-collector-anon.playbuzz.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
104.88.15.35,fus01.ps4.update.playstation.net
96.6.24.172,commerce.api.np.km.playstation.net
52.27.97.98,live-g-gate-epic.game.playstove.com
104.88.20.223,gs-sec.ww.np.dl.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
52.27.97.98,live-g-gate-epic.game.playstove.com
128.116.112.44,users.roblox.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.179.129.229,arc.msn.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
128.116.112.44,users.roblox.com
52.179.129.229,arc.msn.com
52.27.97.98,live-g-gate-epic.game.playstove.com
96.6.27.21,aqua.hac.lp1.d4c.nintendo.net
96.6.27.21,tagaya.hac.lp1.eshop.nintendo.net
52.27.97.98,live-g-gate-epic.game.playstove.com
23.203.137.233,webql-redesign.cnbcfm.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.45.111.172,datarouter.ol.epicgames.com
151.101.194.167,static.twitchcdn.net
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.218.229.72,s3-us-west-2.amazonaws.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
31.13.65.1,edge-chat.messenger.com
52.218.236.11,ubp-common-us-prod.s3.amazonaws.com
52.7.130.130,api.robinhood.com
17.249.162.38,gsp-ssl.ls.apple.com
104.88.15.35,fus01.ps4.update.playstation.net
104.88.15.35,fus01.ps4.update.playstation.net
23.78.210.51,auth.api.np.ac.playstation.net
69.192.108.19,fswitch.dl.playstation.net
17.134.127.250,gs-loc.apple.com
52.27.97.98,live-g-gate-epic.game.playstove.com
17.248.187.199,api.apple-cloudkit.com
96.6.24.172,vl.api.np.km.playstation.net
96.6.24.172,commerce.api.np.km.playstation.net
96.6.24.64,asm.np.community.playstation.net
96.6.24.64,asm.np.community.playstation.net
96.6.24.64,asm.np.community.playstation.net
96.6.24.64,asm.np.community.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
96.6.24.12,upchk.api.playstation.com
104.88.20.223,gs-sec.ww.np.dl.playstation.net
35.160.103.119,us-push.np.communication.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
35.162.211.112,35-162-211-112-pushcl.np.communication.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
17.134.127.249,gs-loc.apple.com
104.88.20.223,gs-sec.ww.np.dl.playstation.net
23.78.210.51,auth.api.np.ac.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
104.88.20.223,gs-sec.ww.np.dl.playstation.net
96.6.24.172,vl.api.np.km.playstation.net
96.6.24.64,asm.np.community.playstation.net
96.6.24.12,upchk.api.playstation.com
52.27.97.98,live-g-gate-epic.game.playstove.com
54.85.152.86,dora.robinhood.com
54.85.175.142,www.netflix.com
18.205.47.109,prd-collector-anon.playbuzz.com
172.217.9.229,mail.google.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
128.116.112.44,users.roblox.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.179.129.229,arc.msn.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
35.186.224.53,spclient.wg.spotify.com
52.27.97.98,live-g-gate-epic.game.playstove.com
128.116.112.44,users.roblox.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.114.128.9,v10.events.data.microsoft.com
3.17.209.203,capi.connatix.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.88.3.61,live-g-gate-epic.game.playstove.com
13.107.5.88,evoke-windowsservices-tas.msedge.net
23.10.82.67,event.api.np.km.playstation.net
52.41.153.130,ps4updptl.us.np.community.playstation.net
52.88.3.61,live-g-gate-epic.game.playstove.com
52.88.3.61,live-g-gate-epic.game.playstove.com
13.107.3.128,config.edge.skype.com
69.192.108.94,r4.res.office365.com
52.98.81.2,0e7b0136aa554cc6a5f653ea66e112ec.fp.measure.office.com
13.107.6.171,waconafd.officeapps.live.com
184.28.207.192,ow1.res.office365.com
13.107.6.163,upload.fp.measure.office.com
52.88.3.61,live-g-gate-epic.game.playstove.com
128.116.112.44,users.roblox.com
52.88.3.61,live-g-gate-epic.game.playstove.com
172.217.6.227,connectivitycheck.gstatic.com
172.217.10.10,play.googleapis.com
172.217.10.234,android.googleapis.com
172.217.11.14,android.clients.google.com
172.217.10.10,play.googleapis.com
172.217.10.10,play.googleapis.com
172.217.10.10,play.googleapis.com
74.125.172.42,r4---sn-ab5szn7l.gvt1.com
52.88.3.61,live-g-gate-epic.game.playstove.com
52.88.3.61,live-g-gate-epic.game.playstove.com
52.179.129.229,arc.msn.com
17.248.187.205,gateway.icloud.com
52.88.3.61,live-g-gate-epic.game.playstove.com
52.88.3.61,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
172.217.10.10,play.googleapis.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.22.137.21,prd-collector-anon.playbuzz.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
54.165.157.123,www.netflix.com
172.217.6.227,connectivitycheck.gstatic.com
172.217.6.227,connectivitycheck.gstatic.com
172.217.6.227,connectivitycheck.gstatic.com
128.116.112.44,users.roblox.com
47.254.42.89,launcher-us.yeshen.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.179.129.229,arc.msn.com
128.116.112.44,users.roblox.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
104.88.15.35,fus01.ps4.update.playstation.net
23.78.210.51,auth.api.np.ac.playstation.net
96.6.24.172,vl.api.np.km.playstation.net
96.6.24.64,asm.np.community.playstation.net
52.27.97.98,live-g-gate-epic.game.playstove.com
54.68.143.53,us-push.np.communication.playstation.net
34.218.149.250,34-218-149-250-pushcl.np.communication.playstation.net
23.78.210.51,auth.api.np.ac.playstation.net
96.6.24.172,vl.api.np.km.playstation.net
52.27.97.98,live-g-gate-epic.game.playstove.com
172.217.7.10,wirelessdevicestats.googleapis.com
172.217.7.10,wirelessdevicestats.googleapis.com
13.225.218.21,d3cv4a9a9wh0bt.cloudfront.net
20.36.218.63,settings-win.data.microsoft.com
52.27.97.98,live-g-gate-epic.game.playstove.com
172.217.12.170,remotedesktop-pa.googleapis.com
172.217.12.170,remotedesktop-pa.googleapis.com
13.225.218.138,d3cv4a9a9wh0bt.cloudfront.net
52.27.97.98,live-g-gate-epic.game.playstove.com
128.116.112.44,users.roblox.com
130.211.16.53,d.joinhoney.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
151.101.118.214,static-cdn.jtvnw.net
52.179.129.229,arc.msn.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.179.129.229,arc.msn.com
3.130.31.206,capi.connatix.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
128.116.112.44,users.roblox.com
192.229.173.16,abs.twimg.com
192.229.173.16,abs.twimg.com
54.213.18.92,video-edge-644077.pdx01.abs.hls.ttvnw.net
172.217.11.14,android.clients.google.com
172.217.11.42,firebaseinstallations.googleapis.com
52.27.97.98,live-g-gate-epic.game.playstove.com
172.217.11.14,android.clients.google.com
70.37.74.6,smartscreen-prod.microsoft.com
70.37.74.6,smartscreen-prod.microsoft.com
70.37.74.6,smartscreen-prod.microsoft.com
34.235.102.64,www.netflix.com
52.27.97.98,live-g-gate-epic.game.playstove.com
184.28.207.194,sb.scorecardresearch.com
52.27.97.98,live-g-gate-epic.game.playstove.com
172.217.10.10,play.googleapis.com
172.217.12.170,playatoms-pa.googleapis.com
172.217.11.14,android.clients.google.com
172.217.10.10,play.googleapis.com
52.27.97.98,live-g-gate-epic.game.playstove.com
172.217.10.234,android.googleapis.com
172.217.7.10,www.googleapis.com
52.27.97.98,live-g-gate-epic.game.playstove.com
128.116.112.44,users.roblox.com
172.217.197.92,pay.google.com
52.27.97.98,live-g-gate-epic.game.playstove.com
172.217.11.46,app-measurement.com
52.88.3.61,live-g-gate-epic.game.playstove.com
52.88.3.61,live-g-gate-epic.game.playstove.com
211.234.127.21,logs.81plug.com
52.88.3.61,live-g-gate-epic.game.playstove.com
52.179.129.229,arc.msn.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
128.116.112.44,users.roblox.com
52.27.97.98,live-g-gate-epic.game.playstove.com
172.253.63.109,imap.gmail.com
172.253.63.109,imap.gmail.com
172.253.63.109,imap.gmail.com
172.253.63.188,mtalk.google.com
172.253.63.188,mtalk.google.com
172.253.63.109,imap.gmail.com
172.253.63.109,imap.gmail.com
172.253.63.109,imap.gmail.com
52.27.97.98,live-g-gate-epic.game.playstove.com
172.253.63.109,imap.gmail.com
17.57.144.6,courier.push.apple.com
13.107.3.128,config.edge.skype.com
52.27.97.98,live-g-gate-epic.game.playstove.com
172.217.10.234,remotedesktop-pa.googleapis.com
172.217.10.234,remotedesktop-pa.googleapis.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
185.230.60.163,www.wix.com
185.230.60.163,www.wix.com
52.27.97.98,live-g-gate-epic.game.playstove.com
172.217.10.10,play.googleapis.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.179.129.229,arc.msn.com
52.27.97.98,live-g-gate-epic.game.playstove.com
150.109.206.167,dlied1.qq.com
150.109.206.167,dlied1.qq.com
150.109.206.167,dlied1.qq.com
52.27.97.98,live-g-gate-epic.game.playstove.com
150.109.206.167,dlied1.qq.com
150.109.206.167,dlied1.qq.com
13.225.218.138,d3cv4a9a9wh0bt.cloudfront.net
150.109.206.167,dlied1.qq.com
128.116.112.44,users.roblox.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.206.23.236,www.netflix.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.179.129.229,arc.msn.com
52.27.97.98,live-g-gate-epic.game.playstove.com
3.17.209.203,capi.connatix.com
172.217.9.238,play.google.com
128.116.112.44,users.roblox.com
52.27.97.98,live-g-gate-epic.game.playstove.com
34.197.237.78,datarouter.ol.epicgames.com
52.27.97.98,live-g-gate-epic.game.playstove.com
130.211.26.229,s.joinhoney.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
104.22.3.109,builds.parsecgaming.com
104.22.3.109,builds.parsecgaming.com
52.88.3.61,live-g-gate-epic.game.playstove.com
34.192.156.83,push.prod.netflix.com
52.88.3.61,live-g-gate-epic.game.playstove.com
52.88.3.61,live-g-gate-epic.game.playstove.com
52.88.3.61,live-g-gate-epic.game.playstove.com
128.116.112.44,users.roblox.com
52.88.3.61,live-g-gate-epic.game.playstove.com
157.55.212.205,smartscreen-prod.microsoft.com
52.88.3.61,live-g-gate-epic.game.playstove.com
52.88.3.61,live-g-gate-epic.game.playstove.com
52.88.3.61,live-g-gate-epic.game.playstove.com
172.217.10.234,safebrowsing.googleapis.com
52.179.129.229,arc.msn.com
52.88.3.61,live-g-gate-epic.game.playstove.com
52.88.3.61,live-g-gate-epic.game.playstove.com
52.88.3.61,live-g-gate-epic.game.playstove.com
52.179.129.229,arc.msn.com
52.88.3.61,live-g-gate-epic.game.playstove.com
104.17.188.107,zwyr157wwiu6eior.com
52.88.3.61,live-g-gate-epic.game.playstove.com
52.88.3.61,live-g-gate-epic.game.playstove.com
52.88.3.61,live-g-gate-epic.game.playstove.com
128.116.112.44,users.roblox.com
52.88.3.61,live-g-gate-epic.game.playstove.com
52.88.3.61,live-g-gate-epic.game.playstove.com
20.36.218.63,settings-win.data.microsoft.com
52.88.3.61,live-g-gate-epic.game.playstove.com
52.88.3.61,live-g-gate-epic.game.playstove.com
52.88.3.61,live-g-gate-epic.game.playstove.com
128.116.112.44,users.roblox.com
52.88.3.61,live-g-gate-epic.game.playstove.com
18.189.85.52,capi.connatix.com
52.4.156.177,g44.p4.webrootcloudav.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.179.129.229,arc.msn.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
172.217.12.174,news.google.com
52.27.97.98,live-g-gate-epic.game.playstove.com
172.217.12.197,mail.google.com
52.27.97.98,live-g-gate-epic.game.playstove.com
128.116.112.44,users.roblox.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
34.232.229.224,datarouter.ol.epicgames.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
52.27.97.98,live-g-gate-epic.game.playstove.com
172.217.10.238,www.youtube.com
31.13.71.36,www.facebook.com
13.225.222.223,www.flickr.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
52.179.129.229,arc.msn.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
128.116.112.44,users.roblox.com
52.27.97.98,live-g-gate-epic.game.playstove.com
13.88.181.35,spoc.norton.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
172.217.10.234,safebrowsing.googleapis.com
52.27.97.98,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
128.116.112.44,users.roblox.com
52.88.3.61,live-g-gate-epic.game.playstove.com
52.55.206.59,www.netflix.com
52.88.3.61,live-g-gate-epic.game.playstove.com
172.217.12.197,mail.google.com
172.253.122.108,imap.gmail.com
172.253.122.188,mtalk.google.com
172.253.122.188,mtalk.google.com
172.253.122.108,imap.gmail.com
52.88.3.61,live-g-gate-epic.game.playstove.com
3.19.216.74,capi.connatix.com
17.57.144.6,courier.push.apple.com
52.88.3.61,live-g-gate-epic.game.playstove.com
52.88.3.61,live-g-gate-epic.game.playstove.com
172.217.11.35,clientservices.googleapis.com
172.217.12.197,mail.google.com
52.88.3.61,live-g-gate-epic.game.playstove.com
52.179.129.229,arc.msn.com
52.88.3.61,live-g-gate-epic.game.playstove.com
172.253.122.109,imap.gmail.com
13.107.5.88,evoke-windowsservices-tas.msedge.net
52.88.3.61,live-g-gate-epic.game.playstove.com
128.116.112.44,users.roblox.com
52.88.3.61,live-g-gate-epic.game.playstove.com
52.88.3.61,live-g-gate-epic.game.playstove.com
35.186.224.53,api.spotify.com
162.159.135.233,discordapp.com
52.88.3.61,live-g-gate-epic.game.playstove.com
52.88.3.61,live-g-gate-epic.game.playstove.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
52.88.3.61,live-g-gate-epic.game.playstove.com
52.88.3.61,live-g-gate-epic.game.playstove.com
52.22.137.21,prd-collector-anon.playbuzz.com
52.88.3.61,live-g-gate-epic.game.playstove.com
52.88.3.61,live-g-gate-epic.game.playstove.com
23.78.210.178,configuration.ls.apple.com
52.88.3.61,live-g-gate-epic.game.playstove.com
52.177.165.30,client.wns.windows.com
52.88.3.61,live-g-gate-epic.game.playstove.com
52.179.129.229,arc.msn.com
52.88.3.61,live-g-gate-epic.game.playstove.com
128.116.112.44,users.roblox.com
52.88.3.61,live-g-gate-epic.game.playstove.com
52.88.3.61,live-g-gate-epic.game.playstove.com
52.88.3.61,live-g-gate-epic.game.playstove.com
52.88.3.61,live-g-gate-epic.game.playstove.com
52.27.97.98,live-g-gate-epic.game.playstove.com
128.116.112.44,users.roblox.com
52.88.3.61,live-g-gate-epic.game.playstove.com
54.165.246.104,www.netflix.com
172.217.197.92,pay.google.com
52.88.3.61,live-g-gate-epic.game.playstove.com
52.88.3.61,live-g-gate-epic.game.playstove.com
52.88.3.61,live-g-gate-epic.game.playstove.com
52.88.3.61,live-g-gate-epic.game.playstove.com
3.17.209.203,capi.connatix.com
13.225.218.138,d3cv4a9a9wh0bt.cloudfront.net
52.88.3.61,live-g-gate-epic.game.playstove.com
172.217.10.10,remotedesktop-pa.googleapis.com
172.217.10.10,remotedesktop-pa.googleapis.com
13.225.218.115,d3cv4a9a9wh0bt.cloudfront.net
52.88.3.61,live-g-gate-epic.game.playstove.com
52.179.129.229,arc.msn.com
52.88.3.61,live-g-gate-epic.game.playstove.com
128.116.112.44,users.roblox.com
52.88.3.61,live-g-gate-epic.game.playstove.com
52.88.3.61,live-g-gate-epic.game.playstove.com
172.217.10.42,securetoken.googleapis.com
52.88.3.61,live-g-gate-epic.game.playstove.com
184.28.207.194,sb.scorecardresearch.com
52.22.137.21,prd-collector-anon.playbuzz.com
52.88.3.61,live-g-gate-epic.game.playstove.com
52.88.3.61,live-g-gate-epic.game.playstove.com
52.88.3.61,live-g-gate-epic.game.playstove.com
52.88.3.61,live-g-gate-epic.game.playstove.com
52.88.3.61,live-g-gate-epic.game.playstove.com
173.222.102.152,api1.origin.com
173.222.102.152,secure.download.dm.origin.com
173.222.102.152,secure.download.dm.origin.com
173.222.102.152,secure.download.dm.origin.com
