162.159.134.232,media.discordapp.net
137.74.93.128,data33.adlooxtracking.com
20.36.218.63,settings-win.data.microsoft.com
151.80.34.186,data14.adlooxtracking.com
52.179.129.229,arc.msn.com
137.74.93.128,data33.adlooxtracking.com
36.51.254.228,m.weibo.cn
36.51.254.228,m.weibo.cn
34.196.64.193,trk.diamondminebubble.com
68.67.160.74,ib.adnxs.com
137.74.93.128,data33.adlooxtracking.com
96.6.24.40,www.weibo.com
35.186.224.47,dealer.spotify.com
17.253.15.202,mesu.apple.com
17.253.15.202,mesu.apple.com
37.59.21.193,j.adlooxtracking.com
185.167.164.42,c1.adform.net
172.217.9.229,mail.google.com
104.84.148.238,sb.scorecardresearch.com
180.149.135.236,rm.api.weibo.com
52.34.152.98,ekg.riotgames.com
180.149.135.236,rm.api.weibo.com
52.35.183.78,ekg.riotgames.com
104.17.187.107,zwyr157wwiu6eior.com
151.80.34.186,data14.adlooxtracking.com
128.116.112.44,users.roblox.com
13.68.225.90,nav.smartscreen.microsoft.com
37.59.21.193,j.adlooxtracking.com
20.36.218.63,settings-win.data.microsoft.com
69.192.108.239,api1.origin.com
52.114.128.9,v10.events.data.microsoft.com
148.153.38.118,www.bilibili.com
148.153.38.118,www.bilibili.com
47.246.24.230,s1.hdslb.com
47.246.24.230,i0.hdslb.com
23.78.197.20,static.mindtap.cengage.com
52.70.143.213,ng.cengage.com
52.70.143.213,ng.cengage.com
51.255.75.241,data09.adlooxtracking.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
40.69.223.39,array612.prod.do.dsp.mp.microsoft.com
13.225.230.8,e0d67c509fb203858ebcb2fe3f88c2aa.baas.nintendo.com
13.225.230.8,e0d67c509fb203858ebcb2fe3f88c2aa.baas.nintendo.com
13.225.230.8,e0d67c509fb203858ebcb2fe3f88c2aa.baas.nintendo.com
18.205.47.109,prd-collector-anon.playbuzz.com
104.16.122.97,www.webassign.net
104.16.122.97,www.webassign.net
13.225.230.93,ipm-release.cengage.com
31.13.65.1,www.messenger.com
128.116.112.44,users.roblox.com
52.35.252.98,ekg.riotgames.com
52.179.129.229,arc.msn.com
151.139.128.10,kit-free.fontawesome.com
104.16.87.20,cdn.jsdelivr.net
108.167.183.84,aquascapinglove.com
17.248.135.13,api.apple-cloudkit.com
137.74.93.122,data19.adlooxtracking.com
52.25.170.114,ekg.riotgames.com
23.78.208.56,radio-activity.itunes.apple.com
13.107.18.11,substrate.office.com
52.114.32.7,mobile.pipe.aria.microsoft.com
104.255.107.132,nba2k20-ws.2ksports.com
51.255.75.241,data09.adlooxtracking.com
148.153.64.18,api.vc.bilibili.com
172.253.122.109,imap.gmail.com
68.67.160.74,ib.adnxs.com
13.68.225.90,nav.smartscreen.microsoft.com
37.59.21.193,j.adlooxtracking.com
13.68.225.90,nav.smartscreen.microsoft.com
185.167.164.42,c1.adform.net
172.253.63.109,imap.gmail.com
13.107.3.128,config.edge.skype.com
40.116.120.16,officehomeblobs.blob.core.windows.net
172.253.63.109,imap.gmail.com
52.45.123.19,datarouter.ol.epicgames.com
172.217.10.234,firebasestorage.googleapis.com
17.248.135.209,gateway-carry.icloud.com
24.105.29.76,telemetry-in.battle.net
96.6.24.40,www.weibo.com
35.186.224.47,dealer.spotify.com
13.33.71.13,api-cache.blizzcon.com
40.91.72.120,presence-heartbeat.xboxlive.com
20.36.219.28,activity.windows.com
52.179.129.229,arc.msn.com
13.225.218.115,d3cv4a9a9wh0bt.cloudfront.net
13.225.218.115,d3cv4a9a9wh0bt.cloudfront.net
180.149.153.11,rm.api.weibo.com
180.149.153.11,rm.api.weibo.com
128.116.112.44,users.roblox.com
137.74.93.122,data19.adlooxtracking.com
172.217.9.229,mail.google.com
37.59.21.193,j.adlooxtracking.com
17.57.144.9,courier.push.apple.com
13.78.184.186,array804.prod.do.dsp.mp.microsoft.com
40.69.221.239,array608.prod.do.dsp.mp.microsoft.com
13.78.184.186,array804.prod.do.dsp.mp.microsoft.com
148.153.38.118,message.bilibili.com
148.153.38.118,api.vc.bilibili.com
162.159.135.233,discordapp.com
47.246.24.230,s1.hdslb.com
23.78.197.20,static.mindtap.cengage.com
3.93.29.170,ng.cengage.com
3.93.29.170,ng.cengage.com
52.22.137.21,prd-collector-anon.playbuzz.com
59.111.239.61,httpdns.n.netease.com
52.89.183.187,ekg.riotgames.com
52.179.129.229,arc.msn.com
35.186.224.53,spclient.wg.spotify.com
151.101.0.133,raw.githubusercontent.com
195.201.59.237,easylist-downloads.adblockplus.org
184.50.218.222,cl5.apple.com
184.50.218.222,cl5.apple.com
74.125.172.41,r3---sn-ab5szn7l.googlevideo.com
74.125.172.41,r3---sn-ab5szn7l.googlevideo.com
209.85.225.234,r5---sn-t0a7ln7d.googlevideo.com
104.214.150.122,v10.events.data.microsoft.com
104.16.122.97,www.webassign.net
104.16.122.97,www.webassign.net
13.225.230.32,ipm-release.cengage.com
128.116.112.44,users.roblox.com
172.217.197.92,pay.google.com
54.85.172.124,www.netflix.com
31.13.65.7,scontent.xx.fbcdn.net
34.230.114.151,rtm.tnt-ea.com
162.125.19.130,telemetry.dropbox.com
151.139.128.10,kit-free.fontawesome.com
104.16.87.20,cdn.jsdelivr.net
180.149.153.11,rm.api.weibo.com
149.202.93.238,data03.adlooxtracking.com
34.226.109.227,capture.condenastdigital.com
31.13.65.36,www.facebook.com
13.225.218.21,d3cv4a9a9wh0bt.cloudfront.net
172.217.12.202,remotedesktop-pa.googleapis.com
172.217.12.202,remotedesktop-pa.googleapis.com
35.161.179.71,ekg.riotgames.com
13.225.218.225,d3cv4a9a9wh0bt.cloudfront.net
172.217.11.35,clientservices.googleapis.com
137.74.93.115,data28.adlooxtracking.com
34.197.237.78,datarouter.ol.epicgames.com
13.107.3.128,config.edge.skype.com
54.239.21.139,feed.browserapps.amazon.com
52.73.231.15,fls-na.amazon.com
149.202.93.238,data03.adlooxtracking.com
37.59.21.193,j.adlooxtracking.com
185.167.164.42,c1.adform.net
34.196.198.96,pm.w55c.net
52.179.129.229,arc.msn.com
38.106.231.204,osfsr.lenovomm.com
40.90.22.190,login.live.com
23.221.202.56,c.go-mpulse.net
96.6.24.40,www.weibo.com
165.254.0.201,resources.tidal.com
31.13.65.36,www.facebook.com
165.254.0.201,resources.tidal.com
35.186.224.47,dealer.spotify.com
204.79.197.200,www.bing.com
162.159.135.233,discordapp.com
165.254.0.201,resources.tidal.com
