17.142.169.200,gsp64-ssl.ls.apple.com
13.226.39.109,normandy.cdn.mozilla.net
34.98.75.36,classify-client.services.mozilla.com
206.189.254.17,sync.serverbid.com
157.185.163.114,p2.music.126.net
17.248.187.203,p42-keyvalueservice.icloud.com
17.248.135.180,p42-keyvalueservice.icloud.com
13.107.136.9,nyu0-my.sharepoint.com
172.217.10.3,beacons.gvt2.com
13.225.62.59,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
52.7.136.152,logx.optimizely.com
34.95.69.49,i.clean.gg
204.154.111.118,tps10264.doubleverify.com
204.154.111.118,tps10243.doubleverify.com
204.154.111.143,tps10235.doubleverify.com
13.225.64.62,dw7nrwnn2bkh1.cloudfront.net
23.10.93.204,cdn.cnn.com
23.10.93.204,i.cdn.cnn.com
23.10.93.204,dynaimage.cdn.cnn.com
23.10.93.204,cdn.cnn.com
52.216.110.75,lt-external-widgets.s3.amazonaws.com
52.216.110.75,lt-external-widgets.s3.amazonaws.com
52.216.110.75,lt-external-widgets.s3.amazonaws.com
216.165.47.12,www.nyu.edu
64.202.112.127,log.outbrainimg.com
94.237.120.136,cnn.sdk.beemray.com
31.13.66.19,scontent.xx.fbcdn.net
152.195.12.117,media.licdn.com
152.195.12.117,media.licdn.com
64.202.112.127,mcdp-nydc1.outbrain.com
23.59.156.57,images.outbrainimg.com
23.59.156.57,images.outbrainimg.com
64.202.112.127,amplify-imp.outbrain.com
64.202.112.127,amplify-imp.outbrain.com
64.202.112.127,b1-nydc1.zemanta.com
64.202.112.127,b1t-nydc1.zemanta.com
68.67.179.164,nym1-ib.adnxs.com
68.67.179.164,nym1-ib.adnxs.com
64.202.112.127,amplify-imp.outbrain.com
64.202.112.127,b1-nydc1.zemanta.com
64.202.112.127,b1t-nydc1.zemanta.com
108.174.11.5,rtb-us-east.linkedin.com
68.67.160.26,ib.adnxs.com
192.35.249.127,sync.search.spotxchange.com
208.185.50.90,token.rubiconproject.com
54.227.219.230,pixel.adsafeprotected.com
68.67.179.166,secure.adnxs.com
151.101.249.108,acdn.adnxs.com
156.154.200.36,aa.agkn.com
52.46.157.171,aax-us-east.amazon-adsystem.com
54.227.219.230,pixel.adsafeprotected.com
209.204.229.144,a2972.casalemedia.com
69.16.175.10,cdn.bttrack.com
69.16.175.10,cdn.bttrack.com
192.132.33.46,bttrack.com
18.235.232.13,magnetic.t.domdex.com
23.208.62.226,tag.researchnow.com
185.167.164.37,c1.adform.net
96.6.24.95,dsum.casalemedia.com
173.231.178.83,cm.adgrx.com
96.6.27.46,z.moatads.com
72.21.91.113,tags.crwdcntrl.net
52.71.65.65,jpmcbankna.demdex.net
151.101.1.16,images-na.ssl-images-amazon.com
72.21.91.113,tags.crwdcntrl.net
208.185.50.90,pixel.rubiconproject.com
52.2.103.66,eb2.3lift.com
96.6.25.155,sync.teads.tv
34.237.181.161,match.sharethrough.com
35.211.114.141,x.bidswitch.net
34.234.137.236,jadserve.postrelease.com
13.225.62.9,segments.company-target.com
52.46.157.171,aax-us-east.amazon-adsystem.com
34.199.97.231,bcp.crwdcntrl.net
69.166.1.15,apex.go.sonobi.com
68.67.160.114,nym1-ib.adnxs.com
68.67.160.114,nym1-ib.adnxs.com
34.207.47.120,magnetic.t.domdex.com
185.167.164.39,c1.adform.net
23.246.7.205,ipv4-c377-nyc001-ix.1.oca.nflxvideo.net
13.225.62.51,js.prd.fusionapi.autodesk.com
68.67.179.164,ib.adnxs.com
151.101.1.253,t.wayfair.com
96.6.24.95,as-sec.casalemedia.com
96.6.24.95,as-sec.casalemedia.com
96.6.24.95,as-sec.casalemedia.com
96.6.26.162,ads.pubmatic.com
54.153.61.78,ssp.behave.com
54.153.61.78,ssp.behave.com
54.153.61.78,ssp.behave.com
54.153.61.78,ssp.behave.com
104.36.115.111,hbopenbid.pubmatic.com
13.107.42.12,d.docs.live.net
52.114.77.33,mobile.pipe.aria.microsoft.com
13.225.212.12,streamapi.majorleaguegaming.com
104.17.148.7,wikibuy.com
162.159.135.233,discordapp.com
104.17.148.7,track.wikibuy.com
13.225.212.12,streamapi.majorleaguegaming.com
13.225.212.12,streamapi.majorleaguegaming.com
52.179.129.229,arc.msn.com
13.225.212.12,streamapi.majorleaguegaming.com
173.194.204.189,1.client-channel.google.com
20.36.218.208,presence-heartbeat.xboxlive.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
31.13.66.35,www.facebook.com
35.186.224.47,dealer.spotify.com
13.225.212.24,e0d67c509fb203858ebcb2fe3f88c2aa.baas.nintendo.com
13.225.212.24,e0d67c509fb203858ebcb2fe3f88c2aa.baas.nintendo.com
13.225.212.24,e0d67c509fb203858ebcb2fe3f88c2aa.baas.nintendo.com
13.107.136.9,nyu0-my.sharepoint.com
31.13.66.19,scontent-iad3-1.xx.fbcdn.net
3.212.189.40,aauth-lp1.ndas.srv.nintendo.net
23.78.182.45,www.autodesk.com
45.57.90.1,assets.nflxext.com
45.57.91.1,codex.nflxext.com
23.78.182.45,www.autodesk.com
104.40.91.191,smartscreen-prod.microsoft.com
104.40.91.191,smartscreen-prod.microsoft.com
34.239.70.45,developer.api.autodesk.com
104.16.121.97,www.webassign.net
104.16.121.97,www.webassign.net
17.167.192.94,gsp85-ssl.ls.apple.com
13.225.62.108,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
134.209.131.220,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
68.67.160.114,nym1-ib.adnxs.com
68.67.160.114,nym1-ib.adnxs.com
185.167.164.39,c1.adform.net
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
68.67.179.164,ib.adnxs.com
52.114.6.45,prod.registrar.skype.com
34.215.82.170,video-edge-27bce6.pdx01.abs.hls.ttvnw.net
17.57.144.8,courier.push.apple.com
192.229.173.16,abs.twimg.com
192.229.173.16,abs.twimg.com
104.244.42.65,twitter.com
151.101.0.176,js.stripe.com
23.40.21.136,www.robotevents.com
192.229.173.16,pbs.twimg.com
192.229.173.16,pbs.twimg.com
23.60.68.106,ds-aksb-a.akamaihd.net
52.218.228.0,s3-us-west-2.amazonaws.com
34.234.26.231,category.blocksite.co
13.107.42.12,d.docs.live.net
35.165.223.82,m.stripe.com
204.79.197.200,cn.bing.com
204.79.197.200,www.bing.com
13.107.18.11,substrate.office.com
13.107.18.11,substrate.office.com
151.101.130.167,static.twitchcdn.net
40.90.22.189,login.live.com
40.126.7.97,login.microsoftonline.com
104.244.43.131,abs-0.twimg.com
192.229.210.163,video.twimg.com
192.229.210.163,video.twimg.com
13.107.246.254,moiafdaws.clo.footprintdns.com
13.107.42.254,l-ring.msedge.net
72.21.81.200,fp-vs.azureedge.net
204.79.197.222,fp.msedge.net
162.159.136.234,gateway.discord.gg
