172.217.12.206,drive.google.com
13.225.218.225,d3cv4a9a9wh0bt.cloudfront.net
162.159.134.233,discordapp.com
34.193.195.164,play.hulu.com
52.179.129.229,arc.msn.com
40.90.22.187,login.live.com
52.36.169.154,api-new.gocashback.com
18.189.85.52,capi.connatix.com
172.217.10.74,www.googleapis.com
172.217.3.106,remotedesktop-pa.googleapis.com
172.217.3.106,remotedesktop-pa.googleapis.com
162.159.130.233,discordapp.com
162.159.129.233,discordapp.com
151.101.249.87,auth.hulu.com
23.10.89.244,www.hulu.com
172.217.11.14,docs.google.com
151.101.66.167,static.twitchcdn.net
151.101.202.167,www.twitch.tv
151.101.202.167,polyfill.twitchsvc.net
151.101.202.167,www.twitch.tv
52.22.137.21,prd-collector-anon.playbuzz.com
130.211.16.53,d.joinhoney.com
130.211.26.229,s.joinhoney.com
184.28.207.194,sb.scorecardresearch.com
20.186.56.152,adobeid-na1.services.adobe.com
52.179.129.229,arc.msn.com
54.190.204.120,video-edge-53c307.pdx01.abs.hls.ttvnw.net
104.88.15.35,fus01.ps4.update.playstation.net
23.78.210.51,auth.api.np.ac.playstation.net
96.6.24.172,vl.api.np.km.playstation.net
96.6.24.64,asm.np.community.playstation.net
35.160.103.119,us-push.np.communication.playstation.net
35.160.173.229,35-160-173-229-pushcl.np.communication.playstation.net
23.78.210.51,auth.api.np.ac.playstation.net
96.6.24.172,vl.api.np.km.playstation.net
31.13.65.7,static.xx.fbcdn.net
31.13.65.36,www.facebook.com
13.107.3.128,config.edge.skype.com
13.107.18.11,substrate.office.com
52.114.128.9,mobile.pipe.aria.microsoft.com
172.217.11.46,clients4.google.com
31.13.65.1,www.messenger.com
52.179.129.229,arc.msn.com
17.57.12.11,gsp64-ssl.ls.apple.com
52.36.169.154,api-new.gocashback.com
17.167.192.94,gsp85-ssl.ls.apple.com
173.222.102.152,api1.origin.com
104.110.149.164,steam-chat.com
172.217.12.174,news.google.com
104.110.149.164,steam-chat.com
104.110.149.164,steam-chat.com
20.36.218.63,settings-win.data.microsoft.com
54.69.225.21,video-edge-53c307.pdx01.abs.hls.ttvnw.net
13.88.28.53,v10.events.data.microsoft.com
13.88.28.53,v10.events.data.microsoft.com
40.91.72.120,presence-heartbeat.xboxlive.com
128.238.155.11,128.238.155.11
128.238.155.11,128.238.155.11
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
151.101.66.167,static.twitchcdn.net
151.101.250.167,www.twitch.tv
151.101.250.167,www.twitch.tv
151.101.250.167,polyfill.twitchsvc.net
94.130.73.112,easylist-downloads.adblockplus.org
17.57.12.11,gsp64-ssl.ls.apple.com
17.248.187.78,api.apple-cloudkit.com
3.130.31.206,capi.connatix.com
52.4.42.220,prd-collector-anon.playbuzz.com
52.179.129.229,arc.msn.com
151.101.250.167,gql.twitch.tv
31.13.65.36,www.facebook.com
31.13.65.7,static.xx.fbcdn.net
52.218.225.80,s3-us-west-2.amazonaws.com
34.236.55.111,polka.typekit.com
34.236.55.111,polka.typekit.com
34.236.55.111,polka.typekit.com
34.236.55.111,polka.typekit.com
52.218.245.210,ubp-common-us-prod.s3.amazonaws.com
34.236.55.111,polka.typekit.com
17.167.192.128,gs-loc.apple.com
17.167.194.224,gsp64-ssl.ls.apple.com
17.167.192.128,gs-loc.apple.com
23.43.56.40,steamuserimages-a.akamaihd.net
23.43.56.40,steamuserimages-a.akamaihd.net
23.43.56.40,steamuserimages-a.akamaihd.net
192.16.31.139,www.dota2.com
52.4.156.177,g44.p4.webrootcloudav.com
52.36.169.154,api-new.gocashback.com
52.114.75.78,v10.events.data.microsoft.com
52.179.129.229,arc.msn.com
173.222.102.152,api1.origin.com
52.71.236.26,msmetrics.ws.sonos.com
52.4.42.220,prd-collector-anon.playbuzz.com
151.101.66.167,static.twitchcdn.net
151.101.202.167,www.twitch.tv
151.101.202.167,www.twitch.tv
151.101.202.167,polyfill.twitchsvc.net
18.213.249.107,play.hulu.com
31.13.65.1,www.messenger.com
3.12.45.13,capi.connatix.com
31.13.65.7,static.xx.fbcdn.net
23.43.56.40,steamuserimages-a.akamaihd.net
23.43.56.40,steamuserimages-a.akamaihd.net
23.43.56.40,steamuserimages-a.akamaihd.net
13.107.5.88,evoke-windowsservices-tas.msedge.net
172.217.10.42,wirelessdevicestats.googleapis.com
172.217.10.42,wirelessdevicestats.googleapis.com
172.217.10.238,play.google.com
17.248.135.241,gateway-carry.icloud.com
52.179.129.229,arc.msn.com
104.16.3.92,na.ledge.leagueoflegends.com
13.225.218.225,d3cv4a9a9wh0bt.cloudfront.net
17.252.194.199,gs-loc.apple.com
172.217.10.234,remotedesktop-pa.googleapis.com
172.217.10.234,remotedesktop-pa.googleapis.com
17.252.194.199,gs-loc.apple.com
13.225.218.115,d3cv4a9a9wh0bt.cloudfront.net
13.225.218.138,d3cv4a9a9wh0bt.cloudfront.net
184.87.56.181,service.weather.microsoft.com
184.87.56.181,tile-service.weather.microsoft.com
184.87.56.181,tile-service.weather.microsoft.com
172.217.10.138,fcm.googleapis.com
13.225.230.28,api-cache.blizzcon.com
52.36.169.154,api-new.gocashback.com
