13.225.212.54,pq-static-content.proquest.com
172.253.63.109,imap.gmail.com
151.101.66.49,statsf-tm.everesttech.net
151.101.66.49,statsf-tm.everesttech.net
151.101.66.49,statsf-tm.everesttech.net
172.232.6.201,heads4-ak-spotify-com.akamaized.net
172.217.11.10,wirelessdevicestats.googleapis.com
172.217.11.10,wirelessdevicestats.googleapis.com
172.253.63.109,imap.gmail.com
172.217.11.36,www.google.com
172.253.63.109,imap.gmail.com
13.107.5.88,evoke-windowsservices-tas.msedge.net
13.107.42.12,api.onedrive.com
52.179.129.229,arc.msn.com
172.217.9.234,play.googleapis.com
172.253.63.109,imap.gmail.com
172.253.63.109,imap.gmail.com
172.253.63.109,imap.gmail.com
172.253.63.109,imap.gmail.com
172.217.12.170,play.googleapis.com
172.217.11.46,clients4.google.com
103.126.92.133,interface.music.163.com
172.253.63.109,imap.gmail.com
34.227.0.168,prd-collector-anon.playbuzz.com
172.253.63.109,imap.gmail.com
172.217.12.206,i1.ytimg.com
172.253.63.109,imap.gmail.com
172.217.3.99,www.gstatic.com
172.217.12.193,lh3.googleusercontent.com
128.116.112.44,users.roblox.com
172.253.63.109,imap.gmail.com
35.186.224.53,spclient.wg.spotify.com
165.254.0.80,am-a.akamaihd.net
165.254.0.80,am-a.akamaihd.net
74.125.172.59,r5---sn-ab5szn7s.googlevideo.com
74.125.172.59,r5---sn-ab5szn7s.googlevideo.com
74.125.172.59,r5---sn-ab5szn7s.googlevideo.com
13.225.211.36,ddragon.leagueoflegends.com
13.225.211.36,ddragon.leagueoflegends.com
13.225.211.36,ddragon.leagueoflegends.com
13.225.211.36,ddragon.leagueoflegends.com
13.225.211.36,ddragon.leagueoflegends.com
182.92.244.228,dsp.lenovo.com.cn
38.106.231.204,osfsr.lenovomm.com
52.45.40.11,datarouter.ol.epicgames.com
52.179.129.229,arc.msn.com
159.153.190.222,proxy.novafusion.ea.com
34.193.169.238,river.data.ea.com
17.167.192.94,gsp85-ssl.ls.apple.com
143.204.142.13,d3cv4a9a9wh0bt.cloudfront.net
159.153.190.222,proxy.novafusion.ea.com
104.196.12.179,eg.poly.edu
172.217.163.237,accounts.google.com
162.159.133.233,discordapp.com
173.194.24.218,r4---sn-q4fl6ne6.googlevideo.com
52.179.129.229,arc.msn.com
34.193.169.238,river.data.ea.com
128.116.112.44,users.roblox.com
52.205.241.63,datarouter.ol.epicgames.com
31.13.71.7,scontent.xx.fbcdn.net
31.13.71.36,www.facebook.com
24.105.29.76,telemetry-in.battle.net
128.116.112.44,users.roblox.com
52.114.128.10,v10.events.data.microsoft.com
17.167.192.94,gsp85-ssl.ls.apple.com
17.57.12.11,gsp64-ssl.ls.apple.com
17.248.135.239,gateway.icloud.com
172.217.12.170,remotedesktop-pa.googleapis.com
172.217.12.170,remotedesktop-pa.googleapis.com
52.179.129.229,arc.msn.com
17.57.144.52,courier.push.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.253.15.204,mesu.apple.com
172.217.24.202,safebrowsing.googleapis.com
99.84.47.106,d3cv4a9a9wh0bt.cloudfront.net
17.57.12.11,gsp64-ssl.ls.apple.com
52.22.137.21,prd-collector-anon.playbuzz.com
172.217.197.189,0.client-channel.google.com
35.186.224.53,spclient.wg.spotify.com
17.57.144.165,courier.push.apple.com
23.60.68.89,steamcdn-a.akamaihd.net
23.60.68.89,steamcdn-a.akamaihd.net
23.60.68.89,steamcdn-a.akamaihd.net
13.224.253.69,api-cache.blizzcon.com
23.78.210.178,configuration.ls.apple.com
172.217.26.142,drive.google.com
151.101.118.2,updates.bravesoftware.com
52.179.129.229,arc.msn.com
17.167.192.94,gsp85-ssl.ls.apple.com
24.105.29.76,telemetry-in.battle.net
128.116.112.44,users.roblox.com
35.186.224.53,spclient.wg.spotify.com
17.57.144.52,courier.push.apple.com
38.106.231.204,osfsr.lenovomm.com
38.106.231.204,osfsr.lenovomm.com
17.57.12.11,gsp64-ssl.ls.apple.com
59.111.239.61,httpdns.n.netease.com
103.126.92.133,interface.music.163.com
31.13.71.36,www.facebook.com
52.114.74.45,v10.events.data.microsoft.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
172.217.10.234,safebrowsing.googleapis.com
17.248.187.134,gateway.icloud.com
128.116.112.44,users.roblox.com
17.248.187.14,gateway.icloud.com
17.57.144.165,courier.push.apple.com
172.253.122.108,imap.gmail.com
172.217.10.234,safebrowsing.googleapis.com
172.253.63.108,imap.gmail.com
151.101.117.36,cdn1.kongcdn.com
52.179.129.229,arc.msn.com
52.22.137.21,prd-collector-anon.playbuzz.com
17.167.192.94,gsp85-ssl.ls.apple.com
17.57.12.11,gsp64-ssl.ls.apple.com
17.57.144.7,courier.push.apple.com
173.222.102.152,api1.origin.com
173.222.102.152,api1.origin.com
172.217.3.106,home-devices.googleapis.com
172.217.12.142,tools.google.com
17.57.12.11,gsp64-ssl.ls.apple.com
172.217.6.202,remotedesktop-pa.googleapis.com
172.217.6.202,remotedesktop-pa.googleapis.com
35.186.224.53,api.spotify.com
72.22.185.209,steamcdn-a.akamaihd.net
72.22.185.209,steamcdn-a.akamaihd.net
72.22.185.209,steamcdn-a.akamaihd.net
172.217.10.5,mail.google.com
31.13.71.51,graph.oculus.com
31.13.71.51,graph.oculus.com
128.116.112.44,users.roblox.com
104.17.188.107,zwyr157wwiu6eior.com
17.178.101.8,p24-mailws.icloud.com
17.178.101.8,p24-mailws.icloud.com
17.167.192.94,gsp85-ssl.ls.apple.com
52.179.129.229,arc.msn.com
39.106.232.147,ldc.lenovo.com.cn
35.186.224.53,spclient.wg.spotify.com
162.159.129.233,discordapp.com
39.106.232.147,ldc.lenovo.com.cn
17.57.144.7,courier.push.apple.com
104.22.3.109,builds.parsecgaming.com
104.22.3.109,builds.parsecgaming.com
31.13.71.7,scontent.xx.fbcdn.net
31.13.71.36,www.facebook.com
52.218.192.200,s3-us-west-2.amazonaws.com
211.234.127.21,logs.81plug.com
52.218.200.162,ubp-common-us-prod.s3.amazonaws.com
17.248.187.204,p62-caldav.icloud.com
17.248.135.234,p62-caldav.icloud.com
192.229.173.16,pbs.twimg.com
192.229.173.16,pbs.twimg.com
172.253.63.108,imap.gmail.com
128.116.112.44,users.roblox.com
17.167.194.47,gsp85-ssl.ls.apple.com
17.57.12.11,gsp64-ssl.ls.apple.com
34.226.231.83,river.data.ea.com
13.107.42.12,dm2305.storage.live.com
17.57.144.5,courier.push.apple.com
172.217.11.10,wirelessdevicestats.googleapis.com
172.217.11.10,wirelessdevicestats.googleapis.com
96.6.24.89,xp.apple.com
23.194.176.102,xp.apple.com
20.36.218.63,settings-win.data.microsoft.com
17.179.252.32,gsa.apple.com
23.194.176.102,xp.apple.com
23.194.176.102,xp.apple.com
13.78.179.199,array808.prod.do.dsp.mp.microsoft.com
130.211.16.53,d.joinhoney.com
17.57.12.11,gsp64-ssl.ls.apple.com
52.179.129.229,arc.msn.com
35.186.224.53,spclient.wg.spotify.com
17.167.194.47,gsp85-ssl.ls.apple.com
17.167.194.47,gsp85-ssl.ls.apple.com
17.57.144.5,courier.push.apple.com
17.248.135.117,gateway.icloud.com
172.253.63.109,imap.gmail.com
128.116.112.44,users.roblox.com
17.167.192.94,gsp85-ssl.ls.apple.com
17.57.12.11,gsp64-ssl.ls.apple.com
17.57.144.5,courier.push.apple.com
3.221.116.27,public-ubiservices.ubi.com
3.221.116.27,public-ubiservices.ubi.com
216.98.62.23,msr-public-ubiservices.ubi.com
52.27.136.109,video-edge-27bce6.pdx01.abs.hls.ttvnw.net
52.158.238.42,arc.msn.com
72.21.81.200,r6pcaddons.azureedge.net
172.217.12.138,chat-pa.clients6.google.com
172.217.12.138,chat-pa.clients6.google.com
17.57.12.11,gsp64-ssl.ls.apple.com
70.37.74.6,smartscreen-prod.microsoft.com
70.37.74.6,smartscreen-prod.microsoft.com
70.37.74.6,smartscreen-prod.microsoft.com
3.221.116.27,public-ubiservices.ubi.com
103.126.92.133,interface.music.163.com
172.253.63.109,imap.gmail.com
99.84.112.85,d3cv4a9a9wh0bt.cloudfront.net
128.116.112.44,users.roblox.com
204.79.197.200,platform.bing.com
52.114.128.9,v20.events.data.microsoft.com
17.249.105.246,api.smoot.apple.com
17.167.194.47,gsp85-ssl.ls.apple.com
23.78.208.56,init.itunes.apple.com
17.57.144.164,courier.push.apple.com
17.57.144.164,courier.push.apple.com
172.217.161.174,clients6.google.com
172.217.161.174,clients6.google.com
17.167.192.94,gsp85-ssl.ls.apple.com
17.57.12.11,gsp64-ssl.ls.apple.com
52.158.238.42,arc.msn.com
17.57.144.52,courier.push.apple.com
13.107.5.88,evoke-windowsservices-tas.msedge.net
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
31.13.65.36,www.facebook.com
173.222.102.152,api1.origin.com
17.57.12.11,gsp64-ssl.ls.apple.com
172.253.63.109,imap.gmail.com
165.254.0.66,weather-data.apple.com
165.254.0.66,weather-data.apple.com
99.84.112.5,d3cv4a9a9wh0bt.cloudfront.net
23.78.199.4,ffconf.ecbsn.com
52.36.169.154,api-new.gocashback.com
52.36.169.154,api-new.gocashback.com
23.54.184.94,www.rakuten.com
13.88.23.8,smartscreen-prod.microsoft.com
128.116.112.44,users.roblox.com
52.39.207.76,profile.accounts.firefox.com
34.208.106.24,api.accounts.firefox.com
18.237.204.52,sync-740-us-west-2.sync.services.mozilla.com
34.95.71.207,webextensions.settings.services.mozilla.com
99.84.112.24,d3cv4a9a9wh0bt.cloudfront.net
17.167.194.47,gsp85-ssl.ls.apple.com
162.159.135.233,discordapp.com
17.57.144.52,courier.push.apple.com
130.211.26.229,s.joinhoney.com
52.179.129.229,arc.msn.com
128.116.112.44,users.roblox.com
17.167.194.47,gsp85-ssl.ls.apple.com
17.57.12.11,gsp64-ssl.ls.apple.com
35.186.224.53,spclient.wg.spotify.com
17.57.144.164,courier.push.apple.com
172.253.63.109,imap.gmail.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
151.101.130.167,static.twitchcdn.net
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
54.158.161.123,datarouter.ol.epicgames.com
17.57.12.11,gsp64-ssl.ls.apple.com
172.217.10.5,mail-ads.google.com
5.62.44.225,analytics.ff.avast.com
172.217.10.5,mail-ads.google.com
5.62.44.225,analytics.ff.avast.com
17.167.194.47,gsp85-ssl.ls.apple.com
52.179.129.229,arc.msn.com
17.57.144.52,courier.push.apple.com
17.167.194.47,gsp85-ssl.ls.apple.com
17.57.12.11,gsp64-ssl.ls.apple.com
128.116.112.44,users.roblox.com
17.57.144.52,courier.push.apple.com
173.222.102.152,api1.origin.com
17.188.147.55,init.push.apple.com
17.57.12.11,gsp64-ssl.ls.apple.com
172.217.9.228,www.google.com
103.126.92.133,interface.music.163.com
59.111.239.61,httpdns.n.netease.com
3.226.93.173,datarouter.ol.epicgames.com
31.13.66.35,www.facebook.com
23.60.68.83,steamcdn-a.akamaihd.net
23.60.68.83,steamcdn-a.akamaihd.net
23.60.68.83,steamcdn-a.akamaihd.net
172.217.11.46,clients4.google.com
172.217.3.106,play.googleapis.com
24.105.29.76,telemetry-in.battle.net
52.179.129.229,arc.msn.com
34.201.21.0,countly.globaldelight.net
128.116.112.44,users.roblox.com
31.13.65.7,scontent.xx.fbcdn.net
23.60.68.99,steamcdn-a.akamaihd.net
23.60.68.99,steamcdn-a.akamaihd.net
23.60.68.99,steamcdn-a.akamaihd.net
39.106.232.147,ldc.lenovo.com.cn
172.217.6.202,remotedesktop-pa.googleapis.com
172.217.6.202,remotedesktop-pa.googleapis.com
17.253.15.205,mesu.apple.com
17.253.15.205,valid.apple.com
17.248.135.43,p40-contacts.icloud.com
172.217.11.46,calendar.google.com
17.57.144.9,courier.push.apple.com
17.248.135.43,p40-contacts.icloud.com
34.68.125.225,rpc.znly.co
17.134.127.250,gs-loc.apple.com
38.106.231.204,osfsr.lenovomm.com
34.68.125.225,rpc.znly.co
17.134.127.249,gs-loc.apple.com
17.248.135.16,p40-keyvalueservice.icloud.com
20.36.218.63,settings-win.data.microsoft.com
172.217.11.5,mail.google.com
108.177.125.189,cello.client-channel.google.com
74.125.172.59,r5---sn-ab5szn7s.googlevideo.com
172.217.11.46,google.com
17.174.1.5,guzzoni.apple.com
23.78.208.56,init.itunes.apple.com
17.248.139.110,probe.icloud.com
13.224.208.13,d3cv4a9a9wh0bt.cloudfront.net
17.167.194.47,gsp85-ssl.ls.apple.com
17.57.12.11,gsp64-ssl.ls.apple.com
172.217.11.46,calendar.google.com
23.43.56.67,weather-data.apple.com
23.43.56.67,weather-data.apple.com
172.217.11.46,calendar.google.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.134.127.250,gs-loc.apple.com
17.134.127.249,gs-loc.apple.com
17.57.144.5,courier.push.apple.com
172.217.9.238,www.youtube.com
143.204.144.184,www.flickr.com
31.13.65.36,www.facebook.com
172.217.10.68,www.google.com
172.217.11.46,calendar.google.com
172.217.10.46,play.google.com
172.217.9.238,tasks.google.com
172.217.197.189,2.client-channel.google.com
17.248.187.72,p51-calendars.icloud.com
17.248.135.204,p40-caldav.icloud.com
172.217.6.193,apidata.googleusercontent.com
17.174.1.5,guzzoni.apple.com
17.248.187.201,p40-keyvalueservice.icloud.com
172.217.3.99,www.gstatic.com
17.253.97.202,mesu.apple.com
172.217.12.138,www.googleapis.com
17.248.135.16,p40-keyvalueservice.icloud.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
31.13.65.7,scontent.xx.fbcdn.net
13.225.62.62,news-page-themes-api.a.upc.ubisoft.com
3.221.116.27,public-ubiservices.ubi.com
54.87.129.169,public-rest.a.upc.ubisoft.com
17.248.135.182,p40-caldav.icloud.com
17.248.135.182,p40-caldav.icloud.com
17.248.135.182,p40-caldav.icloud.com
3.221.116.27,public-ubiservices.ubi.com
23.63.76.32,ubistatic3-a.akamaihd.net
216.58.220.206,play.google.com
13.224.253.109,api-cache.blizzcon.com
13.226.39.120,firefox.settings.services.mozilla.com
13.225.212.66,snippets.cdn.mozilla.net
172.217.11.46,google.com
172.217.11.46,calendar.google.com
172.217.11.46,calendar.google.com
172.217.11.46,calendar.google.com
172.217.11.46,calendar.google.com
17.248.135.182,p40-caldav.icloud.com
23.78.210.178,configuration.ls.apple.com
172.217.10.10,play.googleapis.com
216.165.46.10,newclasses.nyu.edu
216.165.47.16,shibboleth.nyu.edu
52.179.129.229,arc.msn.com
216.165.47.16,shibboleth.nyu.edu
216.165.47.16,shibboleth.nyu.edu
35.244.161.200,getliner.com
216.165.47.12,www.nyu.edu
17.57.12.11,gsp64-ssl.ls.apple.com
17.248.187.69,p40-contacts.icloud.com
172.217.10.42,www.googleapis.com
52.114.75.150,v20.events.data.microsoft.com
52.24.126.32,push.services.mozilla.com
23.192.17.167,configuration.ls.apple.com
172.217.10.234,safebrowsing.googleapis.com
23.78.208.56,init.itunes.apple.com
96.6.24.89,xp.apple.com
23.78.208.56,radio.itunes.apple.com
216.165.47.16,shibboleth.nyu.edu
23.78.211.104,api.weather.com
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
128.116.112.44,users.roblox.com
54.241.191.153,api-e4c9863e.duosecurity.com
172.217.3.106,fonts.googleapis.com
35.186.224.53,spclient.wg.spotify.com
17.248.135.211,gateway.icloud.com
54.241.191.153,api-e4c9863e.duosecurity.com
159.153.191.240,accounts.ea.com
17.253.15.206,mesu.apple.com
17.137.166.35,gsa.apple.com
104.16.65.50,desktop-static.fitbit.com
17.167.192.94,gsp85-ssl.ls.apple.com
17.57.12.11,gsp64-ssl.ls.apple.com
17.253.97.202,mesu.apple.com
17.253.97.202,mesu.apple.com
17.179.252.32,gsas.apple.com
17.57.144.5,courier.push.apple.com
17.253.15.206,mesu.apple.com
17.253.15.206,mesu.apple.com
17.57.144.9,courier.push.apple.com
17.137.166.35,gsa.apple.com
104.16.66.50,desktop-client.fitbit.com
17.248.135.150,api.apple-cloudkit.com
50.16.241.130,staticcdn.duckduckgo.com
107.20.240.232,duckduckgo.com
17.253.97.202,mesu.apple.com
173.222.102.152,api1.origin.com
31.13.65.36,www.facebook.com
173.222.102.152,api1.origin.com
17.57.12.11,gsp64-ssl.ls.apple.com
128.116.112.44,users.roblox.com
59.110.148.212,privilege.lenovo.com.cn
13.78.187.58,array802.prod.do.dsp.mp.microsoft.com
17.248.187.207,gateway.icloud.com
17.248.135.110,api.apple-cloudkit.com
52.179.129.229,arc.msn.com
17.248.135.73,gateway-carry.icloud.com
23.78.208.56,bag.itunes.apple.com
23.78.210.178,configuration.ls.apple.com
23.78.209.199,gspe35-ssl.ls.apple.com
52.22.137.21,prd-collector-anon.playbuzz.com
216.58.220.206,play.google.com
20.36.218.63,settings-win.data.microsoft.com
17.248.135.168,p40-fmipmobile.icloud.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
17.248.187.11,p40-fmip.icloud.com
17.248.135.211,p40-fmip.icloud.com
17.248.135.44,gateway-carry.icloud.com
96.6.24.89,xp.apple.com
54.241.191.153,api-e4c9863e.duosecurity.com
17.57.12.11,gsp64-ssl.ls.apple.com
17.137.166.35,gsa.apple.com
96.6.24.89,xp.apple.com
172.217.7.10,play.googleapis.com
172.217.11.3,settings.crashlytics.com
172.217.11.3,settings.crashlytics.com
54.241.191.153,api-e4c9863e.duosecurity.com
23.78.208.56,init.itunes.apple.com
96.6.24.89,xp.apple.com
54.241.191.153,api-e4c9863e.duosecurity.com
17.154.66.75,p29-buy.itunes.apple.com
216.165.47.16,shibboleth.nyu.edu
216.165.46.10,newclasses.nyu.edu
172.217.10.234,safebrowsing.googleapis.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
38.106.231.204,osfsr.lenovomm.com
52.179.129.229,arc.msn.com
172.217.11.10,play.googleapis.com
172.217.11.10,play.googleapis.com
17.248.135.182,p40-caldav.icloud.com
172.217.7.10,remotedesktop-pa.googleapis.com
172.217.7.10,remotedesktop-pa.googleapis.com
172.217.11.5,mail.google.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
104.17.187.107,zwyr157wwiu6eior.com
17.248.135.44,gateway-carry.icloud.com
128.116.112.44,users.roblox.com
31.13.65.51,graph.oculus.com
216.165.46.10,newclasses.nyu.edu
52.158.238.42,arc.msn.com
211.234.127.21,logs.81plug.com
172.217.11.46,calendar.google.com
172.217.11.46,calendar.google.com
17.248.135.136,p31-caldav.icloud.com
172.217.10.46,calendar.google.com
23.78.208.56,init.itunes.apple.com
23.60.68.81,se2.itunes.apple.com
172.217.10.46,calendar.google.com
17.248.142.69,p31-caldav.icloud.com
103.126.92.133,interface.music.163.com
52.109.8.19,nexusrules.officeapps.live.com
52.96.88.98,outlook.office365.com
52.96.88.2,outlook.office365.com
52.96.88.2,outlook.office365.com
40.126.2.39,login.windows.net
52.96.88.2,outlook.office365.com
52.96.88.2,outlook.office365.com
52.96.88.2,outlook.office365.com
184.87.62.21,tms16.icrc.trendmicro.com
52.96.88.2,outlook.office365.com
128.116.112.44,users.roblox.com
52.179.129.229,arc.msn.com
172.253.63.108,imap.gmail.com
172.253.63.108,imap.gmail.com
172.217.9.238,aa.google.com
172.217.11.46,google.com
17.253.97.201,mesu.apple.com
74.125.172.59,r5---sn-ab5szn7s.googlevideo.com
35.186.224.53,spclient.wg.spotify.com
216.165.46.10,newclasses.nyu.edu
173.222.102.152,api1.origin.com
173.222.102.152,secure.download.dm.origin.com
173.222.102.152,secure.download.dm.origin.com
173.222.102.152,secure.download.dm.origin.com
52.158.238.42,arc.msn.com
52.4.42.220,prd-collector-anon.playbuzz.com
13.68.92.143,ris.api.iris.microsoft.com
173.222.101.71,quote.cnbc.com
23.78.200.111,webql-redesign.cnbcfm.com
52.158.238.42,arc.msn.com
