17.248.187.78,gateway-carry.icloud.com
172.217.9.229,mail.google.com
54.186.10.67,ekg.riotgames.com
23.55.235.72,upos-hz-mirrorakam.akamaized.net
128.116.112.44,users.roblox.com
18.235.79.162,ss-prod-ue1-notif-32.aws.adobess.com
123.162.191.218,sdk1xyajs-data.xycdn.com
172.253.122.108,imap.gmail.com
172.253.122.108,imap.gmail.com
94.130.73.106,easylist-downloads.adblockplus.org
85.10.210.166,notification.adblockplus.org
172.253.122.108,imap.gmail.com
148.153.38.118,api.bilibili.com
23.55.235.72,upos-hz-mirrorakam.akamaized.net
39.106.232.147,ldc.lenovo.com.cn
35.186.224.53,spclient.wg.spotify.com
172.253.122.108,imap.gmail.com
13.225.62.95,api-cache.blizzcon.com
123.162.191.218,sdk1xyajs-data.xycdn.com
38.106.231.204,osfsr.lenovomm.com
35.186.224.47,dealer.spotify.com
38.106.231.204,osfsr.lenovomm.com
38.106.231.204,osfsr.lenovomm.com
23.48.21.197,configuration.ls.apple.com
123.162.191.217,sdk1xyajs-data.xycdn.com
52.114.76.35,v10.events.data.microsoft.com
52.21.200.19,acp-ss-ue1.adobe.io
123.162.191.218,sdk1xyajs-data.xycdn.com
23.55.235.81,upos-hz-mirrorakam.akamaized.net
23.194.120.73,fs.microsoft.com
54.71.49.71,ece4.playfabapi.com
148.153.38.118,message.bilibili.com
13.226.37.39,d3cv4a9a9wh0bt.cloudfront.net
24.105.29.76,telemetry-in.battle.net
52.114.77.33,v20.events.data.microsoft.com
100.26.116.127,ss-prod-ue1-notif-27.aws.adobess.com
23.55.235.81,upos-hz-mirrorakam.akamaized.net
182.118.126.204,seeds-open.xycdn.com
20.36.218.63,settings-win.data.microsoft.com
128.116.112.44,presence.roblox.com
123.162.191.217,sdk1xyajs-data.xycdn.com
148.153.64.18,api.vc.bilibili.com
123.162.191.217,sdk1xyajs-data.xycdn.com
123.162.191.217,sdk1xyajs-data.xycdn.com
23.55.235.81,upos-hz-mirrorakam.akamaized.net
17.142.169.199,gsp64-ssl.ls.apple.com
52.179.129.229,arc.msn.com
13.107.136.9,nyu0-my.sharepoint.com
148.153.64.18,api.bilibili.com
162.159.129.233,discordapp.com
123.162.191.217,sdk1xyajs-data.xycdn.com
17.248.187.202,gateway.icloud.com
31.13.66.35,www.facebook.com
31.13.66.19,static.xx.fbcdn.net
23.55.235.81,upos-hz-mirrorakam.akamaized.net
31.13.66.19,static.xx.fbcdn.net
31.13.66.4,edge-chat.facebook.com
31.13.66.28,video-iad3-1.xx.fbcdn.net
123.162.191.217,sdk1xyajs-data.xycdn.com
31.13.66.4,graph.facebook.com
123.162.191.217,sdk1xyajs-data.xycdn.com
13.225.62.63,api-cache.blizzcon.com
128.116.112.44,users.roblox.com
13.226.38.153,slack.com
23.55.235.81,upos-hz-mirrorakam.akamaized.net
172.217.3.110,www.youtube.com
31.13.66.35,www.facebook.com
13.226.26.231,www.flickr.com
52.242.211.89,client.wns.windows.com
24.105.29.76,telemetry-in.battle.net
13.225.210.76,d3cv4a9a9wh0bt.cloudfront.net
223.111.215.19,sdk1xyajs-data.xycdn.com
172.217.11.10,chat-pa.clients6.google.com
148.153.64.18,api.bilibili.com
23.55.235.81,upos-hz-mirrorakam.akamaized.net
5.62.40.211,analytics.ff.avast.com
223.111.215.19,sdk1xyajs-data.xycdn.com
223.111.215.19,sdk1xyajs-data.xycdn.com
44.229.5.205,api.accounts.firefox.com
35.165.119.189,profile.accounts.firefox.com
18.237.204.52,sync-740-us-west-2.sync.services.mozilla.com
3.217.207.251,public-ubiservices.ubi.com
3.217.207.251,public-ubiservices.ubi.com
34.95.71.207,webextensions.settings.services.mozilla.com
104.16.0.92,pbe.ledge.leagueoflegends.com
222.88.91.72,sdk1xyajs-data.xycdn.com
23.55.235.72,upos-hz-mirrorakam.akamaized.net
128.116.112.44,users.roblox.com
