40.84.43.40,continuum.dds.microsoft.com
101.79.241.137,dimg.donga.com
141.226.224.32,cds.taboola.com
141.226.224.32,cds.taboola.com
68.67.160.26,ib.adnxs.com
17.249.121.246,api-glb-nyc.smoot.apple.com
31.13.65.52,i.instagram.com
31.13.65.3,edge-mqtt.facebook.com
31.13.65.1,graph.facebook.com
31.13.65.1,graph.facebook.com
31.13.65.1,graph.facebook.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
23.221.202.56,c.go-mpulse.net
31.13.65.52,graph.instagram.com
31.13.65.52,graph.instagram.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
40.122.160.14,v10.events.data.microsoft.com
13.225.212.104,broker.lp1.npns.srv.nintendo.net
52.70.223.47,dauth-lp1.ndas.srv.nintendo.net
52.70.223.47,dauth-lp1.ndas.srv.nintendo.net
54.173.145.52,receive-lp1.dg.srv.nintendo.net
52.86.1.217,aauth-lp1.ndas.srv.nintendo.net
13.225.62.18,e0d67c509fb203858ebcb2fe3f88c2aa.baas.nintendo.com
18.206.39.29,app-a05.lp1.npns.srv.nintendo.net
52.25.18.216,storage.lp1.scsi.srv.nintendo.net
35.186.224.53,spclient.wg.spotify.com
35.186.224.53,spclient.wg.spotify.com
35.186.224.53,spclient.wg.spotify.com
35.186.224.53,spclient.wg.spotify.com
35.186.224.53,spclient.wg.spotify.com
23.47.219.144,cdn.onenote.net
185.48.81.186,candycrush.king.com
204.79.197.200,www.bing.com
20.44.121.140,ims-na1.adobelogin.com
34.205.108.122,cc-api-data.adobe.io
34.233.139.100,cc-api-storage.adobe.io
172.217.7.3,update.googleapis.com
34.233.139.100,cc-api-storage.adobe.io
44.224.158.155,apin.nzxt.com
52.2.28.61,cc-collab.adobe.io
20.186.114.88,ims-prod06.adobelogin.com
54.85.222.236,na1e-acc.services.adobe.com
3.228.254.72,prod-rel-ffc-ccm.oobesaas.adobe.com
54.85.222.236,na1e-acc.services.adobe.com
34.205.108.122,cc-api-data.adobe.io
20.44.121.140,ims-na1.adobelogin.com
35.172.177.29,p13n.adobe.io
54.85.222.236,na1e-acc.services.adobe.com
162.254.197.181,cm4-fra1.cm.steampowered.com
54.85.222.236,na1e-acc.services.adobe.com
34.193.86.53,notify.adobe.io
155.133.248.51,cm-02-ams1.cm.steampowered.com
155.133.246.69,cm2-mad1.cm.steampowered.com
155.133.246.69,cm2-mad1.cm.steampowered.com
34.205.108.122,cc-api-data.adobe.io
13.225.203.44,cdn-ffc.oobesaas.adobe.com
40.90.22.191,login.live.com
162.254.193.46,cm03-ord.cm.steampowered.com
162.254.196.84,cm4-lhr1.cm.steampowered.com
54.85.222.236,na1e-acc.services.adobe.com
34.205.108.122,cc-api-data.adobe.io
13.225.212.19,connect.ffc.adobeoobe.com
3.231.119.135,scss.adobesc.com
20.186.56.152,ims-prod07.adobelogin.com
54.85.222.236,na1e-acc.services.adobe.com
162.254.195.83,cm4-lax1.cm.steampowered.com
162.254.195.66,cm1-lax1.cm.steampowered.com
34.205.108.122,cc-api-data.adobe.io
34.205.108.122,cc-api-data.adobe.io
54.210.204.161,polka.typekit.com
34.205.108.122,cc-api-data.adobe.io
54.85.222.236,na1e-acc.services.adobe.com
104.16.33.99,data.riotgames.com
52.177.165.30,client.wns.windows.com
13.225.63.137,d3cv4a9a9wh0bt.cloudfront.net
34.205.108.122,cc-api-data.adobe.io
34.193.86.53,notify.adobe.io
35.186.224.53,spclient.wg.spotify.com
20.44.82.31,licensing.mp.microsoft.com
172.217.10.136,ssl.google-analytics.com
13.225.62.30,content.overwolf.com
34.193.86.53,notify.adobe.io
34.193.86.53,notify.adobe.io
172.217.12.142,www.google-analytics.com
54.85.222.236,na1e-acc.services.adobe.com
34.205.108.122,cc-api-data.adobe.io
34.205.108.122,cc-api-data.adobe.io
54.85.222.236,na1e-acc.services.adobe.com
52.86.216.67,accounts.adobe.com
20.44.82.31,licensing.mp.microsoft.com
54.85.222.236,na1e-acc.services.adobe.com
34.205.108.122,cc-api-data.adobe.io
23.47.219.144,cdn.onenote.net
34.205.108.122,cc-api-data.adobe.io
13.107.9.158,api.cortana.ai
34.205.108.122,cc-api-data.adobe.io
34.205.108.122,cc-api-data.adobe.io
13.225.203.44,cdn-ffc.oobesaas.adobe.com
54.85.222.236,na1e-acc.services.adobe.com
34.205.108.122,cc-api-data.adobe.io
13.225.212.19,connect.ffc.adobeoobe.com
54.85.222.236,na1e-acc.services.adobe.com
34.205.108.122,cc-api-data.adobe.io
185.48.81.186,candycrush.king.com
54.85.222.236,na1e-acc.services.adobe.com
34.205.108.122,cc-api-data.adobe.io
34.205.108.122,cc-api-data.adobe.io
54.85.222.236,na1e-acc.services.adobe.com
34.193.86.53,notify.adobe.io
54.85.222.236,na1e-acc.services.adobe.com
34.205.108.122,cc-api-data.adobe.io
34.205.108.122,cc-api-data.adobe.io
34.205.108.122,cc-api-data.adobe.io
34.205.108.122,cc-api-data.adobe.io
34.205.108.122,cc-api-data.adobe.io
34.205.108.122,cc-api-data.adobe.io
52.40.135.92,ekg.riotgames.com
34.234.254.26,cc-api-data.adobe.io
54.85.222.236,na1e-acc.services.adobe.com
34.205.108.122,cc-api-data.adobe.io
23.194.120.183,geo2.adobe.com
13.225.62.245,a5.behance.net
52.0.92.127,cchome.adobe.io
52.0.92.127,cchome.adobe.io
20.44.121.140,ims-na1.adobelogin.com
52.0.92.127,cchome.adobe.io
13.107.21.200,www.bing.com
54.85.222.236,na1e-acc.services.adobe.com
52.44.249.241,acp-ss-ue1.adobe.io
54.85.222.236,na1e-acc.services.adobe.com
204.79.197.222,fp.msedge.net
13.107.3.254,s-ring.msedge.net
13.107.4.254,c-ring.msedge.net
34.196.137.56,ss-prod-ue1-notif-21.aws.adobess.com
72.21.81.200,fp-vp.azureedge.net
13.107.9.254,b-ring.msedge.net
23.194.120.77,ow1.res.office365.com
51.140.152.167,3367a6aae8f56b125d171293ebeec80f.clo.footprintdns.com
13.226.39.71,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
130.211.16.53,d.joinhoney.com
172.217.11.36,www.google.com
172.217.6.205,accounts.google.com
172.217.6.238,clients2.google.com
130.211.26.229,s.joinhoney.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
52.179.129.229,arc.msn.com
34.205.108.122,cc-api-data.adobe.io
172.217.7.10,www.googleapis.com
172.217.10.67,www.gstatic.com
172.217.10.67,www.gstatic.com
172.217.11.35,clientservices.googleapis.com
34.205.108.122,cc-api-data.adobe.io
172.217.11.42,chat-pa.clients6.google.com
34.233.139.100,cc-api-storage.adobe.io
52.2.28.61,cc-collab.adobe.io
172.217.11.2,googleads.g.doubleclick.net
104.16.36.99,data.riotgames.com
17.248.187.144,p14-keyvalueservice.icloud.com
17.137.166.35,gsa.apple.com
216.165.78.28,sis.portal.nyu.edu
216.165.78.28,sis.portal.nyu.edu
17.137.166.35,gsas.apple.com
216.165.47.16,shibboleth.nyu.edu
216.165.47.12,www.nyu.edu
17.137.166.35,gsas.apple.com
17.137.166.35,gsas.apple.com
17.248.187.134,p14-escrowproxy.icloud.com
216.165.47.16,shibboleth.nyu.edu
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
54.241.191.153,api-e4c9863e.duosecurity.com
13.225.62.12,js.prd.fusionapi.autodesk.com
172.253.63.188,mtalk.google.com
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
172.217.10.131,ssl.gstatic.com
172.217.10.131,ssl.gstatic.com
52.9.24.249,analytics.developer.riotgames.com
192.184.68.249,pixel.quantserve.com
172.217.11.42,passwordsleakcheck-pa.googleapis.com
54.225.147.125,tracking.overwolf.com
87.250.251.119,mc.yandex.ru
34.233.139.100,cc-api-storage.adobe.io
52.114.128.44,mobile.pipe.aria.microsoft.com
52.114.128.44,mobile.pipe.aria.microsoft.com
52.2.28.61,cc-collab.adobe.io
3.228.254.72,prod-rel-ffc-ccm.oobesaas.adobe.com
52.114.88.28,v10.events.data.microsoft.com
216.165.47.16,shibboleth.nyu.edu
216.165.78.28,sis.portal.nyu.edu
40.122.160.14,v10.events.data.microsoft.com
52.179.129.229,arc.msn.com
216.165.78.28,sis.portal.nyu.edu
216.165.78.28,sis.portal.nyu.edu
216.165.78.28,sis.portal.nyu.edu
216.165.78.28,sis.portal.nyu.edu
104.69.59.229,cloud.typography.com
216.165.47.12,www.nyu.edu
172.217.10.40,www.googletagmanager.com
172.217.6.202,remotedesktop-pa.googleapis.com
172.217.6.202,remotedesktop-pa.googleapis.com
54.85.222.236,na1e-acc.services.adobe.com
34.205.108.122,cc-api-data.adobe.io
52.159.17.76,tsfe.trafficshaping.dsp.mp.microsoft.com
13.88.181.35,spoc.norton.com
34.205.108.122,cc-api-data.adobe.io
34.205.108.122,cc-api-data.adobe.io
23.194.120.183,cvs.adobe.com
23.194.120.183,cvs.adobe.com
23.194.120.183,cvs.adobe.com
23.194.120.183,cvs.adobe.com
23.194.120.183,cvs.adobe.com
20.186.114.88,ims-prod06.adobelogin.com
34.205.108.122,cc-api-data.adobe.io
34.205.108.122,cc-api-data.adobe.io
52.202.14.38,lcs-cops.adobe.io
34.205.108.122,cc-api-data.adobe.io
34.205.108.122,cc-api-data.adobe.io
34.205.108.122,cc-api-data.adobe.io
17.253.97.208,mesu.apple.com
34.205.108.122,cc-api-data.adobe.io
34.205.108.122,cc-api-data.adobe.io
34.205.108.122,cc-api-data.adobe.io
34.233.32.144,lm.licenses.adobe.com
34.205.108.122,cc-api-data.adobe.io
34.205.108.122,cc-api-data.adobe.io
34.233.32.144,lm.licenses.adobe.com
34.205.108.122,cc-api-data.adobe.io
34.205.108.122,cc-api-data.adobe.io
34.205.108.122,cc-api-data.adobe.io
34.205.108.122,cc-api-data.adobe.io
34.205.108.122,cc-api-data.adobe.io
34.205.108.122,cc-api-data.adobe.io
34.205.108.122,cc-api-data.adobe.io
34.205.108.122,cc-api-data.adobe.io
34.205.108.122,cc-api-data.adobe.io
34.205.108.122,cc-api-data.adobe.io
34.205.108.122,cc-api-data.adobe.io
34.205.108.122,cc-api-data.adobe.io
34.205.108.122,cc-api-data.adobe.io
34.204.117.196,lm.licenses.adobe.com
54.85.222.236,na1e-acc.services.adobe.com
20.186.114.88,ims-prod06.adobelogin.com
52.202.14.38,lcs-cops.adobe.io
31.13.65.1,www.messenger.com
31.13.65.36,www.facebook.com
54.85.193.37,na1e-acc.services.adobe.com
34.205.108.122,cc-api-data.adobe.io
52.203.225.214,ars.oobesaas.adobe.com
34.205.108.122,cc-api-data.adobe.io
18.215.51.46,na1e-acc.services.adobe.com
18.213.206.200,na1e-acc.services.adobe.com
100.24.217.127,na1e-acc.services.adobe.com
13.225.63.55,d3cv4a9a9wh0bt.cloudfront.net
17.248.135.176,gateway.icloud.com
13.225.62.37,api.genuine.autodesk.com
23.51.180.41,studentaid.ed.gov
23.51.180.41,studentaid.ed.gov
23.51.180.41,studentaid.gov
20.36.218.63,settings-win.data.microsoft.com
52.114.75.78,v10.events.data.microsoft.com
204.79.197.200,www.bing.com
23.221.202.56,s.go-mpulse.net
152.199.4.210,tags.tiqcdn.com
152.199.4.210,tags.tiqcdn.com
52.179.129.229,arc.msn.com
52.179.129.229,arc.msn.com
23.51.180.41,studentaid.gov
40.90.22.188,login.live.com
23.221.202.56,c.go-mpulse.net
148.153.64.18,api.vc.bilibili.com
20.36.218.63,settings.data.microsoft.com
104.19.147.8,script.crazyegg.com
50.16.243.242,sample-api-v2.crazyegg.com
172.217.11.37,mail.google.com
13.68.92.143,ris.api.iris.microsoft.com
68.67.160.26,ib.adnxs.com
151.101.200.157,platform.twitter.com
31.13.65.7,connect.facebook.net
104.17.64.4,cdnjs.cloudflare.com
31.13.65.7,connect.facebook.net
172.217.10.67,www.gstatic.com
172.217.10.131,ssl.gstatic.com
104.244.42.200,syndication.twitter.com
165.224.204.20,fsaesb.ed.gov
104.17.64.4,cdnjs.cloudflare.com
40.69.219.197,array615.prod.do.dsp.mp.microsoft.com
52.179.129.229,arc.msn.com
13.107.3.128,config.edge.skype.com
52.109.88.34,nexusrules.officeapps.live.com
172.217.10.110,sb-ssl.google.com
172.217.7.3,update.googleapis.com
13.225.62.25,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
52.114.128.10,mobile.pipe.aria.microsoft.com
17.253.15.201,mesu.apple.com
17.174.1.5,guzzoni.apple.com
23.47.146.53,init.itunes.apple.com
23.47.146.53,init.itunes.apple.com
52.114.128.10,mobile.pipe.aria.microsoft.com
23.192.125.17,play.itunes.apple.com
13.226.39.32,js.prd.fusionapi.autodesk.com
17.137.166.35,gsa.apple.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
17.137.166.35,gsa.apple.com
17.137.166.35,gsa.apple.com
31.13.65.52,i.instagram.com
20.36.218.63,settings-win.data.microsoft.com
51.143.111.7,watson.telemetry.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
104.16.16.221,quizlet.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
51.143.111.7,watson.telemetry.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
52.114.77.34,v10.events.data.microsoft.com
