38.106.23.234,petal.playstone.org
52.96.69.2,outlook.office365.com
172.217.10.33,ci6.googleusercontent.com
52.96.69.2,outlook.office365.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
52.96.69.2,outlook.office365.com
52.96.69.2,outlook.office365.com
52.96.69.2,outlook.office365.com
13.225.62.63,api-cache.blizzcon.com
61.151.168.168,q3.qlogo.cn
104.17.209.9,api.golinkapi.com
104.44.88.28,skyapi.live.net
61.151.168.168,q4.qlogo.cn
172.217.10.65,ci4.googleusercontent.com
162.125.19.131,bolt.dropbox.com
120.92.218.109,api.vc.bilibili.com
18.235.79.162,ss-prod-ue1-notif-32.aws.adobess.com
172.217.12.142,www.google-analytics.com
31.13.65.1,www.messenger.com
96.17.66.14,nbcudisplay.s.moatpixel.com
104.24.105.190,api.96ba816c4a353953b8361486095b2ff793610164.com
13.225.210.205,d3i4yxtzktqr9n.cloudfront.net
3.217.207.251,public-ubiservices.ubi.com
17.248.135.16,p10-caldav.icloud.com
52.230.222.68,client.wns.windows.com
3.218.27.87,datarouter.ol.epicgames.com
17.249.121.246,api-glb-nyc.smoot.apple.com
52.230.222.68,client.wns.windows.com
17.249.121.246,api-glb-nyc.smoot.apple.com
104.106.62.221,content-system.gog.com
3.220.241.115,www.fscta65w.com
3.220.241.115,www.fscta65w.com
17.248.187.6,gateway.icloud.com
52.179.129.229,arc.msn.com
172.253.63.188,mtalk.google.com
172.217.3.99,www.gstatic.com
104.44.88.28,skyapi.live.net
211.234.127.21,logs.81plug.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.47.16,shibboleth.nyu.edu
216.165.47.16,shibboleth.nyu.edu
216.165.47.16,shibboleth.nyu.edu
216.165.47.16,shibboleth.nyu.edu
52.3.43.18,srv-2020-03-02-00.pixel.parsely.com
216.165.47.12,www.nyu.edu
172.253.63.188,mtalk.google.com
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
20.36.218.63,settings-win.data.microsoft.com
101.91.63.222,q1.qlogo.cn
52.114.88.29,v10.events.data.microsoft.com
172.217.10.106,passwordsleakcheck-pa.googleapis.com
61.151.168.168,q3.qlogo.cn
192.229.163.146,cfg.gog.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
172.217.10.74,wirelessdevicestats.googleapis.com
172.217.10.74,wirelessdevicestats.googleapis.com
192.229.163.146,cfg.gog.com
17.42.254.13,p59-buy.itunes.apple.com
50.17.193.142,e.crashlytics.com
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
172.217.9.229,mail.google.com
38.106.23.234,petal.playstone.org
17.57.144.8,courier.push.apple.com
104.17.209.9,api.golinkapi.com
216.165.47.16,shibboleth.nyu.edu
172.217.11.46,app-measurement.com
172.217.11.46,app-measurement.com
17.248.216.6,p25-keyvalueservice.icloud.com.cn
31.13.65.7,static.xx.fbcdn.net
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
31.13.65.7,external-atl3-1.xx.fbcdn.net
162.159.128.232,media.discordapp.net
162.159.133.232,images-ext-1.discordapp.net
107.167.110.211,speeddials.opera.com
17.253.97.206,mesu.apple.com
172.253.122.108,imap.gmail.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
54.225.147.125,tracking.overwolf.com
172.253.122.108,imap.gmail.com
20.36.218.63,settings-win.data.microsoft.com
17.248.135.17,gateway-carry.icloud.com
52.54.77.205,receive-lp1.dg.srv.nintendo.net
140.82.114.3,github.com
140.82.114.3,github.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
13.225.210.4,d3cv4a9a9wh0bt.cloudfront.net
104.106.62.221,presence.gog.com
162.125.19.130,telemetry.dropbox.com
13.225.210.76,d3cv4a9a9wh0bt.cloudfront.net
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
45.57.90.1,assets.nflxext.com
45.57.90.1,codex.nflxext.com
54.89.56.82,www.netflix.com
23.20.28.69,ss-prod-ue1-notif-32.aws.adobess.com
101.91.63.222,q2.qlogo.cn
104.31.87.243,www.marutv3.fun
23.66.226.139,rnps-crl.dl.playstation.net
104.40.17.153,wdcp.microsoft.com
96.6.24.12,urlconfig.api.playstation.com
104.28.0.219,www.mamarutv.site
104.71.176.38,friends.rnps.dl.playstation.net
104.71.176.38,checkout.rnps.dl.playstation.net
104.71.176.38,party.rnps.dl.playstation.net
104.88.9.151,event.api.np.km.playstation.net
104.88.9.151,event.api.np.km.playstation.net
104.18.44.103,ilovevid.com
96.17.64.253,wcs.naver.net
23.192.31.185,csla.np.community.playstation.net
104.126.112.17,fswitch.dl.playstation.net
23.214.135.242,fus01.ps4.update.playstation.net
23.214.135.242,fus01.ps4.update.playstation.net
104.27.177.161,www.kotaku.xyz
23.214.130.200,gs-sec.ww.np.dl.playstation.net
104.102.89.19,auth.api.np.ac.playstation.net
23.214.130.200,gs-sec.ww.np.dl.playstation.net
104.124.101.2,vl.api.np.km.playstation.net
210.89.160.128,wcs.naver.com
23.214.130.200,gs-sec.ww.np.dl.playstation.net
104.27.200.89,kshows.to
52.179.129.229,arc.msn.com
104.124.102.28,asm.np.community.playstation.net
104.124.102.28,asm.np.community.playstation.net
17.249.121.246,api-glb-nyc.smoot.apple.com
210.89.160.128,wcs.naver.com
104.124.102.28,asm.np.community.playstation.net
104.124.102.28,asm.np.community.playstation.net
151.101.202.167,gql.twitch.tv
104.124.102.89,upchk.api.playstation.com
52.40.246.202,us-push.np.communication.playstation.net
23.214.130.200,gs-sec.ww.np.dl.playstation.net
3.221.116.27,public-ubiservices.ubi.com
23.214.130.200,gs-sec.ww.np.dl.playstation.net
35.162.47.48,35-162-47-48-pushcl.np.communication.playstation.net
172.217.12.202,fonts.googleapis.com
172.217.12.206,www.youtube.com
172.217.10.131,fonts.gstatic.com
104.102.89.19,auth.api.np.ac.playstation.net
23.214.130.200,gs-sec.ww.np.dl.playstation.net
104.124.101.2,vl.api.np.km.playstation.net
23.214.130.200,gs-sec.ww.np.dl.playstation.net
23.214.130.200,gs-sec.ww.np.dl.playstation.net
104.124.102.28,asm.np.community.playstation.net
104.102.89.19,auth.api.np.ac.playstation.net
104.124.102.89,upchk.api.playstation.com
23.214.130.200,gs-sec.ww.np.dl.playstation.net
104.124.101.2,vl.api.np.km.playstation.net
23.214.130.200,gs-sec.ww.np.dl.playstation.net
23.214.130.200,gs-sec.ww.np.dl.playstation.net
23.214.130.200,gs-sec.ww.np.dl.playstation.net
69.192.108.239,api1.origin.com
23.214.130.200,gs-sec.ww.np.dl.playstation.net
52.40.246.202,us-push.np.communication.playstation.net
23.214.130.200,gs-sec.ww.np.dl.playstation.net
52.36.130.129,52-36-130-129-pushcl.np.communication.playstation.net
23.214.130.200,gs-sec.ww.np.dl.playstation.net
23.214.130.200,gs-sec.ww.np.dl.playstation.net
23.214.130.200,gs-sec.ww.np.dl.playstation.net
23.214.130.200,gs-sec.ww.np.dl.playstation.net
23.214.130.200,gs-sec.ww.np.dl.playstation.net
104.124.102.28,asm.np.community.playstation.net
104.124.101.2,commerce.api.np.km.playstation.net
104.124.101.2,commerce.api.np.km.playstation.net
151.101.250.114,ssl.p.jwpcdn.com
17.253.15.208,mesu.apple.com
104.124.101.2,commerce.api.np.km.playstation.net
104.102.89.19,auth.api.np.ac.playstation.net
104.124.101.2,commerce.api.np.km.playstation.net
172.93.105.50,cache.cdnfile.info
172.93.105.50,cache.cdnfile.info
3.225.84.43,dashboard.flappybot.io
104.124.101.2,vl.api.np.km.playstation.net
104.124.101.2,commerce.api.np.km.playstation.net
104.124.101.2,commerce.api.np.km.playstation.net
104.124.102.28,asm.np.community.playstation.net
104.124.102.89,upchk.api.playstation.com
104.124.101.2,commerce.api.np.km.playstation.net
104.124.101.2,commerce.api.np.km.playstation.net
104.102.89.19,auth.api.np.ac.playstation.net
104.124.101.2,vl.api.np.km.playstation.net
104.124.101.2,commerce.api.np.km.playstation.net
104.124.101.2,commerce.api.np.km.playstation.net
104.124.102.28,asm.np.community.playstation.net
104.124.102.89,upchk.api.playstation.com
13.225.63.35,d3cv4a9a9wh0bt.cloudfront.net
13.225.210.120,d3cv4a9a9wh0bt.cloudfront.net
52.22.137.21,prd-collector-anon.playbuzz.com
52.114.88.22,v10.events.data.microsoft.com
174.129.244.40,e.crashlytics.com
13.225.62.95,api-cache.blizzcon.com
104.24.104.190,api.96ba816c4a353953b8361486095b2ff793610164.com
172.217.11.19,cloud.bluestacks.com
52.109.8.21,nexusrules.officeapps.live.com
13.225.210.205,d3i4yxtzktqr9n.cloudfront.net
24.105.29.76,telemetry-in.battle.net
120.92.218.109,api.vc.bilibili.com
165.254.49.142,steamcdn-a.akamaihd.net
104.17.209.9,api.golinkapi.com
104.28.1.219,www.mamarutv.site
172.253.63.188,mtalk.google.com
13.225.210.177,d3cv4a9a9wh0bt.cloudfront.net
13.225.212.29,js.driftt.com
162.159.129.233,discordapp.com
104.18.45.103,ilovevid.com
104.27.176.161,www.kotaku.xyz
125.209.234.101,wcs.naver.com
125.209.234.101,wcs.naver.com
165.254.0.66,weather-data.apple.com
31.13.65.7,connect.facebook.net
165.254.0.66,weather-data.apple.com
31.13.65.7,connect.facebook.net
104.16.3.92,na.ledge.leagueoflegends.com
17.253.97.208,c.apple.news
104.16.3.92,na.ledge.leagueoflegends.com
34.196.49.214,datarouter.ol.epicgames.com
24.105.29.76,telemetry-in.battle.net
172.217.4.130,googleads.g.doubleclick.net
52.179.129.229,arc.msn.com
52.114.132.73,browser.pipe.aria.microsoft.com
173.194.205.189,19.client-channel.google.com
18.235.79.162,ss-prod-ue1-notif-32.aws.adobess.com
104.87.14.116,api1.origin.com
13.225.210.4,d3cv4a9a9wh0bt.cloudfront.net
31.13.65.36,www.facebook.com
172.217.10.106,remotedesktop-pa.googleapis.com
172.217.10.106,remotedesktop-pa.googleapis.com
172.217.9.229,mail.google.com
172.253.63.108,imap.gmail.com
100.20.32.19,pipes-prod-glutton.public.aws.demonware.net
52.114.88.22,v10.events.data.microsoft.com
13.107.42.12,dm2305.storage.live.com
52.239.177.100,onedriveclucproddm20013.blob.core.windows.net
17.248.135.208,gateway-carry.icloud.com
31.13.65.36,www.facebook.com
172.253.122.108,imap.gmail.com
172.253.63.108,imap.gmail.com
69.192.110.94,px.moatads.com
20.36.219.28,activity.windows.com
20.36.218.208,presence-heartbeat.xboxlive.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
54.186.10.67,ekg.riotgames.com
172.217.10.42,remotedesktop-pa.googleapis.com
172.217.10.42,remotedesktop-pa.googleapis.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
52.114.32.6,v10.events.data.microsoft.com
172.217.7.3,update.googleapis.com
40.90.22.183,login.live.com
40.90.22.183,login.live.com
35.186.224.53,spclient.wg.spotify.com
35.186.224.53,spclient.wg.spotify.com
35.186.224.53,spclient.wg.spotify.com
35.186.224.53,spclient.wg.spotify.com
35.186.224.53,spclient.wg.spotify.com
20.44.82.31,licensing.mp.microsoft.com
3.232.144.130,pubsub.razersynapse.com
34.231.7.141,pubsub-api.razersynapse.com
3.223.111.21,ec.razer.com
20.44.82.31,licensing.mp.microsoft.com
52.177.165.30,client.wns.windows.com
52.216.169.85,s3.amazonaws.com
52.216.106.196,npmu.s3.amazonaws.com
104.16.194.122,media.zvault.razerzone.com
104.40.17.153,wdcp.microsoft.com
104.126.112.69,filedownload.lenovo.com
13.107.42.12,ch3301.storage.live.com
23.60.68.74,steamuserimages-a.akamaihd.net
23.60.68.74,steamuserimages-a.akamaihd.net
23.60.68.74,steamuserimages-a.akamaihd.net
192.16.31.139,www.dota2.com
13.226.39.46,desktop.tidal.com
172.253.63.188,mtalk.google.com
162.159.134.233,discordapp.com
167.114.172.69,capture.trackjs.com
158.69.52.117,usage.trackjs.com
162.159.135.234,gateway.discord.gg
18.211.21.156,pubsub.razersynapse.com
165.254.0.195,id.razer.com
52.22.137.21,prd-collector-anon.playbuzz.com
45.57.90.1,assets.nflxext.com
45.57.91.1,codex.nflxext.com
52.87.118.227,www.netflix.com
162.159.128.235,best.discord.media
162.159.130.233,status.discordapp.com
162.159.129.232,media.discordapp.net
216.165.46.10,newclasses.nyu.edu
20.36.219.28,activity.windows.com
52.202.14.38,acp-ss-ue1.adobe.io
104.40.17.153,wdcp.microsoft.com
40.67.188.15,presence-heartbeat.xboxlive.com
65.55.44.109,vortex.data.microsoft.com
35.186.224.53,api.spotify.com
40.67.188.15,presence-heartbeat.xboxlive.com
35.186.224.47,dealer.spotify.com
172.217.12.206,www.youtube.com
172.217.10.131,fonts.gstatic.com
172.217.12.202,fonts.googleapis.com
52.114.128.10,v20.events.data.microsoft.com
31.13.71.7,external.xx.fbcdn.net
31.13.71.7,external.xx.fbcdn.net
20.36.218.63,settings-win.data.microsoft.com
13.225.63.137,d3cv4a9a9wh0bt.cloudfront.net
130.211.26.229,s.joinhoney.com
52.179.129.229,arc.msn.com
69.94.68.32,uib.ff.avast.com
162.159.134.233,discordapp.com
69.94.68.32,uib.ff.avast.com
137.135.96.104,wdcp.microsoft.com
104.26.13.240,ulogs.bytefence.com
20.36.219.28,activity.windows.com
172.217.10.78,www.youtube.com
13.225.70.230,www.flickr.com
31.13.65.36,www.facebook.com
18.235.79.162,ss-prod-ue1-notif-32.aws.adobess.com
31.13.65.7,static.xx.fbcdn.net
