17.179.252.2,gsas.apple.com
13.226.37.216,d3cv4a9a9wh0bt.cloudfront.net
52.114.6.46,mobile.pipe.aria.microsoft.com
23.60.68.97,officecdn-microsoft-com.akamaized.net
192.35.249.124,search.spotxchange.com
173.194.31.105,r3---sn-ab5szn7d.gvt1.com
23.51.189.20,swscan.apple.com
172.217.10.74,khms1.googleapis.com
13.248.131.92,metrics-collector.s-onetag.com
52.2.191.132,laserver.logitech.io
23.194.120.183,cvs.adobe.com
23.194.120.183,cvs.adobe.com
23.194.120.183,cvs.adobe.com
155.133.254.132,cm-01-okc1.cm.steampowered.com
155.133.248.53,cm-04-ams1.cm.steampowered.com
23.194.120.183,cvs.adobe.com
170.76.216.244,usersync.videoamp.com
52.1.232.25,pxl.iqm.com
192.35.249.111,event.spotxchange.com
192.35.249.111,event.spotxchange.com
23.60.68.97,officecdn-microsoft-com.akamaized.net
104.107.172.146,sb.scorecardresearch.com
104.107.172.146,sb.scorecardresearch.com
185.25.182.77,cm2-par1.cm.steampowered.com
128.116.112.44,users.roblox.com
104.107.172.146,sb.scorecardresearch.com
192.35.249.127,sync.search.spotxchange.com
134.175.75.108,market.cloud.tencent.com
162.254.195.82,cm3-lax1.cm.steampowered.com
162.254.193.47,cm04-ord.cm.steampowered.com
205.196.6.67,cm-01-sea1.cm.steampowered.com
23.194.120.100,www.adobe.com
35.186.241.40,knrpc.olark.com
162.254.192.100,cm1-iad1.cm.steampowered.com
17.253.15.203,mesu.apple.com
23.193.217.105,download.macromedia.com
173.223.135.161,cclibraries-defaults-cdn.adobe.com
3.91.171.247,kinesis.us-east-1.amazonaws.com
54.85.193.37,na1e-acc.services.adobe.com
52.31.140.49,ad.sxp.smartclip.net
172.217.6.193,lh4.googleusercontent.com
20.186.56.152,ims-na1.adobelogin.com
192.0.66.2,www.capgemini.com
207.198.113.8,node-p2e-vepoo0.sitescout.com
209.15.36.21,pixel.sitescout.com
192.35.249.111,event.spotxchange.com
192.35.249.127,sync.search.spotxchange.com
192.35.249.124,search.spotxchange.com
52.1.177.66,cc-api-storage.adobe.io
34.235.79.187,cc-api-data.adobe.io
54.85.193.37,na1e-acc.services.adobe.com
68.67.160.133,nym1-ib.adnxs.com
104.196.12.179,eg.poly.edu
34.227.0.168,prd-collector-anon.playbuzz.com
192.35.249.127,sync.search.spotxchange.com
52.31.140.49,ad.sxp.smartclip.net
17.248.185.110,gateway.icloud.com
52.1.177.66,cc-api-storage.adobe.io
34.228.110.91,cc-collab.adobe.io
20.44.121.140,ims-prod06.adobelogin.com
35.169.103.253,cc-api-data.adobe.io
34.224.241.139,orgsync.com
52.114.6.46,mobile.pipe.aria.microsoft.com
52.200.147.40,app.simplyanalytics.com
13.225.212.4,content.overwolf.com
50.16.48.54,s2s.aniview.com
34.225.114.220,track1.aniview.com
54.85.193.37,na1e-acc.services.adobe.com
54.85.193.37,na1e-acc.services.adobe.com
34.235.232.2,scss.adobesc.com
119.28.33.16,partners.cloud.tencent.com
54.85.193.37,na1e-acc.services.adobe.com
17.248.187.138,edge-176.usnyc.icloud-content.com
23.194.122.10,px.moatads.com
35.170.17.223,prod-rel-ffc-ccm.oobesaas.adobe.com
20.36.218.63,settings-win.data.microsoft.com
13.225.59.41,cdn-ffc.oobesaas.adobe.com
54.85.193.37,na1e-acc.services.adobe.com
151.139.128.10,cdn.intergi.com
34.239.36.80,cc-api-data.adobe.io
34.239.36.80,cc-api-data.adobe.io
20.36.218.63,settings-win.data.microsoft.com
34.198.114.144,prebid-server.rubiconproject.com
104.36.115.111,hbopenbid.pubmatic.com
17.248.142.54,p13-caldav.icloud.com
54.85.193.37,na1e-acc.services.adobe.com
35.244.186.129,playwire-d.openx.net
35.244.186.129,playwire-d.openx.net
13.226.39.82,slack.com
17.248.135.104,gateway.icloud.com.cn
76.13.32.136,apple-finance.query.yahoo.com
54.86.210.177,nummus.robinhood.com
52.114.6.46,mobile.pipe.aria.microsoft.com
17.248.142.117,p13-caldav.icloud.com
17.248.142.117,p13-caldav.icloud.com
17.248.142.117,p13-caldav.icloud.com
52.114.6.46,mobile.pipe.aria.microsoft.com
170.76.216.244,usersync.videoamp.com
52.1.232.25,pxl.iqm.com
104.107.172.146,sb.scorecardresearch.com
162.159.135.233,discordapp.com
192.35.249.111,event.spotxchange.com
3.214.230.34,partners.tremorhub.com
104.107.172.146,sb.scorecardresearch.com
216.98.62.46,msr-public-ubiservices.ubi.com
3.221.116.27,public-ubiservices.ubi.com
3.221.116.27,public-ubiservices.ubi.com
192.35.249.111,event.spotxchange.com
54.236.152.224,na1e-acc.services.adobe.com
34.234.254.26,cc-api-data.adobe.io
34.234.254.26,cc-api-data.adobe.io
35.172.177.29,p13n.adobe.io
104.107.172.146,sb.scorecardresearch.com
34.235.232.2,scss.adobesc.com
17.248.187.68,gateway.icloud.com.cn
17.253.15.201,pancake.apple.com
23.194.120.30,bag.itunes.apple.com
23.194.120.30,bag.itunes.apple.com
17.179.252.32,gsa.apple.com
17.248.187.204,gateway.icloud.com.cn
24.105.29.76,telemetry-in.battle.net
34.225.114.220,track1.aniview.com
20.36.219.28,activity.windows.com
172.217.11.14,docs.google.com
151.101.1.184,static.independent.co.uk
35.160.15.72,ekg.riotgames.com
3.229.168.156,acp-ss-ue1.adobe.io
17.248.135.214,metrics.icloud.com
17.248.187.12,gateway.icloud.com.cn
17.142.169.199,gsp64-ssl.ls.apple.com
3.91.171.247,kinesis.us-east-1.amazonaws.com
151.101.2.49,thumbor.forbes.com
195.181.168.47,scx2.b-cdn.net
54.85.193.37,na1e-acc.services.adobe.com
192.35.249.111,event.spotxchange.com
17.248.135.74,p42-content.icloud.com
54.85.193.37,na1e-acc.services.adobe.com
115.159.18.136,passport.qcloud.com
35.168.41.214,smallbiztrends.com
13.225.227.2,c.amazon-adsystem.com
17.174.1.5,guzzoni.apple.com
17.179.252.32,gsa.apple.com
17.248.187.12,gateway.icloud.com
17.248.187.139,edge-177.usnyc.icloud-content.com
52.179.129.229,arc.msn.com
23.194.120.30,bag.itunes.apple.com
192.35.249.124,search.spotxchange.com
192.35.249.111,event.spotxchange.com
17.174.1.5,guzzoni.apple.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
34.234.254.26,cc-api-data.adobe.io
13.225.59.41,cdn-ffc.oobesaas.adobe.com
49.51.42.206,www.qcloud.com
35.168.41.214,smallbiztrends.com
23.193.217.206,cdn.doubleverify.com
54.236.152.224,na1e-acc.services.adobe.com
23.193.217.206,cdn.doubleverify.com
23.193.217.206,cdn.doubleverify.com
100.26.116.127,ss-prod-ue1-notif-27.aws.adobess.com
204.154.111.120,rtb0.doubleverify.com
199.187.193.165,www9.smartadserver.com
205.185.216.42,servedby.flashtalking.com
204.154.111.128,tps602.doubleverify.com
205.185.216.42,cdn.flashtalking.com
34.196.181.76,d9.flashtalking.com
3.229.168.156,acp-ss-ue1.adobe.io
13.225.212.4,content.overwolf.com
50.16.48.54,s2s.aniview.com
34.225.114.220,track1.aniview.com
34.237.32.100,cc-api-data.adobe.io
205.185.216.42,cdn.flashtalking.com
204.154.111.134,tps.doubleverify.com
3.224.206.45,polka.typekit.com
34.235.232.2,scss.adobesc.com
13.225.212.39,connect.ffc.adobeoobe.com
34.234.254.26,cc-api-data.adobe.io
185.167.164.42,c1.adform.net
204.154.111.134,tps.doubleverify.com
23.193.218.75,code.createjs.com
35.207.24.140,rtb.mfadsrvr.com
20.186.114.88,ims-prod07.adobelogin.com
51.178.20.139,c.eu1.dyntrk.com
34.96.105.8,tr.blismedia.com
34.194.0.53,magnetic.t.domdex.com
54.175.195.239,na1e-acc.services.adobe.com
34.194.0.53,magnetic.t.domdex.com
204.154.111.127,tps10234.doubleverify.com
51.178.20.139,c.eu1.dyntrk.com
3.229.168.156,acp-ss-ue1.adobe.io
34.239.36.80,cc-api-data.adobe.io
17.248.160.40,edge-007.hkhkg-4.icloud-content.com
54.175.195.239,na1e-acc.services.adobe.com
100.26.116.127,ss-prod-ue1-notif-27.aws.adobess.com
23.194.122.10,px.moatads.com
54.158.154.1,na1e-acc.services.adobe.com
35.169.103.253,cc-api-data.adobe.io
3.229.168.156,acp-ss-ue1.adobe.io
34.193.79.202,notify.adobe.io
23.194.122.10,px.moatads.com
35.169.103.253,cc-api-data.adobe.io
151.139.128.10,cdn.intergi.com
100.26.116.127,ss-prod-ue1-notif-27.aws.adobess.com
34.209.104.96,www.figma.com
54.175.195.239,na1e-acc.services.adobe.com
34.239.36.80,cc-api-data.adobe.io
34.239.36.80,cc-api-data.adobe.io
50.19.197.254,cc-api-storage.adobe.io
104.36.115.111,hbopenbid.pubmatic.com
52.0.127.56,bktr2-06hdl.ads.tremorhub.com
54.175.195.239,na1e-acc.services.adobe.com
54.158.154.1,na1e-acc.services.adobe.com
34.233.185.55,cc-api-data.adobe.io
54.175.195.239,na1e-acc.services.adobe.com
34.196.233.209,cc-collab.adobe.io
54.158.154.1,na1e-acc.services.adobe.com
54.175.195.239,na1e-acc.services.adobe.com
35.244.186.129,playwire-d.openx.net
34.233.185.55,cc-api-data.adobe.io
52.22.73.195,accounts.adobe.com
34.198.114.144,prebid-server.rubiconproject.com
104.16.119.50,auth.riotgames.com
13.226.39.11,prod.adobeccstatic.com
54.175.195.239,na1e-acc.services.adobe.com
34.233.185.55,cc-api-data.adobe.io
34.209.104.96,www.figma.com
34.209.104.96,www.figma.com
34.209.104.96,www.figma.com
54.175.195.239,na1e-acc.services.adobe.com
34.233.185.55,cc-api-data.adobe.io
17.248.160.40,edge-007.hkhkg-4.icloud-content.com
35.186.224.53,spclient.wg.spotify.com
104.16.199.132,entitlements.auth.riotgames.com
104.18.25.250,pas.geo.si.riotgames.com
17.248.160.40,edge-007.hkhkg-4.icloud-content.com
17.248.160.40,edge-007.hkhkg-4.icloud-content.com
17.248.160.40,edge-007.hkhkg-4.icloud-content.com
34.233.185.55,cc-api-data.adobe.io
17.248.160.40,edge-007.hkhkg-4.icloud-content.com
34.233.185.55,cc-api-data.adobe.io
34.193.79.202,notify.adobe.io
13.225.62.245,a5.behance.net
216.165.47.12,www.nyu.edu
23.194.120.183,geo2.adobe.com
52.2.231.4,cchome.adobe.io
52.2.231.4,cchome.adobe.io
204.154.111.105,tps10269.doubleverify.com
204.154.111.118,tps10258.doubleverify.com
34.233.185.55,cc-api-data.adobe.io
49.51.42.206,www.qcloud.com
34.198.114.144,prebid-server.rubiconproject.com
34.233.185.55,cc-api-data.adobe.io
204.154.111.108,tps10261.doubleverify.com
34.233.185.55,cc-api-data.adobe.io
34.233.185.55,cc-api-data.adobe.io
23.92.190.69,ap.lijit.com
74.119.119.151,bidder.criteo.com
152.199.6.24,adserver-us.adtech.advertising.com
68.67.160.24,ib.adnxs.com
68.67.160.24,ib.adnxs.com
23.194.121.67,as-sec.casalemedia.com
152.199.6.24,adserver-us.adtech.advertising.com
159.127.42.178,web.hb.ad.cpe.dotomi.com
54.158.154.1,na1e-acc.services.adobe.com
34.233.185.55,cc-api-data.adobe.io
20.186.114.88,ims-na1.adobelogin.com
34.233.185.55,cc-api-data.adobe.io
54.158.154.1,na1e-acc.services.adobe.com
34.233.185.55,cc-api-data.adobe.io
49.51.42.130,cloud.tencent.com
34.233.185.55,cc-api-data.adobe.io
104.16.31.91,na.ledge.leagueoflegends.com
208.185.50.96,fastlane.rubiconproject.com
208.185.50.96,fastlane.rubiconproject.com
35.244.186.129,ezoic-d.openx.net
35.244.186.129,ezoic-d.openx.net
68.67.160.24,ib.adnxs.com
68.67.160.24,ib.adnxs.com
23.194.121.67,as-sec.casalemedia.com
23.194.121.67,as-sec.casalemedia.com
159.127.42.178,web.hb.ad.cpe.dotomi.com
208.185.50.96,fastlane.rubiconproject.com
208.185.50.96,fastlane.rubiconproject.com
35.161.179.71,ekg.riotgames.com
34.233.185.55,cc-api-data.adobe.io
204.154.111.128,tps623.doubleverify.com
34.233.185.55,cc-api-data.adobe.io
23.194.120.30,configuration.apple.com
17.248.187.12,p13-caldav.icloud.com.cn
17.248.187.12,p13-caldav.icloud.com.cn
34.233.185.55,cc-api-data.adobe.io
204.154.111.104,tps10220.doubleverify.com
49.51.42.130,cloud.tencent.com
172.217.11.46,clients4.google.com
204.154.111.112,tps10263.doubleverify.com
34.233.185.55,cc-api-data.adobe.io
23.20.28.69,ss-prod-ue1-notif-32.aws.adobess.com
17.248.135.115,p13-fmip.icloud.com
17.248.135.115,p13-fmip.icloud.com
72.21.81.200,r6pcaddons.azureedge.net
216.239.34.21,api-lp1.znc.srv.nintendo.net
172.253.122.108,imap.gmail.com
172.253.122.108,imap.gmail.com
34.225.114.220,track1.aniview.com
165.227.252.242,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
74.119.119.151,bidder.criteo.com
204.154.111.109,rtb2.doubleverify.com
192.35.249.127,sync.search.spotxchange.com
204.154.111.134,tps606.doubleverify.com
52.1.232.25,pxl.iqm.com
104.107.172.146,sb.scorecardresearch.com
104.107.172.146,sb.scorecardresearch.com
52.31.140.49,ad.sxp.smartclip.net
13.225.212.66,d.agkn.com
204.154.111.112,tps30.doubleverify.com
52.1.232.25,pxl.iqm.com
170.76.216.244,usersync.videoamp.com
192.35.249.127,sync.search.spotxchange.com
204.154.111.108,tps10226.doubleverify.com
204.154.111.118,tps10258.doubleverify.com
204.154.111.118,tps10258.doubleverify.com
204.154.111.104,tps10220.doubleverify.com
204.154.111.104,tps10220.doubleverify.com
204.154.111.104,tps10220.doubleverify.com
204.154.111.108,tps10226.doubleverify.com
204.154.111.128,tps623.doubleverify.com
192.35.249.111,event.spotxchange.com
204.154.111.134,tps606.doubleverify.com
104.244.37.20,dt.adsafeprotected.com
204.154.111.122,tps10205.doubleverify.com
3.214.230.34,partners.tremorhub.com
204.154.111.112,tps10239.doubleverify.com
34.198.169.36,dora.robinhood.com
192.35.249.111,event.spotxchange.com
68.67.160.133,nym1-ib.adnxs.com
192.35.249.111,event.spotxchange.com
68.67.160.133,nym1-ib.adnxs.com
192.0.66.2,www.capgemini.com
68.67.179.165,ib.adnxs.com
185.167.164.51,c1.adform.net
3.91.171.247,kinesis.us-east-1.amazonaws.com
35.186.224.47,dealer.spotify.com
89.145.70.25,www.sogeti.com
89.145.70.25,www.sogeti.com
52.114.77.34,self.events.data.microsoft.com
49.51.42.206,www.qcloud.com
128.116.112.44,users.roblox.com
3.213.160.221,sirius.mwbsys.com
49.51.42.130,cloud.tencent.com
23.194.122.10,z.moatads.com
35.244.186.129,playwire-d.openx.net
172.217.3.100,www.google.com
192.35.249.111,event.spotxchange.com
192.35.249.111,event.spotxchange.com
17.248.135.104,gateway.icloud.com.cn
130.211.115.4,data.ad-score.com
130.211.115.4,data.ad-score.com
130.211.115.4,data.ad-score.com
172.217.12.130,securepubads.g.doubleclick.net
130.211.115.4,data.ad-score.com
130.211.115.4,data.ad-score.com
172.217.12.130,securepubads.g.doubleclick.net
13.225.212.4,content.overwolf.com
74.125.172.39,r1---sn-ab5szn7l.c.2mdn.net
23.193.217.206,cdn.doubleverify.com
34.226.254.149,s.update.adsrvr.org
209.15.224.17,use-tor.adsrvr.org
34.198.166.64,prd-collector-anon.playbuzz.com
204.154.111.112,tps.doubleverify.com
34.226.254.149,s.update.adsrvr.org
34.225.114.220,track1.aniview.com
130.211.115.4,data.ad-score.com
52.4.246.156,choices-or.trustarc.com
104.16.87.26,sc.tynt.com
148.153.64.18,api.vc.bilibili.com
34.233.185.55,cc-api-data.adobe.io
35.175.20.205,cc-api-storage.adobe.io
49.51.42.206,www.qcloud.com
67.202.110.21,sic.33across.com
172.217.6.194,pagead2.googlesyndication.com
34.225.11.222,cc-collab.adobe.io
17.248.135.104,api.apple-cloudkit.com
68.67.179.153,ib.adnxs.com
68.67.179.153,ib.adnxs.com
35.244.186.129,33across-d.openx.net
67.202.110.21,sic.33across.com
172.217.7.2,adservice.google.com
208.100.17.171,ssc.33across.com
49.51.42.130,cloud.tencent.com
34.233.185.55,cc-api-data.adobe.io
170.76.216.244,usersync.videoamp.com
13.225.210.4,d3cv4a9a9wh0bt.cloudfront.net
192.35.249.111,event.spotxchange.com
204.154.111.112,tps10252.doubleverify.com
