13.225.62.4,consent-st.trustarc.com
54.239.31.63,identity.browserapps.amazon.com
104.18.56.100,api.ffzap.com
52.31.147.11,in.hotjar.com
23.55.235.75,lol.dyn.riotcdn.net
23.55.235.75,lol.dyn.riotcdn.net
23.55.235.75,lol.dyn.riotcdn.net
104.20.115.14,trading.escapefromtarkov.com
23.55.235.75,lol.dyn.riotcdn.net
104.20.115.14,trading.escapefromtarkov.com
23.55.235.75,lol.dyn.riotcdn.net
23.55.235.75,lol.dyn.riotcdn.net
23.55.235.75,lol.dyn.riotcdn.net
23.55.235.75,lol.dyn.riotcdn.net
23.55.235.75,lol.dyn.riotcdn.net
23.55.235.75,lol.dyn.riotcdn.net
216.165.47.16,shibboleth.nyu.edu
216.165.47.16,shibboleth.nyu.edu
52.218.244.18,ubp-common-us-prod.s3.amazonaws.com
52.218.205.88,s3-us-west-2.amazonaws.com
54.156.65.23,ss-prod-ue1-notif-32.aws.adobess.com
172.217.12.206,drive.google.com
172.217.12.206,drive.google.com
23.55.235.75,lol.dyn.riotcdn.net
148.153.64.18,api.vc.bilibili.com
23.55.235.75,lol.dyn.riotcdn.net
172.217.12.142,lh3.google.com
172.217.12.142,lh3.google.com
172.217.12.142,lh3.google.com
172.217.12.142,lh3.google.com
172.217.12.142,lh3.google.com
172.217.12.142,lh3.google.com
216.165.47.16,shibboleth.nyu.edu
104.17.64.4,cdnjs.cloudflare.com
104.16.85.20,cdn.jsdelivr.net
104.16.83.55,v2.zopim.com
23.111.9.35,use.fontawesome.com
8.36.80.244,events.gfe.nvidia.com
23.111.9.35,use.fontawesome.com
172.217.11.14,docs.google.com
172.217.11.14,docs.google.com
23.111.9.35,use.fontawesome.com
216.165.46.10,newclasses.nyu.edu
52.55.86.166,widget-mediator.zopim.com
147.75.75.78,vc.hotjar.io
23.60.159.57,lol.dyn.riotcdn.net
23.60.159.74,lol.dyn.riotcdn.net
52.109.12.5,www.onenote.com
23.55.235.75,lol.dyn.riotcdn.net
23.55.235.75,lol.dyn.riotcdn.net
209.85.144.189,cello.client-channel.google.com
23.55.235.75,lol.dyn.riotcdn.net
52.109.6.7,ocws.officeapps.live.com
52.109.6.7,ocws.officeapps.live.com
52.109.6.7,ocws.officeapps.live.com
40.77.224.8,apis.live.net
40.77.224.8,apis.live.net
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
23.55.235.75,lol.dyn.riotcdn.net
23.55.235.75,lol.dyn.riotcdn.net
23.55.235.75,lol.dyn.riotcdn.net
23.55.235.75,lol.dyn.riotcdn.net
23.55.235.75,lol.dyn.riotcdn.net
23.55.235.75,lol.dyn.riotcdn.net
23.55.235.75,lol.dyn.riotcdn.net
23.55.235.75,lol.dyn.riotcdn.net
23.55.235.75,lol.dyn.riotcdn.net
20.36.219.28,activity.windows.com
20.36.219.28,activity.windows.com
100.26.116.127,ss-prod-ue1-notif-27.aws.adobess.com
23.55.235.75,lol.dyn.riotcdn.net
23.55.235.75,lol.dyn.riotcdn.net
23.55.235.75,lol.dyn.riotcdn.net
23.55.235.75,lol.dyn.riotcdn.net
23.55.235.75,lol.dyn.riotcdn.net
23.55.235.75,lol.dyn.riotcdn.net
23.55.235.75,lol.dyn.riotcdn.net
23.55.235.75,lol.dyn.riotcdn.net
23.55.235.75,lol.dyn.riotcdn.net
23.55.235.75,lol.dyn.riotcdn.net
23.55.235.75,lol.dyn.riotcdn.net
17.253.97.206,cds.apple.com
23.55.235.75,lol.dyn.riotcdn.net
23.55.235.75,lol.dyn.riotcdn.net
104.126.113.203,help.apple.com
104.126.113.203,help.apple.com
13.225.62.79,api-cache.blizzcon.com
23.55.235.75,lol.dyn.riotcdn.net
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
104.18.74.113,assets.zendesk.com
40.90.22.183,login.live.com
172.217.12.142,www.google-analytics.com
13.225.64.74,d3cv4a9a9wh0bt.cloudfront.net
52.55.86.166,widget-mediator.zopim.com
148.153.38.118,message.bilibili.com
104.16.51.111,riotgames.zendesk.com
23.77.242.52,storeedgefd.dsx.mp.microsoft.com
40.91.76.181,xsts.auth.xboxlive.com
74.125.0.56,r2---sn-ab5l6nzr.googlevideo.com
206.189.254.17,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
20.36.244.137,title.mgt.xboxlive.com
20.36.244.137,title.mgt.xboxlive.com
40.91.76.181,xsts.auth.xboxlive.com
40.91.76.181,xsts.auth.xboxlive.com
68.67.160.25,nym1-ib.adnxs.com
40.91.76.181,xsts.auth.xboxlive.com
185.167.164.51,c1.adform.net
24.105.29.76,telemetry-in.battle.net
68.67.179.164,ib.adnxs.com
172.217.3.100,www.google.com
59.111.0.200,mumu.nie.netease.com
23.246.7.175,ipv4-c347-nyc001-ix.1.oca.nflxvideo.net
23.246.7.205,ipv4-c377-nyc001-ix.1.oca.nflxvideo.net
23.246.7.205,ipv4-c377-nyc001-ix.1.oca.nflxvideo.net
23.246.7.205,ipv4-c377-nyc001-ix.1.oca.nflxvideo.net
52.34.152.98,ekg.riotgames.com
54.243.120.80,tracking.overwolf.com
52.179.129.229,arc.msn.com
35.241.52.229,cdp.cloud.unity3d.com
13.107.136.9,nyu0-my.sharepoint.com
31.13.66.4,www.messenger.com
17.248.135.168,keyvalueservice.icloud.com
17.248.135.168,p29-keyvalueservice.icloud.com
13.225.65.153,slack.com
17.248.135.82,api.apple-cloudkit.com
23.193.217.205,xp.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
172.217.10.110,translate.google.com
23.43.56.200,play.itunes.apple.com
23.78.208.56,pd.itunes.apple.com
74.125.192.108,imap.gmail.com
74.125.192.108,imap.gmail.com
172.217.11.10,youtubei.googleapis.com
172.217.3.106,translate.googleapis.com
13.225.141.195,d3cv4a9a9wh0bt.cloudfront.net
216.165.47.16,shibboleth.nyu.edu
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
216.165.47.16,shibboleth.nyu.edu
23.55.37.169,steamcdn-a.akamaihd.net
23.55.37.169,steamcdn-a.akamaihd.net
23.55.37.169,steamcdn-a.akamaihd.net
54.239.21.139,feed.browserapps.amazon.com
52.71.114.218,fls-na.amazon.com
35.186.224.47,dealer.spotify.com
23.78.209.199,gspe35-ssl.ls.apple.com
23.78.210.178,configuration.ls.apple.com
23.40.29.19,gspe1-ssl.ls.apple.com
17.249.162.38,gsp-ssl.ls.apple.com
52.114.6.46,v20.events.data.microsoft.com
216.165.47.16,shibboleth.nyu.edu
172.217.7.3,update.googleapis.com
119.3.65.116,message.bilibili.com
95.216.27.30,easylist-downloads.adblockplus.org
13.225.62.114,desktop.tidal.com
172.217.9.229,mail.google.com
17.248.187.8,gateway.icloud.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.253.97.201,cdn.smoot.apple.com
23.45.15.202,configuration.ls.apple.com
172.217.12.174,www.youtube.com
172.217.10.34,securepubads.g.doubleclick.net
23.45.15.202,configuration.ls.apple.com
172.217.9.229,mail.google.com
17.253.97.201,cdn.smoot.apple.com
104.16.33.99,update-account.riotgames.com
104.16.33.99,update-account.riotgames.com
216.165.47.16,shibboleth.nyu.edu
148.153.38.118,api.vc.bilibili.com
23.20.28.69,ss-prod-ue1-notif-32.aws.adobess.com
216.165.47.16,shibboleth.nyu.edu
216.165.46.10,newclasses.nyu.edu
104.16.119.50,auth.riotgames.com
52.34.71.92,prod02.kaxsdc.com
216.165.47.16,shibboleth.nyu.edu
52.34.71.92,prod02.kaxsdc.com
52.34.71.92,prod02.kaxsdc.com
104.84.114.221,smp-device-content.apple.com
104.40.91.191,smartscreen-prod.microsoft.com
206.189.254.17,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
17.253.97.205,mesu.apple.com
172.217.10.138,firebasestorage.googleapis.com
17.249.162.38,gsp-ssl.ls.apple.com
23.45.15.55,gspe35-ssl.ls.apple.com
68.67.160.25,nym1-ib.adnxs.com
68.67.160.25,nym1-ib.adnxs.com
185.167.164.51,c1.adform.net
68.67.179.164,ib.adnxs.com
17.248.135.80,gateway.icloud.com
52.38.50.130,www.gradescope.com
52.38.50.130,www.gradescope.com
52.38.50.130,www.gradescope.com
52.38.50.130,www.gradescope.com
216.165.46.10,newclasses.nyu.edu
216.165.47.16,shibboleth.nyu.edu
216.165.47.12,www.nyu.edu
45.57.90.1,assets.nflxext.com
45.57.91.1,codex.nflxext.com
52.54.70.243,ss-prod-ue1-notif-27.aws.adobess.com
13.107.136.9,nyu0-my.sharepoint.com
52.179.129.229,arc.msn.com
54.241.191.153,api-e4c9863e.duosecurity.com
216.165.46.10,newclasses.nyu.edu
172.217.10.110,sb-ssl.google.com
13.225.65.153,slack.com
35.186.224.53,spclient.wg.spotify.com
