23.192.17.167,configuration.ls.apple.com
172.217.6.205,accounts.google.com
172.217.6.205,accounts.google.com
17.253.15.204,mesu.apple.com
172.217.12.206,www.youtube.com
13.226.39.15,api.gotinder.com
172.217.12.161,yt3.ggpht.com
3.215.244.157,keepalive.gotinder.com
17.249.162.38,gsp-ssl.ls.apple.com
17.142.171.8,gs-loc.apple.com
17.120.254.10,p28-buy.itunes.apple.com
18.215.35.78,etl.tindersparks.com
13.225.62.38,images-ssl.gotinder.com
31.13.65.1,graph.facebook.com
65.55.44.109,vortex.data.microsoft.com
69.192.108.116,target.scene7.com
96.6.22.62,radio-activity.itunes.apple.com
23.78.209.78,www.origin.com
13.225.212.44,pushkin-cf.tidal.com
96.118.211.228,xerxes-lite.traxion.xfinity.com
172.217.12.130,googleads.g.doubleclick.net
172.217.11.38,static.doubleclick.net
96.17.66.14,targetdfp320149284940.s.moatpixel.com
96.17.66.14,targetdfp320149284940.s.moatpixel.com
35.209.87.178,tar.userreplay.net
35.209.87.178,tar.userreplay.net
173.194.131.41,r3---sn-ab5l6n67.googlevideo.com
173.194.131.41,r3---sn-ab5l6n67.googlevideo.com
172.217.9.246,i.ytimg.com
172.217.11.36,www.google.com
13.225.62.103,api2.branch.io
31.13.65.1,graph.facebook.com
34.249.235.56,t.appsflyer.com
52.216.115.93,s3.amazonaws.com
54.217.255.92,a.wunderlist.com
54.217.255.92,a.wunderlist.com
96.118.248.245,xerxes-sub.xerxessecure.com
54.217.255.92,a.wunderlist.com
54.217.255.92,a.wunderlist.com
54.217.255.92,a.wunderlist.com
172.217.6.198,ad.doubleclick.net
172.217.11.2,googleads.g.doubleclick.net
173.194.31.90,r4---sn-ab5szn76.googlevideo.com
173.194.31.90,r4---sn-ab5szn76.googlevideo.com
34.202.113.168,acp-ss-ue1.adobe.io
54.156.65.23,ss-prod-ue1-notif-32.aws.adobess.com
162.150.57.167,oauth.xfinity.com
52.41.231.101,dts.podtrac.com
151.101.202.110,rss.art19.com
17.188.155.44,init.push.apple.com
172.217.6.206,encrypted-tbn1.gstatic.com
104.16.198.132,entitlements.auth.riotgames.com
13.225.212.66,images-ssl.gotinder.com
13.225.212.66,images-ssl.gotinder.com
17.167.192.225,gsp64-ssl.ls.apple.com
52.41.8.68,ekg.riotgames.com
20.36.218.208,presence-heartbeat.xboxlive.com
34.196.49.214,datarouter.ol.epicgames.com
130.211.16.53,d.joinhoney.com
68.87.29.197,login.xfinity.com
128.116.112.44,users.roblox.com
96.6.24.89,xp.apple.com
69.192.108.133,livetileedge.dsx.mp.microsoft.com
13.107.3.128,config.edge.skype.com
159.153.190.222,proxy.novafusion.ea.com
140.82.114.3,github.com
140.82.114.3,github.com
96.115.199.90,xtvapi.cloudtv.comcast.net
122.228.77.82,api.vc.bilibili.com
23.67.199.95,tile-service.weather.microsoft.com
23.67.199.95,service.weather.microsoft.com
23.67.199.95,tile-service.weather.microsoft.com
34.193.169.238,river.data.ea.com
17.167.194.224,gsp64-ssl.ls.apple.com
104.16.121.97,www.webassign.net
104.16.121.97,www.webassign.net
31.13.65.52,scontent.cdninstagram.com
52.114.132.73,v10.events.data.microsoft.com
140.82.114.25,live.github.com
13.225.210.177,d3cv4a9a9wh0bt.cloudfront.net
13.225.210.177,d3cv4a9a9wh0bt.cloudfront.net
3.211.167.19,f-log-extension.grammarly.io
17.167.192.94,gsp85-ssl.ls.apple.com
172.217.12.130,pubads.g.doubleclick.net
35.186.224.47,dealer.spotify.com
172.217.11.2,googleads.g.doubleclick.net
159.153.190.222,proxy.novafusion.ea.com
172.217.10.129,tpc.googlesyndication.com
172.217.11.2,pagead2.googlesyndication.com
172.217.11.2,pagead2.googlesyndication.com
172.217.10.129,tpc.googlesyndication.com
172.217.10.110,aa.google.com
162.159.134.233,discordapp.com
151.101.65.164,g1.nyt.com
69.192.108.239,api1.origin.com
96.17.64.29,contextual.media.net
72.247.82.69,cdneast2-xch.media.net
96.115.199.90,xtvapi.cloudtv.comcast.net
52.218.217.176,s3-us-west-2.amazonaws.com
45.57.91.1,codex.nflxext.com
34.230.208.35,www.netflix.com
151.101.0.84,ct.pinterest.com
104.100.245.74,www.etsy.com
52.5.7.23,et.nytimes.com
34.199.235.242,logx.optimizely.com
172.217.6.238,clients2.google.com
17.134.127.249,gs-loc.apple.com
172.217.3.110,app-measurement.com
151.101.1.224,img0.etsystatic.com
23.0.151.149,i.etsystatic.com
69.192.108.202,site.etsystatic.com
13.78.187.58,array802.prod.do.dsp.mp.microsoft.com
13.226.39.30,www.dwin1.com
31.13.66.35,www.facebook.com
31.13.65.7,connect.facebook.net
13.225.62.23,web.btncdn.com
34.238.8.220,resources.xg4ken.com
151.101.2.109,pt.ispot.tv
172.217.10.78,www.google-analytics.com
74.125.192.154,stats.g.doubleclick.net
18.213.117.209,insight.adsrvr.org
204.79.197.200,bat.bing.com
13.225.68.201,js.adsrvr.org
3.211.188.196,pixel.advertising.com
3.218.90.66,ups.analytics.yahoo.com
23.111.9.16,cdn.granify.com
20.36.218.208,presence-heartbeat.xboxlive.com
35.171.180.177,matching.granify.com
52.218.248.114,ubp-common-us-prod.s3.amazonaws.com
211.110.62.146,image.donga.com
112.175.248.38,dimg.donga.com
172.217.12.136,ssl.google-analytics.com
172.217.10.133,inbox.google.com
52.179.129.229,arc.msn.com
172.217.10.65,ci4.googleusercontent.com
172.217.10.33,ci6.googleusercontent.com
172.217.10.65,ci4.googleusercontent.com
172.217.10.65,ci4.googleusercontent.com
20.36.219.28,activity.windows.com
40.90.22.187,login.live.com
40.70.184.83,ieonlinews.microsoft.com
69.28.62.188,chassis-cdn.appcloudcdn.com
17.57.144.9,courier.push.apple.com
54.243.81.127,e.crashlytics.com
31.13.65.36,www.facebook.com
34.193.169.238,river.data.ea.com
104.244.42.194,api.twitter.com
13.68.168.63,spoc.norton.com
172.217.10.133,inbox.google.com
172.217.10.133,inbox.google.com
172.217.10.133,inbox.google.com
104.16.0.92,na.ledge.leagueoflegends.com
18.205.47.109,prd-collector-anon.playbuzz.com
52.159.17.76,tsfe.trafficshaping.dsp.mp.microsoft.com
172.217.10.84,psyonix-rl.appspot.com
152.195.54.20,services.gfe.nvidia.com
173.194.185.107,r5---sn-ab5sznle.googlevideo.com
172.217.11.5,gmail.com
172.217.10.5,mail.google.com
17.242.160.23,gsp57-ssl-revgeo.ls.apple.com
172.217.9.238,aa.google.com
172.217.11.46,clients2.google.com
128.116.112.44,users.roblox.com
13.226.39.2,broker.lp1.npns.srv.nintendo.net
3.92.255.187,app-a05.lp1.npns.srv.nintendo.net
172.217.10.5,mail-ads.google.com
172.217.10.5,mail-ads.google.com
52.114.77.33,mobile.pipe.aria.microsoft.com
52.114.77.33,mobile.pipe.aria.microsoft.com
172.217.12.195,clientservices.googleapis.com
172.217.197.189,20.client-channel.google.com
59.111.0.200,mumu.nie.netease.com
173.194.204.108,imap.gmail.com
173.194.204.108,imap.gmail.com
209.85.144.94,beacons2.gvt2.com
172.217.9.228,www.google.com
23.192.24.202,cl4.apple.com
23.192.24.202,cl4.apple.com
23.192.24.202,cl4.apple.com
34.234.17.59,www.fscta65w.com
34.234.17.59,www.fscta65w.com
54.156.65.23,ss-prod-ue1-notif-32.aws.adobess.com
172.217.10.133,inbox.google.com
17.167.194.230,gsp64-ssl.ls.apple.com
172.217.3.106,wirelessdevicestats.googleapis.com
38.106.231.204,osfsr.lenovomm.com
172.217.3.106,wirelessdevicestats.googleapis.com
128.116.112.44,users.roblox.com
38.106.231.204,osfsr.lenovomm.com
38.106.231.204,osfsr.lenovomm.com
13.248.131.92,metrics-collector.s-onetag.com
39.96.106.241,hao.lenovo.com.cn
38.106.231.204,osfsr.lenovomm.com
38.106.231.204,osfsr.lenovomm.com
172.217.10.133,inbox.google.com
182.92.244.228,dsp.lenovo.com.cn
39.96.106.241,hao.lenovo.com.cn
54.162.78.149,app.getacceptd.com
47.95.131.3,nsl.lenovo.com.cn
122.225.67.199,smartdl.lenovo.com.cn
104.17.209.9,api.golinkapi.com
20.36.218.63,settings-win.data.microsoft.com
172.217.12.202,fonts.googleapis.com
172.217.10.131,fonts.gstatic.com
182.92.244.228,dsp.lenovo.com.cn
23.192.24.202,cl4.apple.com
23.192.24.202,cl4.apple.com
182.92.244.228,dsp.lenovo.com.cn
172.217.11.42,signaler-pa.clients6.google.com
130.211.16.53,d.joinhoney.com
52.34.208.16,ekg.riotgames.com
17.134.127.250,gs-loc.apple.com
54.203.162.77,sn.webrootcloudav.com
52.179.129.229,arc.msn.com
52.109.12.20,nexusrules.officeapps.live.com
54.203.162.77,sn.webrootcloudav.com
17.253.15.208,mesu.apple.com
17.167.192.225,gsp64-ssl.ls.apple.com
149.56.126.49,funnyjunk.com
23.192.24.202,cl4.apple.com
162.125.19.131,bolt.dropbox.com
104.19.142.111,update.gyazo.com
23.221.200.209,us-prof.np.community.playstation.net
107.167.110.211,sitecheck.opera.com
104.18.45.69,securelogin4.funnyjunk.com
23.221.200.209,us-prof.np.community.playstation.net
172.217.12.174,play.google.com
198.27.121.189,bigcdnjs4.funnyjunk.com
104.18.44.69,bigmemes.funnyjunk.com
144.217.180.139,bigcdnjs1.funnyjunk.com
99.84.231.109,d3cv4a9a9wh0bt.cloudfront.net
128.116.112.44,users.roblox.com
17.167.194.230,gsp64-ssl.ls.apple.com
96.6.24.89,xp.apple.com
23.221.200.35,xp.apple.com
52.109.6.6,roaming.officeapps.live.com
52.109.6.6,roaming.officeapps.live.com
34.230.114.151,rtm.tnt-ea.com
140.82.113.4,github.com
140.82.113.4,github.com
23.221.200.35,xp.apple.com
23.43.56.203,play.itunes.apple.com
173.194.204.109,imap.gmail.com
173.194.204.109,imap.gmail.com
173.194.204.109,imap.gmail.com
17.249.121.246,api-glb-nyc.smoot.apple.com
173.194.204.109,imap.gmail.com
173.194.204.109,imap.gmail.com
173.194.204.109,imap.gmail.com
17.248.135.12,gateway-carry.icloud.com
172.217.6.238,clients1.google.com
172.217.6.238,clients1.google.com
172.217.6.238,clients1.google.com
52.114.128.9,v20.events.data.microsoft.com
173.194.204.109,imap.gmail.com
173.194.204.109,imap.gmail.com
173.194.204.109,imap.gmail.com
104.24.12.100,www.symbolab.com
52.109.124.22,nexus.officeapps.live.com
40.91.72.120,presence-heartbeat.xboxlive.com
17.249.121.246,api-glb-nyc.smoot.apple.com
104.18.45.69,securelogin4.funnyjunk.com
192.99.103.81,bigcdnjs2.funnyjunk.com
67.231.146.66,urldefense.proofpoint.com
172.217.12.202,fonts.googleapis.com
104.17.65.4,ajax.cloudflare.com
34.226.83.92,m76gg9h6.r.us-east-1.awstrack.me
20.36.218.63,settings.data.microsoft.com
52.86.211.3,app.theguarantors.com
172.217.10.10,ajax.googleapis.com
172.217.10.72,www.googletagmanager.com
151.139.237.11,cdn.rawgit.com
104.17.211.204,js.hs-scripts.com
172.217.11.36,www.google.com
104.18.73.113,assets.zendesk.com
151.101.2.217,browser.sentry-cdn.com
104.18.70.113,static.zdassets.com
104.17.68.176,js.hs-analytics.net
104.17.230.204,js.hsleadflows.net
104.17.114.176,js.hsadspixel.net
104.17.237.204,js.usemessages.com
35.201.112.186,edge.fullstory.com
147.75.96.25,static.hotjar.com
104.18.70.113,ekr.zdassets.com
104.16.252.5,api.hubspot.com
35.186.194.58,rs.fullstory.com
104.16.52.111,theguarantors.zendesk.com
35.188.253.162,script.hotjar.com
18.205.47.109,prd-collector-anon.playbuzz.com
104.17.203.204,api.hubapi.com
104.16.252.5,track.hubspot.com
209.197.3.15,maxcdn.bootstrapcdn.com
52.50.117.83,in.hotjar.com
130.211.16.53,d.joinhoney.com
62.67.238.152,ds.kaspersky.com
3.221.116.27,public-ubiservices.ubi.com
172.217.11.36,www.google.com
172.217.10.131,ssl.gstatic.com
172.217.3.99,www.gstatic.com
172.217.3.110,encrypted-tbn3.gstatic.com
172.217.6.238,encrypted-tbn1.gstatic.com
172.217.11.46,encrypted-tbn0.gstatic.com
172.217.7.14,encrypted-tbn2.gstatic.com
35.186.224.47,dealer.spotify.com
17.248.135.74,p48-keyvalueservice.icloud.com
172.217.11.2,adservice.google.com
172.217.11.2,googleads.g.doubleclick.net
69.192.108.239,stage.secure.download.dm.origin.com
45.57.91.1,codex.nflxext.com
54.165.157.123,www.netflix.com
122.228.77.82,api.vc.bilibili.com
122.228.77.82,api.vc.bilibili.com
54.165.246.104,www.netflix.com
52.72.145.200,account-public-service-prod.ak.epicgames.com
18.235.79.162,ss-prod-ue1-notif-32.aws.adobess.com
17.248.187.11,gateway.icloud.com
130.211.16.53,d.joinhoney.com
20.36.219.28,activity.windows.com
112.175.248.38,dimg.donga.com
101.79.241.137,image.donga.com
17.248.187.71,p48-caldav.icloud.com
17.248.135.119,p48-caldav.icloud.com
104.18.22.175,csgolounge.com
172.217.11.14,sb-ssl.google.com
96.6.22.62,configuration.apple.com
52.10.101.255,ekg.riotgames.com
147.75.79.185,vc.hotjar.io
151.101.2.217,browser.sentry-cdn.com
52.179.129.229,arc.msn.com
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
209.197.3.15,maxcdn.bootstrapcdn.com
13.225.212.86,globalnav.digicomm.home.nyu.edu
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
209.197.3.15,maxcdn.bootstrapcdn.com
104.93.169.242,cloud.typography.com
24.105.29.76,telemetry-in.battle.net
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
40.90.22.183,login.live.com
23.60.139.231,steam-chat.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
34.232.40.138,datarouter.ol.epicgames.com
52.109.6.6,roaming.officeapps.live.com
23.43.56.201,steamcommunity-a.akamaihd.net
23.43.56.201,steamcommunity-a.akamaihd.net
31.13.65.36,www.facebook.com
23.43.56.202,steamuserimages-a.akamaihd.net
23.43.56.202,steamuserimages-a.akamaihd.net
23.43.56.202,steamuserimages-a.akamaihd.net
172.217.12.138,passwordsleakcheck-pa.googleapis.com
172.217.6.202,safebrowsing.googleapis.com
173.194.204.109,imap.gmail.com
172.253.122.108,imap.gmail.com
104.45.136.42,dc.services.visualstudio.com
23.192.18.217,upp.itunes.apple.com
96.118.148.100,xerxes-lite.traxion.xfinity.com
172.217.9.226,googleads.g.doubleclick.net
96.6.24.89,xp.apple.com
96.6.24.89,xp.apple.com
172.217.10.46,i9.ytimg.com
96.116.129.16,xerxes-sub.xerxessecure.com
104.17.185.177,api-v3.tinypass.com
3.94.63.211,srv-2020-03-02-01.pixel.parsely.com
35.190.62.200,events.bouncex.net
69.192.110.94,px.moatads.com
74.119.119.149,csm.va.us.criteo.net
23.78.208.225,www.cnbc.com
23.78.208.225,mps.cnbc.com
96.6.25.233,mps.nbcuni.com
172.217.6.198,ad.doubleclick.net
96.6.25.233,pix.nbcuni.com
54.86.215.49,st.dynamicyield.com
23.23.124.210,usasync01.admantx.com
52.23.77.46,api.parsely.com
192.184.68.203,pixel.quantserve.com
104.244.37.20,dt.adsafeprotected.com
104.244.42.197,t.co
104.244.42.67,analytics.twitter.com
209.234.236.22,ad.wsod.com
13.225.210.120,d3cv4a9a9wh0bt.cloudfront.net
172.217.11.2,pagead2.googlesyndication.com
172.217.10.234,safebrowsing.googleapis.com
23.78.200.111,static-redesign.cnbcfm.com
23.202.38.73,sb.scorecardresearch.com
104.17.147.7,track.wikibuy.com
54.84.32.14,f-log-extension.grammarly.io
23.60.68.106,ds-aksb-a.akamaihd.net
104.17.186.177,dashboard.tinypass.com
96.6.25.233,surf.nbcuni.com
104.112.8.234,fm.cnbc.com
23.78.161.14,www.rakuten.com
13.225.210.76,d3cv4a9a9wh0bt.cloudfront.net
69.192.109.125,js-sec.indexww.com
13.225.202.14,c.amazon-adsystem.com
172.217.11.2,www.googletagservices.com
17.248.135.108,gateway.icloud.com
35.244.144.168,tag.bounceexchange.com
172.217.10.72,www.googletagmanager.com
13.225.212.105,ak.sail-horizon.com
151.101.200.157,static.ads-twitter.com
104.17.65.4,cdnjs.cloudflare.com
31.13.65.7,connect.facebook.net
209.197.3.24,code.jquery.com
104.16.126.175,unpkg.com
104.26.10.203,npmcdn.com
52.1.193.162,nbcu.demdex.net
3.208.14.195,osimg.nbcuni.com
162.208.117.47,api.sail-track.com
162.208.117.45,api.sail-personalize.com
52.2.154.73,nbcu.demdex.net
162.208.117.47,api.sail-track.com
162.208.117.45,api.sail-personalize.com
52.72.121.223,srv-2020-03-02-02.config.parsely.com
104.17.185.177,experience.tinypass.com
3.222.204.107,dora.robinhood.com
172.217.12.130,www.googleadservices.com
162.150.57.167,oauth.xfinity.com
35.201.112.186,edge.fullstory.com
52.72.79.64,async-px.dynamicyield.com
74.119.119.139,gum.criteo.com
31.13.65.36,www.facebook.com
13.225.70.217,c.amazon-adsystem.com
13.225.210.4,d3cv4a9a9wh0bt.cloudfront.net
172.217.12.130,securepubads.g.doubleclick.net
172.217.10.68,www.google.com
35.186.249.84,acidpigs.com
35.227.229.34,api.bounceexchange.com
34.232.138.226,srv-2020-03-02-02.pixel.parsely.com
13.225.62.71,tagan.adlightning.com
31.13.65.36,www.facebook.com
35.190.62.200,events.bouncex.net
104.17.192.78,polarcdn-pentos.com
104.17.221.15,bw-prod.plrsrvcs.com
104.17.65.50,polarcdn-terrax.com
104.17.65.50,polarcdn-terrax.com
173.194.31.90,r4---sn-ab5szn76.googlevideo.com
35.186.224.53,api.spotify.com
23.221.200.35,xp.apple.com
151.101.2.2,cdn.taboola.com
34.200.112.171,srv-2020-03-01-22.config.parsely.com
104.18.32.108,platform.iteratehq.com
52.6.209.131,geo.moatads.com
52.6.209.131,mb.moatads.com
23.43.56.193,play.itunes.apple.com
35.186.224.47,dealer.spotify.com
69.192.110.94,px.moatads.com
107.22.59.176,fw.adsafeprotected.com
68.87.29.197,login.xfinity.com
18.209.25.153,sc.iasds01.com
162.159.135.234,gateway.discord.gg
172.217.197.154,bid.g.doubleclick.net
104.244.37.20,dt.adsafeprotected.com
104.244.37.20,dt.adsafeprotected.com
104.244.37.20,dt.adsafeprotected.com
162.208.117.47,api.sail-track.com
162.208.117.45,api.sail-personalize.com
172.217.7.2,googleads4.g.doubleclick.net
162.208.117.45,api.sail-personalize.com
172.217.11.2,adservice.google.com
172.217.12.166,s0.2mdn.net
141.226.224.32,cds.taboola.com
128.116.112.44,users.roblox.com
172.217.12.202,fonts.googleapis.com
104.18.45.69,securelogin4.funnyjunk.com
149.56.126.49,funnyjunk.com
107.167.110.211,sitecheck.opera.com
69.192.109.115,secure.insightexpressai.com
162.159.128.235,best.discord.media
144.217.180.139,bigcdnjs1.funnyjunk.com
104.18.45.69,bigcdn.funnyjunk.com
172.217.10.129,tpc.googlesyndication.com
96.115.198.242,xtvapi.cloudtv.comcast.net
74.125.0.10,r4---sn-ab5l6nsy.googlevideo.com
74.125.0.10,r4---sn-ab5l6nsy.googlevideo.com
172.217.12.202,fonts.googleapis.com
172.217.10.131,fonts.gstatic.com
172.217.9.246,i.ytimg.com
172.217.12.161,yt3.ggpht.com
162.159.133.233,status.discordapp.com
13.225.210.177,d3cv4a9a9wh0bt.cloudfront.net
162.208.117.47,api.sail-track.com
162.208.117.45,api.sail-personalize.com
162.208.117.45,api.sail-personalize.com
172.217.10.67,beacons.gvt2.com
52.114.75.78,v10.events.data.microsoft.com
141.226.224.32,cds.taboola.com
52.109.6.6,roaming.officeapps.live.com
13.226.39.57,static.adsafeprotected.com
52.109.6.6,roaming.officeapps.live.com
3.219.244.74,osimg.nbcuni.com
104.18.45.69,bigcdn.funnyjunk.com
172.217.10.129,tpc.googlesyndication.com
23.0.154.208,use.typekit.net
104.17.209.9,api.golinkapi.com
104.18.33.108,iteratehq.com
34.96.70.1,x2.mookie1.com
52.72.233.84,p.placed.com
18.208.47.87,p.dlx.addthis.com
52.87.8.93,tracker.samplicio.us
54.88.158.139,beacon.krxd.net
107.178.246.49,tapestry.tapad.com
173.194.31.90,r4---sn-ab5szn76.googlevideo.com
20.36.218.63,settings-win.data.microsoft.com
17.248.135.112,p06-calendars.icloud.com
23.204.246.160,api.weather.com
17.248.135.234,p23-caldav.icloud.com
52.179.129.229,arc.msn.com
23.43.168.33,configuration.apple.com
162.150.57.167,oauth.xfinity.com
23.20.28.69,ss-prod-ue1-notif-32.aws.adobess.com
68.87.29.197,login.xfinity.com
13.225.62.56,api-cache.blizzcon.com
96.115.198.242,xtvapi.cloudtv.comcast.net
104.18.45.69,securelogin4.funnyjunk.com
149.56.126.49,funnyjunk.com
107.167.110.216,sitecheck.opera.com
157.55.212.205,checkappexec.microsoft.com
198.27.121.189,bigcdnjs4.funnyjunk.com
165.254.49.140,steamcdn-a.akamaihd.net
23.60.68.82,steamstore-a.akamaihd.net
165.254.49.140,steamcdn-a.akamaihd.net
165.254.49.140,steamcdn-a.akamaihd.net
128.116.112.44,users.roblox.com
104.16.31.91,na.ledge.leagueoflegends.com
13.225.210.120,d3cv4a9a9wh0bt.cloudfront.net
31.13.65.36,www.facebook.com
