172.217.6.238,clients1.google.com
173.222.103.248,s8t.teads.tv
104.244.37.20,dt.adsafeprotected.com
23.54.179.4,sync.teads.tv
104.244.37.20,dt.adsafeprotected.com
130.211.30.87,ads-us.rd.linksynergy.com
104.255.107.132,nba2k20-ws.2ksports.com
23.192.43.215,libs.pixfs.net
69.31.76.105,a248.e.akamai.net
35.244.154.98,amp.rd.linksynergy.com
104.124.102.104,cdn.doubleverify.com
96.17.64.132,cdn.doubleverify.com
104.81.150.188,ads.rd.linksynergy.com
204.154.111.144,rtb2.doubleverify.com
96.17.64.132,cdn3.doubleverify.com
45.57.91.1,assets.nflxext.com
45.57.90.1,codex.nflxext.com
54.80.77.89,www.netflix.com
204.154.111.144,tps617.doubleverify.com
204.154.111.144,tps617.doubleverify.com
204.154.111.144,tps.doubleverify.com
104.81.150.188,ads.rd.linksynergy.com
35.241.23.116,nypi.dc-storm.com
34.98.67.3,tags.rd.linksynergy.com
204.154.111.144,tps10207.doubleverify.com
