23.192.51.202,remote-config.gog.com
40.67.188.15,presence-heartbeat.xboxlive.com
20.36.219.28,activity.windows.com
104.126.112.194,api1.origin.com
104.126.112.194,api1.origin.com
23.203.132.58,www.origin.com
104.126.112.194,api4.origin.com
34.236.64.18,pin-river.data.ea.com
34.197.40.238,river.data.ea.com
3.17.209.203,capi.connatix.com
104.126.114.90,livetileedge.dsx.mp.microsoft.com
104.126.114.90,livetileedge.dsx.mp.microsoft.com
13.107.21.200,platform.bing.com
34.231.11.82,river.data.ea.com
52.179.129.229,arc.msn.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
128.116.112.44,users.roblox.com
13.225.220.34,api-v2.soundcloud.com
13.225.220.58,l9bjkkhaycw6f8f4.soundcloud.com
13.67.187.213,phoenix.maelstrom.gameservices.xboxlive.com
13.225.212.6,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
52.114.132.73,mobile.pipe.aria.microsoft.com
52.114.132.73,mobile.pipe.aria.microsoft.com
151.101.118.167,gql.twitch.tv
34.209.106.197,www.netflix.com
68.67.160.76,ib.adnxs.com
46.4.174.10,api-new.gocashback.com
34.197.40.238,river.data.ea.com
96.17.64.192,iphone-ld.apple.com
8.36.80.215,events.gfe.nvidia.com
104.126.112.194,api1.origin.com
172.217.11.46,news.google.com
20.36.218.208,userpresence.xboxlive.com
13.107.3.128,config.edge.skype.com
8.36.80.215,events.gfe.nvidia.com
162.159.133.233,discordapp.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
68.67.160.76,ib.adnxs.com
13.225.230.122,na.op.gg
13.225.230.78,static.developer.riotgames.com
151.139.128.10,hb.vntsm.com
104.26.10.100,mrb.upapi.net
31.13.65.7,connect.facebook.net
13.225.230.74,cdn.exelator.com
185.59.223.24,a1.vdna-assets.com
52.52.238.239,analytics.developer.riotgames.com
93.158.134.119,mc.yandex.ru
52.71.235.116,developer.api.autodesk.com
52.71.235.116,developer.api.autodesk.com
52.71.235.116,developer.api.autodesk.com
192.81.242.131,34acf0414d836d3f8d491c6186153694.my.2k.com
24.105.29.76,telemetry-in.battle.net
3.221.116.27,public-ubiservices.ubi.com
31.13.65.7,scontent.xx.fbcdn.net
148.153.38.118,message.bilibili.com
148.153.64.18,api.vc.bilibili.com
34.197.40.238,river.data.ea.com
52.35.252.98,ekg.riotgames.com
47.246.15.234,s2.hdslb.com
47.246.15.235,s1.hdslb.com
128.116.112.44,users.roblox.com
17.164.1.41,lcdn-locator.apple.com
17.248.142.86,edge-054.uschi.icloud-content.com
52.33.157.25,www.netflix.com
17.248.135.76,p55-sharedstreams.icloud.com
13.225.220.58,l9bjkkhaycw6f8f4.soundcloud.com
52.4.42.220,prd-collector-anon.playbuzz.com
46.4.174.10,mail.google.com
13.225.226.153,slack.com
3.86.151.242,us1-00000031.userreplay.net
52.54.188.100,rtm.tnt-ea.com
13.107.5.88,evoke-windowsservices-tas.msedge.net
172.217.9.234,www.googleapis.com
172.253.122.109,imap.gmail.com
3.221.201.246,spocs.getpocket.com
104.126.113.72,getpocket.cdn.mozilla.net
128.116.112.44,users.roblox.com
211.234.127.21,logs.81plug.com
13.225.230.56,cf-st.sc-cdn.net
34.197.40.238,river.data.ea.com
172.217.12.202,android.googleapis.com
172.217.10.42,mdh-pa.googleapis.com
172.217.9.234,www.googleapis.com
40.69.219.197,array615.prod.do.dsp.mp.microsoft.com
170.106.7.217,webim.tim.qq.com
35.186.224.47,dealer.spotify.com
172.217.12.202,android.googleapis.com
172.217.12.202,android.googleapis.com
52.114.128.9,mobile.pipe.aria.microsoft.com
192.81.242.131,34acf0414d836d3f8d491c6186153694.my.2k.com
172.217.10.238,suggestqueries.google.com
172.217.7.14,redirector.googlevideo.com
172.217.7.14,redirector.googlevideo.com
172.217.7.14,redirector.googlevideo.com
13.226.39.32,js.prd.fusionapi.autodesk.com
13.107.3.128,config.edge.skype.com
13.107.18.11,substrate.office.com
13.107.18.11,substrate.office.com
52.114.132.22,mobile.pipe.aria.microsoft.com
35.190.44.0,lsp.hackerrank.com
35.190.44.0,lsp.hackerrank.com
35.227.237.213,chat-gateway-prod.chat.snapchat.com
3.210.25.111,us-east1-aws.api.snapchat.com
52.206.74.136,loca.sc-jpl.com
35.227.238.95,loc.sc-jpl.com
130.211.46.74,usc.adserver.snapads.com
23.78.168.218,metrics.hackerrank.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
34.216.122.36,www.netflix.com
165.254.49.142,steamcdn-a.akamaihd.net
165.254.49.142,steamcdn-a.akamaihd.net
165.254.49.142,steamcdn-a.akamaihd.net
17.253.117.204,mesu.apple.com
172.217.11.46,google.com
128.116.112.44,users.roblox.com
17.174.1.5,guzzoni.apple.com
203.205.239.181,commdata.v.qq.com
203.205.239.181,commdata.v.qq.com
96.6.24.65,bcat-topics-lp1.cdn.nintendo.net
96.6.27.21,dragons.hac.lp1.dragons.nintendo.net
20.36.219.28,activity.windows.com
96.6.27.21,dragons.hac.lp1.dragons.nintendo.net
170.106.7.217,webim.tim.qq.com
13.225.220.58,l9bjkkhaycw6f8f4.soundcloud.com
3.12.45.13,capi.connatix.com
172.217.10.74,play.googleapis.com
40.91.72.120,presence-heartbeat.xboxlive.com
13.225.230.45,e0d67c509fb203858ebcb2fe3f88c2aa.baas.nintendo.com
17.248.187.136,p10-caldav.icloud.com
203.205.235.38,qappcenter.3g.qq.com
148.153.38.118,api.vc.bilibili.com
13.226.39.8,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
172.217.11.46,calendar.google.com
172.217.11.46,calendar.google.com
162.159.134.232,images-ext-2.discordapp.net
104.67.4.7,mesu.apple.com
54.209.209.95,receive-lp1.dg.srv.nintendo.net
68.67.178.22,ib.adnxs.com
172.217.12.138,remotedesktop-pa.googleapis.com
172.217.12.138,remotedesktop-pa.googleapis.com
46.4.174.10,api-new.gocashback.com
46.4.174.10,api-new.gocashback.com
46.4.194.70,api-new.gocashback.com
103.126.92.132,interface.music.163.com
59.111.239.61,httpdns.n.netease.com
46.4.194.70,api-new.gocashback.com
54.209.209.95,receive-lp1.dg.srv.nintendo.net
35.190.43.134,gcp.api.snapchat.com
96.6.24.65,bcat-list-lp1.cdn.nintendo.net
52.33.157.25,www.netflix.com
17.248.142.86,edge-054.uschi.icloud-content.com
172.217.10.74,play.googleapis.com
52.34.152.98,ekg.riotgames.com
17.57.144.9,courier.push.apple.com.
35.186.224.53,spclient.wg.spotify.com
172.253.122.188,mtalk.google.com
69.192.108.239,api1.origin.com
162.159.133.234,gateway.discord.gg
162.159.138.234,best.discord.media
162.159.130.233,discordapp.com
162.159.134.233,status.discordapp.com
13.73.26.107,v10.events.data.microsoft.com
69.192.109.125,as-sec.casalemedia.com
52.204.31.112,aauth-lp1.ndas.srv.nintendo.net
52.204.31.112,aauth-lp1.ndas.srv.nintendo.net
17.248.135.83,p49-calendars.icloud.com
13.225.230.49,e0d67c509fb203858ebcb2fe3f88c2aa.baas.nintendo.com
13.225.230.45,na.op.gg
151.139.128.10,hb.vntsm.com
13.225.230.48,static.developer.riotgames.com
104.26.11.100,mrb.upapi.net
31.13.65.7,connect.facebook.net
13.225.230.74,cdn.exelator.com
195.181.169.2,a1.vdna-assets.com
172.217.9.229,mail.google.com
170.106.7.217,webim.tim.qq.com
165.254.49.140,steamcdn-a.akamaihd.net
35.160.149.25,g23380901-lp1.s.n.srv.nintendo.net
104.110.253.23,gspe1-ssl.ls.apple.com
96.6.27.21,dragons.hac.lp1.dragons.nintendo.net
59.111.0.200,mumu.nie.netease.com
192.81.242.131,34acf0414d836d3f8d491c6186153694.my.2k.com
20.36.218.208,presence-heartbeat.xboxlive.com
159.153.191.240,accounts.ea.com
54.148.122.222,ekg.riotgames.com
148.153.38.118,message.bilibili.com
162.159.129.233,discordapp.com
13.225.218.115,d3cv4a9a9wh0bt.cloudfront.net
34.205.112.4,sirius.mwbsys.com
172.217.11.19,cloud.bluestacks.com
172.217.9.229,mail.google.com
47.246.15.235,s1.hdslb.com
148.153.64.18,www.bilibili.com
148.153.64.18,www.bilibili.com
47.246.15.234,s2.hdslb.com
47.246.3.232,static.hdslb.com
47.246.15.238,i0.hdslb.com
35.186.224.53,spclient.wg.spotify.com
128.116.112.44,users.roblox.com
172.217.11.46,calendar.google.com
172.217.12.174,google.com
172.217.11.46,calendar.google.com
13.225.226.153,slack.com
17.248.135.148,p14-caldav.icloud.com
52.25.170.114,ekg.riotgames.com
17.248.135.176,p14-caldav.icloud.com
148.153.38.118,api.vc.bilibili.com
13.225.220.58,l9bjkkhaycw6f8f4.soundcloud.com
34.197.21.157,river.data.ea.com
17.248.135.213,api.apple-cloudkit.com
35.160.251.36,www.netflix.com
162.159.130.232,images-ext-2.discordapp.net
162.159.129.232,images-ext-1.discordapp.net
162.159.133.232,media.discordapp.net
18.213.183.93,datarouter.ol.epicgames.com
172.217.12.163,connectivitycheck.gstatic.com
170.106.7.217,webim.tim.qq.com
52.114.158.91,v10.events.data.microsoft.com
172.217.12.138,remotedesktop-pa.googleapis.com
172.217.12.138,remotedesktop-pa.googleapis.com
162.254.192.109,cm4-iad1.cm.steampowered.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
172.217.10.138,safebrowsing.googleapis.com
128.116.112.44,users.roblox.com
23.43.168.33,bag.itunes.apple.com
40.91.72.120,presence-heartbeat.xboxlive.com
34.198.220.163,river.data.ea.com
13.225.218.225,d3cv4a9a9wh0bt.cloudfront.net
35.186.224.47,dealer.spotify.com
23.192.51.202,presence.gog.com
192.81.242.131,34acf0414d836d3f8d491c6186153694.my.2k.com
52.114.128.9,mobile.pipe.aria.microsoft.com
13.225.218.115,d3cv4a9a9wh0bt.cloudfront.net
13.225.218.115,d3cv4a9a9wh0bt.cloudfront.net
170.106.7.217,webim.tim.qq.com
104.16.1.92,na.ledge.leagueoflegends.com
13.225.218.115,d3cv4a9a9wh0bt.cloudfront.net
31.13.71.1,www.messenger.com
31.13.65.51,graph.oculus.com
20.36.218.208,presence-heartbeat.xboxlive.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
128.116.112.44,users.roblox.com
62.210.167.19,t17.viduplayer.com
