23.194.122.27,us-ivt.np.community.playstation.net
52.109.92.22,ocws.officeapps.live.com
52.109.92.22,ocws.officeapps.live.com
52.109.92.22,ocws.officeapps.live.com
13.91.131.5,directory.services.live.com
52.109.92.22,ocws.officeapps.live.com
23.51.183.138,profile.live.com
52.109.6.6,roaming.officeapps.live.com
13.107.42.12,d.docs.live.net
198.27.121.188,bigcdnjs3.funnyjunk.com
13.107.136.9,nyu0-my.sharepoint.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
157.240.1.52,scontent-lht6-1.cdninstagram.com
31.13.71.174,www.instagram.com
137.135.96.104,wdcp.microsoft.com
20.36.219.28,activity.windows.com
13.107.42.12,d.docs.live.net
20.44.85.237,displaycatalog.mp.microsoft.com
20.44.85.237,displaycatalog.mp.microsoft.com
172.217.10.74,chat-pa.clients6.google.com
13.225.212.61,js.prd.fusionapi.autodesk.com
203.205.239.16,p.qlogo.cn
144.217.180.139,bigcdnjs1.funnyjunk.com
216.165.46.10,newclasses.nyu.edu
216.165.47.16,shibboleth.nyu.edu
216.165.47.12,www.nyu.edu
144.217.180.139,bigcdnjs1.funnyjunk.com
13.107.136.9,nyu0-my.sharepoint.com
216.165.47.16,shibboleth.nyu.edu
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
54.241.191.153,api-e4c9863e.duosecurity.com
23.221.202.56,c.go-mpulse.net
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
13.226.39.37,firefox.settings.services.mozilla.com
13.107.136.9,nyu0-my.sharepoint.com
13.225.62.68,content-signature-2.cdn.mozilla.net
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
13.107.42.12,d.docs.live.net
13.226.39.37,firefox.settings.services.mozilla.com
52.114.158.91,v10.events.data.microsoft.com
144.217.180.139,bigcdnjs1.funnyjunk.com
52.109.6.6,roaming.officeapps.live.com
52.114.158.91,v10.events.data.microsoft.com
198.27.121.188,bigcdnjs3.funnyjunk.com
13.225.63.117,d3cv4a9a9wh0bt.cloudfront.net
45.57.91.1,assets.nflxext.com
45.57.91.1,codex.nflxext.com
13.107.136.9,nyu0-my.sharepoint.com
52.35.252.98,ekg.riotgames.com
13.107.42.12,d.docs.live.net
31.13.65.52,graph.instagram.com
31.13.65.52,graph.instagram.com
198.27.121.189,bigcdnjs4.funnyjunk.com
23.194.120.195,api1.origin.com
31.13.65.52,i.instagram.com
203.205.235.68,cgi.qqweb.qq.com
203.205.254.167,cgi.find.qq.com
52.179.129.229,arc.msn.com
13.107.136.9,nyu0-my.sharepoint.com
13.107.42.12,d.docs.live.net
198.27.121.188,bigcdnjs3.funnyjunk.com
13.225.212.60,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
13.65.85.146,tm-sdk.platinumai.net
40.90.22.189,login.live.com
204.79.197.200,www.bing.com
13.107.136.9,nyu0-my.sharepoint.com
13.107.42.12,d.docs.live.net
198.27.121.189,bigcdnjs4.funnyjunk.com
192.99.103.81,bigcdnjs2.funnyjunk.com
52.35.183.78,ekg.riotgames.com
13.107.136.9,nyu0-my.sharepoint.com
23.194.120.195,api1.origin.com
23.194.120.195,secure.download.dm.origin.com
23.194.120.195,secure.download.dm.origin.com
23.194.120.195,secure.download.dm.origin.com
68.67.160.184,nym1-ib.adnxs.com
52.218.229.147,ubp-common-us-prod.s3.amazonaws.com
192.99.103.81,bigcdnjs2.funnyjunk.com
52.218.220.208,s3-us-west-2.amazonaws.com
13.107.136.9,nyu0-my.sharepoint.com
172.217.7.10,remotedesktop-pa.googleapis.com
172.217.7.10,remotedesktop-pa.googleapis.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.47.12,www.nyu.edu
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
144.217.180.139,bigcdnjs1.funnyjunk.com
198.27.121.188,bigcdnjs3.funnyjunk.com
68.67.160.114,ib.adnxs.com
13.225.63.35,d3cv4a9a9wh0bt.cloudfront.net
203.205.137.226,imgcache.qq.com
148.153.64.18,message.bilibili.com
13.107.136.9,nyu0-my.sharepoint.com
203.205.239.16,p.qlogo.cn
203.205.137.226,imgcache.qq.com
216.165.47.16,shibboleth.nyu.edu
216.165.46.10,newclasses.nyu.edu
172.217.11.19,cloud.bluestacks.com
52.179.129.229,arc.msn.com
198.27.121.188,bigcdnjs3.funnyjunk.com
17.248.142.55,gateway.icloud.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
172.217.11.10,safebrowsing.googleapis.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
23.38.167.33,steamcdn-a.akamaihd.net
23.38.167.33,steamcdn-a.akamaihd.net
23.38.167.33,steamcdn-a.akamaihd.net
13.107.136.9,nyu0-my.sharepoint.com
162.159.135.233,discordapp.com
13.225.212.101,heartbeat-gateway.cheggnet.com
148.153.38.118,api.vc.bilibili.com
13.225.62.75,na.op.gg
52.52.238.239,analytics.developer.riotgames.com
52.113.194.132,config.teams.microsoft.com
159.153.191.240,accounts.ea.com
13.73.26.107,mobile.pipe.aria.microsoft.com
13.73.26.107,mobile.pipe.aria.microsoft.com
192.99.103.81,bigcdnjs2.funnyjunk.com
13.226.39.32,js.prd.fusionapi.autodesk.com
13.107.42.12,d.docs.live.net
13.107.136.9,nyu0-my.sharepoint.com
198.27.121.188,bigcdnjs3.funnyjunk.com
13.107.136.9,nyu0-my.sharepoint.com
23.78.209.78,www.origin.com
23.221.202.56,c.go-mpulse.net
52.54.188.100,rtm.tnt-ea.com
13.107.136.9,nyu0-my.sharepoint.com
45.57.91.1,codex.nflxext.com
45.57.90.1,assets.nflxext.com
34.251.209.123,www.netflix.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
23.52.160.16,settings-ssl.xboxlive.com
31.13.71.36,www.facebook.com
31.13.71.1,www.messenger.com
13.107.136.9,nyu0-my.sharepoint.com
52.114.6.45,prod.registrar.skype.com
20.36.218.63,settings-win.data.microsoft.com
13.107.5.88,evoke-windowsservices-tas.msedge.net
40.90.22.187,login.live.com
13.107.42.12,api.onedrive.com
203.205.239.16,p.qlogo.cn
52.179.129.229,arc.msn.com
13.107.136.9,nyu0-my.sharepoint.com
20.36.219.28,activity.windows.com
52.109.92.24,roaming.officeapps.live.com
13.107.136.9,nyu0-my.sharepoint.com
52.109.92.24,roaming.officeapps.live.com
13.225.212.29,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
13.107.136.9,nyu0-my.sharepoint.com
13.107.136.9,nyu0-my.sharepoint.com
198.27.121.188,bigcdnjs3.funnyjunk.com
52.114.158.91,v10.events.data.microsoft.com
13.107.136.9,nyu0-my.sharepoint.com
13.225.230.8,e0d67c509fb203858ebcb2fe3f88c2aa.baas.nintendo.com
13.225.230.8,e0d67c509fb203858ebcb2fe3f88c2aa.baas.nintendo.com
13.225.230.8,e0d67c509fb203858ebcb2fe3f88c2aa.baas.nintendo.com
198.27.121.188,bigcdnjs3.funnyjunk.com
13.107.42.12,d.docs.live.net
