180.169.106.30,casper.saschina.org
162.159.135.233,discordapp.com
37.228.108.133,autoupdate.geo.opera.com
69.192.108.239,api1.origin.com
101.89.125.234,switch.pcfg.cache.wpscdn.cn
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
3.219.244.74,securemetrics.apple.com
23.47.147.53,www.apple.com
23.78.168.239,www.stubhub.com
23.196.177.40,api.gog.com
23.196.177.40,content-system.gog.com
20.36.218.63,settings-win.data.microsoft.com
17.42.254.14,p14-buy.itunes.apple.com
140.211.10.79,wiki.python.org
140.211.10.79,wiki.python.org
140.211.10.79,wiki.python.org
140.211.10.79,wiki.python.org
140.211.10.79,wiki.python.org
137.221.106.102,us.battle.net
140.211.10.79,wiki.python.org
13.225.210.4,d3cv4a9a9wh0bt.cloudfront.net
23.63.71.170,bnetus-a.akamaihd.net
137.221.106.111,cache-cms-ext-us.battle.net
17.248.135.72,p42-keyvalueservice.icloud.com
17.248.187.136,gateway.icloud.com
137.221.106.24,us-legal.battle.net
23.63.71.170,bnetus-a.akamaihd.net
172.217.25.14,www.google-analytics.com
69.166.1.15,apex.go.sonobi.com
165.227.252.242,e.serverbid.com
172.217.10.84,psyonix-rl.appspot.com
172.217.6.234,remotedesktop-pa.googleapis.com
172.217.6.234,remotedesktop-pa.googleapis.com
17.248.135.245,p42-keyvalueservice.icloud.com
172.217.12.174,calendar.google.com
17.57.144.165,courier.push.apple.com
104.244.38.20,dt.adsafeprotected.com
104.244.38.20,dt.adsafeprotected.com
23.38.167.33,steamcdn-a.akamaihd.net
23.38.167.33,steamcdn-a.akamaihd.net
23.38.167.33,steamcdn-a.akamaihd.net
172.253.122.188,mtalk.google.com
23.38.167.33,steamcdn-a.akamaihd.net
23.38.167.33,steamcdn-a.akamaihd.net
23.38.167.33,steamcdn-a.akamaihd.net
23.38.167.33,steamcdn-a.akamaihd.net
23.38.167.33,steamcdn-a.akamaihd.net
23.38.167.33,steamcdn-a.akamaihd.net
23.38.167.33,steamcdn-a.akamaihd.net
24.105.29.76,telemetry-in.battle.net
35.186.224.53,spclient.wg.spotify.com
35.186.224.53,spclient.wg.spotify.com
77.88.21.119,mc.yandex.ru
23.47.147.53,www.apple.com
216.239.38.117,www.google.com
77.88.21.119,mc.yandex.ru
77.88.21.119,mc.yandex.ru
77.88.21.119,mc.yandex.ru
52.87.63.98,prd-collector-anon.playbuzz.com
52.114.75.78,v20.events.data.microsoft.com
151.101.65.140,v.redd.it
151.101.65.140,v.redd.it
23.20.28.69,ss-prod-ue1-notif-32.aws.adobess.com
52.114.132.20,v20.events.data.microsoft.com
69.192.108.239,api1.origin.com
70.37.74.6,smartscreen-prod.microsoft.com
23.194.120.5,gameplayapi.intel.com
23.47.147.197,configuration.ls.apple.com
151.101.0.116,auto-api.yelp.com
17.249.178.38,gsp57-ssl-background.ls.apple.com
17.249.130.18,gsp57-ssl-background.ls.apple.com
23.194.120.5,gameplayapi.intel.com
23.194.120.5,gameplayapi.intel.com
23.22.181.213,ss-prod-ue1-notif-27.aws.adobess.com
173.194.175.109,imap.gmail.com
173.194.175.109,imap.gmail.com
173.194.31.250,r4---sn-ab5l6nzd.googlevideo.com
173.194.31.250,r4---sn-ab5l6nzd.googlevideo.com
172.217.9.246,i.ytimg.com
172.217.10.234,safebrowsing.googleapis.com
23.194.120.5,gameplayapi.intel.com
13.226.39.27,slack.com
17.179.252.2,gsa.apple.com
52.41.207.102,video-edge-f5abf9.pdx01.abs.hls.ttvnw.net
192.229.210.163,video.twimg.com
192.229.210.163,video.twimg.com
52.114.75.149,v10.events.data.microsoft.com
52.179.129.229,arc.msn.com
128.116.112.44,users.roblox.com
35.186.224.53,spclient.wg.spotify.com
23.221.200.111,www.paypal.com
23.40.28.80,www.paypalobjects.com
172.217.3.106,addons-pa.clients6.google.com
172.217.10.46,play.google.com
20.36.218.63,settings-win.data.microsoft.com
172.217.3.106,addons-pa.clients6.google.com
74.125.159.59,r5---sn-vgqskn7e.googlevideo.com
17.57.12.11,gsp64-ssl.ls.apple.com
17.57.12.11,gsp64-ssl.ls.apple.com
59.111.239.61,httpdns.n.netease.com
172.217.10.42,chat-pa.clients6.google.com
23.47.146.227,store.storeimages.cdn-apple.com
172.217.10.42,chat-pa.clients6.google.com
23.47.146.227,store.storeimages.cdn-apple.com
23.47.146.227,store.storeimages.cdn-apple.com
23.47.146.227,store.storeimages.cdn-apple.com
23.47.146.227,store.storeimages.cdn-apple.com
23.47.146.227,store.storeimages.cdn-apple.com
104.17.209.9,api.golinkapi.com
184.50.214.205,checkout.paypal.com
204.109.13.121,api.braintreegateway.com
54.225.216.71,341800575.log.optimizely.com
54.225.216.71,341800575.log.optimizely.com
23.78.168.239,telluwhat.stubhub.com
23.78.168.239,www.stubhub.com
23.78.168.239,log.stubhub.com
35.186.224.47,dealer.spotify.com
13.225.210.177,d3cv4a9a9wh0bt.cloudfront.net
23.43.255.147,xp.apple.com
23.40.30.102,xp.apple.com
17.253.97.208,mesu.apple.com
17.248.187.136,gateway.icloud.com
17.248.187.136,gateway.icloud.com
104.18.23.175,csgolounge.com
165.227.252.242,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
54.200.78.47,proxy.gamestream.nvidia.com
13.88.23.8,checkappexec.microsoft.com
40.91.72.120,presence-heartbeat.xboxlive.com
52.114.7.38,self.events.data.microsoft.com
52.114.7.38,self.events.data.microsoft.com
104.244.38.20,dt.adsafeprotected.com
104.244.38.20,dt.adsafeprotected.com
17.248.135.210,p14-keyvalueservice.icloud.com
104.36.195.140,www.ubereats.com
13.225.210.205,d3i4yxtzktqr9n.cloudfront.net
162.159.129.233,discordapp.com
162.159.129.233,discordapp.com
204.79.197.200,bat.bing.com
54.171.70.38,collector-2817.tvsquared.com
162.159.129.232,media.discordapp.net
13.225.212.39,api-cache.blizzcon.com
34.234.23.242,securemetrics.apple.com
23.78.168.239,log.stubhub.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
104.40.91.191,checkappexec.microsoft.com
13.225.210.120,d3cv4a9a9wh0bt.cloudfront.net
128.116.112.44,users.roblox.com
24.105.29.76,telemetry-in.battle.net
31.13.66.19,platform-lookaside.fbsbx.com
40.79.66.194,array501.prod.do.dsp.mp.microsoft.com
38.106.231.204,osfsr.lenovomm.com
17.253.15.203,mesu.apple.com
172.93.105.50,cache.cdnfile.info
104.31.70.253,gogoanime.video
104.26.0.213,vidstreaming.io
13.248.131.92,metrics-collector.s-onetag.com
13.225.212.11,d2jjzw81hqbuqv.cloudfront.net
35.169.177.252,apps.rokt.com
23.218.107.194,roktcdn1.akamaized.net
23.218.107.194,roktcdn1.akamaized.net
35.169.177.252,apps.rokt.com
17.125.249.5,p72-buy.itunes.apple.com
172.253.122.188,mtalk.google.com
172.217.197.113,s.youtube.com
128.238.155.11,128.238.155.11
34.193.79.202,acp-ss-ue1.adobe.io
23.20.28.69,ss-prod-ue1-notif-32.aws.adobess.com
35.186.224.53,spclient.wg.spotify.com
128.238.155.11,128.238.155.11
13.107.5.91,www.xboxab.com
