140.205.250.8,phs.tanx.com
18.235.79.162,ss-prod-ue1-notif-32.aws.adobess.com
52.109.76.30,nexusrules.officeapps.live.com
3.226.33.140,dl-debug.dropbox.com
112.90.77.170,huatuospeed.weiyun.com
222.88.93.86,sdk1xyajs-data.xycdn.com
203.205.239.214,stat.y.qq.com
23.55.235.81,upos-hz-mirrorakam.akamaized.net
54.71.49.71,ece4.playfabapi.com
172.253.122.108,imap.gmail.com
203.205.235.178,huatuocode.weiyun.com
58.250.11.11,jqmt.qq.com
148.153.38.118,api.bilibili.com
35.186.224.47,dealer.spotify.com
23.55.235.81,upos-hz-mirrorakam.akamaized.net
13.68.168.63,spoc.norton.com
17.174.1.5,guzzoni.apple.com
123.162.191.218,sdk1xyajs-data.xycdn.com
123.162.191.218,sdk1xyajs-data.xycdn.com
123.162.191.218,sdk1xyajs-data.xycdn.com
204.79.197.200,www.bing.com
13.107.18.11,substrate.office.com
128.238.155.11,128.238.155.11
52.179.129.229,arc.msn.com
128.238.155.11,128.238.155.11
172.217.10.37,mail.google.com
52.113.194.132,config.teams.microsoft.com
13.107.136.9,nyu0-my.sharepoint.com
72.21.81.200,az700632.vo.msecnd.net
165.227.252.242,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
23.222.27.14,go.microsoft.com
104.214.77.221,targetednotifications-tm.trafficmanager.net
72.21.81.200,az700632.vo.msecnd.net
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
65.55.44.109,vortex.data.microsoft.com
65.55.44.109,vortex.data.microsoft.com
152.195.12.171,liveupdate.symantecliveupdate.com
52.114.75.79,mobile.pipe.aria.microsoft.com
52.114.75.79,mobile.pipe.aria.microsoft.com
13.107.255.17,peer5-ash.msedge.net
13.107.6.254,b-ring.msedge.net
13.107.136.254,spo-ring.msedge.net
204.79.197.222,fp.msedge.net
23.222.27.14,go.microsoft.com
104.214.77.221,targetednotifications-tm.trafficmanager.net
23.55.235.72,upos-hz-mirrorakam.akamaized.net
72.21.81.200,az700632.vo.msecnd.net
204.154.111.117,rtb0.doubleverify.com
204.154.111.105,tps618.doubleverify.com
204.154.111.105,tps618.doubleverify.com
205.185.216.42,servedby.flashtalking.com
205.185.216.42,cdn.flashtalking.com
204.154.111.117,tps.doubleverify.com
100.26.116.127,ss-prod-ue1-notif-27.aws.adobess.com
104.244.36.20,dt.adsafeprotected.com
172.217.7.10,wirelessdevicestats.googleapis.com
172.217.7.10,wirelessdevicestats.googleapis.com
23.222.27.14,go.microsoft.com
13.225.206.153,slack.com
204.154.111.142,tps10276.doubleverify.com
23.55.235.72,upos-hz-mirrorakam.akamaized.net
204.154.111.105,tps10218.doubleverify.com
72.21.81.200,az700632.vo.msecnd.net
13.107.5.88,visualstudio-devdiv-c2s.msedge.net
123.162.191.218,sdk1xyajs-data.xycdn.com
123.162.191.218,sdk1xyajs-data.xycdn.com
123.162.191.218,sdk1xyajs-data.xycdn.com
40.71.12.231,dc.services.visualstudio.com
148.153.64.18,api.vc.bilibili.com
20.36.219.28,activity.windows.com
31.13.66.4,www.messenger.com
148.153.64.18,api.bilibili.com
104.16.36.99,playerpreferences.riotgames.com
23.222.27.14,go.microsoft.com
13.107.42.18,marketplace.visualstudio.com
35.172.81.156,rtm.tnt-ea.com
13.225.210.177,d3cv4a9a9wh0bt.cloudfront.net
13.226.37.224,d3cv4a9a9wh0bt.cloudfront.net
148.153.38.118,api.bilibili.com
164.52.33.179,data.bilibili.com
23.55.235.72,upos-hz-mirrorakam.akamaized.net
164.52.33.179,data.bilibili.com
222.88.93.85,sdk1xyajs-data.xycdn.com
52.34.208.16,ekg.riotgames.com
128.1.102.21,sqimg.qq.com
72.21.81.200,az667904.vo.msecnd.net
18.211.155.46,sstats.adobe.com
23.55.235.72,upos-hz-mirrorakam.akamaized.net
23.13.174.129,configuration.ls.apple.com
23.55.235.72,upos-hz-mirrorakam.akamaized.net
23.55.235.72,upos-hz-mirrorakam.akamaized.net
23.55.235.72,upos-hz-mirrorakam.akamaized.net
17.249.162.38,gsp-ssl.ls.apple.com
172.217.10.46,play.google.com
172.217.10.106,addons-pa.clients6.google.com
172.217.10.238,play.google.com
172.217.11.10,addons-pa.clients6.google.com
104.244.36.20,dt.adsafeprotected.com
172.217.3.106,safebrowsing.googleapis.com
17.248.135.243,gateway.icloud.com
17.248.135.243,gateway.icloud.com
222.88.93.85,sdk1xyajs-data.xycdn.com
40.91.72.120,presence-heartbeat.xboxlive.com
128.116.112.44,users.roblox.com
172.217.10.106,chat-pa.clients6.google.com
23.246.7.184,occ-0-1001-2430.1.nflxso.net
54.77.24.36,www.netflix.com
54.77.24.36,www.netflix.com
40.112.49.67,smartscreen-prod.microsoft.com
40.112.49.67,smartscreen-prod.microsoft.com
222.88.93.85,sdk1xyajs-data.xycdn.com
222.88.93.85,sdk1xyajs-data.xycdn.com
52.218.253.24,s3-us-west-2.amazonaws.com
23.55.235.72,upos-hz-mirrorakam.akamaized.net
52.218.217.35,ubp-common-us-prod.s3.amazonaws.com
13.107.42.12,dm2305.storage.live.com
17.249.162.38,gsp-ssl.ls.apple.com
172.217.10.34,pagead2.googlesyndication.com
148.153.38.118,api.bilibili.com
172.217.10.129,tpc.googlesyndication.com
52.24.14.176,token.services.mozilla.com
35.165.119.189,profile.accounts.firefox.com
52.35.202.182,api.accounts.firefox.com
31.13.71.36,www.facebook.com
104.193.83.156,google2waycm.netmng.com
35.186.193.173,gcm.ctnsnet.com
34.96.87.211,rtb.openx.net
172.217.9.226,cm.g.doubleclick.net
35.207.24.140,rtb.mfadsrvr.com
172.217.11.38,s0.2mdn.net
138.201.8.30,google-sync.rutarget.ru
151.101.2.49,sync-tm.everesttech.net
74.6.138.75,pr-bh.ybp.yahoo.com
192.184.68.191,cms.quantserve.com
54.152.30.174,pixel.advertising.com
104.193.83.156,google2waycm.netmng.com
34.96.105.8,tr.blismedia.com
198.8.70.128,a.rfihub.com
23.40.29.65,ssum-sec.casalemedia.com
18.210.167.139,match.sharethrough.com
138.201.8.30,google-sync.rutarget.ru
3.218.90.66,ups.analytics.yahoo.com
85.114.159.93,dsp.adfarm1.adition.com
23.43.252.67,cs.media.net
185.167.164.39,c1.adform.net
209.15.36.37,pixel-sync.sitescout.com
169.61.103.241,um.simpli.fi
34.224.204.11,eb2.3lift.com
52.38.131.12,sync-632-us-west-2.sync.services.mozilla.com
17.142.171.7,gsp64-ssl.ls.apple.com
172.217.25.3,csi.gstatic.com
24.105.29.76,telemetry-in.battle.net
24.105.29.76,telemetry-in.battle.net
23.55.235.72,upos-hz-mirrorakam.akamaized.net
40.116.120.16,officehomeblobs.blob.core.windows.net
180.101.140.14,sdk1xyajs-data.xycdn.com
151.101.250.214,static-cdn.jtvnw.net
34.234.227.184,lightswitch-public-service-prod06.ol.epicgames.com
52.114.75.78,mobile.pipe.aria.microsoft.com
52.114.75.78,mobile.pipe.aria.microsoft.com
128.116.112.44,users.roblox.com
18.235.79.162,ss-prod-ue1-notif-32.aws.adobess.com
13.107.136.9,nyu0-my.sharepoint.com
17.248.135.202,gateway.icloud.com
52.179.129.229,arc.msn.com
165.227.252.242,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
65.55.44.109,vortex.data.microsoft.com
104.36.115.102,lyr.pubmatic.com
3.213.246.223,protected-by.clarium.io
185.167.164.37,a2.adform.net
23.210.148.244,s2.adform.net
34.96.105.8,tr.blismedia.com
34.230.121.6,magnetic.t.domdex.com
8.28.7.81,image6.pubmatic.com
222.88.93.86,sdk1xyajs-data.xycdn.com
35.207.24.140,rtb.mfadsrvr.com
23.55.235.81,upos-hz-mirrorakam.akamaized.net
222.88.93.85,sdk1xyajs-data.xycdn.com
204.154.111.106,rtb0.doubleverify.com
204.154.111.116,tps624.doubleverify.com
204.154.111.116,tps624.doubleverify.com
205.185.216.42,servedby.flashtalking.com
205.185.216.10,cdn.flashtalking.com
17.248.135.11,gateway.icloud.com
205.185.216.10,cdn.flashtalking.com
164.52.33.179,data.bilibili.com
148.153.64.18,message.bilibili.com
204.154.111.116,tps.doubleverify.com
204.154.111.116,tps.doubleverify.com
164.52.33.179,data.bilibili.com
164.52.33.179,data.bilibili.com
164.52.33.179,data.bilibili.com
13.225.212.123,connect-data.esoft.com
13.225.62.124,connect-assets.esoft.com
23.40.29.17,c8df8a41cf6851329c37-1626a054a54d8cef02a324905c73d1b4.ssl.cf5.rackcdn.com
13.225.62.124,connect-assets.esoft.com
148.153.38.118,api.bilibili.com
31.13.66.19,scontent-iad3-1.xx.fbcdn.net
23.55.235.81,upos-hz-mirrorakam.akamaized.net
13.225.65.153,slack.com
222.88.93.86,sdk1xyajs-data.xycdn.com
204.154.111.106,tps10228.doubleverify.com
204.154.111.116,tps10225.doubleverify.com
223.111.215.22,sdk1xyajs-data.xycdn.com
54.165.246.23,polka.typekit.com
223.111.215.21,sdk1xyajs-data.xycdn.com
40.67.188.15,presence-heartbeat.xboxlive.com
45.57.91.1,codex.nflxext.com
45.57.91.1,assets.nflxext.com
72.21.81.200,onecs-live.azureedge.net
204.79.197.200,www.bing.com
40.90.220.41,lfghub-anonymous.xboxlive.com
23.40.28.11,peoplehub.xboxlive.com
40.90.10.180,rta.xboxlive.com
115.236.96.246,sdk-log-scdn.yfdts.net
172.253.63.108,imap.gmail.com
23.246.7.193,ipv4-c365-nyc001-ix.1.oca.nflxvideo.net
23.246.7.208,ipv4-c380-nyc001-ix.1.oca.nflxvideo.net
23.246.7.208,ipv4-c380-nyc001-ix.1.oca.nflxvideo.net
148.153.64.18,api.bilibili.com
23.246.7.208,ipv4-c380-nyc001-ix.1.oca.nflxvideo.net
172.217.3.106,www.googleapis.com
104.16.120.50,auth.riotgames.com
104.16.199.132,entitlements.auth.riotgames.com
104.18.25.250,pas.geo.si.riotgames.com
173.222.103.209,www.expedia.com
211.152.149.15,mmbiz.qpic.cn
148.153.38.118,api.bilibili.com
38.106.231.204,osfsr.lenovomm.com
164.52.33.179,data.bilibili.com
203.205.239.154,mp.weixin.qq.com
203.205.239.154,mp.weixin.qq.com
23.55.235.81,upos-hz-mirrorakam.akamaized.net
203.205.239.154,mp.weixin.qq.com
203.205.239.154,mp.weixin.qq.com
38.106.231.204,osfsr.lenovomm.com
38.106.231.204,osfsr.lenovomm.com
172.253.122.109,imap.gmail.com
39.96.106.241,hao.lenovo.com.cn
172.253.122.109,imap.gmail.com
38.106.231.204,osfsr.lenovomm.com
38.106.231.204,osfsr.lenovomm.com
172.253.122.109,imap.gmail.com
23.22.181.213,ss-prod-ue1-notif-27.aws.adobess.com
223.111.215.21,sdk1xyajs-data.xycdn.com
13.107.5.91,www.xboxab.com
182.92.244.228,dsp.lenovo.com.cn
172.217.6.202,www.googleapis.com
148.153.64.18,message.bilibili.com
39.96.106.241,hao.lenovo.com.cn
35.161.179.71,ekg.riotgames.com
47.95.131.3,nsl.lenovo.com.cn
23.55.235.81,upos-hz-mirrorakam.akamaized.net
172.253.122.109,imap.gmail.com
172.253.122.109,imap.gmail.com
148.153.64.18,api.vc.bilibili.com
122.225.67.199,smartdl.lenovo.com.cn
182.92.244.228,dsp.lenovo.com.cn
223.111.215.21,sdk1xyajs-data.xycdn.com
211.152.148.76,mmbiz.qpic.cn
203.205.239.154,mp.weixin.qq.com
182.92.244.228,dsp.lenovo.com.cn
223.111.215.22,sdk1xyajs-data.xycdn.com
8.36.113.137,events.gfe.nvidia.com
128.116.112.44,users.roblox.com
72.21.81.200,iecvlist.microsoft.com
23.40.28.73,fs.microsoft.com
23.40.28.73,fs.microsoft.com
159.153.191.240,accounts.ea.com
137.221.106.102,us.battle.net
185.34.106.35,iw8-bnet-auth3.prod.demonware.net
137.221.106.14,us.api.blizzard.com
185.34.107.137,iw8-bnet-loginqueue.prod.demonware.net
172.253.122.108,imap.gmail.com
185.34.107.19,prod.umbrella.demonware.net
172.253.122.108,imap.gmail.com
223.111.215.22,sdk1xyajs-data.xycdn.com
185.34.107.16,prod.uno.demonware.net
34.218.3.71,pipes-prod-glutton.public.aws.demonware.net
23.55.235.81,upos-hz-mirrorakam.akamaized.net
100.20.32.19,pipes-prod-glutton.public.aws.demonware.net
182.92.244.228,dsp.lenovo.com.cn
172.217.12.138,remotedesktop-pa.googleapis.com
172.217.12.138,remotedesktop-pa.googleapis.com
148.153.64.18,api.bilibili.com
13.225.64.26,d3ovluux6b7f2q.cloudfront.net
35.186.224.47,dealer.spotify.com
23.55.235.81,upos-hz-mirrorakam.akamaized.net
223.111.215.22,sdk1xyajs-data.xycdn.com
223.111.215.22,sdk1xyajs-data.xycdn.com
172.217.10.42,appsitemsuggest-pa.clients6.google.com
222.88.93.86,sdk1xyajs-data.xycdn.com
38.106.231.204,osfsr.lenovomm.com
104.18.57.100,api.ffzap.com
172.217.11.14,docs.google.com
13.107.136.9,nyu0-my.sharepoint.com
23.55.235.81,upos-hz-mirrorakam.akamaized.net
13.225.62.119,9zqhb3hba48m0c382uno7k2t74isfi.ext-twitch.tv
165.227.252.242,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
204.154.111.106,rtb0.doubleverify.com
204.154.111.116,tps621.doubleverify.com
204.154.111.116,tps621.doubleverify.com
205.185.216.42,servedby.flashtalking.com
52.205.243.180,pixel.adsafeprotected.com
205.185.216.10,cdn.flashtalking.com
205.185.216.10,cdn.flashtalking.com
204.154.111.116,tps.doubleverify.com
52.179.129.229,arc.msn.com
13.107.136.9,nyu0-my.sharepoint.com
104.244.36.20,dt.adsafeprotected.com
23.55.235.81,upos-hz-mirrorakam.akamaized.net
31.13.66.4,www.messenger.com
222.88.93.85,sdk1xyajs-data.xycdn.com
204.154.111.106,tps10220.doubleverify.com
204.154.111.106,tps10218.doubleverify.com
180.101.140.14,sdk1xyajs-data.xycdn.com
222.88.93.85,sdk1xyajs-data.xycdn.com
148.153.64.18,api.vc.bilibili.com
13.225.65.153,slack.com
