192.229.163.146,cfg.gog.com
69.192.109.111,assets.adobedtm.com
52.1.193.162,dpm.demdex.net
216.165.47.12,www.nyu.edu
52.71.248.72,fls-na.amazon.com
13.226.36.20,d3cv4a9a9wh0bt.cloudfront.net
31.13.65.3,edge-mqtt.facebook.com
23.40.209.150,ces.53.com
3.89.214.96,fifththirdbank.sc.omtrdc.net
23.40.209.150,ces.53.com
172.217.9.229,mail.google.com
52.179.129.229,arc.msn.com
31.13.65.36,www.facebook.com
52.114.132.73,browser.pipe.aria.microsoft.com
34.234.23.242,sw88.espn.com
96.6.24.64,us-prof.np.community.playstation.net
13.226.27.53,soundcloud.com
96.6.24.64,us-prof.np.community.playstation.net
52.114.132.74,mobile.pipe.aria.microsoft.com
104.88.20.59,auth.api.np.ac.playstation.net
172.217.10.84,psyonix-rl.appspot.com
104.107.17.138,rnps-crl.dl.playstation.net
17.248.135.239,p32-keyvalueservice.icloud.com
128.116.112.44,users.roblox.com
54.88.130.39,datarouter.ol.epicgames.com
104.107.31.231,friends.rnps.dl.playstation.net
104.107.31.231,checkout.rnps.dl.playstation.net
104.107.31.231,party.rnps.dl.playstation.net
52.35.183.78,ekg.riotgames.com
40.69.223.198,array610.prod.do.dsp.mp.microsoft.com
104.17.244.204,cdn2.hubspot.net
104.17.133.180,www.theguarantors.com
96.116.129.16,xerxes-lite.traxion.xfinity.com
3.221.245.228,public-ubiservices.ubi.com
13.65.85.146,tm-sdk.platinumai.net
13.78.180.50,array806.prod.do.dsp.mp.microsoft.com
162.159.130.233,discordapp.com
96.118.248.245,xerxes-sub.xerxessecure.com
96.118.248.245,xerxes-sub.xerxessecure.com
208.80.154.240,upload.wikimedia.org
151.101.202.214,api.twitch.tv
3.83.200.164,app.getacceptd.com
172.217.9.228,www.google.com
172.217.10.78,www.google-analytics.com
162.150.57.167,oauth.xfinity.com
3.89.214.96,sw88.go.com
190.93.246.34,pixel.runative-syndicate.com
96.6.24.172,commerce.api.np.km.playstation.net
96.6.24.172,commerce.api.np.km.playstation.net
96.6.24.172,commerce.api.np.km.playstation.net
96.6.24.172,commerce.api.np.km.playstation.net
172.217.9.229,mail.google.com
96.6.24.172,commerce.api.np.km.playstation.net
96.6.24.172,commerce.api.np.km.playstation.net
13.225.212.95,ipm-release.cengage.com
204.79.197.200,www.bing.com
40.90.22.187,login.live.com
13.107.18.11,substrate.office.com
13.225.63.35,d3cv4a9a9wh0bt.cloudfront.net
13.226.36.189,d3cv4a9a9wh0bt.cloudfront.net
157.55.109.230,storage.live.com
157.55.109.230,storage.live.com
68.87.29.197,login.xfinity.com
20.36.219.28,activity.windows.com
35.186.224.53,spclient.wg.spotify.com
40.84.43.40,continuum.dds.microsoft.com
204.79.197.200,www.bing.com
128.116.112.44,assetgame.roblox.com
13.107.255.176,bgpdefault-nyc.msedge.net
13.107.3.254,s-ring.msedge.net
13.107.246.254,t-ring.msedge.net
204.79.197.222,fp.msedge.net
13.107.3.128,config.edge.skype.com
172.217.6.238,clients3.google.com
96.115.218.182,xtvapi.cloudtv.comcast.net
17.154.67.25,p25-buy.itunes.apple.com
162.159.136.234,gateway.discord.gg
72.21.81.200,onecs-live.azureedge.net
162.159.128.235,best.discord.media
162.159.135.233,discordapp.com
17.249.121.246,api-glb-nyc.smoot.apple.com
96.6.24.89,xp.apple.com
23.60.68.88,play.itunes.apple.com
128.116.112.44,users.roblox.com
165.227.16.206,api.thewikigame.com
96.6.24.64,us-ivt.np.community.playstation.net
96.6.24.64,us-ivt.np.community.playstation.net
96.6.24.64,us-prof.np.community.playstation.net
13.107.5.88,evoke-windowsservices-tas.msedge.net
34.234.23.242,sw88.espn.com
17.248.135.170,p29-keyvalueservice.icloud.com
96.115.218.182,xtvapi.cloudtv.comcast.net
13.226.39.47,assets-cdn.abcotvs.net
13.225.212.79,abc7ny.com
151.139.237.32,embed-prod.vemba.io
192.229.210.181,storage.uplynk.com
192.229.210.181,storage.uplynk.com
52.179.129.229,arc.msn.com
54.156.65.23,ss-prod-ue1-notif-32.aws.adobess.com
96.6.28.122,configuration.ls.apple.com
17.249.162.38,gsp-ssl.ls.apple.com
23.206.183.82,api.weather.com
52.37.241.112,session-22108.ww.np.matching.playstation.net
17.253.15.202,c.apple.news
172.253.122.188,mtalk.google.com
172.253.122.188,mtalk.google.com
45.57.90.1,codex.nflxext.com
52.23.100.14,www.netflix.com
172.217.10.10,oauthaccountmanager.googleapis.com
172.217.7.2,www.googleadservices.com
172.217.12.138,maps.googleapis.com
172.217.10.106,people-pa.googleapis.com
128.116.112.44,www.roblox.com
128.116.112.44,www.roblox.com
128.116.112.44,www.roblox.com
172.217.9.229,mail.google.com
172.217.12.174,calendar.google.com
128.116.112.44,www.roblox.com
128.116.112.44,www.roblox.com
128.116.112.44,www.roblox.com
128.116.112.44,www.roblox.com
128.116.112.44,www.roblox.com
40.90.22.188,login.live.com
172.217.12.138,people-pa.googleapis.com
31.13.65.7,scontent.xx.fbcdn.net
31.13.65.36,www.facebook.com
20.36.218.63,settings-win.data.microsoft.com
172.217.12.174,calendar.google.com
172.217.10.42,maps.googleapis.com
72.21.91.42,www.tutorialspoint.com
72.21.91.42,www.tutorialspoint.com
3.214.154.203,datarouter.ol.epicgames.com
96.6.24.25,www.paypalobjects.com
184.29.92.241,api1.origin.com
24.105.29.76,telemetry-in.battle.net
172.217.5.66,googleads.g.doubleclick.net
52.39.207.76,profile.accounts.firefox.com
54.187.92.209,api.accounts.firefox.com
52.38.131.12,sync-632-us-west-2.sync.services.mozilla.com
104.17.209.9,api.golinkapi.com
172.217.3.99,ssl.gstatic.com
172.217.10.74,www.googleapis.com
172.217.12.202,oauthaccountmanager.googleapis.com
17.253.97.206,c.apple.news
172.217.10.74,www.googleapis.com
172.217.10.46,docs.google.com
23.192.17.167,configuration.ls.apple.com
128.116.112.44,presence.roblox.com
17.249.162.38,gsp-ssl.ls.apple.com
165.254.0.83,weather-data.apple.com
165.254.0.83,weather-data.apple.com
165.254.0.83,weather-data.apple.com
165.254.0.83,weather-data.apple.com
172.217.12.202,oauthaccountmanager.googleapis.com
172.217.10.74,www.googleapis.com
172.217.10.74,www.googleapis.com
172.217.10.74,www.googleapis.com
172.217.10.74,www.googleapis.com
172.217.10.74,people-pa.googleapis.com
17.142.169.200,gsp64-ssl.ls.apple.com
172.217.10.74,www.googleapis.com
172.217.12.202,appsitemsuggest-pa.googleapis.com
17.120.254.14,p72-buy.itunes.apple.com
40.69.221.239,array608.prod.do.dsp.mp.microsoft.com
104.77.69.193,disc601.prod.do.dsp.mp.microsoft.com
172.217.12.202,oauthaccountmanager.googleapis.com
172.217.10.74,people-pa.googleapis.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
17.248.135.235,p14-keyvalueservice.icloud.com
162.125.19.131,bolt.dropbox.com
162.159.129.233,discordapp.com
17.249.121.246,api-glb-nyc.smoot.apple.com
13.107.42.12,bn1301.storage.live.com
172.217.10.74,www.googleapis.com
52.114.132.20,v10.events.data.microsoft.com
140.82.114.3,github.com
140.82.114.3,github.com
52.114.76.37,mobile.pipe.aria.microsoft.com
52.114.76.37,mobile.pipe.aria.microsoft.com
35.186.224.53,spclient.wg.spotify.com
69.192.108.239,api1.origin.com
172.253.63.109,imap.gmail.com
172.253.63.109,imap.gmail.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
13.107.42.12,dm2305.storage.live.com
52.239.150.170,onedriveclucproddm20006.blob.core.windows.net
61.147.236.15,api.vc.bilibili.com
61.147.236.15,api.vc.bilibili.com
31.13.65.7,scontent.xx.fbcdn.net
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
172.217.11.10,play.googleapis.com
35.186.224.47,dealer.spotify.com
128.116.112.44,users.roblox.com
52.4.54.50,datarouter.ol.epicgames.com
172.217.11.10,play.googleapis.com
172.217.11.10,play.googleapis.com
172.217.11.10,play.googleapis.com
185.199.110.153,jokamanlee.github.io
172.217.10.131,fonts.gstatic.com
172.217.11.10,play.googleapis.com
17.167.194.230,gsp64-ssl.ls.apple.com
172.217.11.10,play.googleapis.com
13.88.181.35,spoc.norton.com
172.217.10.42,remotedesktop-pa.googleapis.com
172.217.10.42,remotedesktop-pa.googleapis.com
208.80.154.224,en.wikisource.org
13.226.39.23,js.driftt.com
17.253.15.207,mesu.apple.com
162.125.19.9,telemetry.dropbox.com
17.248.187.76,gateway.icloud.com
172.217.9.229,mail.google.com
17.173.66.102,p14-buy.itunes.apple.com
172.253.63.95,fcm-stream.googleapis.com
128.116.112.44,presence.roblox.com
104.16.1.92,na.ledge.leagueoflegends.com
17.248.135.74,p42-keyvalueservice.icloud.com
13.226.39.129,download.tidal.com
34.234.23.242,sw88.espn.com
17.36.205.69,p28-imap.mail.me.com
31.13.65.1,www.messenger.com
17.248.187.7,p42-keyvalueservice.icloud.com
31.13.66.35,www.facebook.com
52.179.129.229,arc.msn.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
40.91.72.120,presence-heartbeat.xboxlive.com
104.16.3.92,na.ledge.leagueoflegends.com
128.116.112.44,users.roblox.com
172.217.9.229,mail.google.com
159.153.191.240,accounts.ea.com
17.36.205.69,p28-imap.mail.me.com
17.248.135.239,p32-keyvalueservice.icloud.com
104.17.240.204,cdn2.hubspot.net
209.85.201.108,imap.gmail.com
104.17.136.180,www.theguarantors.com
17.248.135.119,gateway-carry.icloud.com
17.248.135.206,gateway.icloud.com
173.194.206.109,imap.gmail.com
17.132.6.63,us-east-1.blobstore.apple.com
173.194.206.109,imap.gmail.com
52.114.132.20,v20.events.data.microsoft.com
17.248.135.206,gateway.icloud.com
17.248.135.206,gateway.icloud.com
17.248.187.72,gateway.icloud.com
13.225.63.55,d3cv4a9a9wh0bt.cloudfront.net
173.194.206.109,imap.gmail.com
76.223.7.58,metrics-collector.s-onetag.com
17.248.135.206,gateway.icloud.com
173.194.206.109,imap.gmail.com
173.194.206.109,imap.gmail.com
20.36.218.63,settings-win.data.microsoft.com
18.235.79.162,ss-prod-ue1-notif-32.aws.adobess.com
173.194.206.109,imap.gmail.com
173.194.206.109,imap.gmail.com
172.217.10.42,remotedesktop-pa.googleapis.com
172.217.10.42,remotedesktop-pa.googleapis.com
173.194.206.109,imap.gmail.com
173.194.206.109,imap.gmail.com
35.186.224.53,spclient.wg.spotify.com
173.194.206.109,imap.gmail.com
162.159.130.233,discordapp.com
173.194.206.109,imap.gmail.com
20.36.218.63,settings-win.data.microsoft.com
173.194.206.109,imap.gmail.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
173.194.206.109,imap.gmail.com
173.194.206.109,imap.gmail.com
104.16.122.97,www.webassign.net
13.225.212.103,ipm-release.cengage.com
17.248.187.136,gateway.icloud.com
17.36.205.69,p28-imap.mail.me.com
17.248.135.118,edge-085.usnyc.icloud-content.com
173.194.206.109,imap.gmail.com
17.248.135.240,p42-content.icloud.com
173.194.206.109,imap.gmail.com
173.194.206.109,imap.gmail.com
13.225.63.35,d3cv4a9a9wh0bt.cloudfront.net
104.17.209.9,api.golinkapi.com
173.194.206.109,imap.gmail.com
52.109.8.19,nexusrules.officeapps.live.com
20.36.218.208,presence-heartbeat.xboxlive.com
173.194.206.109,imap.gmail.com
172.217.7.14,www.youtube.com
13.225.205.224,www.flickr.com
31.13.65.36,www.facebook.com
52.114.132.20,v10.events.data.microsoft.com
24.105.29.76,telemetry-in.battle.net
23.23.174.40,e.crashlytics.com
128.116.112.44,presence.roblox.com
128.116.112.44,users.roblox.com
172.217.7.10,device-provisioning.googleapis.com
172.217.11.3,settings.crashlytics.com
31.13.66.4,graph.facebook.com
31.13.66.4,graph.facebook.com
172.217.12.170,play.googleapis.com
45.55.41.223,www.sublimetext.com
172.217.6.205,accounts.google.com
172.217.10.42,firebaseremoteconfig.googleapis.com
17.120.254.10,p72-buy.itunes.apple.com
172.217.11.46,clients3.google.com
52.3.53.111,api.revenuecat.com
172.217.10.42,firebaseremoteconfig.googleapis.com
52.24.30.118,api.iamsoberapp.com
172.217.10.68,www.google.com
23.192.18.217,bag.itunes.apple.com
52.24.30.118,api.iamsoberapp.com
52.24.30.118,api.iamsoberapp.com
52.24.30.118,api.iamsoberapp.com
99.84.251.20,api-cache.blizzcon.com
23.192.18.217,itunes.apple.com
107.20.240.232,duckduckgo.com
31.13.65.1,www.messenger.com
172.217.11.46,app-measurement.com
172.217.11.46,app-measurement.com
172.217.10.74,www.googleapis.com
172.217.11.10,play.googleapis.com
172.217.11.10,play.googleapis.com
52.113.194.132,config.teams.microsoft.com
104.16.0.92,na.ledge.leagueoflegends.com
31.13.65.52,i.instagram.com
31.13.66.10,edge-mqtt.facebook.com
31.13.66.4,graph.facebook.com
31.13.66.4,graph.facebook.com
52.114.77.34,mobile.pipe.aria.microsoft.com
52.114.77.34,mobile.pipe.aria.microsoft.com
31.13.66.4,graph.facebook.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
31.13.65.52,scontent-atl3-1.cdninstagram.com
130.211.16.53,d.joinhoney.com
104.31.83.28,73dkt-vwrqs.xyz
31.13.65.52,graph.instagram.com
31.13.65.52,graph.instagram.com
54.71.49.71,ece4.playfabapi.com
50.16.241.130,external-content.duckduckgo.com
13.225.62.15,abc7ny.com
151.139.237.32,embed-prod.vemba.io
192.229.210.181,storage.uplynk.com
13.225.62.60,assets-cdn.abcotvs.net
192.229.210.181,storage.uplynk.com
54.173.169.115,www.netflix.com
66.226.70.22,avguy.com
172.217.11.14,cse.google.com
104.114.72.27,resources.tidal.com
31.13.65.36,www.facebook.com
104.114.72.27,resources.tidal.com
104.114.72.27,resources.tidal.com
45.57.91.1,codex.nflxext.com
54.85.175.142,www.netflix.com
104.16.122.97,www.webassign.net
104.16.122.97,www.webassign.net
13.225.230.61,snippets.cdn.mozilla.net
96.17.65.84,img-getpocket.cdn.mozilla.net
96.17.65.84,img-getpocket.cdn.mozilla.net
96.17.65.84,img-getpocket.cdn.mozilla.net
96.17.65.84,img-getpocket.cdn.mozilla.net
52.179.129.229,arc.msn.com
172.217.10.4,www.google.com
13.107.246.10,pti.store.microsoft.com
24.105.29.76,telemetry-in.battle.net
172.217.7.2,googleads.g.doubleclick.net
172.217.10.131,ssl.gstatic.com
69.192.110.94,px.moatads.com
20.36.218.63,settings-win.data.microsoft.com
128.116.112.44,www.roblox.com
128.116.112.44,www.roblox.com
128.116.112.44,www.roblox.com
128.116.112.44,www.roblox.com
128.116.112.44,www.roblox.com
128.116.112.44,www.roblox.com
128.116.112.44,assetgame.roblox.com
128.116.112.44,assetgame.roblox.com
216.165.78.28,sis.portal.nyu.edu
96.6.24.89,xp.apple.com
216.165.47.16,shibboleth.nyu.edu
23.60.68.90,play.itunes.apple.com
216.165.47.16,shibboleth.nyu.edu
128.116.112.44,ecsv2.roblox.com
216.165.47.12,www.nyu.edu
40.67.188.15,presence-heartbeat.xboxlive.com
96.6.24.25,www.paypalobjects.com
128.116.112.44,games.roblox.com
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
54.241.191.153,api-e4c9863e.duosecurity.com
23.221.200.111,www.paypal.com
216.165.47.16,shibboleth.nyu.edu
216.165.47.16,shibboleth.nyu.edu
216.165.47.12,www.nyu.edu
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
104.17.184.177,api-v3.tinypass.com
34.192.148.88,srv-2020-03-02-02.pixel.parsely.com
35.190.62.200,events.bouncex.net
69.192.110.94,px.moatads.com
74.119.119.149,csm.va.us.criteo.net
204.154.111.144,tps10257.doubleverify.com
23.78.208.225,www.cnbc.com
173.222.101.71,mps.cnbc.com
96.6.25.233,mps.nbcuni.com
172.217.6.198,ad.doubleclick.net
96.6.25.233,pix.nbcuni.com
52.71.97.80,st.dynamicyield.com
50.17.229.51,usasync01.admantx.com
192.184.68.169,pixel.quantserve.com
104.244.42.131,analytics.twitter.com
104.244.42.133,t.co
209.234.236.18,ad.wsod.com
172.217.10.34,pagead2.googlesyndication.com
172.217.10.34,pagead2.googlesyndication.com
23.78.200.111,static-redesign.cnbcfm.com
104.107.53.36,sb.scorecardresearch.com
104.17.147.7,track.wikibuy.com
69.192.108.168,fm.cnbc.com
104.17.183.177,cdn.tinypass.com
96.6.25.233,surf.nbcuni.com
35.244.144.168,tag.bounceexchange.com
151.101.248.157,static.ads-twitter.com
104.17.185.177,experience.tinypass.com
13.226.25.248,c.amazon-adsystem.com
34.234.23.242,osimg.nbcuni.com
52.72.119.61,nbcu.demdex.net
162.208.117.47,api.sail-track.com
162.208.117.45,api.sail-personalize.com
162.208.117.47,api.sail-track.com
162.208.117.45,api.sail-personalize.com
54.165.108.176,nbcu.demdex.net
52.72.121.223,srv-2020-03-02-02.config.parsely.com
216.165.78.28,sis.portal.nyu.edu
216.165.47.16,shibboleth.nyu.edu
216.165.47.16,shibboleth.nyu.edu
172.217.9.229,mail.google.com
31.13.65.36,www.facebook.com
52.72.79.64,async-px.dynamicyield.com
13.225.202.14,c.amazon-adsystem.com
74.119.119.139,gum.criteo.com
172.217.12.130,securepubads.g.doubleclick.net
172.217.11.36,www.google.com
34.234.197.55,srv-2020-03-02-02.pixel.parsely.com
35.186.249.84,acidpigs.com
35.227.229.34,api.bounceexchange.com
13.225.212.90,tagan.adlightning.com
31.13.65.36,www.facebook.com
35.190.62.200,events.bouncex.net
104.17.192.78,polarcdn-pentos.com
104.17.221.15,bw-prod.plrsrvcs.com
172.217.12.166,s0.2mdn.net
18.218.78.34,geo.moatads.com
18.218.78.34,mb.moatads.com
104.17.64.50,polarcdn-terrax.com
34.224.123.177,api.parsely.com
104.17.65.50,polarcdn-terrax.com
96.17.66.14,nbcudisplay.s.moatpixel.com
18.206.7.161,m.dlx.addthis.com
96.17.66.14,nbcudisplay.s.moatpixel.com
96.17.66.14,nbcudisplay.s.moatpixel.com
96.17.66.14,nbcudisplay.s.moatpixel.com
18.206.7.161,m.dlx.addthis.com
18.206.7.161,m.dlx.addthis.com
23.196.229.108,use.typekit.net
104.18.33.108,iteratehq.com
38.106.23.234,petal.playstone.org
52.21.75.104,fw.adsafeprotected.com
104.244.37.20,dt.adsafeprotected.com
172.217.12.166,s0.2mdn.net
104.244.37.20,dt.adsafeprotected.com
104.244.37.20,dt.adsafeprotected.com
34.226.29.7,beacon.krxd.net
34.96.70.1,x2.mookie1.com
18.213.75.1,p.dlx.addthis.com
52.3.170.76,p.placed.com
52.87.8.93,tracker.samplicio.us
107.178.246.49,tapestry.tapad.com
104.17.65.4,cdnjs.cloudflare.com
216.165.47.45,home.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
17.248.216.3,p25-keyvalueservice.icloud.com.cn
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
172.217.10.72,www.googletagmanager.com
17.248.187.15,metrics.icloud.com
52.114.132.73,browser.pipe.aria.microsoft.com
59.111.0.200,mumu.nie.netease.com
216.165.47.40,globalhome.nyu.edu
172.217.11.19,cloud.bluestacks.com
60.205.234.210,ldc.lenovo.com.cn
216.165.46.10,newclasses.nyu.edu
96.116.129.16,xerxes-lite.traxion.xfinity.com
172.253.63.109,imap.gmail.com
38.106.231.204,osfsr.lenovomm.com
38.106.231.204,osfsr.lenovomm.com
60.205.234.210,ldc.lenovo.com.cn
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
172.217.10.234,safebrowsing.googleapis.com
172.217.10.106,www.googleapis.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
60.205.234.210,ldc.lenovo.com.cn
23.20.28.69,ss-prod-ue1-notif-32.aws.adobess.com
182.92.244.228,dsp.lenovo.com.cn
128.116.112.44,users.roblox.com
35.186.224.47,dealer.spotify.com
96.118.148.100,xerxes-sub.xerxessecure.com
96.118.148.100,xerxes-sub.xerxessecure.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
38.106.231.204,osfsr.lenovomm.com
60.205.234.210,ldc.lenovo.com.cn
192.229.210.181,x-live-espn-stgec.uplynk.com
192.229.210.181,x-live-espn-stgec.uplynk.com
31.13.65.7,static.xx.fbcdn.net
31.13.65.7,static.xx.fbcdn.net
122.225.67.199,saascdn.lenovo.com.cn
172.217.9.229,mail.google.com
208.80.154.224,en.wikisource.org
61.147.236.15,api.vc.bilibili.com
96.114.156.145,oauth.xfinity.com
173.194.61.42,r4---sn-ab5szne7.googlevideo.com
173.194.61.42,r4---sn-ab5szne7.googlevideo.com
162.208.117.47,api.sail-track.com
162.208.117.45,api.sail-personalize.com
162.208.117.45,api.sail-personalize.com
172.217.10.34,adservice.google.com
122.225.67.199,saascdn.lenovo.com.cn
128.238.155.11,128.238.155.11
52.204.132.38,www.vilynx.com
151.101.2.2,trc.taboola.com
13.225.212.80,public.vilynx.com
68.87.29.197,login.xfinity.com
68.87.29.197,login.xfinity.com
172.217.10.106,www.googleapis.com
141.226.224.32,cds.taboola.com
128.238.155.11,128.238.155.11
69.192.109.115,secure.insightexpressai.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
104.244.37.20,dt.adsafeprotected.com
216.165.46.10,newclasses.nyu.edu
