130.211.26.229,s.joinhoney.com
52.179.129.229,arc.msn.com
52.114.158.53,v10.events.data.microsoft.com
192.81.242.130,34acf0414d836d3f8d491c6186153694.my.2k.com
151.101.1.135,assets1.ignimgs.com
151.101.1.135,assets1.ignimgs.com
151.101.1.135,assets1.ignimgs.com
13.225.230.105,2bccd2c1.g02.ign.com
162.213.62.39,wgcg-na.wargaming.net
47.246.46.226,s1.hdslb.com
47.246.46.231,s2.hdslb.com
121.125.60.241,gall.dcinside.com
52.114.128.9,mobile.pipe.aria.microsoft.com
31.13.65.1,www.messenger.com
151.101.1.135,assets2.ignimgs.com
104.122.70.152,zdstatic.ign.com
192.229.163.25,platform.twitter.com
192.229.163.25,platform.twitter.com
13.225.230.78,vxq18c.g02.ign.com
40.67.188.15,presence-heartbeat.xboxlive.com
13.225.230.78,vxq18c.g02.ign.com
151.101.129.135,mollusk.apis.ign.com
151.101.129.135,mollusk.apis.ign.com
65.55.44.109,vortex.data.microsoft.com
172.217.9.229,mail.google.com
104.244.42.200,syndication.twitter.com
52.109.76.30,nexusrules.officeapps.live.com
74.125.0.41,r3---sn-ab5l6nzs.googlevideo.com
13.225.218.21,d3cv4a9a9wh0bt.cloudfront.net
40.79.65.235,array502.prod.do.dsp.mp.microsoft.com
104.69.60.103,disc501.prod.do.dsp.mp.microsoft.com
104.122.146.69,content-system.gog.com
151.101.1.135,kraken.ignimgs.com
151.101.1.135,kraken.ignimgs.com
17.248.135.175,gateway.icloud.com
54.191.52.207,video-edge-644077.pdx01.abs.hls.ttvnw.net
165.254.0.112,steamstore-a.akamaihd.net
54.186.10.67,ekg.riotgames.com
151.101.1.135,assets-prd.ignimgs.com
151.101.1.135,assets-prd.ignimgs.com
151.101.1.135,assets-prd.ignimgs.com
151.101.1.135,assets-prd.ignimgs.com
192.229.163.146,cfg.gog.com
20.36.218.63,settings-win.data.microsoft.com
40.67.188.15,presence-heartbeat.xboxlive.com
13.225.218.225,d3cv4a9a9wh0bt.cloudfront.net
65.55.44.109,vortex.data.microsoft.com
162.159.135.233,discordapp.com
203.205.239.158,q2.qlogo.cn
13.225.218.115,d3cv4a9a9wh0bt.cloudfront.net
52.44.120.61,apis.ign.com
65.55.44.109,vortex.data.microsoft.com
151.101.1.135,assets7.ign.com
151.101.1.135,assets7.ign.com
104.122.70.152,product.ign.com
17.154.66.79,p29-buy.itunes.apple.com
23.246.7.209,ipv4-c381-nyc001-ix.1.oca.nflxvideo.net
17.248.187.71,p40-fmfmobile.icloud.com
45.57.40.1,ios.prod.ftl.netflix.com
192.81.242.130,34acf0414d836d3f8d491c6186153694.my.2k.com
24.105.29.76,telemetry-in.battle.net
192.229.173.16,abs.twimg.com
104.244.42.129,twitter.com
192.229.173.16,abs.twimg.com
52.179.129.229,arc.msn.com
104.16.3.92,na.ledge.leagueoflegends.com
184.28.206.172,init.itunes.apple.com
96.6.24.89,xp.apple.com
23.43.56.203,play.itunes.apple.com
172.253.122.108,imap.gmail.com
65.55.44.109,vortex.data.microsoft.com
13.107.5.88,evoke-windowsservices-tas.msedge.net
35.186.224.47,dealer.spotify.com
45.57.90.1,assets.nflxext.com
45.57.91.1,codex.nflxext.com
34.195.40.12,www.netflix.com
151.101.202.248,i.scdn.co
172.253.122.108,imap.gmail.com
151.101.202.248,i.scdn.co
148.153.64.18,api.vc.bilibili.com
151.101.202.167,gql.twitch.tv
151.101.202.167,gql.twitch.tv
104.31.71.211,api.frankerfacez.com
104.25.58.99,api.betterttv.net
104.31.71.211,api-test.frankerfacez.com
54.225.180.117,e.crashlytics.com
17.248.187.8,p37-content.icloud.com
104.25.58.99,cdn.betterttv.net
151.101.250.214,api.twitch.tv
151.101.250.214,api.twitch.tv
151.101.250.214,api.twitch.tv
151.101.250.214,api.twitch.tv
65.55.44.109,vortex.data.microsoft.com
23.160.0.254,usher.ttvnw.net
52.223.241.2,video-weaver.atl01.hls.ttvnw.net
52.223.246.34,video-edge-c2a1e0.atl01.abs.hls.ttvnw.net
13.225.230.107,panels-images.twitch.tv
13.225.230.107,panels-images.twitch.tv
13.225.230.107,panels-images.twitch.tv
13.225.230.107,panels-images.twitch.tv
13.225.230.107,panels-images.twitch.tv
13.225.230.107,panels-images.twitch.tv
13.225.230.107,panels-images.twitch.tv
13.225.230.50,supervisor.ext-twitch.tv
17.248.135.206,gateway-carry.icloud.com
148.153.38.118,message.bilibili.com
23.43.56.192,www.geeksforgeeks.org
52.109.6.5,officeclient.microsoft.com
52.109.6.5,officeclient.microsoft.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
13.225.62.80,extension-files.twitch.tv
104.27.133.141,leaderboard-extension.opl.io
65.55.44.109,vortex.data.microsoft.com
18.236.9.221,irc-ws.chat.twitch.tv
211.234.127.21,logs.81plug.com
65.55.44.109,vortex.data.microsoft.com
192.81.242.130,34acf0414d836d3f8d491c6186153694.my.2k.com
148.153.56.162,space.bilibili.com
148.153.56.162,space.bilibili.com
47.246.46.227,s1.hdslb.com
47.246.46.228,s2.hdslb.com
121.125.60.241,gall.dcinside.com
172.217.12.214,i.ytimg.com
52.114.128.9,mobile.pipe.aria.microsoft.com
172.217.12.198,ad.doubleclick.net
172.217.10.66,ade.googlesyndication.com
172.217.10.34,securepubads.g.doubleclick.net
52.179.129.229,arc.msn.com
172.217.9.229,mail.google.com
3.17.209.203,capi.connatix.com
151.101.202.248,i.scdn.co
151.101.202.248,i.scdn.co
151.101.202.248,i.scdn.co
23.246.7.196,ipv4-c368-nyc001-ix.1.oca.nflxvideo.net
65.55.44.109,vortex.data.microsoft.com
