17.248.187.137,api.apple-cloudkit.com
17.57.144.52,courier.push.apple.com
128.238.155.11,128.238.155.11
3.83.200.164,app.getacceptd.com
13.107.136.9,nyu0-my.sharepoint.com
172.217.3.106,safebrowsing.googleapis.com
17.248.135.241,gateway.icloud.com.cn
17.248.187.206,metrics.icloud.com
104.20.19.239,www.crunchyroll.com
152.195.33.69,cdn.cookielaw.org
152.195.33.69,cdn.cookielaw.org
104.17.209.9,api.golinkapi.com
17.142.169.200,gsp64-ssl.ls.apple.com
34.238.175.134,aascraperservice.prod.us-east-1.scraper.assistant.a2z.com
52.216.115.3,aa-scraper-supported-prod-us-east-1.s3.amazonaws.com
3.220.241.115,www.fscta65w.com
3.220.241.115,www.fscta65w.com
13.88.28.53,mobile.pipe.aria.microsoft.com
184.28.206.172,radio-activity.itunes.apple.com
23.43.56.193,play.itunes.apple.com
52.250.1.227,aoe-api.reliclink.com
104.18.45.69,memeworld.funnyjunk.com
162.159.130.235,us-central214.discord.media
23.221.201.23,activity.api.np.km.playstation.net
149.56.126.49,funnyjunk.com
172.217.11.46,app-measurement.com
54.239.21.125,feed.browserapps.amazon.com
184.28.206.172,itunes.apple.com
52.179.129.229,arc.msn.com
192.175.108.23,m1.fluidreview.com
151.101.2.110,mobile-collector.newrelic.com
3.217.207.251,public-ubiservices.ubi.com
148.153.64.18,message.bilibili.com
104.16.121.97,www.webassign.net
104.16.121.97,www.webassign.net
172.217.9.229,mail.google.com
52.46.157.171,aax-us-east.amazon-adsystem.com
52.201.200.150,www.netflix.com
20.36.219.28,activity.windows.com
157.185.163.114,p2.music.126.net
157.185.163.114,p2.music.126.net
52.250.1.227,aoe-api.reliclink.com
34.202.148.96,ping.taplytics.com
52.250.1.227,aoe-api.reliclink.com
148.153.38.118,api.vc.bilibili.com
173.0.93.179,api-m.paypal.com
54.72.167.47,events.appsflyer.com
34.252.117.29,t.appsflyer.com
52.250.1.227,aoe-api.reliclink.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
162.159.130.233,discordapp.com
40.91.72.120,presence-heartbeat.xboxlive.com
52.250.1.227,aoe-api.reliclink.com
128.116.112.44,users.roblox.com
20.36.218.63,settings-win.data.microsoft.com
13.107.5.88,evoke-windowsservices-tas.msedge.net
172.217.9.232,ssl.google-analytics.com
17.249.162.38,gsp-ssl.ls.apple.com
40.69.223.198,array610.prod.do.dsp.mp.microsoft.com
35.186.224.47,dealer.spotify.com
52.250.1.227,aoe-api.reliclink.com
76.223.7.58,metrics-collector.s-onetag.com
107.167.110.211,sitecheck.opera.com
52.109.6.7,ocws.officeapps.live.com
52.109.6.6,roaming.officeapps.live.com
52.109.6.7,ocws.officeapps.live.com
52.109.6.7,ocws.officeapps.live.com
52.109.6.7,ocws.officeapps.live.com
60.205.234.210,ldc.lenovo.com.cn
172.217.9.246,i.ytimg.com
20.36.219.28,activity.windows.com
85.195.119.218,prod-03.escapefromtarkov.com
85.195.119.218,prod-03.escapefromtarkov.com
38.106.231.204,osfsr.lenovomm.com
38.106.231.204,osfsr.lenovomm.com
69.192.108.239,api1.origin.com
23.22.181.213,ss-prod-ue1-notif-27.aws.adobess.com
13.226.39.51,pushkin-cf.tidal.com
104.18.44.69,securelogin4.funnyjunk.com
192.99.103.81,bigcdnjs2.funnyjunk.com
198.27.121.189,bigcdnjs4.funnyjunk.com
17.167.192.94,gsp85-ssl.ls.apple.com
3.227.126.195,polka.typekit.com
192.99.103.81,bigcdnjs2.funnyjunk.com
23.54.179.102,gspe19-ssl.ls.apple.com
162.159.138.234,us-central699.discord.media
192.99.103.81,bigcdnjs2.funnyjunk.com
128.116.112.44,users.roblox.com
52.41.8.68,ekg.riotgames.com
198.27.121.188,bigcdnjs3.funnyjunk.com
96.17.64.192,iphone-ld.apple.com
52.114.6.46,mobile.pipe.aria.microsoft.com
192.99.103.81,bigcdnjs2.funnyjunk.com
17.142.169.200,gsp64-ssl.ls.apple.com
151.101.249.36,cdn2.kongcdn.com
198.27.121.188,bigcdnjs3.funnyjunk.com
96.7.197.128,content-system.gog.com
192.229.163.146,cfg.gog.com
52.179.129.229,arc.msn.com
34.230.234.167,spocs.getpocket.com
96.17.65.84,getpocket.cdn.mozilla.net
172.217.10.234,safebrowsing.googleapis.com
52.114.74.45,v20.events.data.microsoft.com
37.228.108.133,autoupdate.geo.opera.com
59.111.0.200,mumu.nie.netease.com
13.225.63.137,d3cv4a9a9wh0bt.cloudfront.net
31.13.65.1,www.messenger.com
172.253.63.108,imap.gmail.com
58.222.35.205,api.vc.bilibili.com
34.202.148.96,ping.taplytics.com
96.7.197.128,auth.gog.com
24.105.29.76,telemetry-in.battle.net
58.222.35.205,api.vc.bilibili.com
104.16.121.97,www.webassign.net
104.16.121.97,www.webassign.net
96.7.197.128,chat.gog.com
52.114.74.45,v10.events.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
13.107.42.12,api.onedrive.com
180.97.9.16,q1.qlogo.cn
34.68.125.225,rpc.znly.co
17.167.194.149,gs-loc.apple.com
173.194.205.189,3.client-channel.google.com
17.249.162.38,gsp-ssl.ls.apple.com
192.99.103.81,bigcdnjs2.funnyjunk.com
65.52.198.70,smartscreen-prod.microsoft.com
65.52.198.70,smartscreen-prod.microsoft.com
128.116.112.44,users.roblox.com
104.17.209.9,api.golinkapi.com
13.226.36.61,d3cv4a9a9wh0bt.cloudfront.net
144.217.180.139,bigcdnjs1.funnyjunk.com
184.28.206.172,init.itunes.apple.com
96.7.197.128,presence.gog.com
96.6.24.89,xp.apple.com
96.6.24.89,xp.apple.com
192.99.103.81,bigcdnjs2.funnyjunk.com
107.21.17.118,www.netflix.com
104.20.19.239,www.crunchyroll.com
8.36.80.246,gfe.nvidia.com
152.195.33.69,cdn.cookielaw.org
152.195.33.69,cdn.cookielaw.org
13.226.36.189,d3cv4a9a9wh0bt.cloudfront.net
13.225.63.117,d3cv4a9a9wh0bt.cloudfront.net
35.227.252.169,stats.appsflyer.com
151.101.2.110,mobile-collector.newrelic.com
8.36.113.137,events.gfe.nvidia.com
198.27.121.188,bigcdnjs3.funnyjunk.com
172.217.11.46,app-measurement.com
17.142.169.200,gsp64-ssl.ls.apple.com
184.28.206.172,init.itunes.apple.com
54.243.186.181,e.crashlytics.com
52.0.184.89,discovery.razerapi.com
34.233.165.188,manifest.razerapi.com
198.27.121.189,bigcdnjs4.funnyjunk.com
52.114.74.45,v10.events.data.microsoft.com
96.6.24.172,activity.api.np.km.playstation.net
