104.92.14.129,go.microsoft.com
104.18.24.250,pas.geo.si.riotgames.com
165.254.0.112,lol.secure.dyn.riotcdn.net
165.254.0.75,bacon.secure.dyn.riotcdn.net
100.26.116.127,ss-prod-ue1-notif-27.aws.adobess.com
3.90.133.71,cc-api-data.adobe.io
69.192.108.223,geo2.adobe.com
3.231.133.20,cchome.adobe.io
3.231.133.20,cchome.adobe.io
18.215.51.46,na1e-acc.services.adobe.com
20.186.56.152,ims-na1.adobelogin.com
3.231.133.20,cchome.adobe.io
52.25.95.45,ekg.riotgames.com
104.22.2.109,builds.parsecgaming.com
104.22.2.109,builds.parsecgaming.com
104.18.157.37,clientconfig.rpg.riotgames.com
104.16.120.50,auth.riotgames.com
165.254.0.112,lol.secure.dyn.riotcdn.net
104.16.120.50,auth.riotgames.com
35.172.177.29,notify.adobe.io
18.189.85.52,capi.connatix.com
18.215.51.46,na1e-acc.services.adobe.com
34.228.110.91,acp-ss-ue1.adobe.io
18.215.51.46,na1e-acc.services.adobe.com
18.207.89.55,ss-prod-ue1-notif-21.aws.adobess.com
17.248.135.150,api.apple-cloudkit.com
104.16.199.132,entitlements.auth.riotgames.com
104.18.24.250,us.edge.rms.si.riotgames.com
104.16.199.132,entitlements.auth.riotgames.com
104.18.24.250,us.edge.rms.si.riotgames.com
52.55.119.155,riotp0use1.www.vivox.com
54.209.209.95,receive-lp1.dg.srv.nintendo.net
18.215.51.46,na1e-acc.services.adobe.com
34.194.77.92,cc-api-data.adobe.io
104.16.11.33,lq.na2.lol.riotgames.com
69.192.108.223,cvs.adobe.com
69.192.108.223,cvs.adobe.com
69.192.108.223,cvs.adobe.com
69.192.108.223,cvs.adobe.com
69.192.108.223,cvs.adobe.com
104.18.24.250,us.vts.si.riotgames.com
20.44.121.140,ims-prod06.adobelogin.com
52.204.83.172,lcs-cops.adobe.io
52.55.119.155,riotp0use1.www.vivox.com
20.36.218.63,settings-win.data.microsoft.com
34.203.110.191,lm.licenses.adobe.com
34.203.110.191,lm.licenses.adobe.com
34.194.77.92,cc-api-data.adobe.io
35.186.224.53,spclient.wg.spotify.com
52.25.95.45,ekg.riotgames.com
104.17.155.2,clubs.leagueoflegends.com
104.17.48.19,na1.cap.riotgames.com
104.17.48.19,na1.cap.riotgames.com
104.16.3.92,na.ledge.leagueoflegends.com
104.16.3.92,na.ledge.leagueoflegends.com
104.16.35.99,playerpreferences.riotgames.com
104.18.97.33,acs.leagueoflegends.com
52.11.18.161,po-service.usw2.leagueoflegends.com
165.254.0.106,lolstatic-a.akamaihd.net
172.65.244.155,na2.chat.si.riotgames.com
34.194.77.92,cc-api-data.adobe.io
34.203.110.191,lm.licenses.adobe.com
104.17.143.21,loadouts.na2.leagueoflegends.com
172.217.12.202,remotedesktop-pa.googleapis.com
172.217.12.202,remotedesktop-pa.googleapis.com
18.215.51.46,na1e-acc.services.adobe.com
20.44.121.140,ims-prod06.adobelogin.com
104.16.11.33,store.na2.lol.riotgames.com
52.204.83.172,lcs-cops.adobe.io
34.239.36.80,cc-api-storage.adobe.io
104.18.121.104,america.tas.riotgames.com
52.44.249.241,cc-collab.adobe.io
18.215.51.46,na1e-acc.services.adobe.com
34.194.77.92,cc-api-data.adobe.io
35.174.183.161,ars.oobesaas.adobe.com
18.215.51.46,na1e-acc.services.adobe.com
18.215.51.46,na1e-acc.services.adobe.com
18.215.51.46,na1e-acc.services.adobe.com
104.16.35.99,data.riotgames.com
204.79.197.200,www.bing.com
104.17.244.15,platform.api.riotgames.com
104.18.25.145,metric-api.newrelic.com
13.107.5.91,www.xboxab.com
104.88.2.171,frontpage.na.leagueoflegends.com
165.254.0.106,lolstatic-a.akamaihd.net
165.254.0.106,lolstatic-a.akamaihd.net
165.254.0.106,lolstatic-a.akamaihd.net
165.254.0.106,lolstatic-a.akamaihd.net
172.217.10.46,www.youtube.com
165.254.0.106,lolstatic-a.akamaihd.net
172.217.11.46,s.ytimg.com
104.16.37.99,fs.riotgames.com
104.76.110.22,oembed.leagueoflegends.com
52.35.183.78,ekg.riotgames.com
52.35.183.78,ekg.riotgames.com
52.35.183.78,ekg.riotgames.com
104.17.165.5,pft.leagueoflegends.com
54.225.147.125,tracking.overwolf.com
165.254.0.81,am-a.akamaihd.net
165.254.0.81,am-a.akamaihd.net
165.254.0.81,am-a.akamaihd.net
165.254.0.81,am-a.akamaihd.net
165.254.0.81,am-a.akamaihd.net
165.254.0.81,am-a.akamaihd.net
52.35.183.78,ekg.riotgames.com
52.35.183.78,ekg.riotgames.com
52.35.183.78,ekg.riotgames.com
172.217.10.130,googleads.g.doubleclick.net
172.217.7.6,static.doubleclick.net
172.217.12.161,yt3.ggpht.com
172.217.9.246,i.ytimg.com
172.217.10.131,fonts.gstatic.com
172.217.10.131,fonts.gstatic.com
172.217.12.142,www.google-analytics.com
104.27.176.246,lol-static.convexapps.com
172.217.197.156,stats.g.doubleclick.net
52.25.95.45,ekg.riotgames.com
104.16.11.33,store.na2.lol.riotgames.com
52.11.101.210,recofriender.leagueoflegends.com
69.192.108.239,api1.origin.com
13.225.220.37,l9bjkkhaycw6f8f4.soundcloud.com
35.160.254.96,sn.webrootcloudav.com
59.111.0.200,mumu.nie.netease.com
52.25.95.45,ekg.riotgames.com
3.223.250.182,rtm.tnt-ea.com
34.239.36.80,cc-api-storage.adobe.io
52.44.249.241,cc-collab.adobe.io
3.90.133.71,cc-api-data.adobe.io
34.194.77.92,cc-api-data.adobe.io
34.194.77.92,cc-api-data.adobe.io
34.194.77.92,cc-api-data.adobe.io
34.194.77.92,cc-api-data.adobe.io
34.194.77.92,cc-api-data.adobe.io
34.194.77.92,cc-api-data.adobe.io
34.194.77.92,cc-api-data.adobe.io
34.194.77.92,cc-api-data.adobe.io
34.194.77.92,cc-api-data.adobe.io
34.194.77.92,cc-api-data.adobe.io
34.194.77.92,cc-api-data.adobe.io
34.194.77.92,cc-api-data.adobe.io
34.194.77.92,cc-api-data.adobe.io
34.194.77.92,cc-api-data.adobe.io
54.203.10.108,api.amplitude.com
34.194.77.92,cc-api-data.adobe.io
34.194.77.92,cc-api-data.adobe.io
34.194.77.92,cc-api-data.adobe.io
34.194.77.92,cc-api-data.adobe.io
34.194.77.92,cc-api-data.adobe.io
34.194.77.92,cc-api-data.adobe.io
34.194.77.92,cc-api-data.adobe.io
34.194.77.92,cc-api-data.adobe.io
34.194.77.92,cc-api-data.adobe.io
34.194.77.92,cc-api-data.adobe.io
34.194.77.92,cc-api-data.adobe.io
34.194.77.92,cc-api-data.adobe.io
34.194.77.92,cc-api-data.adobe.io
34.194.77.92,cc-api-data.adobe.io
34.194.77.92,cc-api-data.adobe.io
34.194.77.92,cc-api-data.adobe.io
34.194.77.92,cc-api-data.adobe.io
34.194.77.92,cc-api-data.adobe.io
34.194.77.92,cc-api-data.adobe.io
34.194.77.92,cc-api-data.adobe.io
34.194.77.92,cc-api-data.adobe.io
35.186.224.53,spclient.wg.spotify.com
52.25.95.45,ekg.riotgames.com
52.114.132.23,v10.events.data.microsoft.com
52.114.158.50,v20.events.data.microsoft.com
13.225.226.153,slack.com
13.68.168.63,spoc.norton.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
13.107.18.11,substrate.office.com
13.107.18.11,substrate.office.com
40.90.22.187,login.live.com
52.158.208.111,watson.telemetry.microsoft.com
52.114.88.29,mobile.pipe.aria.microsoft.com
52.25.95.45,ekg.riotgames.com
35.186.224.53,spclient.wg.spotify.com
204.79.197.200,cn.bing.com
13.107.21.200,www.bing.com
203.205.253.183,safebrowsing.urlsec.qq.com
52.179.129.229,arc.msn.com
13.225.218.21,d3cv4a9a9wh0bt.cloudfront.net
52.25.95.45,ekg.riotgames.com
148.153.64.18,message.bilibili.com
24.105.29.76,telemetry-in.battle.net
148.153.64.18,www.bilibili.com
148.153.64.18,www.bilibili.com
52.25.95.45,ekg.riotgames.com
31.13.65.36,www.facebook.com
31.13.65.7,static.xx.fbcdn.net
52.109.120.17,nexusrules.officeapps.live.com
13.225.230.64,api.genuine.autodesk.com
23.22.181.213,ss-prod-ue1-notif-27.aws.adobess.com
54.209.209.95,receive-lp1.dg.srv.nintendo.net
18.205.47.109,prd-collector-anon.playbuzz.com
13.225.220.46,l9bjkkhaycw6f8f4.soundcloud.com
96.17.64.192,iphone-ld.apple.com
54.84.155.179,www.netflix.com
52.114.7.36,v20.events.data.microsoft.com
17.253.15.206,mesu.apple.com
104.22.3.109,builds.parsecgaming.com
104.22.3.109,builds.parsecgaming.com
52.25.95.45,ekg.riotgames.com
3.83.73.1,dora.robinhood.com
35.186.224.47,dealer.spotify.com
52.36.169.154,api-new.gocashback.com
52.114.158.92,v20.events.data.microsoft.com
104.31.80.149,sponsor.ajay.app
