104.36.115.102,lyr.pubmatic.com
23.54.160.8,upos-hz-mirrorakam.akamaized.net
54.225.180.185,pxl.jivox.com
222.88.93.86,sdk1xyajs-data.xycdn.com
20.36.218.208,presence-heartbeat.xboxlive.com
3.213.139.124,sync.crwdcntrl.net
128.116.112.44,users.roblox.com
64.202.112.63,b1sync.zemanta.com
52.70.250.15,rtb.gumgum.com
23.10.89.229,stags.bluekai.com
3.223.158.41,datarouter.ol.epicgames.com
143.166.11.227,cloud.dell.com
143.166.11.227,cloud.dell.com
23.54.160.41,upos-hz-mirrorakam.akamaized.net
172.217.10.238,play.google.com
222.88.93.86,sdk1xyajs-data.xycdn.com
13.225.64.74,d3cv4a9a9wh0bt.cloudfront.net
222.88.93.86,sdk1xyajs-data.xycdn.com
63.251.88.51,adadvisor.net
222.88.93.86,sdk1xyajs-data.xycdn.com
156.154.200.36,aa.agkn.com
170.76.216.244,usersync.videoamp.com
222.88.93.86,sdk1xyajs-data.xycdn.com
222.88.93.86,sdk1xyajs-data.xycdn.com
35.172.2.157,acds.prod.vidible.tv
23.54.160.41,upos-hz-mirrorakam.akamaized.net
34.200.183.50,trk.vidible.tv
34.200.183.50,trk.vidible.tv
34.200.183.50,trk.vidible.tv
52.203.99.84,log.adaptv.advertising.com
52.203.99.84,log.adaptv.advertising.com
152.199.24.47,dtm.advertising.com
152.199.24.47,dtm.advertising.com
3.225.245.156,bktr2-06hdl.ads.tremorhub.com
74.125.172.39,r1---sn-ab5szn7l.c.2mdn.net
76.13.32.147,cms.analytics.yahoo.com
52.109.88.35,nexusrules.officeapps.live.com
68.128.209.5,auth.svcs.verizon.com
54.175.87.114,ups.analytics.yahoo.com
192.35.249.127,sync.search.spotxchange.com
52.1.232.25,pxl.iqm.com
192.35.249.112,event.spotxchange.com
192.35.249.112,event.spotxchange.com
23.54.181.99,z.moatads.com
34.230.152.154,s.update.wtag.adaptv.advertising.com
54.87.184.46,pixel.adsafeprotected.com
204.2.197.201,idpix.media6degrees.com
52.20.38.119,secure-us.imrworldwide.com
204.79.197.200,dps.bing.com
34.236.82.143,conversions.adaptv.advertising.com
54.175.87.114,ups.analytics.yahoo.com
104.16.91.60,dmp.truoptik.com
151.101.2.2,trc.taboola.com
50.116.194.23,d.turn.com
142.4.223.192,onetag-sys.com
34.194.138.67,sync.aniview.com
199.38.167.128,p.rfihub.com
23.54.179.4,sync.teads.tv
35.186.225.119,public-prod-dspcookiematching.dmxleo.com
34.205.121.232,onevideosync.uplynk.com
104.20.253.85,router.infolinks.com
44.230.171.17,track.eyeviewads.com
54.236.93.203,exchange.mediavine.com
3.234.8.37,ps.eyeota.net
195.181.169.2,a01.korrelate.net
130.211.115.4,data.ad-score.com
184.28.207.194,ads.scorecardresearch.com
213.155.156.184,d5p.de17a.com
198.22.162.81,live.sekindo.com
3.91.135.148,sync.technoratimedia.com
34.194.149.119,sync.springserve.com
178.33.230.6,adserver.video
209.205.217.82,sync.adtelligent.com
34.233.21.146,cs.rtb-seller.com
209.205.217.82,sync.spotim.market
192.241.135.249,openrtb.cootlogix.com
192.241.135.249,openrtb.cootlogix.com
35.231.41.163,bidder.9mediaonline.com
209.205.217.82,sync.sync.viewdeos.com
35.173.173.125,ads.adap.tv
152.199.5.24,adserver.adtech.advertising.com
152.199.5.24,adserver.adtech.advertising.com
38.134.110.112,ads.stickyadstv.com
38.134.110.112,ads.stickyadstv.com
54.175.87.114,ups.analytics.yahoo.com
74.125.172.39,r1---sn-ab5szn7l.c.2mdn.net
54.175.87.114,ups.analytics.yahoo.com
34.230.152.154,s.update.wtag.adaptv.advertising.com
130.211.115.4,data.ad-score.com
130.211.115.4,data.ad-score.com
130.211.115.4,data.ad-score.com
130.211.115.4,data.ad-score.com
148.153.38.118,api.bilibili.com
23.54.160.41,upos-hz-mirrorakam.akamaized.net
52.179.129.229,arc.msn.com
52.114.132.73,self.events.data.microsoft.com
69.94.69.113,shepherd.ff.avast.com
222.88.93.86,sdk1xyajs-data.xycdn.com
222.88.93.86,sdk1xyajs-data.xycdn.com
222.88.93.86,sdk1xyajs-data.xycdn.com
23.54.160.41,upos-hz-mirrorakam.akamaized.net
128.116.112.44,users.roblox.com
222.88.93.86,sdk1xyajs-data.xycdn.com
13.107.136.9,nyu0-my.sharepoint.com
23.54.160.41,upos-hz-mirrorakam.akamaized.net
17.142.171.9,gs-loc.apple.com
23.54.177.167,as-sec.casalemedia.com
209.204.233.110,a3538.casalemedia.com
13.225.62.113,9zqhb3hba48m0c382uno7k2t74isfi.ext-twitch.tv
68.67.160.117,nym1-ib.adnxs.com
17.142.171.9,gs-loc.apple.com
17.142.171.9,gs-loc.apple.com
192.35.249.129,js.spotx.tv
52.1.117.218,rtr.innovid.com
23.54.177.11,s-static.innovid.com
18.235.226.14,bktr2-06hdl.ads.tremorhub.com
3.208.109.74,s.innovid.com
3.208.109.74,s.innovid.com
148.153.38.118,api.bilibili.com
3.87.84.63,ag.innovid.com
3.87.84.63,ag.innovid.com
222.88.93.86,sdk1xyajs-data.xycdn.com
222.88.93.86,sdk1xyajs-data.xycdn.com
222.88.93.86,sdk1xyajs-data.xycdn.com
192.35.249.112,event.spotxchange.com
52.1.232.25,pxl.iqm.com
23.54.160.41,upos-hz-mirrorakam.akamaized.net
23.54.177.11,s-cdn.innovid.com
68.67.160.186,ib.adnxs.com
3.208.109.74,s.innovid.com
23.78.167.248,tag.researchnow.com
68.67.160.186,ib.adnxs.com
209.204.233.110,a3538.casalemedia.com
68.67.160.25,secure.adnxs.com
23.54.177.123,secure.insightexpressai.com
34.211.62.46,a.a47b.com
34.199.189.142,dts.innovid.com
151.101.249.108,cdn.adnxs.com
130.211.115.4,data.ad-score.com
68.67.160.117,nym1-ib.adnxs.com
151.101.249.108,cdn.adnxs.com
35.186.224.53,spclient.wg.spotify.com
23.54.160.41,upos-hz-mirrorakam.akamaized.net
209.204.233.110,a3538.casalemedia.com
222.88.93.86,sdk1xyajs-data.xycdn.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
23.54.160.41,upos-hz-mirrorakam.akamaized.net
17.249.162.38,gsp-ssl.ls.apple.com
119.28.164.203,dlied1.qq.com
119.28.164.203,dlied1.qq.com
148.153.64.18,api.bilibili.com
119.28.164.203,dlied1.qq.com
23.54.160.41,upos-hz-mirrorakam.akamaized.net
209.204.233.110,a3538.casalemedia.com
119.28.164.203,dlied1.qq.com
119.28.164.203,dlied1.qq.com
222.88.93.86,sdk1xyajs-data.xycdn.com
52.179.129.229,arc.msn.com
119.28.164.203,dlied1.qq.com
128.238.155.11,128.238.155.11
23.54.160.41,upos-hz-mirrorakam.akamaized.net
128.238.155.11,128.238.155.11
17.248.187.72,gateway-asset.icloud-content.com
128.116.112.44,users.roblox.com
172.217.11.46,calendar.google.com
17.142.171.6,gsp64-ssl.ls.apple.com
172.217.3.106,safebrowsing.googleapis.com
172.217.12.174,calendar.google.com
148.153.38.118,message.bilibili.com
35.241.52.229,cdp.cloud.unity3d.com
148.153.64.18,api.vc.bilibili.com
34.68.125.225,rpc.znly.co
209.204.233.110,a3538.casalemedia.com
222.88.93.86,sdk1xyajs-data.xycdn.com
13.107.136.9,nyu0-my.sharepoint.com
23.54.160.41,upos-hz-mirrorakam.akamaized.net
172.217.11.46,google.com
172.217.11.46,google.com
172.217.12.202,www.googleapis.com
31.13.66.4,www.messenger.com
172.253.122.108,imap.gmail.com
172.253.122.108,imap.gmail.com
172.253.122.108,imap.gmail.com
172.253.122.108,imap.gmail.com
222.88.93.86,sdk1xyajs-data.xycdn.com
172.253.122.108,imap.gmail.com
172.253.122.108,imap.gmail.com
172.253.122.108,imap.gmail.com
172.253.122.108,imap.gmail.com
222.88.93.86,sdk1xyajs-data.xycdn.com
148.153.64.18,api.bilibili.com
172.217.10.234,www.googleapis.com
172.253.122.108,imap.gmail.com
17.36.205.4,p14-imap.mail.me.com
23.54.160.41,upos-hz-mirrorakam.akamaized.net
222.88.93.85,sdk1xyajs-data.xycdn.com
209.204.233.110,a3538.casalemedia.com
23.54.176.30,vpaid.pubmatic.com
18.235.226.14,bktr2-06hdl.ads.tremorhub.com
104.36.115.110,vid.pubmatic.com
23.40.28.254,aktrack.pubmatic.com
23.40.28.254,aktrack.pubmatic.com
192.35.249.112,event.spotxchange.com
192.35.249.127,sync.search.spotxchange.com
52.1.232.25,pxl.iqm.com
170.76.216.244,usersync.videoamp.com
23.54.181.99,svastx.moatads.com
128.116.112.44,users.roblox.com
23.54.181.99,z.moatads.com
173.194.31.121,r3---sn-ab5szn7k.c.2mdn.net
18.214.22.9,beacon.krxd.net
23.20.19.72,m.dlx.addthis.com
23.20.19.72,m.dlx.addthis.com
23.20.19.72,m.dlx.addthis.com
192.35.249.123,iad02-search.spotxchange.com
192.35.249.112,iad02-event.spotxchange.com
4.16.74.75,ar.voicefive.com
23.54.177.182,sb.voicefive.com
172.253.122.108,imap.gmail.com
17.57.144.164,courier.push.apple.com
172.253.122.108,imap.gmail.com
172.253.122.108,imap.gmail.com
222.88.93.86,sdk1xyajs-data.xycdn.com
222.88.93.86,sdk1xyajs-data.xycdn.com
172.253.122.108,imap.gmail.com
130.211.115.4,data.ad-score.com
172.253.122.108,imap.gmail.com
172.253.122.108,imap.gmail.com
17.248.135.148,gateway-carry.icloud.com
13.225.210.76,d3cv4a9a9wh0bt.cloudfront.net
13.226.37.224,d3cv4a9a9wh0bt.cloudfront.net
18.205.44.71,f-log-extension.grammarly.io
23.54.160.41,upos-hz-mirrorakam.akamaized.net
172.253.122.108,imap.gmail.com
172.253.122.108,imap.gmail.com
172.217.10.234,www.googleapis.com
31.13.66.10,edge-mqtt.facebook.com
31.13.66.4,web.facebook.com
3.91.171.214,kinesis.us-east-1.amazonaws.com
172.253.122.108,imap.gmail.com
172.253.122.108,imap.gmail.com
31.13.66.4,web.facebook.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
207.237.40.209,scontent.fnyc1-1.fna.fbcdn.net
222.88.93.86,sdk1xyajs-data.xycdn.com
222.88.93.86,sdk1xyajs-data.xycdn.com
172.253.122.108,imap.gmail.com
172.253.122.108,imap.gmail.com
222.88.93.86,sdk1xyajs-data.xycdn.com
23.54.160.8,upos-hz-mirrorakam.akamaized.net
172.253.122.108,imap.gmail.com
172.253.122.108,imap.gmail.com
222.88.93.86,sdk1xyajs-data.xycdn.com
222.88.93.85,sdk1xyajs-data.xycdn.com
148.153.64.18,api.bilibili.com
17.248.135.40,p14-caldav.icloud.com
17.174.1.5,guzzoni.apple.com
23.54.160.8,upos-hz-mirrorakam.akamaized.net
17.248.187.71,p14-caldav.icloud.com
3.216.241.24,widget-mediator.zopim.com
172.253.63.188,mtalk.google.com
172.253.63.188,mtalk.google.com
17.248.135.143,gateway.icloud.com
17.248.135.143,gateway.icloud.com
3.211.124.166,s2s.aniview.com
172.217.12.174,calendar.google.com
17.248.135.200,metrics.icloud.com
172.217.9.234,www.googleapis.com
18.235.226.14,bktr2-06hdl.ads.tremorhub.com
222.88.93.86,sdk1xyajs-data.xycdn.com
172.217.12.174,calendar.google.com
170.76.216.244,usersync.videoamp.com
52.1.232.25,pxl.iqm.com
222.88.93.86,sdk1xyajs-data.xycdn.com
23.54.160.8,upos-hz-mirrorakam.akamaized.net
173.222.102.152,api1.origin.com
173.222.102.152,secure.download.dm.origin.com
173.222.102.152,secure.download.dm.origin.com
173.222.102.152,secure.download.dm.origin.com
52.179.129.229,arc.msn.com
185.230.60.179,www.wix.com
52.1.232.25,pxl.iqm.com
17.36.205.69,p14-imap.mail.me.com
104.17.74.91,brainly.com
128.116.112.44,users.roblox.com
104.16.68.81,us-static.z-dn.net
104.17.73.91,styleguide.brainly.com
104.17.73.91,styleguide.brainly.com
104.17.73.91,styleguide.brainly.com
151.101.130.109,polyfill.io
151.101.130.109,polyfill.io
151.101.2.109,cdn.polyfill.io
104.16.68.81,tex.z-dn.net
104.16.68.81,tex.z-dn.net
104.16.68.81,tex.z-dn.net
151.101.2.217,browser.sentry-cdn.com
222.88.93.86,sdk1xyajs-data.xycdn.com
222.88.93.86,sdk1xyajs-data.xycdn.com
170.76.216.244,usersync.videoamp.com
23.54.160.8,upos-hz-mirrorakam.akamaized.net
130.211.115.4,data.ad-score.com
18.204.126.182,s.update.wtag.adaptv.advertising.com
130.211.115.4,data.ad-score.com
130.211.115.4,data.ad-score.com
130.211.115.4,data.ad-score.com
34.197.7.226,ipnvi-v83it.ads.tremorhub.com
199.127.204.100,tag.1rx.io
52.207.80.222,targeting.unrulymedia.com
185.86.137.42,www9.smartadserver.com
52.45.244.162,match.adsrvr.org
74.6.138.75,pr-bh.ybp.yahoo.com
52.200.145.97,pixel.advertising.com
199.127.204.150,sync.1rx.io
52.45.33.138,ups.analytics.yahoo.com
52.45.33.138,ups.analytics.yahoo.com
52.45.33.138,ups.analytics.yahoo.com
159.203.108.18,vast.doubleverify.com
18.211.147.11,vtrk.doubleverify.com
205.185.216.42,servedby.flashtalking.com
205.185.216.42,servedby.flashtalking.com
54.87.41.147,prebid-server.rubiconproject.com
52.1.232.25,pxl.iqm.com
173.194.31.121,r3---sn-ab5szn7k.c.2mdn.net
4.16.74.75,ar.voicefive.com
17.57.12.11,gsp64-ssl.ls.apple.com
148.153.64.18,api.bilibili.com
130.211.115.4,data.ad-score.com
222.88.93.86,sdk1xyajs-data.xycdn.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
23.54.160.8,upos-hz-mirrorakam.akamaized.net
222.88.93.86,sdk1xyajs-data.xycdn.com
23.15.8.146,lol.secure.dyn.riotcdn.net
3.91.171.214,kinesis.us-east-1.amazonaws.com
164.52.33.179,data.bilibili.com
17.249.162.38,gsp-ssl.ls.apple.com
31.13.66.19,scontent.xx.fbcdn.net
31.13.66.35,www.facebook.com
13.107.136.9,nyu0-my.sharepoint.com
52.114.88.20,mobile.pipe.aria.microsoft.com
222.88.93.86,sdk1xyajs-data.xycdn.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
222.88.93.86,sdk1xyajs-data.xycdn.com
172.217.7.3,update.googleapis.com
23.54.160.8,upos-hz-mirrorakam.akamaized.net
13.226.37.39,d3cv4a9a9wh0bt.cloudfront.net
222.88.93.86,sdk1xyajs-data.xycdn.com
205.185.216.42,cdn.flashtalking.com
205.185.216.42,servedby.flashtalking.com
34.224.183.247,insight.adsrvr.org
54.209.107.15,nep.advangelists.com
170.76.216.244,u.videoamp.com
50.115.92.12,use-va1.adsrvr.org
52.3.206.41,events.tremorhub.com
52.201.79.146,dpm.demdex.net
148.153.64.18,api.bilibili.com
104.22.2.109,builds.parsecgaming.com
104.22.2.109,builds.parsecgaming.com
205.185.216.42,cdn.flashtalking.com
31.13.66.4,www.messenger.com
31.13.66.35,www.facebook.com
130.211.115.4,data.ad-score.com
17.57.12.11,gsp64-ssl.ls.apple.com
23.54.160.8,upos-hz-mirrorakam.akamaized.net
209.97.222.140,someonewhocares.org
222.88.93.86,sdk1xyajs-data.xycdn.com
222.88.93.86,sdk1xyajs-data.xycdn.com
222.88.93.86,sdk1xyajs-data.xycdn.com
23.54.160.8,upos-hz-mirrorakam.akamaized.net
128.116.112.44,users.roblox.com
148.153.64.18,message.bilibili.com
