63.251.88.56,aa.agkn.com
216.98.62.23,msr-public-ubiservices.ubi.com
52.114.32.24,v20.events.data.microsoft.com
104.17.49.19,na1.cap.riotgames.com
40.126.7.101,login.windows.net
52.96.88.2,outlook.office365.com
52.96.88.2,outlook.office365.com
128.116.112.44,users.roblox.com
52.96.88.2,outlook.office365.com
54.86.242.45,datarouter.ol.epicgames.com
52.96.38.82,outlook.office365.com
52.96.38.82,outlook.office365.com
31.13.65.36,www.facebook.com
172.253.122.108,imap.gmail.com
151.101.248.223,docs.python.org
151.101.248.223,docs.python.org
52.96.38.82,outlook.office365.com
24.105.29.76,telemetry-in.battle.net
52.96.87.210,outlook.office365.com
172.253.122.108,imap.gmail.com
172.253.122.108,imap.gmail.com
52.96.87.210,outlook.office365.com
52.96.87.210,outlook.office365.com
17.248.135.15,p31-keyvalueservice.icloud.com
172.253.122.108,imap.gmail.com
172.253.122.108,imap.gmail.com
104.18.181.233,search.proquest.com
31.13.65.36,www.facebook.com
13.225.212.129,cf-hls-media.sndcdn.com
