111.221.29.40,fe3cr.delivery.mp.microsoft.com
165.227.252.242,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
34.230.111.29,rtm.tnt-ea.com
18.213.202.210,edgeapi.slack.com
18.213.202.210,edgeapi.slack.com
54.149.38.24,proxy.gamestream.nvidia.com
35.186.224.47,dealer.spotify.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
3.226.212.65,dt.adsafeprotected.com
104.107.183.221,geover.prod.do.dsp.mp.microsoft.com
38.106.231.204,osfsr.lenovomm.com
52.253.130.84,geo.prod.do.dsp.mp.microsoft.com
104.107.184.14,cp801.prod.do.dsp.mp.microsoft.com
104.107.184.14,cp801.prod.do.dsp.mp.microsoft.com
148.153.64.18,api.vc.bilibili.com
104.107.184.14,disc801.prod.do.dsp.mp.microsoft.com
104.107.184.14,disc801.prod.do.dsp.mp.microsoft.com
52.179.129.229,arc.msn.com
23.246.7.205,ipv4-c377-nyc001-ix.1.oca.nflxvideo.net
23.246.7.189,ipv4-c361-nyc001-ix.1.oca.nflxvideo.net
23.246.7.189,ipv4-c361-nyc001-ix.1.oca.nflxvideo.net
35.186.224.53,spclient.wg.spotify.com
23.246.7.189,ipv4-c361-nyc001-ix.1.oca.nflxvideo.net
23.246.7.189,ipv4-c361-nyc001-ix.1.oca.nflxvideo.net
23.246.7.205,ipv4-c377-nyc001-ix.1.oca.nflxvideo.net
172.253.63.109,imap.gmail.com
23.246.7.205,ipv4-c377-nyc001-ix.1.oca.nflxvideo.net
23.246.7.205,ipv4-c377-nyc001-ix.1.oca.nflxvideo.net
173.222.100.177,www.zhihu.com
31.13.66.4,www.messenger.com
31.13.66.19,platform-lookaside.fbsbx.com
31.13.66.4,graph.facebook.com
23.38.167.33,steamcdn-a.akamaihd.net
23.38.167.33,steamcdn-a.akamaihd.net
23.38.167.33,steamcdn-a.akamaihd.net
23.43.56.194,steamstore-a.akamaihd.net
104.16.1.92,na.ledge.leagueoflegends.com
104.67.27.94,pic3.zhimg.com
180.97.9.120,q2.qlogo.cn
35.161.157.250,ece4.playfabapi.com
104.108.129.26,steam-chat.com
23.20.28.69,ss-prod-ue1-notif-32.aws.adobess.com
17.249.121.246,api-glb-nyc.smoot.apple.com
23.193.217.205,xp.apple.com
23.43.56.200,play.itunes.apple.com
128.238.155.11,128.238.155.11
52.54.70.243,ss-prod-ue1-notif-27.aws.adobess.com
17.249.121.246,api-glb-nyc.smoot.apple.com
128.238.155.11,128.238.155.11
17.174.1.5,guzzoni.apple.com
148.153.38.118,message.bilibili.com
13.107.136.9,nyu0-my.sharepoint.com
104.17.209.9,api.golinkapi.com
13.107.136.9,nyu0-my.sharepoint.com
172.217.3.100,www.google.com
52.114.88.28,v10.events.data.microsoft.com
54.239.31.63,feed.browserapps.amazon.com
54.88.95.39,fls-na.amazon.com
23.40.30.92,livetileedge.dsx.mp.microsoft.com
8.43.72.44,beacon-us-iad2.rubiconproject.com
204.154.111.115,rtb0.doubleverify.com
204.154.111.117,tps613.doubleverify.com
204.154.111.117,tps613.doubleverify.com
205.185.216.42,servedby.flashtalking.com
205.185.216.10,cdn.flashtalking.com
205.185.216.10,cdn.flashtalking.com
204.154.111.134,tps.doubleverify.com
172.217.11.10,wirelessdevicestats.googleapis.com
172.217.11.10,wirelessdevicestats.googleapis.com
128.1.102.21,sqimg.qq.com
49.51.65.181,account.sogou.com
204.154.111.117,tps10242.doubleverify.com
49.51.65.181,account.sogou.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
49.51.65.181,account.sogou.com
204.154.111.117,tps10247.doubleverify.com
148.153.64.18,api.vc.bilibili.com
49.51.65.181,account.sogou.com
172.217.11.36,www.google.com
172.217.6.193,apidata.googleusercontent.com
172.217.6.205,accounts.google.com
52.114.74.45,v10.events.data.microsoft.com
23.40.30.102,xp.apple.com
172.253.63.109,imap.gmail.com
172.253.63.109,imap.gmail.com
23.43.56.201,play.itunes.apple.com
31.13.66.4,graph.facebook.com
173.194.68.108,smtp.gmail.com
172.253.63.108,imap.gmail.com
172.253.63.108,imap.gmail.com
173.194.68.108,smtp.gmail.com
13.107.18.11,substrate.office.com
13.107.18.11,substrate.office.com
20.36.218.63,settings-win.data.microsoft.com
52.114.75.150,mobile.pipe.aria.microsoft.com
128.116.112.44,users.roblox.com
35.186.224.25,login5.spotify.com
13.226.37.216,d3cv4a9a9wh0bt.cloudfront.net
13.225.64.74,d3cv4a9a9wh0bt.cloudfront.net
17.142.171.7,gsp64-ssl.ls.apple.com
23.40.28.191,api1.origin.com
23.40.28.191,api1.origin.com
165.227.252.242,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
20.36.218.63,settings-win.data.microsoft.com
104.16.1.92,na.ledge.leagueoflegends.com
23.40.28.191,api1.origin.com
17.57.144.53,courier.push.apple.com
3.226.212.65,dt.adsafeprotected.com
52.41.8.68,ekg.riotgames.com
119.3.65.116,message.bilibili.com
52.218.233.208,s3-us-west-2.amazonaws.com
52.218.234.75,ubp-common-us-prod.s3.amazonaws.com
203.205.219.229,client.show.qq.com
23.40.28.191,api1.origin.com
128.116.112.44,users.roblox.com
52.114.88.28,v10.events.data.microsoft.com
104.17.209.9,api.golinkapi.com
52.179.129.229,arc.msn.com
104.107.183.221,geover.prod.do.dsp.mp.microsoft.com
52.253.130.84,geo.prod.do.dsp.mp.microsoft.com
104.107.184.14,cp801.prod.do.dsp.mp.microsoft.com
104.107.184.14,cp801.prod.do.dsp.mp.microsoft.com
104.107.184.14,disc801.prod.do.dsp.mp.microsoft.com
104.107.184.14,disc801.prod.do.dsp.mp.microsoft.com
17.142.171.5,gsp64-ssl.ls.apple.com
13.225.230.126,clips-media-assets2.twitch.tv
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
180.169.106.30,casper.saschina.org
172.217.11.46,clients3.google.com
23.220.33.212,init.itunes.apple.com
17.154.67.25,p29-buy.itunes.apple.com
23.40.30.102,xp.apple.com
31.13.66.4,graph.facebook.com
31.13.66.4,graph.facebook.com
13.107.5.88,evoke-windowsservices-tas.msedge.net
104.107.176.162,go.microsoft.com
203.205.158.52,wa.qq.com
157.55.109.230,windows.policies.live.net
35.186.224.53,spclient.wg.spotify.com
35.186.224.53,spclient.wg.spotify.com
35.186.224.47,dealer.spotify.com
203.205.158.52,wa.qq.com
152.195.54.20,services.gfe.nvidia.com
172.217.3.106,safebrowsing.googleapis.com
3.213.160.221,sirius.mwbsys.com
31.13.66.35,www.facebook.com
13.107.136.9,nyu0-my.sharepoint.com
