23.43.56.192,steamcommunity-a.akamaihd.net
13.225.64.107,d3cv4a9a9wh0bt.cloudfront.net
13.225.210.177,d3cv4a9a9wh0bt.cloudfront.net
52.114.158.91,v10.events.data.microsoft.com
162.159.130.233,discordapp.com
104.17.209.9,api.golinkapi.com
104.17.209.9,api.golinkapi.com
172.217.9.229,mail.google.com
13.225.62.124,www.gradegrinder.net
13.225.62.31,cdn7.dissolve.com
52.11.99.88,static.gradegrinder.net
52.32.108.25,login.gradegrinder.net
52.32.108.25,login.gradegrinder.net
148.153.64.18,api.bilibili.com
13.226.31.153,slack.com
104.107.127.223,content-system.gog.com
52.218.225.144,s3-us-west-2.amazonaws.com
23.38.167.33,steamcdn-a.akamaihd.net
23.38.167.33,steamcdn-a.akamaihd.net
23.38.167.33,steamcdn-a.akamaihd.net
23.43.56.186,steamstore-a.akamaihd.net
52.218.252.171,ubp-common-us-prod.s3.amazonaws.com
52.32.108.25,login.gradegrinder.net
52.32.108.25,login.gradegrinder.net
52.11.99.88,static.gradegrinder.net
52.11.99.88,static.gradegrinder.net
52.11.99.88,static.gradegrinder.net
52.11.99.88,static.gradegrinder.net
52.11.99.88,static.gradegrinder.net
52.25.127.179,doc.gradegrinder.net
34.209.224.188,reports.gradegrinder.net
46.137.116.33,a.wunderlist.com
46.137.116.33,a.wunderlist.com
46.137.116.33,a.wunderlist.com
46.137.116.33,a.wunderlist.com
46.137.116.33,a.wunderlist.com
34.209.224.188,reports.gradegrinder.net
34.209.224.188,reports.gradegrinder.net
34.209.224.188,reports.gradegrinder.net
34.209.224.188,reports.gradegrinder.net
34.209.224.188,reports.gradegrinder.net
17.167.192.94,gsp85-ssl.ls.apple.com
17.178.101.8,p24-mailws.icloud.com
17.178.101.8,p24-mailws.icloud.com
52.4.156.177,g44.p4.webrootcloudav.com
52.4.156.177,g44.p4.webrootcloudav.com
66.35.53.201,api.webroot.com
54.245.14.207,sn.webrootcloudav.com
54.245.14.207,sn.webrootcloudav.com
23.40.30.29,us-prof.np.community.playstation.net
134.209.129.254,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
104.196.12.179,eg.poly.edu
13.107.3.128,config.edge.skype.com
172.217.3.106,remotedesktop-pa.googleapis.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
172.217.3.106,remotedesktop-pa.googleapis.com
52.109.4.5,mrodevicemgr.officeapps.live.com
68.67.160.137,nym1-ib.adnxs.com
68.67.160.137,nym1-ib.adnxs.com
13.107.42.12,d.docs.live.net
185.167.164.37,c1.adform.net
96.6.25.77,officecdn.microsoft.com
13.107.42.12,d.docs.live.net
70.37.74.6,smartscreen-prod.microsoft.com
68.67.178.15,ib.adnxs.com
23.77.240.204,api1.origin.com
216.165.46.10,newclasses.nyu.edu
148.153.64.18,api.bilibili.com
119.28.164.202,dlied1.qq.com
52.179.129.229,arc.msn.com
45.57.91.1,assets.nflxext.com
45.57.90.1,codex.nflxext.com
52.109.124.22,nexus.officeapps.live.com
52.210.202.149,www.netflix.com
52.210.202.149,www.netflix.com
23.20.28.69,ss-prod-ue1-notif-32.aws.adobess.com
13.226.39.71,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
104.22.2.109,builds.parsecgaming.com
104.22.2.109,builds.parsecgaming.com
119.28.164.202,dlied1.qq.com
13.78.184.186,array804.prod.do.dsp.mp.microsoft.com
17.167.194.149,gs-loc.apple.com
119.28.164.202,dlied1.qq.com
52.109.8.20,nexusrules.officeapps.live.com
17.253.97.205,valid.apple.com
119.28.164.202,dlied1.qq.com
13.107.136.9,nyu0-my.sharepoint.com
52.109.6.6,roaming.officeapps.live.com
52.109.6.6,roaming.officeapps.live.com
172.217.3.106,safebrowsing.googleapis.com
104.42.39.77,api.momentumdash.com
184.28.21.101,gspe35-ssl.ls.apple.com
13.107.42.12,d.docs.live.net
17.167.192.128,gs-loc.apple.com
23.77.242.52,livetileedge.dsx.mp.microsoft.com
23.77.242.52,livetileedge.dsx.mp.microsoft.com
18.205.44.71,f-log-extension.grammarly.io
3.234.31.129,activate.platform.californiatimes.com
119.28.164.202,dlied1.qq.com
162.159.133.232,media.discordapp.net
119.28.164.202,dlied1.qq.com
162.159.129.233,discordapp.com
52.13.229.94,ekg.riotgames.com
13.88.181.35,spoc.norton.com
104.17.209.9,api.golinkapi.com
52.114.6.47,v10.events.data.microsoft.com
172.217.11.46,s.ytimg.com
172.217.9.229,mail.google.com
192.229.163.146,cfg.gog.com
52.223.241.2,video-weaver.atl01.hls.ttvnw.net
13.107.42.12,d.docs.live.net
35.186.224.47,dealer.spotify.com
13.225.64.110,d3cv4a9a9wh0bt.cloudfront.net
148.153.64.18,api.bilibili.com
140.177.18.13,www.wolframalpha.com
140.177.18.13,www.wolframalpha.com
34.199.64.198,acp-ss-ue1.adobe.io
17.248.187.68,gateway.icloud.com
17.188.199.70,us-east-1.blobstore.apple.com
17.188.196.77,us-east-1.blobstore.apple.com
17.248.142.68,gateway.icloud.com
140.177.18.13,www.wolframalpha.com
140.177.18.13,www.wolframalpha.com
31.13.66.19,scontent.xx.fbcdn.net
54.245.14.207,sn.webrootcloudav.com
140.177.18.13,www.wolframalpha.com
140.177.18.13,www.wolframalpha.com
140.177.18.13,www.wolframalpha.com
17.248.135.239,gateway.icloud.com
34.240.67.227,push.prod.netflix.com
17.248.135.209,metrics.icloud.com
54.76.159.18,www.netflix.com
17.248.135.46,gateway-carry.icloud.com
17.167.194.47,gsp85-ssl.ls.apple.com
17.174.1.5,guzzoni.apple.com
17.253.97.202,mesu.apple.com
23.77.240.204,api1.origin.com
140.177.18.13,www.wolframalpha.com
140.177.18.13,www.wolframalpha.com
13.107.42.12,d.docs.live.net
20.36.219.28,activity.windows.com
17.249.121.246,api-glb-nyc.smoot.apple.com
140.177.18.13,www.wolframalpha.com
20.36.219.28,activity.windows.com
140.177.18.13,www.wolframalpha.com
140.177.18.13,www.wolframalpha.com
140.177.18.13,www.wolframalpha.com
140.177.18.13,www.wolframalpha.com
140.177.18.13,www.wolframalpha.com
140.177.18.13,www.wolframalpha.com
23.51.184.143,store.steampowered.com
17.57.144.165,courier.push.apple.com
104.83.66.10,api.steampowered.com
13.107.42.12,dm2305.storage.live.com
140.177.18.13,www.wolframalpha.com
134.209.129.254,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
74.119.119.151,bidder.criteo.com
140.177.18.13,www.wolframalpha.com
140.177.18.13,www.wolframalpha.com
68.67.160.137,nym1-ib.adnxs.com
68.67.160.137,nym1-ib.adnxs.com
185.167.164.37,c1.adform.net
140.177.18.13,www.wolframalpha.com
68.67.178.15,ib.adnxs.com
18.214.110.4,www.quora.com
54.148.32.205,mobileapp.nyu.edu
104.19.219.38,iron.staging.stockx.io
151.101.1.160,e.grubhub.com
13.225.62.23,my.headspace.com
45.60.102.8,studentuniverse.com
54.222.60.218,www.amazon.cn
104.19.219.38,iron.staging.stockx.io
45.60.12.8,www.studentuniverse.com
104.19.219.38,iron.staging.stockx.io
104.19.219.38,iron.staging.stockx.io
216.165.47.12,www.nyu.edu
52.109.120.21,nexus.officeapps.live.com
45.60.102.8,studentuniverse.com
35.186.224.53,spclient.wg.spotify.com
35.186.224.53,spclient.wg.spotify.com
204.154.111.145,tps10220.doubleverify.com
204.154.111.145,tps10249.doubleverify.com
54.222.63.5,dl.amazon.cn
140.177.18.13,www.wolframalpha.com
52.109.120.21,nexus.officeapps.live.com
23.40.28.187,aqua.hac.lp1.d4c.nintendo.net
54.222.60.218,amazon.cn
34.205.47.229,dauth-lp1.ndas.srv.nintendo.net
172.217.3.106,chat-pa.clients6.google.com
104.107.127.223,content-system.gog.com
172.217.3.106,chat-pa.clients6.google.com
148.153.38.118,message.bilibili.com
34.205.47.229,dauth-lp1.ndas.srv.nintendo.net
23.40.28.187,tagaya.hac.lp1.eshop.nintendo.net
52.114.75.78,mobile.pipe.aria.microsoft.com
52.114.75.78,mobile.pipe.aria.microsoft.com
148.153.64.18,api.bilibili.com
13.107.42.12,d.docs.live.net
104.110.159.149,www.amazon.de
13.225.213.236,dl.amazon.de
172.217.3.100,www.google.com
172.217.3.101,inbox.google.com
104.110.159.151,www.amazon.es
176.32.108.185,amazon.de
13.225.212.61,js.prd.fusionapi.autodesk.com
104.16.121.97,www.webassign.net
140.177.18.13,www.wolframalpha.com
17.57.12.11,gsp64-ssl.ls.apple.com
140.177.18.13,www.wolframalpha.com
13.225.70.5,dl.amazon.es
52.179.129.229,arc.msn.com
216.165.47.12,www.nyu.edu
104.110.159.149,www.amazon.de
140.177.18.13,www.wolframalpha.com
140.177.18.13,www.wolframalpha.com
140.177.18.13,www.wolframalpha.com
140.177.18.13,www.wolframalpha.com
13.226.37.33,d3aqoihi2n8ty8.cloudfront.net
17.248.187.135,api.apple-cloudkit.com
13.107.136.9,nyu0-my.sharepoint.com
13.225.58.243,www.amazon.fr
52.95.116.112,amazon.es
140.177.18.13,www.wolframalpha.com
54.222.60.218,www.amazon.cn
140.177.18.13,www.wolframalpha.com
140.177.18.13,www.wolframalpha.com
52.113.194.132,config.teams.microsoft.com
140.177.18.13,www.wolframalpha.com
13.226.31.238,dl.amazon.fr
23.77.240.204,api1.origin.com
140.177.18.13,www.wolframalpha.com
140.177.18.80,wal.wolfram.com
34.209.18.22,pipes-prod-glutton.public.aws.demonware.net
23.43.59.208,steamcdn-a.akamaihd.net
52.114.77.33,mobile.pipe.aria.microsoft.com
52.114.77.33,mobile.pipe.aria.microsoft.com
104.110.159.151,www.amazon.es
17.253.21.205,mesu.apple.com
17.253.97.204,mesu.apple.com
17.253.97.204,mesu.apple.com
104.107.127.223,auth.gog.com
140.177.18.13,www5a.wolframalpha.com
140.177.18.13,www5a.wolframalpha.com
140.177.18.13,www5a.wolframalpha.com
54.239.33.91,amazon.fr
52.114.6.47,v20.events.data.microsoft.com
23.77.240.204,api1.origin.com
23.77.240.204,secure.download.dm.origin.com
23.77.240.204,secure.download.dm.origin.com
23.77.240.204,secure.download.dm.origin.com
140.177.18.13,www5a.wolframalpha.com
104.110.159.152,www.amazon.it
13.226.31.238,dl.amazon.it
148.153.64.18,api.vc.bilibili.com
140.177.18.13,www5a.wolframalpha.com
13.225.58.243,www.amazon.fr
140.177.18.13,www5a.wolframalpha.com
140.177.18.13,www5a.wolframalpha.com
23.40.30.29,us-prof.np.community.playstation.net
140.177.18.80,wal.wolfram.com
140.177.18.13,www5a.wolframalpha.com
