198.252.206.25,qa.sockets.stackexchange.com
172.217.10.238,play.google.com
45.57.41.1,ios.prod.ftl.netflix.com
31.13.65.36,www.facebook.com
52.159.17.76,tsfe.trafficshaping.dsp.mp.microsoft.com
184.28.44.224,api.weather.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
17.248.187.71,p40-caldav.icloud.com
18.235.79.162,ss-prod-ue1-notif-32.aws.adobess.com
54.148.79.41,video-edge-27bce6.pdx01.abs.hls.ttvnw.net
17.248.187.74,gateway.icloud.com
52.179.129.229,arc.msn.com
128.116.112.44,users.roblox.com
13.225.218.21,d3cv4a9a9wh0bt.cloudfront.net
128.116.112.44,users.roblox.com
173.194.205.108,imap.gmail.com
173.194.205.108,imap.gmail.com
52.37.144.240,ece4.playfabapi.com
17.248.135.237,gateway.icloud.com
172.217.10.10,chat-pa.clients6.google.com
172.217.10.10,chat-pa.clients6.google.com
13.225.230.27,inbox.brawlstars.com
52.45.208.102,datarouter.ol.epicgames.com
128.116.112.44,users.roblox.com
172.217.10.46,play.google.com
52.179.129.229,arc.msn.com
18.235.79.162,ss-prod-ue1-notif-32.aws.adobess.com
172.217.12.174,calendar.google.com
31.13.65.36,www.facebook.com
173.194.61.75,r5---sn-ab5l6nzk.googlevideo.com
45.57.41.1,ios.prod.ftl.netflix.com
172.217.12.164,www.google.com
172.217.9.225,ci4.googleusercontent.com
35.190.44.0,lsp.hackerrank.com
35.190.44.0,lsp.hackerrank.com
173.222.102.230,metrics.hackerrank.com
128.116.112.44,users.roblox.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
193.182.15.115,audio-sp-dca.spotifycdn.net
52.87.63.98,prd-collector-anon.playbuzz.com
35.186.224.53,spclient.wg.spotify.com
52.179.129.229,arc.msn.com
165.254.0.50,audio-akp-bbr-spotify-com.akamaized.net
128.116.112.44,users.roblox.com
173.194.205.109,imap.gmail.com
173.194.205.109,imap.gmail.com
23.20.28.69,ss-prod-ue1-notif-32.aws.adobess.com
17.248.187.73,gateway-carry.icloud.com
17.248.135.232,gateway-carry.icloud.com
52.159.17.76,tsfe.trafficshaping.dsp.mp.microsoft.com
17.248.135.232,gateway-carry.icloud.com
40.90.22.189,login.live.com
5.62.45.25,uib.ff.avast.com
184.87.48.161,go.microsoft.com
40.90.136.20,windows.policies.live.net
40.90.22.189,login.live.com
20.190.135.55,graph.microsoft.com
40.90.22.189,login.live.com
40.90.22.189,login.live.com
52.242.211.89,client.wns.windows.com
157.55.109.226,storage.live.com
157.55.109.226,storage.live.com
130.211.16.53,d.joinhoney.com
13.107.42.12,bn1305.storage.live.com
40.77.224.8,skydrivesync.policies.live.net
52.230.240.94,onedriveclucproddm20019.blob.core.windows.net
52.114.32.25,mobile.pipe.aria.microsoft.com
52.114.32.25,mobile.pipe.aria.microsoft.com
13.107.42.12,bn1305.settings.live.net
13.107.42.12,bn1305.storage.live.com
13.107.42.12,bn1305.storage.live.com
13.107.42.12,api.onedrive.com
162.159.128.232,media.discordapp.net
165.254.49.142,steamcdn-a.akamaihd.net
165.254.49.142,steamcdn-a.akamaihd.net
165.254.49.142,steamcdn-a.akamaihd.net
172.217.11.46,clients6.google.com
172.217.11.46,clients6.google.com
159.153.191.240,accounts.ea.com
159.153.191.239,signin.ea.com
172.217.10.68,www.google.com
172.217.3.106,fonts.googleapis.com
66.110.98.50,eaassets-a.akamaihd.net
66.110.98.50,eaassets-a.akamaihd.net
66.110.98.50,eaassets-a.akamaihd.net
66.110.98.50,eaassets-a.akamaihd.net
66.110.98.50,eaassets-a.akamaihd.net
66.110.98.50,eaassets-a.akamaihd.net
66.110.98.50,eaassets-a.akamaihd.net
152.199.4.210,tags.tiqcdn.com
172.217.3.99,www.gstatic.com
172.217.10.78,www.google-analytics.com
159.153.191.239,signin.ea.com
159.153.191.239,signin.ea.com
216.165.78.28,sis.portal.nyu.edu
216.165.78.28,sis.portal.nyu.edu
172.217.10.46,www.youtube.com
216.165.47.16,shibboleth.nyu.edu
172.217.6.238,s.ytimg.com
216.165.47.16,shibboleth.nyu.edu
216.165.47.16,shibboleth.nyu.edu
216.165.47.16,shibboleth.nyu.edu
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
54.241.191.153,api-e4c9863e.duosecurity.com
34.194.218.161,river.data.ea.com
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
52.179.224.121,skydrive.wns.windows.com
172.217.10.234,passwordsleakcheck-pa.googleapis.com
13.107.42.12,bn1305.storage.live.com
52.113.194.132,config.teams.microsoft.com
35.190.44.0,lsp.hackerrank.com
128.116.112.44,users.roblox.com
216.165.47.16,shibboleth.nyu.edu
216.165.47.12,www.nyu.edu
172.217.10.10,remotedesktop-pa.googleapis.com
172.217.10.10,remotedesktop-pa.googleapis.com
216.165.78.28,sis.portal.nyu.edu
216.165.78.28,sis.portal.nyu.edu
216.165.78.28,sis.portal.nyu.edu
216.165.78.28,sis.portal.nyu.edu
104.64.213.194,cloud.typography.com
173.194.205.109,imap.gmail.com
204.79.197.200,cn.bing.com
52.179.129.229,arc.msn.com
13.68.92.143,ris.api.iris.microsoft.com
172.217.9.238,tasks.google.com
8.36.80.215,events.gfe.nvidia.com
31.13.65.36,www.facebook.com
8.36.80.215,events.gfe.nvidia.com
8.36.80.215,events.gfe.nvidia.com
8.36.80.215,events.gfe.nvidia.com
52.179.129.229,arc.msn.com
216.165.78.15,sis.nyu.edu
216.165.78.15,sis.nyu.edu
216.165.78.15,sis.nyu.edu
216.165.78.15,sis.nyu.edu
216.165.78.15,sis.nyu.edu
216.165.78.15,sis.nyu.edu
172.217.12.130,adservice.google.com
172.217.12.130,googleads.g.doubleclick.net
172.217.3.99,www.gstatic.com
172.217.10.110,apis.google.com
13.225.218.225,d3cv4a9a9wh0bt.cloudfront.net
35.190.44.0,lsp.hackerrank.com
17.248.135.232,gateway-carry.icloud.com
172.217.10.110,www.youtube.com
31.13.65.36,www.facebook.com
13.225.222.223,www.flickr.com
31.13.65.1,www.messenger.com
96.17.65.84,img-getpocket.cdn.mozilla.net
172.217.12.202,safebrowsing.googleapis.com
77.234.44.103,shepherd.ff.avast.com
148.153.64.18,search.bilibili.com
148.153.64.18,search.bilibili.com
148.153.64.18,www.bilibili.com
13.225.230.80,news-page-themes-api.a.upc.ubisoft.com
3.217.207.251,public-ubiservices.ubi.com
52.204.87.102,public-rest.a.upc.ubisoft.com
47.246.24.229,s1.hdslb.com
47.246.24.229,s1.hdslb.com
47.246.24.229,s1.hdslb.com
47.246.24.229,s1.hdslb.com
47.246.24.229,s1.hdslb.com
47.246.24.229,s1.hdslb.com
164.52.33.179,data.bilibili.com
31.13.65.7,static.xx.fbcdn.net
47.246.24.226,static.hdslb.com
148.153.38.118,s.search.bilibili.com
148.153.38.118,s.search.bilibili.com
148.153.64.18,api.bilibili.com
148.153.64.18,api.bilibili.com
148.153.64.18,message.bilibili.com
148.153.64.18,message.bilibili.com
148.153.64.18,api.vc.bilibili.com
148.153.64.18,api.vc.bilibili.com
148.153.64.18,api.vc.bilibili.com
148.153.64.18,api.bilibili.com
45.57.41.1,ios.prod.ftl.netflix.com
164.52.33.179,data.bilibili.com
165.254.0.107,ubistatic3-a.akamaihd.net
