76.223.7.58,metrics-collector.s-onetag.com
38.140.99.21,lockerdome.com
128.116.112.44,users.roblox.com
23.92.22.150,bucket.rtk.io
23.92.22.150,bucket.rtk.io
52.179.129.229,arc.msn.com
128.116.112.44,users.roblox.com
13.107.5.88,evoke-windowsservices-tas.msedge.net
162.159.129.232,media.discordapp.net
162.159.129.232,media.discordapp.net
162.159.129.232,media.discordapp.net
162.159.129.232,media.discordapp.net
162.159.129.232,media.discordapp.net
162.159.129.232,media.discordapp.net
104.16.31.91,na.ledge.leagueoflegends.com
128.116.112.44,users.roblox.com
104.102.95.196,store.steampowered.com
151.101.2.217,browser.sentry-cdn.com
104.26.10.22,getmalus.com
104.26.10.22,getmalus.com
104.95.230.251,api.steampowered.com
52.109.124.19,nexusrules.officeapps.live.com
104.27.128.86,api.gifyourgame.com
172.217.11.36,www.google.com
151.139.242.15,marketplace.yoyogames.com
151.139.244.6,gms.yoyogames.com
18.214.147.234,accounts.yoyogames.com
151.139.245.4,www.yoyogames.com
5.255.255.5,www.yandex.ru
104.193.88.123,www.baidu.com
5.255.255.88,yandex.ru
52.179.129.229,arc.msn.com
148.153.38.118,www.bilibili.com
148.153.38.118,www.bilibili.com
47.246.24.225,s1.hdslb.com
128.116.112.44,users.roblox.com
104.27.128.86,api.gifyourgame.com
13.225.218.21,d3cv4a9a9wh0bt.cloudfront.net
13.225.218.21,d3cv4a9a9wh0bt.cloudfront.net
148.153.64.18,message.bilibili.com
148.153.64.18,api.vc.bilibili.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
68.67.160.132,ib.adnxs.com
35.244.186.129,rtkio-d.openx.net
68.67.160.132,ib.adnxs.com
45.33.71.81,s2s.rtk.io
68.67.160.132,ib.adnxs.com
69.166.1.15,apex.go.sonobi.com
68.67.160.132,ib.adnxs.com
104.36.115.111,hbopenbid.pubmatic.com
104.16.68.69,dmx.districtm.io
8.43.72.62,fastlane.rubiconproject.com
3.224.32.104,hb.emxdgt.com
69.192.109.125,as-sec.casalemedia.com
67.202.110.21,ssc.33across.com
34.205.108.106,g2.gumgum.com
13.225.227.2,c.amazon-adsystem.com
66.175.213.243,bidder.rtk.io
38.140.99.21,lockerdome.com
128.116.112.44,users.roblox.com
104.17.187.107,zwyr157wwiu6eior.com
23.92.22.150,bucket.rtk.io
23.92.22.150,bucket.rtk.io
23.59.226.2,tms16.icrc.trendmicro.com
23.59.226.2,tms16.icrc.trendmicro.com
128.116.112.44,users.roblox.com
211.234.127.21,logs.81plug.com
70.37.74.6,smartscreen-prod.microsoft.com
70.37.74.6,smartscreen-prod.microsoft.com
211.234.127.21,logs.81plug.com
49.51.20.228,www.wegame.com.cn
128.1.102.21,gpcd.gtimg.cn
128.1.102.21,gpcd.gtimg.cn
128.1.102.21,gpcd.gtimg.cn
111.161.112.211,wt1-new-acs.lol.qq.com
58.246.163.26,api.pallas.tgp.qq.com
52.87.63.98,prd-collector-anon.playbuzz.com
107.155.58.99,ossweb-img.qq.com
128.1.102.20,lol.qq.com
128.1.102.20,lol.qq.com
128.1.102.20,lol.qq.com
107.155.58.99,ossweb-img.qq.com
128.1.102.20,lol.qq.com
180.163.26.100,logs.game.qq.com
180.163.26.100,logs.game.qq.com
123.6.4.20,game.gtimg.cn
58.246.163.26,api.pallas.tgp.qq.com
123.6.4.20,game.gtimg.cn
172.217.9.229,mail.google.com
54.149.25.222,cn.ekg.riotgames.com
128.1.102.21,cdn.tgp.qq.com
128.116.112.44,users.roblox.com
52.179.129.229,arc.msn.com
125.39.83.105,wt1-pp.lol.qq.com
20.36.219.28,activity.windows.com
13.91.131.76,enterprise.activity.windows.com
40.126.7.64,login.microsoftonline.com
54.149.25.222,cn.ekg.riotgames.com
40.126.7.64,login.microsoftonline.com
52.232.26.228,push2.notify-service.com
54.149.25.222,cn.ekg.riotgames.com
128.116.112.44,users.roblox.com
165.254.0.99,ubistatic3-a.akamaihd.net
31.13.65.36,www.facebook.com
52.114.74.44,v10.events.data.microsoft.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
20.36.252.130,fe2cr.update.microsoft.com
52.114.74.43,v10.events.data.microsoft.com
128.116.112.44,users.roblox.com
151.101.201.36,cdn2.kongcdn.com
65.52.108.90,fe3cr.delivery.mp.microsoft.com
52.114.74.43,v10.events.data.microsoft.com
104.117.55.94,go.microsoft.com
31.13.65.51,graph.oculus.com
23.221.201.229,www.microsoft.com
69.192.108.188,definitionupdates.microsoft.com
52.114.74.43,v10.events.data.microsoft.com
165.254.49.142,steamcdn-a.akamaihd.net
151.101.2.217,browser.sentry-cdn.com
104.26.10.22,getmalus.com
104.26.10.22,getmalus.com
104.27.128.86,api.gifyourgame.com
45.33.71.81,s2s.rtk.io
66.175.213.243,bidder.rtk.io
68.67.160.132,ib.adnxs.com
35.244.186.129,rtkio-d.openx.net
68.67.160.132,ib.adnxs.com
69.192.109.125,as-sec.casalemedia.com
8.43.72.62,fastlane.rubiconproject.com
34.205.108.106,g2.gumgum.com
68.67.160.132,ib.adnxs.com
104.36.115.111,hbopenbid.pubmatic.com
3.224.32.104,hb.emxdgt.com
68.67.160.132,ib.adnxs.com
104.16.68.69,dmx.districtm.io
69.166.1.15,apex.go.sonobi.com
67.202.110.21,ssc.33across.com
38.140.99.21,lockerdome.com
13.225.227.2,c.amazon-adsystem.com
47.246.24.225,s1.hdslb.com
172.104.214.187,bucket.rtk.io
172.104.214.187,bucket.rtk.io
205.180.85.172,iad-usadmm.dotomi.com
185.167.164.43,c1.adform.net
52.201.166.40,magnetic.t.domdex.com
35.207.24.140,rtb.mfadsrvr.com
128.116.112.44,users.roblox.com
69.192.108.239,api1.origin.com
205.180.85.169,iad02-usadmm-ds.dotomi.com
23.221.203.193,s-usweb.dotomi.com
23.221.203.193,s-usweb.dotomi.com
3.232.15.196,activate.loft.com
159.127.42.41,usadmm.dotomi.com
172.217.9.229,mail.google.com
35.168.38.214,userstylesapi.com
13.225.230.43,normandy.cdn.mozilla.net
34.98.75.36,classify-client.services.mozilla.com
172.217.3.106,chat-pa.clients6.google.com
172.217.3.106,chat-pa.clients6.google.com
13.225.230.97,content-signature-2.cdn.mozilla.net
52.179.129.229,arc.msn.com
104.27.129.86,api.gifyourgame.com
23.221.201.229,www.microsoft.com
172.217.10.238,play.google.com
172.217.3.110,classroom.google.com
172.217.10.238,play.google.com
148.153.64.18,message.bilibili.com
13.225.218.138,d3cv4a9a9wh0bt.cloudfront.net
128.116.112.44,users.roblox.com
148.153.38.118,api.vc.bilibili.com
173.194.206.189,17.client-channel.google.com
162.159.130.233,discordapp.com
67.231.154.66,urldefense.proofpoint.com
172.217.12.138,peoplestack-pa.clients6.google.com
172.217.11.46,docs.google.com
216.165.47.45,home.nyu.edu
8.36.80.192,events.gfe.nvidia.com
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
128.116.112.44,users.roblox.com
172.217.3.106,signaler-pa.clients6.google.com
172.217.3.106,signaler-pa.clients6.google.com
184.30.78.215,steam-chat.com
216.165.47.16,shibboleth.nyu.edu
172.217.12.170,www.googleapis.com
172.217.10.106,remotedesktop-pa.googleapis.com
172.217.10.106,remotedesktop-pa.googleapis.com
13.225.218.115,d3cv4a9a9wh0bt.cloudfront.net
52.87.63.98,prd-collector-anon.playbuzz.com
216.165.47.12,www.nyu.edu
52.179.129.229,arc.msn.com
31.13.65.1,www.messenger.com
104.16.68.69,dmx.districtm.io
45.79.163.231,s2s.rtk.io
68.67.160.132,ib.adnxs.com
52.54.203.252,hb.emxdgt.com
68.67.160.132,ib.adnxs.com
68.67.160.132,ib.adnxs.com
8.43.72.62,fastlane.rubiconproject.com
104.36.115.111,hbopenbid.pubmatic.com
35.244.186.129,rtkio-d.openx.net
68.67.160.132,ib.adnxs.com
13.225.227.2,c.amazon-adsystem.com
69.166.1.15,apex.go.sonobi.com
52.5.179.238,g2.gumgum.com
67.202.110.24,ssc.33across.com
69.192.109.125,as-sec.casalemedia.com
66.175.213.243,bidder.rtk.io
38.140.99.21,lockerdome.com
128.116.112.44,users.roblox.com
172.104.214.187,bucket.rtk.io
172.104.214.187,bucket.rtk.io
52.114.158.53,v10.events.data.microsoft.com
151.101.2.217,browser.sentry-cdn.com
104.26.10.22,getmalus.com
104.26.10.22,getmalus.com
192.30.253.113,github.com
185.199.110.154,github.githubassets.com
185.199.110.154,github.githubassets.com
185.199.110.154,github.githubassets.com
151.101.0.133,avatars2.githubusercontent.com
151.101.0.133,camo.githubusercontent.com
151.101.0.133,camo.githubusercontent.com
192.30.253.113,github.com
148.153.64.18,www.bilibili.com
148.153.64.18,www.bilibili.com
47.246.24.229,s1.hdslb.com
128.116.112.44,users.roblox.com
192.30.253.125,live.github.com
148.153.64.18,message.bilibili.com
52.179.129.229,arc.msn.com
104.28.0.221,sih.gainskins.com
148.153.64.18,api.vc.bilibili.com
172.217.10.138,wirelessdevicestats.googleapis.com
172.217.10.138,wirelessdevicestats.googleapis.com
216.165.47.16,shibboleth.nyu.edu
216.165.47.16,shibboleth.nyu.edu
216.165.47.16,shibboleth.nyu.edu
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
34.73.232.153,www.overleaf.com
52.88.165.98,video-edge-27bce6.pdx01.abs.hls.ttvnw.net
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.12,www.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
130.211.16.53,d.joinhoney.com
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
52.87.63.98,prd-collector-anon.playbuzz.com
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
68.67.160.132,ib.adnxs.com
69.166.1.15,apex.go.sonobi.com
54.148.1.27,cn.ekg.riotgames.com
68.67.160.132,ib.adnxs.com
35.169.20.42,opstm.paradoxplaza.com
128.116.112.44,users.roblox.com
104.237.145.86,bucket.rtk.io
104.237.145.86,bucket.rtk.io
205.180.85.204,iad-usadmm.dotomi.com
185.167.164.43,c1.adform.net
18.214.203.220,magnetic.t.domdex.com
35.207.24.140,rtb.mfadsrvr.com
18.235.4.134,pixel.adsafeprotected.com
23.221.203.193,s-usweb.dotomi.com
23.221.203.193,s-usweb.dotomi.com
104.244.36.20,dt.adsafeprotected.com
104.244.36.20,dt.adsafeprotected.com
104.244.36.20,dt.adsafeprotected.com
67.72.99.172,usadmm.dotomi.com
104.244.36.20,dt.adsafeprotected.com
104.244.36.20,dt.adsafeprotected.com
104.244.36.20,dt.adsafeprotected.com
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
216.165.47.40,globalhome.nyu.edu
35.175.169.147,webadvisorc.rest.gti.mcafee.com
13.225.218.21,d3cv4a9a9wh0bt.cloudfront.net
20.36.218.63,settings-win.data.microsoft.com
125.39.83.105,ledge-wt1.lol.qq.com
216.165.47.16,shibboleth.nyu.edu
216.162.32.80,nyumytime.wfsaas.com
216.162.32.80,nyumytime.wfsaas.com
172.217.10.234,safebrowsing.googleapis.com
172.217.197.108,imap.gmail.com
52.179.129.229,arc.msn.com
216.162.32.80,nyumytime.wfsaas.com
216.162.32.80,nyumytime.wfsaas.com
216.162.32.80,nyumytime.wfsaas.com
172.217.10.68,www.google.com
216.162.32.80,nyumytime.wfsaas.com
13.225.230.126,analytics.digicomm.home.nyu.edu
128.116.112.44,users.roblox.com
52.2.21.201,datarouter.ol.epicgames.com
31.13.65.7,connect.facebook.net
172.217.6.238,clients4.google.com
13.225.229.9,api.paradoxplaza.com
18.213.97.190,opstm.paradoxplaza.com
172.217.12.214,i.ytimg.com
162.159.130.233,discordapp.com
47.246.24.229,s1.hdslb.com
54.149.65.181,sn.webrootcloudav.com
128.116.112.44,users.roblox.com
66.102.1.188,alt2-mtalk.google.com
52.34.151.122,account-us.huami.com
173.194.207.189,hr.client-channel.google.com
52.43.126.221,api-mifit-us.huami.com
172.217.7.10,home-devices.googleapis.com
148.153.64.18,message.bilibili.com
203.205.137.101,pm.myapp.com
209.85.144.108,imap.gmail.com
209.85.144.108,imap.gmail.com
68.67.160.132,ib.adnxs.com
68.67.160.132,ib.adnxs.com
68.67.160.132,ib.adnxs.com
68.67.160.132,ib.adnxs.com
69.166.1.15,apex.go.sonobi.com
104.237.145.86,bucket.rtk.io
104.237.145.86,bucket.rtk.io
52.179.129.229,arc.msn.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
40.90.22.184,login.live.com
31.13.65.36,www.facebook.com
104.244.36.20,dt.adsafeprotected.com
104.244.36.20,dt.adsafeprotected.com
52.216.227.75,s3.amazonaws.com
52.216.227.75,s3.amazonaws.com
47.88.68.71,apilocate.amap.com
47.88.68.71,apilocate.amap.com
148.153.38.118,api.vc.bilibili.com
20.36.218.63,settings-win.data.microsoft.com
128.116.112.44,users.roblox.com
52.114.128.44,self.events.data.microsoft.com
172.217.10.68,www.google.com
31.13.71.34,mqtt-mini.facebook.com
35.186.224.47,dealer.spotify.com
35.190.43.134,gcp.api.snapchat.com
35.186.224.53,spclient.wg.spotify.com
104.244.36.20,dt.adsafeprotected.com
104.244.36.20,dt.adsafeprotected.com
35.186.224.47,dealer.spotify.com
40.90.22.184,login.live.com
8.36.80.244,events.gfe.nvidia.com
172.217.10.66,adservice.google.com
8.36.80.244,events.gfe.nvidia.com
128.116.112.44,users.roblox.com
172.217.10.131,fonts.gstatic.com
52.34.125.62,cn.ekg.riotgames.com
172.217.7.10,remotedesktop-pa.googleapis.com
172.217.7.10,remotedesktop-pa.googleapis.com
165.254.49.140,steamcdn-a.akamaihd.net
165.254.49.140,steamcdn-a.akamaihd.net
165.254.49.140,steamcdn-a.akamaihd.net
52.179.129.229,arc.msn.com
34.198.166.64,prd-collector-anon.playbuzz.com
172.217.11.35,clientservices.googleapis.com
13.225.218.138,d3cv4a9a9wh0bt.cloudfront.net
128.116.112.44,users.roblox.com
5.62.44.224,analytics.ff.avast.com
172.217.10.42,www.googleapis.com
172.217.7.10,android.googleapis.com
76.223.7.58,metrics-collector.s-onetag.com
172.217.10.42,www.googleapis.com
172.217.10.42,www.googleapis.com
172.217.10.42,www.googleapis.com
173.194.61.42,r4---sn-ab5szne7.googlevideo.com
173.194.61.42,r4---sn-ab5szne7.googlevideo.com
172.217.7.14,encrypted-vtbn3.gstatic.com
172.217.10.225,yt3.ggpht.com
104.16.33.99,playerpreferences.riotgames.com
