13.107.18.11,substrate.office.com
24.105.29.76,telemetry-in.battle.net
54.225.147.125,tracking.overwolf.com
34.198.112.198,ng.cengage.com
50.17.219.236,api.overwolf.com
69.32.208.108,college.cengage.com
52.22.92.131,secure-dcr.imrworldwide.com
172.217.10.238,apis.google.com
54.81.206.75,home.hulu.com
216.165.47.16,shibboleth.nyu.edu
216.165.47.16,shibboleth.nyu.edu
40.67.188.15,presence-heartbeat.xboxlive.com
151.101.202.167,gql.twitch.tv
104.27.48.115,downdetector.com
148.153.38.118,api.bilibili.com
203.205.249.204,203.205.249.204
104.122.152.160,cdn.ziffstatic.com
104.122.156.79,c.evidon.com
104.27.48.115,cdn2.downdetector.com
104.27.155.159,downdetectorapi.com
104.27.155.159,downdetectorapi.com
148.153.64.18,api.vc.bilibili.com
162.247.242.19,bam.nr-data.net
99.84.47.120,d3cv4a9a9wh0bt.cloudfront.net
35.170.17.223,acp-ss-ue1.adobe.io
52.179.129.229,arc.msn.com
172.217.10.74,wirelessdevicestats.googleapis.com
172.217.10.74,wirelessdevicestats.googleapis.com
107.154.249.100,www.corsair.com
107.154.249.100,www.corsair.com
104.17.65.4,cdnjs.cloudflare.com
209.197.3.15,maxcdn.bootstrapcdn.com
104.102.64.201,cwsmgmt.corsair.com
23.209.125.86,p.typekit.net
52.72.164.94,spocs.getpocket.com
96.17.65.84,getpocket.cdn.mozilla.net
52.114.158.92,v10.events.data.microsoft.com
40.91.72.120,presence-heartbeat.xboxlive.com
23.59.250.112,static.nvidiagrid.net
72.22.185.199,steamcommunity-a.akamaihd.net
23.192.75.231,api.steampowered.com
47.246.24.230,i0.hdslb.com
148.153.38.118,www.bilibili.com
148.153.38.118,www.bilibili.com
47.246.24.231,s1.hdslb.com
148.153.38.118,api.bilibili.com
20.36.218.208,presence-heartbeat.xboxlive.com
35.186.224.53,spclient.wg.spotify.com
128.116.112.44,users.roblox.com
13.225.218.115,d3cv4a9a9wh0bt.cloudfront.net
99.84.47.103,d3cv4a9a9wh0bt.cloudfront.net
162.159.129.233,discordapp.com
40.90.10.60,social.xboxlive.com
52.168.20.22,client.teamviewer.com
172.217.3.99,update.googleapis.com
40.69.219.197,array615.prod.do.dsp.mp.microsoft.com
54.225.147.125,tracking.overwolf.com
23.48.21.57,gspe35-ssl.ls.apple.com
52.22.137.21,prd-collector-anon.playbuzz.com
47.246.24.230,s1.hdslb.com
148.153.45.10,search.bilibili.com
148.153.45.10,search.bilibili.com
59.111.0.200,mumu.nie.netease.com
148.153.38.118,api.bilibili.com
128.116.112.44,users.roblox.com
35.170.193.160,play.hulu.com
35.186.224.47,dealer.spotify.com
148.153.38.118,message.bilibili.com
104.210.50.141,pif2.norton.com
148.153.38.118,api.vc.bilibili.com
31.13.71.36,www.facebook.com
54.246.111.145,a.wunderlist.com
54.246.111.145,a.wunderlist.com
17.248.135.182,gateway-carry.icloud.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
172.217.11.19,www.flashvid.net
198.134.112.243,padsdown.com
99.84.112.33,d3cegil552nnks.cloudfront.net
52.179.129.229,arc.msn.com
172.217.12.174,redirector.gvt1.com
162.254.192.101,cm2-iad1.cm.steampowered.com
162.254.193.47,cm04-ord.cm.steampowered.com
155.133.254.132,cm-01-okc1.cm.steampowered.com
162.254.196.83,cm02-lon.cm.steampowered.com
74.125.172.24,r2---sn-ab5szn7e.gvt1.com
162.254.197.180,cm2-fra1.cm.steampowered.com
162.254.196.68,cm03-lon.cm.steampowered.com
155.133.246.69,cm2-mad1.cm.steampowered.com
162.254.198.133,cm4-sto1.cm.steampowered.com
148.153.38.118,api.bilibili.com
23.192.75.231,api.steampowered.com
72.22.185.209,steamcdn-a.akamaihd.net
72.22.185.209,steamcdn-a.akamaihd.net
72.22.185.209,steamcdn-a.akamaihd.net
23.192.75.231,api.steampowered.com
23.192.69.74,steam-chat.com
23.192.69.74,steam-chat.com
72.22.185.199,steamcommunity-a.akamaihd.net
72.22.185.199,steamcommunity-a.akamaihd.net
72.22.185.199,steamcommunity-a.akamaihd.net
72.22.185.199,steamcommunity-a.akamaihd.net
72.22.185.199,steamcommunity-a.akamaihd.net
72.22.185.199,steamcommunity-a.akamaihd.net
148.153.64.18,www.bilibili.com
23.203.125.223,store.steampowered.com
23.203.125.223,store.steampowered.com
23.43.253.52,api1.origin.com
72.22.185.206,steamstore-a.akamaihd.net
23.43.253.52,api1.origin.com
159.153.190.222,proxy.novafusion.ea.com
72.22.185.206,steamstore-a.akamaihd.net
72.22.185.206,steamstore-a.akamaihd.net
72.22.185.206,steamstore-a.akamaihd.net
72.22.185.206,steamstore-a.akamaihd.net
72.22.185.206,steamstore-a.akamaihd.net
72.22.185.200,steamcdn-a.akamaihd.net
23.203.125.223,store.steampowered.com
23.203.125.223,store.steampowered.com
23.203.125.223,store.steampowered.com
23.203.125.223,store.steampowered.com
23.203.125.223,store.steampowered.com
23.203.125.223,store.steampowered.com
128.116.112.44,users.roblox.com
203.205.239.158,q4.qlogo.cn
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
31.13.65.1,www.messenger.com
23.203.125.223,store.steampowered.com
72.21.91.70,ton.twimg.com
72.21.91.70,ton.twimg.com
34.226.231.83,river.data.ea.com
52.114.158.92,v10.events.data.microsoft.com
8.36.80.244,events.gfe.nvidia.com
17.248.135.72,p42-keyvalueservice.icloud.com
23.192.75.231,steamcommunity.com
159.153.190.222,proxy.novafusion.ea.com
23.43.253.52,api1.origin.com
23.43.253.52,api1.origin.com
151.101.116.175,consumer.krxd.net
23.59.250.112,static.nvidiagrid.net
216.165.47.16,shibboleth.nyu.edu
216.165.47.16,shibboleth.nyu.edu
23.43.252.150,filedownload.lenovo.com
17.248.135.242,gateway.icloud.com
23.43.252.150,filedownload.lenovo.com
148.153.38.118,api.bilibili.com
13.107.3.128,config.edge.skype.com
34.226.231.83,river.data.ea.com
40.91.72.120,presence-heartbeat.xboxlive.com
23.203.133.38,apis.playstove.com
72.22.185.198,steamcommunity-a.akamaihd.net
34.73.232.153,www.overleaf.com
211.234.127.21,logs.81plug.com
31.13.71.1,edge-chat.facebook.com
31.13.71.1,edge-chat.facebook.com
52.55.177.42,datarouter.ol.epicgames.com
107.154.249.100,www.corsair.com
107.154.249.100,www.corsair.com
209.197.3.15,maxcdn.bootstrapcdn.com
104.102.64.201,cwsmgmt.corsair.com
104.17.65.4,cdnjs.cloudflare.com
23.209.125.86,p.typekit.net
157.55.212.205,smartscreen-prod.microsoft.com
157.55.212.205,smartscreen-prod.microsoft.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
52.109.4.5,mrodevicemgr.officeapps.live.com
52.114.74.43,v10.events.data.microsoft.com
172.217.11.35,ssl.gstatic.com
47.246.24.226,s1.hdslb.com
47.246.24.227,i0.hdslb.com
172.217.11.42,remotedesktop-pa.googleapis.com
172.217.11.42,remotedesktop-pa.googleapis.com
148.153.38.118,api.bilibili.com
104.25.57.99,cdn.betterttv.net
192.16.31.139,www.dota2.com
192.16.31.139,www.dota2.com
204.79.197.200,www.bing.com
192.16.31.139,www.dota2.com
52.179.129.229,arc.msn.com
72.22.185.200,steamuserimages-a.akamaihd.net
104.20.115.14,launcher.escapefromtarkov.com
77.88.21.119,mc.yandex.ru
31.13.71.7,scontent-lga3-1.xx.fbcdn.net
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
99.84.112.5,d3cv4a9a9wh0bt.cloudfront.net
65.55.44.109,vortex.data.microsoft.com
40.90.10.60,social.xboxlive.com
47.246.24.228,s1.hdslb.com
148.153.64.18,api.vc.bilibili.com
148.153.64.18,api.vc.bilibili.com
59.111.0.200,mumu.nie.netease.com
148.153.38.118,api.bilibili.com
128.116.112.44,users.roblox.com
148.153.38.118,message.bilibili.com
35.186.224.47,dealer.spotify.com
172.217.10.42,safebrowsing.googleapis.com
52.114.74.43,v10.events.data.microsoft.com
203.205.239.16,p.qlogo.cn
54.225.147.125,tracking.overwolf.com
104.42.78.153,update.code.visualstudio.com
170.33.8.154,gs.arknights.global
172.217.11.19,www.flashvid.net
198.134.112.243,padsdown.com
50.17.219.236,api.overwolf.com
172.217.6.193,lh3.googleusercontent.com
148.153.38.118,api.bilibili.com
104.87.14.116,api1.origin.com
99.84.112.24,d3cv4a9a9wh0bt.cloudfront.net
173.194.31.73,r3---sn-ab5szn7z.googlevideo.com
18.205.47.109,prd-collector-anon.playbuzz.com
23.43.253.52,api1.origin.com
148.153.64.18,api.vc.bilibili.com
128.116.112.44,users.roblox.com
148.153.64.18,api.vc.bilibili.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
52.114.74.43,v10.events.data.microsoft.com
52.179.129.229,arc.msn.com
65.55.44.109,vortex.data.microsoft.com
