3.132.156.117,geo.moatads.com
104.19.129.78,www.mobafire.com
148.153.64.18,api.bilibili.com
52.109.6.6,roaming.officeapps.live.com
216.165.47.12,www.nyu.edu
165.254.0.106,upos-hz-mirrorakam.akamaized.net
164.52.34.38,data.bilibili.com
164.52.34.38,data.bilibili.com
164.52.34.38,data.bilibili.com
165.254.0.106,upos-hz-mirrorakam.akamaized.net
165.254.0.106,upos-hz-mirrorakam.akamaized.net
164.52.34.38,data.bilibili.com
164.52.34.38,data.bilibili.com
164.52.34.38,data.bilibili.com
165.254.0.106,upos-hz-mirrorakam.akamaized.net
165.254.0.106,upos-hz-mirrorakam.akamaized.net
68.67.179.166,ib.adnxs.com
128.1.102.20,sqimg.qq.com
165.254.0.106,upos-hz-mirrorakam.akamaized.net
68.67.160.78,b.adnxs.com
68.67.179.173,nym1-ib.adnxs.com
13.225.218.138,d3cv4a9a9wh0bt.cloudfront.net
165.254.0.106,upos-hz-mirrorakam.akamaized.net
13.107.42.12,d.docs.live.net
104.244.38.20,dt.adsafeprotected.com
40.69.216.73,array611.prod.do.dsp.mp.microsoft.com
35.160.15.72,ekg.riotgames.com
165.254.0.106,upos-hz-mirrorakam.akamaized.net
69.192.110.94,px.moatads.com
165.254.0.106,upos-hz-mirrorakam.akamaized.net
165.254.0.106,upos-hz-mirrorakam.akamaized.net
52.159.17.76,tsfe.trafficshaping.dsp.mp.microsoft.com
172.217.6.202,play.googleapis.com
203.205.239.16,p.qlogo.cn
165.254.0.106,upos-hz-mirrorakam.akamaized.net
165.254.0.106,upos-hz-mirrorakam.akamaized.net
13.225.218.115,d3cv4a9a9wh0bt.cloudfront.net
52.114.75.79,v10.events.data.microsoft.com
165.254.0.106,upos-hz-mirrorakam.akamaized.net
165.254.0.106,upos-hz-mirrorakam.akamaized.net
54.201.13.152,ekg.riotgames.com
148.153.64.18,api.bilibili.com
52.52.238.239,analytics.developer.riotgames.com
165.254.0.106,upos-hz-mirrorakam.akamaized.net
165.254.0.106,upos-hz-mirrorakam.akamaized.net
164.52.34.38,data.bilibili.com
52.179.129.229,arc.msn.com
211.234.127.21,logs.81plug.com
35.164.116.34,ekg.riotgames.com
17.248.135.46,api.apple-cloudkit.com
172.253.122.109,imap.gmail.com
172.253.122.109,imap.gmail.com
172.253.122.109,imap.gmail.com
104.244.38.20,dt.adsafeprotected.com
104.244.38.20,dt.adsafeprotected.com
52.114.77.34,v10.events.data.microsoft.com
20.36.252.129,g.live.com
20.36.252.129,g.live.com
69.192.109.196,oneclient.sfx.ms
69.192.109.196,oneclient.sfx.ms
23.22.181.213,ss-prod-ue1-notif-27.aws.adobess.com
52.232.26.228,push2.notify-service.com
52.114.128.9,mobile.pipe.aria.microsoft.com
52.114.128.9,mobile.pipe.aria.microsoft.com
13.225.230.55,d.agkn.com
185.167.164.51,c1.adform.net
148.153.38.118,message.bilibili.com
162.159.130.233,discordapp.com
44.230.197.219,ekg.riotgames.com
172.217.3.106,translate.googleapis.com
148.153.38.118,api.bilibili.com
172.217.11.35,clientservices.googleapis.com
13.225.222.227,www.amazon.com
52.109.20.3,officeclient.microsoft.com
24.105.29.76,telemetry-in.battle.net
172.217.10.10,remotedesktop-pa.googleapis.com
172.217.10.10,remotedesktop-pa.googleapis.com
104.17.188.107,zwyr157wwiu6eior.com
34.196.193.148,receive-lp1.dg.srv.nintendo.net
68.67.179.166,ib.adnxs.com
13.107.3.128,config.edge.skype.com
52.109.76.36,nexus.officeapps.live.com
31.13.65.51,graph.oculus.com
68.67.179.173,nym1-ib.adnxs.com
204.13.197.89,rb.adnxs.com
203.205.239.16,p.qlogo.cn
63.241.108.103,bs.serving-sys.com
192.184.68.166,exch.quantserve.com
192.184.68.203,pixel.quantcount.com
13.107.42.12,d.docs.live.net
104.69.55.109,secure-ds.serving-sys.com
192.184.68.154,pixel.quantserve.com
13.225.230.33,static.vrv.co
13.88.28.53,v10.events.data.microsoft.com
17.248.135.212,p10-caldav.icloud.com
17.248.187.206,gateway.icloud.com
103.235.46.135,voice.baidu.com
104.193.90.80,mss0.bdstatic.com
31.13.65.36,www.facebook.com
3.221.245.228,public-ubiservices.ubi.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
52.179.129.229,arc.msn.com
165.254.0.106,upos-hz-mirrorakam.akamaized.net
164.52.33.179,data.bilibili.com
40.69.216.73,array611.prod.do.dsp.mp.microsoft.com
164.52.33.179,data.bilibili.com
164.52.33.179,data.bilibili.com
164.52.33.179,data.bilibili.com
165.254.0.106,upos-hz-mirrorakam.akamaized.net
164.52.33.179,data.bilibili.com
54.210.113.65,www.netflix.com
172.217.7.3,update.googleapis.com
148.153.64.18,api.vc.bilibili.com
165.254.0.106,upos-hz-mirrorakam.akamaized.net
104.19.128.78,www.mobafire.com
148.153.64.18,api.bilibili.com
13.225.218.21,d3cv4a9a9wh0bt.cloudfront.net
104.16.1.92,na.ledge.leagueoflegends.com
96.17.64.132,cdn.doubleverify.com
204.154.111.130,rtb0.doubleverify.com
204.154.111.130,tps615.doubleverify.com
204.154.111.130,tps615.doubleverify.com
31.13.65.2,ad.atdmt.com
185.167.164.42,c1.adform.net
204.154.111.130,tps30.doubleverify.com
96.17.64.192,iphone-ld.apple.com
204.154.111.119,tps10251.doubleverify.com
23.22.181.213,ss-prod-ue1-notif-27.aws.adobess.com
68.67.179.173,nym1-ib.adnxs.com
68.67.179.173,nym1-ib.adnxs.com
192.184.68.154,pixel.quantserve.com
192.184.68.154,pixel.quantserve.com
68.67.179.166,ib.adnxs.com
68.67.179.166,ib.adnxs.com
104.16.0.92,na.ledge.leagueoflegends.com
204.154.111.130,tps10275.doubleverify.com
204.154.111.119,tps10263.doubleverify.com
20.36.218.63,settings-win.data.microsoft.com
164.52.33.179,data.bilibili.com
164.52.33.179,data.bilibili.com
13.107.42.12,d.docs.live.net
164.52.33.179,data.bilibili.com
164.52.33.179,data.bilibili.com
103.126.92.132,interface.music.163.com
45.33.37.174,greasyfork.org
35.226.109.13,b1img.com
148.153.64.18,api.bilibili.com
165.254.0.106,upos-hz-mirrorakam.akamaized.net
104.22.2.109,builds.parsecgaming.com
104.22.2.109,builds.parsecgaming.com
54.152.148.171,account-public-service-prod03.ol.epicgames.com
23.23.100.183,e.crashlytics.com
77.234.42.66,shepherd.ff.avast.com
35.161.179.71,ekg.riotgames.com
34.196.69.246,datarouter.ol.epicgames.com
165.254.0.75,upos-hz-mirrorakam.akamaized.net
52.179.129.229,arc.msn.com
18.189.85.52,capi.connatix.com
20.36.218.208,presence-heartbeat.xboxlive.com
20.36.218.63,settings-win.data.microsoft.com
52.114.132.73,v10.events.data.microsoft.com
162.159.130.232,media.discordapp.net
162.159.134.232,images-ext-1.discordapp.net
172.217.12.206,www.youtube.com
31.13.65.36,www.facebook.com
13.225.222.223,www.flickr.com
162.159.135.233,discordapp.com
165.254.49.142,steamcdn-a.akamaihd.net
165.254.49.142,steamcdn-a.akamaihd.net
165.254.49.142,steamcdn-a.akamaihd.net
164.52.33.179,data.bilibili.com
164.52.33.179,data.bilibili.com
164.52.33.179,data.bilibili.com
164.52.33.179,data.bilibili.com
34.196.193.148,receive-lp1.dg.srv.nintendo.net
47.246.24.232,i0.hdslb.com
165.254.0.106,upos-hz-mirrorakam.akamaized.net
165.254.0.75,upos-hz-mirrorakam.akamaized.net
165.254.0.75,upos-hz-mirrorakam.akamaized.net
216.98.62.46,msr-public-ubiservices.ubi.com
165.254.0.75,upos-hz-mirrorakam.akamaized.net
148.153.64.18,api.bilibili.com
148.153.64.18,api.vc.bilibili.com
165.254.0.75,upos-hz-mirrorakam.akamaized.net
52.114.77.34,browser.pipe.aria.microsoft.com
165.254.0.75,upos-hz-mirrorakam.akamaized.net
47.246.24.225,i1.hdslb.com
47.246.24.225,i2.hdslb.com
204.154.111.119,tps10251.doubleverify.com
68.67.179.166,ib.adnxs.com
52.34.160.100,video-edge-53c307.pdx01.abs.hls.ttvnw.net
164.52.33.179,data.bilibili.com
185.167.164.42,c1.adform.net
96.17.64.205,code.createjs.com
204.154.111.130,tps30.doubleverify.com
52.203.107.101,home.hulu.com
68.67.179.173,nym1-ib.adnxs.com
34.196.189.229,acp-ss-ue1.adobe.io
63.241.108.103,bs.serving-sys.com
164.52.33.179,data.bilibili.com
164.52.33.179,data.bilibili.com
