223.252.234.102,www.battlenet.com.cn
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
216.165.47.12,www.nyu.edu
96.6.24.64,asm.np.community.playstation.net
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
96.6.24.64,us-prof.np.community.playstation.net
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
13.225.210.177,d3cv4a9a9wh0bt.cloudfront.net
17.57.144.164,courier.push.apple.com
172.217.6.238,clients4.google.com
52.114.158.102,v10.events.data.microsoft.com
104.17.209.9,api.golinkapi.com
31.13.65.1,www.messenger.com
13.78.187.58,array802.prod.do.dsp.mp.microsoft.com
58.222.35.205,api.vc.bilibili.com
151.101.1.208,sdk.iad-01.braze.com
58.222.35.205,api.vc.bilibili.com
3.83.200.164,app.getacceptd.com
75.2.53.94,capi.grammarly.com
54.156.65.23,ss-prod-ue1-notif-32.aws.adobess.com
17.174.1.5,guzzoni.apple.com
35.227.252.169,stats.appsflyer.com
172.217.11.46,app-measurement.com
34.204.143.136,ping.taplytics.com
140.177.17.102,www.wolframalpha.com
23.92.190.69,ap.lijit.com
35.186.224.53,spclient.wg.spotify.com
24.105.29.76,telemetry-in.battle.net
69.192.110.179,theia.dl.playstation.net
140.177.17.102,www.wolframalpha.com
69.192.110.179,theia.dl.playstation.net
96.6.24.64,asm.np.community.playstation.net
96.6.24.64,us-prof.np.community.playstation.net
96.6.24.12,communities.api.playstation.com
96.6.24.64,us-tpy.np.community.playstation.net
69.192.109.129,trophy01.np.community.playstation.net
3.218.199.108,datarouter.ol.epicgames.com
69.192.109.129,trophy01.np.community.playstation.net
69.192.109.129,trophy01.np.community.playstation.net
69.192.109.129,trophy01.np.community.playstation.net
96.6.24.172,commerce1.api.np.km.playstation.net
23.202.87.124,gs-sec.ww.np.dl.playstation.net
96.6.24.64,asm.np.community.playstation.net
96.6.24.172,livearea.api.np.km.playstation.net
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
96.6.24.64,us-evnt-edge.np.community.playstation.net
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.16.49,www.wolframcdn.com
140.177.16.49,www.wolframcdn.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.16.49,www.wolframcdn.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.16.49,www.wolframcdn.com
140.177.16.49,www.wolframcdn.com
140.177.16.49,www.wolframcdn.com
140.177.16.49,www.wolframcdn.com
140.177.16.49,www.wolframcdn.com
140.177.17.102,www.wolframalpha.com
140.177.16.49,www.wolframcdn.com
140.177.16.49,www.wolframcdn.com
140.177.17.102,www.wolframalpha.com
140.177.16.49,www.wolframcdn.com
140.177.16.49,www.wolframcdn.com
140.177.16.49,www.wolframcdn.com
140.177.16.49,www.wolframcdn.com
140.177.16.49,www.wolframcdn.com
140.177.16.49,www.wolframcdn.com
140.177.16.49,www.wolframcdn.com
140.177.16.49,www.wolframcdn.com
140.177.16.49,www.wolframcdn.com
140.177.16.49,www.wolframcdn.com
140.177.16.49,www.wolframcdn.com
140.177.16.49,www.wolframcdn.com
140.177.17.102,www.wolframalpha.com
69.192.108.201,s.adroll.com
69.192.108.201,s.adroll.com
23.10.82.67,event.api.np.km.playstation.net
96.6.24.89,xp.apple.com
52.109.6.6,roaming.officeapps.live.com
23.198.71.119,mesu.apple.com
17.179.252.2,gsa.apple.com
23.60.68.104,play.itunes.apple.com
17.248.216.5,p13-keyvalueservice.icloud.com.cn
17.137.166.4,gsas.apple.com
52.250.1.227,aoe-api.reliclink.com
23.192.24.202,cl2.apple.com
148.153.64.18,message.bilibili.com
104.16.122.97,www.webassign.net
52.109.88.35,nexusrules.officeapps.live.com
52.179.129.229,arc.msn.com
207.237.40.209,scontent.fnyc1-1.fna.fbcdn.net
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.16.49,www.wolframcdn.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.16.49,www.wolframcdn.com
140.177.17.102,www.wolframalpha.com
140.177.16.49,www.wolframcdn.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
13.225.63.137,d3cv4a9a9wh0bt.cloudfront.net
13.225.210.4,d3cv4a9a9wh0bt.cloudfront.net
69.192.108.239,api1.origin.com
13.68.93.109,sls.update.microsoft.com
52.114.158.102,v10.events.data.microsoft.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
18.236.26.166,www.pasco.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
13.107.42.12,bn1301.storage.live.com
18.236.26.166,www.pasco.com
18.236.26.166,www.pasco.com
18.236.26.166,www.pasco.com
18.236.26.166,www.pasco.com
18.236.26.166,www.pasco.com
96.6.24.64,asm.np.community.playstation.net
23.10.82.67,event.api.np.km.playstation.net
128.116.112.44,users.roblox.com
96.6.24.64,asm.np.community.playstation.net
72.21.91.42,static.olark.com
96.6.24.172,activity.api.np.km.playstation.net
72.21.91.42,static.olark.com
96.6.24.64,us-prof.np.community.playstation.net
207.189.124.54,pasco.actonservice.com
96.6.24.64,asm.np.community.playstation.net
35.186.241.40,nrpc.olark.com
35.190.13.95,api.olark.com
130.211.38.145,log.olark.com
35.186.241.40,nrpc.olark.com
96.6.24.172,sn.api.np.km.playstation.net
148.153.64.18,api.vc.bilibili.com
35.186.241.40,nrpc.olark.com
52.114.76.37,mobile.pipe.aria.microsoft.com
52.114.76.37,mobile.pipe.aria.microsoft.com
69.192.108.239,api1.origin.com
172.217.12.202,www.googleapis.com
45.57.91.1,codex.nflxext.com
140.177.17.102,www.wolframalpha.com
54.85.82.162,www.netflix.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
17.248.216.6,p13-escrowproxy.icloud.com.cn
34.225.204.165,malcolm-prod-swarm.wbplay.com
69.192.108.133,livetileedge.dsx.mp.microsoft.com
69.192.108.133,livetileedge.dsx.mp.microsoft.com
23.78.210.51,auth.api.np.ac.playstation.net
140.177.16.49,www.wolframcdn.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www4d.wolframalpha.com
34.225.204.165,malcolm-prod-swarm.wbplay.com
140.177.17.102,www4d.wolframalpha.com
140.177.17.102,www.wolframalpha.com
34.225.204.165,malcolm-prod-swarm.wbplay.com
34.225.204.165,malcolm-prod-swarm.wbplay.com
140.177.17.102,www4d.wolframalpha.com
140.177.17.102,www4d.wolframalpha.com
140.177.17.102,www4d.wolframalpha.com
172.217.11.46,www.youtube.com
34.225.204.165,malcolm-prod-swarm.wbplay.com
140.177.17.102,www4d.wolframalpha.com
140.177.17.102,www4d.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www4d.wolframalpha.com
140.177.17.102,www4d.wolframalpha.com
140.177.17.102,www4d.wolframalpha.com
96.6.24.64,asm.np.community.playstation.net
140.177.17.102,www4d.wolframalpha.com
140.177.17.102,www4d.wolframalpha.com
96.6.24.64,asm.np.community.playstation.net
96.6.24.64,us-prof.np.community.playstation.net
31.13.65.7,scontent.xx.fbcdn.net
100.26.116.127,ss-prod-ue1-notif-27.aws.adobess.com
162.159.129.232,images-ext-1.discordapp.net
162.159.133.233,discordapp.com
162.159.133.233,discordapp.com
162.159.133.233,discordapp.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
34.225.204.165,malcolm-prod-swarm.wbplay.com
140.177.17.102,www.wolframalpha.com
23.202.87.124,gs-sec.ww.np.dl.playstation.net
23.78.210.51,auth.api.np.ac.playstation.net
34.225.204.165,malcolm-prod-swarm.wbplay.com
34.225.204.165,malcolm-prod-swarm.wbplay.com
34.225.204.165,malcolm-prod-swarm.wbplay.com
34.225.204.165,malcolm-prod-swarm.wbplay.com
34.225.204.165,malcolm-prod-swarm.wbplay.com
140.177.17.102,www.wolframalpha.com
96.6.24.64,asm.np.community.playstation.net
17.174.1.5,guzzoni.apple.com
172.217.12.142,www.youtube.com
96.6.24.172,commerce.api.np.km.playstation.net
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
23.61.242.125,radio.itunes.apple.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
172.217.10.130,googleads.g.doubleclick.net
140.177.17.102,www.wolframalpha.com
40.90.22.190,login.live.com
172.217.7.6,static.doubleclick.net
17.253.97.202,mesu.apple.com
172.217.12.161,yt3.ggpht.com
180.97.9.112,q3.qlogo.cn
74.125.172.41,r3---sn-ab5szn7l.googlevideo.com
74.125.172.41,r3---sn-ab5szn7l.googlevideo.com
172.217.9.229,mail.google.com
172.217.7.10,chat-pa.clients6.google.com
52.114.6.46,browser.pipe.aria.microsoft.com
140.177.17.102,www.wolframalpha.com
128.116.112.44,users.roblox.com
140.177.17.102,www.wolframalpha.com
96.6.24.64,us-ivt.np.community.playstation.net
172.217.9.246,i.ytimg.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
13.107.21.200,cn.bing.com
13.107.21.200,www.bing.com
140.177.17.102,www.wolframalpha.com
52.250.1.227,aoe-api.reliclink.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
172.217.10.46,i9.ytimg.com
140.177.17.102,www.wolframalpha.com
20.36.218.63,settings-win.data.microsoft.com
140.177.17.102,www.wolframalpha.com
152.195.55.192,consent.cmp.oath.com
152.195.55.192,consent.cmp.oath.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
52.114.88.28,v20.events.data.microsoft.com
140.177.17.102,www.wolframalpha.com
72.55.140.155,nyu-apply.smapply.io
162.247.242.18,bam.nr-data.net
162.247.242.18,bam.nr-data.net
13.225.212.91,images.cdn3.stockunlimited.net
18.208.62.117,datarouter.ol.epicgames.com
104.27.137.3,i.ya-webdesign.com
23.43.58.91,png.pngtree.com
158.69.228.158,funnyjunk.com
96.6.24.64,asm.np.community.playstation.net
104.18.44.69,bigmemes.funnyjunk.com
104.18.45.69,memeworld.funnyjunk.com
23.78.207.30,IV0001-NPXS01001_00.auth.np.ac.playstation.net
23.202.87.124,a0.ww.np.dl.playstation.net
172.217.9.229,mail.google.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
173.208.137.67,www.pngfind.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
24.105.29.76,telemetry-in.battle.net
140.177.17.102,www.wolframalpha.com
151.101.2.79,cmkt-image-prd.freetls.fastly.net
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
34.225.204.165,malcolm-prod-swarm.wbplay.com
34.225.204.165,malcolm-prod-swarm.wbplay.com
34.225.204.165,malcolm-prod-swarm.wbplay.com
34.225.204.165,malcolm-prod-swarm.wbplay.com
34.225.204.165,malcolm-prod-swarm.wbplay.com
34.225.204.165,malcolm-prod-swarm.wbplay.com
34.225.204.165,malcolm-prod-swarm.wbplay.com
34.225.204.165,malcolm-prod-swarm.wbplay.com
52.114.7.36,v20.events.data.microsoft.com
34.225.204.165,malcolm-prod-swarm.wbplay.com
34.225.204.165,malcolm-prod-swarm.wbplay.com
34.225.204.165,malcolm-prod-swarm.wbplay.com
34.225.204.165,malcolm-prod-swarm.wbplay.com
34.225.204.165,malcolm-prod-swarm.wbplay.com
34.225.204.165,malcolm-prod-swarm.wbplay.com
52.87.144.54,malcolm-prod-event.wbplay.com
34.225.204.165,malcolm-prod-swarm.wbplay.com
165.254.49.140,steamcdn-a.akamaihd.net
165.254.49.140,steamcdn-a.akamaihd.net
165.254.49.140,steamcdn-a.akamaihd.net
34.225.204.165,malcolm-prod-swarm.wbplay.com
34.225.204.165,malcolm-prod-swarm.wbplay.com
23.20.28.69,ss-prod-ue1-notif-32.aws.adobess.com
34.225.204.165,malcolm-prod-swarm.wbplay.com
104.27.154.189,p7.hiclipart.com
23.202.87.124,gs-sec.ww.np.dl.playstation.net
40.119.2.214,settings-win.data.microsoft.com
23.78.210.51,auth.api.np.ac.playstation.net
3.95.145.167,cls.psn.turbine.com
104.17.209.9,api.golinkapi.com
17.248.135.46,gateway.icloud.com
23.198.71.119,mesu.apple.com
140.177.17.102,www4d.wolframalpha.com
140.177.16.49,www.wolframcdn.com
17.253.97.207,mesu.apple.com
140.177.17.102,www4d.wolframalpha.com
23.78.210.51,auth.api.np.ac.playstation.net
3.95.145.167,cls.psn.turbine.com
34.225.204.165,malcolm-prod-swarm.wbplay.com
34.243.109.19,logs.dashlane.com
20.36.218.63,settings-win.data.microsoft.com
173.194.205.189,14.client-channel.google.com
172.217.12.202,fonts.googleapis.com
140.177.17.102,www4d.wolframalpha.com
140.177.17.102,www4d.wolframalpha.com
23.111.9.217,a.optmnstr.com
96.6.26.92,armmf.adobe.com
13.225.63.158,d36ee2fcip1434.cloudfront.net
151.101.200.157,platform.twitter.com
13.225.212.9,api.opmnstr.com
50.17.51.128,track.gaug.es
104.244.42.8,syndication.twitter.com
52.179.129.229,arc.msn.com
23.92.190.69,ap.lijit.com
172.253.122.109,imap.gmail.com
104.16.122.97,www.webassign.net
172.253.122.109,imap.gmail.com
17.56.48.13,news-edge.apple.com
128.116.112.44,users.roblox.com
17.253.15.201,c.apple.news
17.253.97.201,c.apple.news
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
24.105.29.76,telemetry-in.battle.net
52.177.165.30,skydrive.wns.windows.com
52.250.1.227,aoe-api.reliclink.com
52.4.236.189,datarouter.ol.epicgames.com
13.107.42.12,dm2305.storage.live.com
24.105.29.76,telemetry-in.battle.net
40.90.22.188,login.live.com
13.107.42.12,dm2305.settings.live.net
52.179.224.121,client.wns.windows.com
24.105.29.76,telemetry-in.battle.net
13.107.42.12,api.onedrive.com
13.107.42.12,dm2305.storage.live.com
24.105.29.76,telemetry-in.battle.net
35.186.224.47,dealer.spotify.com
104.16.31.91,na.ledge.leagueoflegends.com
24.105.29.76,telemetry-in.battle.net
52.114.74.45,mobile.pipe.aria.microsoft.com
52.114.74.45,mobile.pipe.aria.microsoft.com
24.105.29.76,telemetry-in.battle.net
24.105.29.76,telemetry-in.battle.net
172.253.122.188,mtalk.google.com
172.217.6.202,remotedesktop-pa.googleapis.com
172.217.6.202,remotedesktop-pa.googleapis.com
24.105.29.76,telemetry-in.battle.net
24.105.29.76,telemetry-in.battle.net
24.105.29.76,telemetry-in.battle.net
69.192.108.239,api1.origin.com
159.153.191.240,accounts.ea.com
52.54.188.100,rtm.tnt-ea.com
24.105.29.76,telemetry-in.battle.net
24.105.29.76,telemetry-in.battle.net
69.192.108.239,api1.origin.com
69.192.108.239,api1.origin.com
69.192.108.239,api1.origin.com
69.192.108.239,api1.origin.com
69.192.108.239,api1.origin.com
69.192.108.239,api1.origin.com
159.153.191.238,gateway.ea.com
69.192.108.239,api1.origin.com
69.192.108.239,api1.origin.com
69.192.108.239,api1.origin.com
69.192.108.239,api1.origin.com
69.192.108.239,api1.origin.com
69.192.108.239,api1.origin.com
34.233.214.44,dirtybits.api.origin.com
52.54.188.100,rtm.tnt-ea.com
24.105.29.76,telemetry-in.battle.net
52.0.128.157,acp-ss-ue1.adobe.io
34.237.101.103,friends.gs.ea.com
34.237.101.103,friends.gs.ea.com
34.193.242.200,groups.gameservices.ea.com
34.237.101.103,friends.gs.ea.com
34.237.101.103,friends.gs.ea.com
34.193.242.200,groups.gameservices.ea.com
3.221.116.27,public-ubiservices.ubi.com
24.105.29.76,telemetry-in.battle.net
172.253.122.188,mtalk.google.com
23.78.209.78,www.origin.com
159.153.191.240,accounts.ea.com
159.153.191.238,gateway.ea.com
24.105.29.76,telemetry-in.battle.net
69.192.108.239,api1.origin.com
24.105.29.76,telemetry-in.battle.net
24.105.29.76,telemetry-in.battle.net
13.225.212.66,www.chegg.com
24.105.29.76,telemetry-in.battle.net
34.224.151.220,pin-em.data.ea.com
23.78.209.78,contentapi.origin.com
23.78.209.78,contentapi.origin.com
23.78.209.78,contentapi.origin.com
23.78.209.78,contentapi.origin.com
24.105.29.76,telemetry-in.battle.net
155.133.248.50,cm-01-ams1.cm.steampowered.com
185.25.182.77,cm2-par1.cm.steampowered.com
162.254.197.40,cm01-fra.cm.steampowered.com
155.133.246.69,cm2-mad1.cm.steampowered.com
24.105.29.76,telemetry-in.battle.net
155.133.248.53,cm-04-ams1.cm.steampowered.com
162.254.195.82,cm3-lax1.cm.steampowered.com
185.25.182.76,cm1-par1.cm.steampowered.com
162.254.196.83,cm02-lon.cm.steampowered.com
52.179.129.229,arc.msn.com
24.105.29.76,telemetry-in.battle.net
40.90.22.188,login.live.com
13.68.92.143,ris.api.iris.microsoft.com
172.217.12.142,www.google-analytics.com
34.232.26.69,pin-river.data.ea.com
20.36.218.63,settings.data.microsoft.com
24.105.29.76,telemetry-in.battle.net
23.60.116.71,steamcommunity.com
23.60.116.71,steamcommunity.com
23.60.116.71,steamcommunity.com
24.105.29.76,telemetry-in.battle.net
165.254.49.142,steamcdn-a.akamaihd.net
165.254.49.142,steamcdn-a.akamaihd.net
165.254.49.142,steamcdn-a.akamaihd.net
23.60.116.71,api.steampowered.com
24.105.29.76,telemetry-in.battle.net
204.154.111.116,tps10272.doubleverify.com
24.105.29.76,telemetry-in.battle.net
52.114.74.45,v20.events.data.microsoft.com
24.105.29.76,telemetry-in.battle.net
52.72.195.128,river.data.ea.com
58.222.35.205,api.vc.bilibili.com
24.105.29.76,telemetry-in.battle.net
24.105.29.76,telemetry-in.battle.net
100.26.116.127,ss-prod-ue1-notif-27.aws.adobess.com
104.17.209.9,api.golinkapi.com
69.192.108.239,api1.origin.com
24.105.29.76,telemetry-in.battle.net
24.105.29.76,telemetry-in.battle.net
24.105.29.76,telemetry-in.battle.net
24.105.29.76,telemetry-in.battle.net
173.194.207.189,hr.client-channel.google.com
24.105.29.76,telemetry-in.battle.net
24.105.29.76,telemetry-in.battle.net
13.107.42.12,dm2305.storage.live.com
24.105.29.76,telemetry-in.battle.net
18.211.118.21,wss-primary.slack.com
24.105.29.76,telemetry-in.battle.net
13.225.212.71,js.driftt.com
24.105.29.76,telemetry-in.battle.net
52.114.74.45,mobile.pipe.aria.microsoft.com
24.105.29.76,telemetry-in.battle.net
24.105.29.76,telemetry-in.battle.net
24.105.29.76,telemetry-in.battle.net
13.225.63.55,d3cv4a9a9wh0bt.cloudfront.net
24.105.29.76,telemetry-in.battle.net
172.217.10.234,safebrowsing.googleapis.com
24.105.29.76,telemetry-in.battle.net
52.114.74.45,v10.events.data.microsoft.com
24.105.29.76,telemetry-in.battle.net
40.67.188.15,presence-heartbeat.xboxlive.com
52.114.6.47,v10.events.data.microsoft.com
24.105.29.76,telemetry-in.battle.net
148.153.64.18,message.bilibili.com
24.105.29.76,telemetry-in.battle.net
104.16.121.97,www.webassign.net
52.250.1.227,aoe-api.reliclink.com
24.105.29.76,telemetry-in.battle.net
34.225.204.165,malcolm-prod-swarm.wbplay.com
34.199.253.74,userstylesapi.com
24.105.29.76,telemetry-in.battle.net
39.106.232.147,ldc.lenovo.com.cn
24.105.29.76,telemetry-in.battle.net
24.105.29.76,telemetry-in.battle.net
52.87.144.54,malcolm-prod-event.wbplay.com
104.16.122.97,www.webassign.net
24.105.29.76,telemetry-in.battle.net
69.94.68.21,uib.ff.avast.com
104.244.43.131,abs-0.twimg.com
24.105.29.76,telemetry-in.battle.net
24.105.29.76,telemetry-in.battle.net
24.105.29.76,telemetry-in.battle.net
72.21.91.70,pbs.twimg.com
72.21.91.70,pbs.twimg.com
104.244.42.69,t.co
24.105.29.76,telemetry-in.battle.net
24.105.29.76,telemetry-in.battle.net
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
204.79.197.200,www.bing.com
24.105.29.76,telemetry-in.battle.net
128.116.112.44,users.roblox.com
24.105.29.76,telemetry-in.battle.net
140.177.17.102,www.wolframalpha.com
52.109.6.6,roaming.officeapps.live.com
96.6.24.89,xp.apple.com
52.87.144.54,malcolm-prod-event.wbplay.com
148.153.64.18,api.vc.bilibili.com
140.177.17.102,www.wolframalpha.com
23.60.68.75,play.itunes.apple.com
24.105.29.76,telemetry-in.battle.net
192.229.210.163,video.twimg.com
192.229.210.163,video.twimg.com
192.229.210.163,video.twimg.com
192.229.210.163,video.twimg.com
192.229.210.163,video.twimg.com
192.229.210.163,video.twimg.com
192.229.210.163,video.twimg.com
192.229.210.163,video.twimg.com
192.229.210.163,video.twimg.com
192.229.210.163,video.twimg.com
192.229.210.163,video.twimg.com
192.229.210.163,video.twimg.com
52.72.195.128,river.data.ea.com
24.105.29.76,telemetry-in.battle.net
34.226.64.168,malcolm-prod-swarm.wbplay.com
3.217.207.251,public-ubiservices.ubi.com
104.244.42.139,upload.twitter.com
131.253.33.254,a-ring-fallback.msedge.net
13.82.133.242,azwancan.trafficmanager.net
104.244.42.139,upload.twitter.com
13.107.3.254,0f404bdbc76e4aebdbe4c4b766978293.clo.footprintdns.com
204.79.197.222,fp.msedge.net
172.217.9.229,mail.google.com
52.179.129.229,arc.msn.com
165.254.0.99,ubistatic3-a.akamaihd.net
52.87.144.54,malcolm-prod-event.wbplay.com
54.156.65.23,ss-prod-ue1-notif-32.aws.adobess.com
31.13.65.7,scontent.xx.fbcdn.net
31.13.65.36,www.facebook.com
140.177.17.102,www.wolframalpha.com
3.221.116.27,public-ubiservices.ubi.com
20.36.219.28,activity.windows.com
140.177.17.102,www.wolframalpha.com
104.16.122.97,www.webassign.net
140.177.17.102,www.wolframalpha.com
52.114.74.45,self.events.data.microsoft.com
24.105.29.76,telemetry-in.battle.net
203.205.255.88,i.y.qq.com
140.177.17.102,www.wolframalpha.com
54.229.248.56,ws1.dashlane.com
54.229.248.56,ws1.dashlane.com
52.209.86.177,logs.dashlane.com
17.248.216.2,p13-keyvalueservice.icloud.com.cn
34.68.125.225,rpc.znly.co
17.142.171.8,gs-loc.apple.com
140.177.17.102,www.wolframalpha.com
69.192.108.94,r4.res.office365.com
13.107.3.128,config.edge.skype.com
13.249.46.116,api-cache.blizzcon.com
172.217.12.138,remotedesktop-pa.googleapis.com
172.217.12.138,remotedesktop-pa.googleapis.com
140.177.17.102,www.wolframalpha.com
140.177.17.102,www.wolframalpha.com
52.97.190.2,5c82d4b3418041c1895cf45208bb28e6.fp.measure.office.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
52.96.88.114,acdc-direct.office.com
52.108.16.17,waconatm.officeapps.live.com
13.107.6.163,upload.fp.measure.office.com
111.161.111.57,q.i.gdt.qq.com
31.13.65.36,www.facebook.com
140.177.17.102,www.wolframalpha.com
3.217.216.34,public-ws-ubiservices.ubi.com
20.36.219.28,activity.windows.com
