40.91.72.120,presence-heartbeat.xboxlive.com
13.225.230.118,desktop.tidal.com
172.217.12.202,play.googleapis.com
172.217.12.202,play.googleapis.com
172.217.12.202,play.googleapis.com
172.217.12.202,play.googleapis.com
211.234.127.21,logs.81plug.com
172.217.12.202,play.googleapis.com
172.217.12.202,play.googleapis.com
172.217.12.202,play.googleapis.com
172.217.12.202,play.googleapis.com
13.225.218.58,d3i4yxtzktqr9n.cloudfront.net
172.217.12.202,play.googleapis.com
211.234.127.21,logs.81plug.com
54.68.86.248,sdk-api-v1.singular.net
68.67.179.121,ib.adnxs.com
63.251.114.136,ap.lijit.com
63.251.114.136,ap.lijit.com
192.81.242.130,34acf0414d836d3f8d491c6186153694.my.2k.com
74.121.142.57,tags.mathtag.com
3.17.209.203,capi.connatix.com
52.179.129.229,arc.msn.com
148.153.64.18,api.bilibili.com
52.22.212.133,pixel.adsafeprotected.com
3.222.214.243,beacon.krxd.net
52.3.82.245,dt.adsafeprotected.com
185.167.164.39,c1.adform.net
18.210.174.73,magnetic.t.domdex.com
34.237.57.210,push.prod.netflix.com
74.121.142.57,tags.mathtag.com
104.27.175.181,metrics.getrockerbox.com
96.6.27.20,pixel.mathtag.com
23.78.207.188,creative.mathads.com
216.200.232.172,sync.mathtag.com
104.109.62.250,c.evidon.com
54.213.87.40,endpoint1.collection.us2.sumologic.com
52.203.173.113,l.betrad.com
34.233.215.32,px.britepool.com
13.225.218.83,d2s8wlbatk24s7.cloudfront.net
13.225.230.84,static.u.gg
3.12.221.12,u.gg
104.16.86.20,cdn.jsdelivr.net
151.101.0.176,js.stripe.com
52.9.24.249,analytics.developer.riotgames.com
40.119.2.214,settings-win.data.microsoft.com
23.43.168.33,radio-activity.itunes.apple.com
183.3.225.72,ssl.ptlogin2.mail.qq.com
23.20.28.69,ss-prod-ue1-notif-32.aws.adobess.com
183.3.225.72,ssl.ptlogin2.mail.qq.com
31.13.65.1,www.messenger.com
148.153.64.18,api.bilibili.com
54.227.199.206,datarouter.ol.epicgames.com
52.36.169.154,api-new.gocashback.com
40.69.219.197,array615.prod.do.dsp.mp.microsoft.com
183.3.225.72,ssl.ptlogin2.mail.qq.com
69.192.108.239,api1.origin.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
183.3.225.72,ssl.ptlogin2.mail.qq.com
13.226.39.42,epic-down.game.playstove.com
13.226.39.42,epic-down.game.playstove.com
13.226.39.42,epic-down.game.playstove.com
52.114.128.44,v10.events.data.microsoft.com
34.212.128.155,live-g-gate-epic.game.playstove.com
54.250.219.222,sdkweb.playstove.com
164.52.33.179,data.bilibili.com
172.217.10.78,android.clients.google.com
172.217.10.78,android.clients.google.com
172.217.10.78,android.clients.google.com
172.217.10.78,android.clients.google.com
13.107.6.158,edge.microsoft.com
192.81.242.130,34acf0414d836d3f8d491c6186153694.my.2k.com
128.238.155.11,128.238.155.11
148.153.64.18,api.bilibili.com
128.238.155.11,128.238.155.11
63.251.114.136,ap.lijit.com
68.67.179.90,ib.adnxs.com
63.251.114.136,ap.lijit.com
172.217.10.42,wirelessdevicestats.googleapis.com
172.217.10.42,wirelessdevicestats.googleapis.com
52.46.145.164,aax-us-east.amazon-adsystem.com
68.67.160.137,nym1-ib.adnxs.com
69.192.109.115,secure.insightexpressai.com
151.101.2.2,trc.taboola.com
64.202.112.31,sync.outbrain.com
96.17.64.29,contextual.media.net
54.175.89.18,match.justpremium.com
40.65.245.21,beacon.walmart.com
34.202.82.115,acp-ss-ue1.adobe.io
94.130.66.254,px.adhigh.net
74.119.119.139,gum.criteo.com
183.3.225.72,ssl.ptlogin2.mail.qq.com
68.67.160.117,secure.adnxs.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
23.78.210.184,b9-imp.tribalfusion.com
23.78.162.159,tags.expo9.exponential.com
18.208.82.216,fw.adsafeprotected.com
185.167.164.39,c1.adform.net
18.211.132.79,t.myvisualiq.net
52.179.129.229,arc.msn.com
34.73.232.153,www.overleaf.com
183.3.225.72,ssl.ptlogin2.mail.qq.com
52.114.128.44,v20.events.data.microsoft.com
72.21.206.141,aax-us-east.amazon-adsystem.com
172.217.6.194,googleads.g.doubleclick.net
35.186.224.47,dealer.spotify.com
13.107.3.128,config.edge.skype.com
52.109.88.35,nexusrules.officeapps.live.com
52.33.245.178,ekg.riotgames.com
173.194.68.109,imap.gmail.com
173.194.68.109,imap.gmail.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
31.13.65.51,scontent.oculuscdn.com
148.153.64.18,www.bilibili.com
148.153.64.18,www.bilibili.com
47.246.46.228,s1.hdslb.com
148.153.38.118,api.bilibili.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
148.153.38.118,api.vc.bilibili.com
148.153.38.118,message.bilibili.com
45.57.90.1,codex.nflxext.com
34.235.102.64,www.netflix.com
148.153.38.118,api.vc.bilibili.com
34.195.40.12,www.netflix.com
8.36.80.192,events.gfe.nvidia.com
52.114.128.9,mobile.pipe.aria.microsoft.com
183.3.225.72,ssl.ptlogin2.mail.qq.com
104.18.22.175,csgolounge.com
31.13.65.51,graph.oculus.com
193.182.15.115,audio-sp-dca.spotifycdn.net
52.114.128.44,v10.events.data.microsoft.com
13.225.218.225,d3cv4a9a9wh0bt.cloudfront.net
183.3.225.72,ssl.ptlogin2.mail.qq.com
54.156.65.23,ss-prod-ue1-notif-32.aws.adobess.com
164.52.33.179,data.bilibili.com
13.225.218.92,d3i4yxtzktqr9n.cloudfront.net
59.111.239.61,httpdns.n.netease.com
103.126.92.132,interface.music.163.com
17.248.187.204,p14-keyvalueservice.icloud.com
192.81.242.130,34acf0414d836d3f8d491c6186153694.my.2k.com
69.31.76.8,dldir1.qq.com
148.153.38.118,api.bilibili.com
52.23.119.196,rtm.tnt-ea.com
13.107.246.10,pti.store.microsoft.com
63.251.114.136,ap.lijit.com
68.67.179.90,ib.adnxs.com
63.251.114.136,ap.lijit.com
17.248.187.68,gateway.icloud.com
104.22.3.109,builds.parsecgaming.com
104.22.3.109,builds.parsecgaming.com
68.67.160.137,nym1-ib.adnxs.com
63.251.114.136,vap5ewr1.lijit.com
199.250.160.129,usw-ca2.adsrvr.org
204.154.111.118,rtb0.doubleverify.com
204.154.111.111,tps602.doubleverify.com
204.154.111.111,tps602.doubleverify.com
13.225.230.122,static.u.gg
69.192.109.115,secure.insightexpressai.com
13.225.218.83,d2s8wlbatk24s7.cloudfront.net
3.12.221.12,u.gg
104.16.85.20,cdn.jsdelivr.net
151.101.0.176,js.stripe.com
162.223.54.6,sovrn.apxlv.com
52.72.137.242,dx.bigsea.weborama.com
52.86.40.135,i.liadm.com
23.92.190.68,ce.lijit.com
34.225.102.242,track2.securedvisit.com
18.210.240.62,thrtle.com
34.231.48.168,api.intentiq.com
63.251.88.56,aa.agkn.com
18.210.56.43,e.dlx.addthis.com
52.2.200.53,tag.cogocast.net
75.2.91.175,pixel.voltn.com
68.67.179.90,ib.adnxs.com
23.92.190.68,ce.lijit.com
3.215.9.17,mid.rkdms.com
3.15.86.133,s.thebrighttag.com
23.20.153.16,sync.tidaltv.com
63.251.88.56,aa.agkn.com
18.213.127.229,x.dlx.addthis.com
52.213.151.76,s.cpx.to
67.202.110.24,dp2.33across.com
34.198.90.39,bcp.crwdcntrl.net
204.154.111.118,tps.doubleverify.com
50.116.194.23,d.turn.com
3.130.31.206,capi.connatix.com
151.101.1.16,m.media-amazon.com
172.217.9.229,mail.google.com
204.154.111.111,tps10261.doubleverify.com
172.217.11.46,clients4.google.com
104.22.3.109,builds.parsecgaming.com
104.22.3.109,builds.parsecgaming.com
172.217.11.46,google.com
172.217.11.46,google.com
172.217.12.174,calendar.google.com
17.248.135.92,p14-contacts.icloud.com
172.217.11.10,www.googleapis.com
52.179.129.229,arc.msn.com
17.248.135.92,p14-contacts.icloud.com
17.248.187.201,p14-caldav.icloud.com
17.248.187.201,p14-caldav.icloud.com
172.217.12.174,calendar.google.com
172.217.11.19,cloud.bluestacks.com
148.153.38.118,api.bilibili.com
52.36.169.154,api-new.gocashback.com
203.205.254.103,h5.qzone.qq.com
20.36.218.63,settings-win.data.microsoft.com
104.17.188.107,zwyr157wwiu6eior.com
180.169.106.30,casper.saschina.org
52.4.156.177,g44.p4.webrootcloudav.com
40.90.22.184,login.live.com
52.114.128.43,mobile.pipe.aria.microsoft.com
52.114.128.43,mobile.pipe.aria.microsoft.com
184.25.176.117,sb.scorecardresearch.com
69.192.108.239,api1.origin.com
172.217.10.138,play.googleapis.com
59.111.0.200,mumu.nie.netease.com
165.254.49.140,steamcdn-a.akamaihd.net
13.225.230.111,api-cache.blizzcon.com
192.81.242.130,34acf0414d836d3f8d491c6186153694.my.2k.com
148.153.38.118,api.bilibili.com
13.225.218.21,d3cv4a9a9wh0bt.cloudfront.net
111.161.111.57,q.i.gdt.qq.com
54.156.65.23,ss-prod-ue1-notif-32.aws.adobess.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
52.179.129.229,arc.msn.com
23.92.190.69,ap.lijit.com
23.92.190.69,ap.lijit.com
23.78.210.184,b9-imp.tribalfusion.com
23.78.210.184,s.tribalfusion.com
54.227.219.230,fw.adsafeprotected.com
52.73.50.87,dt.adsafeprotected.com
185.167.164.39,c1.adform.net
34.194.0.53,magnetic.t.domdex.com
172.217.9.234,remotedesktop-pa.googleapis.com
172.217.9.234,remotedesktop-pa.googleapis.com
204.154.111.111,tps10261.doubleverify.com
203.205.255.191,btrace.qq.com
172.217.10.66,googleads.g.doubleclick.net
172.217.9.234,remotedesktop-pa.googleapis.com
172.217.9.234,remotedesktop-pa.googleapis.com
52.46.145.164,aax-us-east.amazon-adsystem.com
172.217.12.194,googleads.g.doubleclick.net
35.186.224.47,dealer.spotify.com
173.194.68.108,imap.gmail.com
173.194.68.108,imap.gmail.com
203.205.136.105,pub.idqqimg.com
47.246.46.228,s1.hdslb.com
148.153.38.118,api.bilibili.com
24.105.29.76,telemetry-in.battle.net
104.22.3.109,builds.parsecgaming.com
104.22.3.109,builds.parsecgaming.com
45.57.91.1,codex.nflxext.com
54.174.201.74,www.netflix.com
99.84.230.69,api-cache.blizzcon.com
34.206.66.2,push.prod.netflix.com
148.153.38.118,api.vc.bilibili.com
172.217.12.212,inkpadnotepad.appspot.com
172.217.12.194,googleads.g.doubleclick.net
192.229.173.16,abs.twimg.com
192.229.173.16,abs.twimg.com
104.244.42.129,twitter.com
104.244.42.65,www.twitter.com
192.229.173.16,pbs.twimg.com
192.229.173.16,pbs.twimg.com
151.101.200.158,video.twimg.com
151.101.200.158,video.twimg.com
104.244.42.5,t.co
13.74.179.117,slscr.update.microsoft.com
130.211.16.53,d.joinhoney.com
52.55.208.245,gnar.grammarly.com
35.186.224.53,spclient.wg.spotify.com
13.107.18.11,substrate.office.com
165.254.49.142,steamcdn-a.akamaihd.net
165.254.49.142,steamcdn-a.akamaihd.net
52.114.128.10,v10.events.data.microsoft.com
165.254.49.142,steamcdn-a.akamaihd.net
172.217.10.2,www.googletagservices.com
172.217.12.198,ad.doubleclick.net
172.217.12.194,googleads.g.doubleclick.net
104.244.43.131,abs-0.twimg.com
13.225.218.138,d3cv4a9a9wh0bt.cloudfront.net
34.233.241.235,rtm.tnt-ea.com
52.114.158.50,mobile.pipe.aria.microsoft.com
151.101.250.164,prod-fastly-us-west-2.video.pscp.tv
52.114.128.9,mobile.pipe.aria.microsoft.com
165.254.0.106,upos-hz-mirrorakam.akamaized.net
164.52.33.179,data.bilibili.com
92.223.21.26,cat.wargaming.net
13.225.218.92,d3i4yxtzktqr9n.cloudfront.net
20.36.218.63,settings-win.data.microsoft.com
192.81.242.130,34acf0414d836d3f8d491c6186153694.my.2k.com
148.153.64.18,api.bilibili.com
24.105.29.76,telemetry-in.battle.net
104.22.3.109,builds.parsecgaming.com
104.22.3.109,builds.parsecgaming.com
69.192.108.239,api1.origin.com
69.192.108.239,api1.origin.com
13.225.230.122,static.u.gg
13.225.218.198,d2s8wlbatk24s7.cloudfront.net
104.16.89.20,cdn.jsdelivr.net
151.101.0.176,js.stripe.com
52.9.24.249,analytics.developer.riotgames.com
3.218.27.87,datarouter.ol.epicgames.com
52.159.17.76,tsfe.trafficshaping.dsp.mp.microsoft.com
3.223.236.24,account-public-service-prod03.ol.epicgames.com
52.179.129.229,arc.msn.com
23.92.190.69,ap.lijit.com
68.67.179.90,ib.adnxs.com
23.92.190.69,ap.lijit.com
68.67.160.137,nym1-ib.adnxs.com
96.17.64.29,contextual.media.net
66.110.98.48,qsearch-a.akamaihd.net
211.234.127.21,logs.81plug.com
54.227.219.230,fw.adsafeprotected.com
162.159.129.233,discordapp.com
52.72.58.48,ads.everesttech.net
3.232.74.138,mscom.demdex.net
185.167.164.39,c1.adform.net
104.122.72.55,dco-assets.everestads.net
151.101.130.167,static.twitchcdn.net
204.79.197.204,analyticspixel.microsoft.com
162.159.137.234,us-central729.discord.media
54.156.65.23,ss-prod-ue1-notif-32.aws.adobess.com
52.223.241.2,video-weaver.atl01.hls.ttvnw.net
52.113.194.132,config.teams.microsoft.com
148.153.64.18,api.bilibili.com
52.36.169.154,api-new.gocashback.com
69.192.108.239,api1.origin.com
52.48.250.64,logs.dashlane.com
172.217.7.3,update.googleapis.com
34.193.244.184,catalog-public-service-prod06.ol.epicgames.com
34.193.244.184,catalog-public-service-prod06.ol.epicgames.com
34.193.244.184,catalog-public-service-prod06.ol.epicgames.com
34.193.244.184,catalog-public-service-prod06.ol.epicgames.com
13.225.230.56,cf-st.sc-cdn.net
23.111.9.57,twemoji.maxcdn.com
192.81.242.130,34acf0414d836d3f8d491c6186153694.my.2k.com
