34.225.169.10,rtm.tnt-ea.com
23.192.6.54,use.typekit.net
23.192.6.54,p.typekit.net
192.81.212.192,tftactics.gg
13.107.42.12,bn1305.storage.live.com
17.248.135.175,gateway-carry.icloud.com
17.248.135.113,p10-caldav.icloud.com
13.107.42.12,d.docs.live.net
13.225.218.21,d3cv4a9a9wh0bt.cloudfront.net
13.225.218.21,d3cv4a9a9wh0bt.cloudfront.net
52.179.129.229,arc.msn.com
44.230.197.219,ekg.riotgames.com
52.42.181.80,video-edge-53c307.pdx01.abs.hls.ttvnw.net
52.109.6.6,roaming.officeapps.live.com
17.253.15.205,mesu.apple.com
17.248.187.132,api.apple-cloudkit.com
13.107.42.12,d.docs.live.net
188.42.224.52,petchesa.net
34.195.227.190,datarouter.ol.epicgames.com
20.36.218.63,settings-win.data.microsoft.com
13.225.220.48,api-v2.soundcloud.com
13.225.220.48,api-v2.soundcloud.com
68.67.160.117,ib.adnxs.com
52.114.132.20,v10.events.data.microsoft.com
40.67.188.15,presence-heartbeat.xboxlive.com
68.67.160.75,nym1-ib.adnxs.com
8.36.80.244,events.gfe.nvidia.com
172.217.10.35,p2-d767bvsj6takq-ql5v3cjqqg2nh7qv-if-v6exp3-v4.metric.gstatic.com
52.114.132.20,v10.events.data.microsoft.com
52.250.1.227,aoe-api.reliclink.com
148.153.38.118,api.vc.bilibili.com
35.186.224.47,dealer.spotify.com
13.107.42.12,d.docs.live.net
159.153.190.222,proxy.novafusion.ea.com
34.209.100.67,www.netflix.com
104.19.128.78,www.mobafire.com
31.13.65.7,connect.facebook.net
13.107.42.12,d.docs.live.net
35.164.116.34,ekg.riotgames.com
35.174.30.188,river.data.ea.com
172.217.10.234,safebrowsing.googleapis.com
13.107.18.11,substrate.office.com
13.107.18.11,substrate.office.com
159.153.190.222,proxy.novafusion.ea.com
172.217.11.50,p2-d767bvsj6takq-ql5v3cjqqg2nh7qv-891345-i2-v6exp3.ds.metric.gstatic.com
172.217.12.210,p2-d767bvsj6takq-ql5v3cjqqg2nh7qv-891345-i1-v6exp3.v4.metric.gstatic.com
13.107.42.12,d.docs.live.net
104.16.1.92,na.ledge.leagueoflegends.com
52.114.132.23,self.events.data.microsoft.com
99.80.189.205,auth.gaijinent.com
24.105.29.76,telemetry-in.battle.net
52.109.6.6,roaming.officeapps.live.com
192.229.173.16,abs.twimg.com
192.229.173.16,abs.twimg.com
99.84.191.91,api-cache.blizzcon.com
13.107.42.12,d.docs.live.net
13.107.42.12,d.docs.live.net
172.217.3.106,chat-pa.clients6.google.com
35.174.30.188,river.data.ea.com
52.179.129.229,arc.msn.com
52.250.1.227,aoe-api.reliclink.com
104.16.3.92,na.ledge.leagueoflegends.com
24.105.29.76,telemetry-in.battle.net
52.159.17.76,tsfe.trafficshaping.dsp.mp.microsoft.com
103.235.46.135,voice.baidu.com
68.67.160.117,ib.adnxs.com
13.225.226.34,images-na.ssl-images-amazon.com
13.225.226.34,m.media-amazon.com
13.225.222.227,www.amazon.com
68.67.160.117,ib.adnxs.com
13.107.42.12,d.docs.live.net
151.101.202.214,api.twitch.tv
151.101.202.214,api.twitch.tv
45.113.192.94,mss0.bdstatic.com
68.67.160.75,nym1-ib.adnxs.com
192.108.239.254,usher.ttvnw.net
52.223.246.95,video-edge-c2a1d4.atl01.abs.hls.ttvnw.net
13.67.187.213,phoenix.maelstrom.gameservices.xboxlive.com
172.217.11.14,docs.google.com
192.184.68.231,exch.quantserve.com
192.184.68.203,pixel.quantcount.com
192.184.68.210,pixel.quantserve.com
68.67.160.75,nym1-ib.adnxs.com
68.67.160.75,nym1-ib.adnxs.com
104.124.102.8,quantcast584928381.s.moatpixel.com
40.119.2.214,settings-win.data.microsoft.com
54.187.92.209,api.accounts.firefox.com
52.39.207.76,profile.accounts.firefox.com
18.237.204.52,sync-740-us-west-2.sync.services.mozilla.com
52.109.6.6,roaming.officeapps.live.com
20.36.218.63,settings-win.data.microsoft.com
34.95.71.207,webextensions.settings.services.mozilla.com
13.225.230.38,beta-api.crunchyroll.com
203.205.239.158,q3.qlogo.cn
104.18.157.37,clientconfig.rpg.riotgames.com
104.16.37.99,data.riotgames.com
52.9.24.249,analytics.developer.riotgames.com
216.58.213.131,beacons2.gvt2.com
104.18.157.37,clientconfig.rpg.riotgames.com
104.16.120.50,auth.riotgames.com
52.114.74.43,v20.events.data.microsoft.com
172.217.12.202,play.googleapis.com
104.16.199.132,entitlements.auth.riotgames.com
104.18.25.250,us.edge.rms.si.riotgames.com
104.18.157.37,clientconfig.rpg.riotgames.com
52.5.4.67,cognito-identity.us-east-1.amazonaws.com
13.107.42.12,d.docs.live.net
165.254.0.112,riot-client.dyn.riotcdn.net
165.254.0.75,lol.secure.dyn.riotcdn.net
104.17.64.4,cdnjs.cloudflare.com
165.254.0.112,bacon.secure.dyn.riotcdn.net
104.16.36.99,playerpreferences.riotgames.com
104.18.24.250,pas.geo.si.riotgames.com
13.67.187.213,phoenix.maelstrom.gameservices.xboxlive.com
52.206.168.246,inbound-analytics.pixlee.com
52.206.168.246,inbound-analytics.pixlee.com
104.16.2.92,na.ledge.leagueoflegends.com
40.67.188.15,presence-heartbeat.xboxlive.com
192.229.173.16,pbs.twimg.com
192.229.210.163,video.twimg.com
104.244.42.2,api.twitter.com
192.229.173.16,pbs.twimg.com
203.205.219.229,client.show.qq.com
192.229.210.163,video.twimg.com
192.229.210.163,video.twimg.com
192.229.210.163,video.twimg.com
104.16.120.50,auth.riotgames.com
165.254.0.75,lol.secure.dyn.riotcdn.net
104.16.120.50,auth.riotgames.com
104.16.199.132,entitlements.auth.riotgames.com
104.18.25.250,us.edge.rms.si.riotgames.com
104.16.199.132,entitlements.auth.riotgames.com
104.18.25.250,us.edge.rms.si.riotgames.com
34.202.238.149,riotp0use1.www.vivox.com
165.254.0.75,lol.secure.dyn.riotcdn.net
104.16.10.33,lq.na2.lol.riotgames.com
104.18.25.250,us.vts.si.riotgames.com
172.217.10.99,p2-d767bvsj6takq-ql5v3cjqqg2nh7qv-891345-s1-v6exp3-v4.metric.gstatic.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
34.202.238.149,riotp0use1.www.vivox.com
13.67.187.213,phoenix.maelstrom.gameservices.xboxlive.com
104.248.60.43,tftactics.gg
23.192.6.54,use.typekit.net
23.192.6.54,p.typekit.net
31.13.65.36,www.facebook.com
13.107.42.12,d.docs.live.net
104.17.154.2,clubs.leagueoflegends.com
104.17.49.19,na1.cap.riotgames.com
104.17.49.19,na1.cap.riotgames.com
104.18.97.33,acs.leagueoflegends.com
104.16.31.91,na.ledge.leagueoflegends.com
104.16.31.91,na.ledge.leagueoflegends.com
104.16.36.99,playerpreferences.riotgames.com
52.250.1.227,aoe-api.reliclink.com
52.11.18.161,po-service.usw2.leagueoflegends.com
35.164.116.34,ekg.riotgames.com
165.254.0.114,lolstatic-a.akamaihd.net
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
172.65.244.155,na2.chat.si.riotgames.com
