13.225.212.24,rumcdn.geoedge.be
31.13.66.63,scontent-iad3-1.cdninstagram.com
31.13.66.63,scontent-iad3-1.cdninstagram.com
31.13.66.63,scontent-iad3-1.cdninstagram.com
31.13.66.63,scontent-iad3-1.cdninstagram.com
17.248.187.70,gateway.icloud.com
40.91.76.181,xsts.auth.xboxlive.com
13.107.136.9,nyu0-my.sharepoint.com
13.107.3.128,config.edge.skype.com
40.91.76.181,xsts.auth.xboxlive.com
8.43.72.44,beacon-us-iad2.rubiconproject.com
204.154.111.122,rtb0.doubleverify.com
204.154.111.122,tps625.doubleverify.com
204.154.111.122,tps625.doubleverify.com
23.40.30.92,livetileedge.dsx.mp.microsoft.com
23.40.30.92,livetileedge.dsx.mp.microsoft.com
205.185.216.10,servedby.flashtalking.com
205.185.216.10,cdn.flashtalking.com
205.185.216.10,cdn.flashtalking.com
204.154.111.122,tps.doubleverify.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
204.154.111.122,tps10252.doubleverify.com
204.154.111.104,tps10269.doubleverify.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
52.253.130.84,geo.prod.do.dsp.mp.microsoft.com
104.107.183.221,kv501.prod.do.dsp.mp.microsoft.com
52.114.158.91,v10.events.data.microsoft.com
104.107.183.221,cp501.prod.do.dsp.mp.microsoft.com
104.107.183.221,cp501.prod.do.dsp.mp.microsoft.com
104.107.183.221,cp501.prod.do.dsp.mp.microsoft.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
104.107.183.221,disc501.prod.do.dsp.mp.microsoft.com
104.107.183.221,disc501.prod.do.dsp.mp.microsoft.com
104.107.183.221,cp501.prod.do.dsp.mp.microsoft.com
104.107.183.221,disc501.prod.do.dsp.mp.microsoft.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
52.114.158.91,v10.events.data.microsoft.com
104.107.183.221,cp501.prod.do.dsp.mp.microsoft.com
104.107.183.221,cp501.prod.do.dsp.mp.microsoft.com
40.126.2.33,login.microsoftonline.com
52.114.158.91,v10.events.data.microsoft.com
17.248.187.135,edge-173.usnyc.icloud-content.com
17.248.187.134,p19-content.icloud.com
191.232.139.2,fe3cr.delivery.mp.microsoft.com
40.126.2.33,login.microsoftonline.com
191.232.139.2,fe3cr.delivery.mp.microsoft.com
40.90.22.192,login.live.com
128.116.112.44,users.roblox.com
104.72.77.16,pic1.zhimg.com
40.84.43.40,aad.cs.dds.microsoft.com
35.186.224.53,spclient.wg.spotify.com
172.217.9.238,play.google.com
104.107.183.221,cp501.prod.do.dsp.mp.microsoft.com
165.227.252.242,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
104.107.183.221,cp501.prod.do.dsp.mp.microsoft.com
191.232.139.2,fe3cr.delivery.mp.microsoft.com
172.217.6.202,play.googleapis.com
52.114.158.91,v10.events.data.microsoft.com
104.107.183.221,cp501.prod.do.dsp.mp.microsoft.com
104.107.183.221,cp501.prod.do.dsp.mp.microsoft.com
191.232.139.2,fe3cr.delivery.mp.microsoft.com
54.156.65.23,ss-prod-ue1-notif-32.aws.adobess.com
24.105.29.76,telemetry-in.battle.net
52.114.158.91,v10.events.data.microsoft.com
191.232.139.2,fe3cr.delivery.mp.microsoft.com
100.26.116.127,ss-prod-ue1-notif-27.aws.adobess.com
3.213.171.170,dt.adsafeprotected.com
52.114.158.91,v10.events.data.microsoft.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
52.114.158.91,v10.events.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
128.116.112.44,users.roblox.com
52.114.158.91,v10.events.data.microsoft.com
104.107.183.221,cp501.prod.do.dsp.mp.microsoft.com
191.232.139.2,fe3cr.delivery.mp.microsoft.com
52.114.158.91,v10.events.data.microsoft.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
54.192.151.7,api-cache.blizzcon.com
119.28.164.219,dlied1.qq.com
203.205.136.169,pub.idqqimg.com
52.114.158.91,v10.events.data.microsoft.com
52.114.158.91,v10.events.data.microsoft.com
191.232.139.2,fe3cr.delivery.mp.microsoft.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
119.28.164.219,dlied1.qq.com
104.107.183.221,geover.prod.do.dsp.mp.microsoft.com
52.253.130.84,geo.prod.do.dsp.mp.microsoft.com
104.107.183.221,cp501.prod.do.dsp.mp.microsoft.com
104.107.184.14,cp801.prod.do.dsp.mp.microsoft.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
119.28.164.219,dlied1.qq.com
191.232.139.2,fe3cr.delivery.mp.microsoft.com
17.248.135.12,p14-availability.icloud.com
52.179.129.229,arc.msn.com
52.114.32.24,v10.events.data.microsoft.com
104.107.183.221,cp501.prod.do.dsp.mp.microsoft.com
119.28.164.219,dlied1.qq.com
191.232.139.2,fe3cr.delivery.mp.microsoft.com
119.28.164.219,dlied1.qq.com
52.114.158.91,v10.events.data.microsoft.com
52.7.111.248,datarouter-prod.ak.epicgames.com
40.67.188.15,presence-heartbeat.xboxlive.com
119.28.164.219,dlied1.qq.com
52.114.74.45,v10.events.data.microsoft.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
52.114.158.91,v10.events.data.microsoft.com
104.107.183.221,cp501.prod.do.dsp.mp.microsoft.com
104.107.183.221,cp501.prod.do.dsp.mp.microsoft.com
191.232.139.2,fe3cr.delivery.mp.microsoft.com
13.107.136.9,nyu0-my.sharepoint.com
8.43.72.44,beacon-us-iad2.rubiconproject.com
40.122.160.14,v10.events.data.microsoft.com
204.154.111.122,rtb0.doubleverify.com
204.154.111.122,tps622.doubleverify.com
204.154.111.122,tps622.doubleverify.com
205.185.216.10,servedby.flashtalking.com
204.154.111.122,tps.doubleverify.com
191.232.139.2,fe3cr.delivery.mp.microsoft.com
148.153.64.18,api.vc.bilibili.com
204.154.111.122,tps10223.doubleverify.com
204.154.111.122,tps10244.doubleverify.com
104.107.183.221,cp501.prod.do.dsp.mp.microsoft.com
40.122.160.14,v10.events.data.microsoft.com
24.105.29.76,telemetry-in.battle.net
45.57.90.1,assets.nflxext.com
45.57.90.1,codex.nflxext.com
191.232.139.2,fe3cr.delivery.mp.microsoft.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
52.114.32.24,v10.events.data.microsoft.com
104.107.183.221,geover.prod.do.dsp.mp.microsoft.com
191.232.139.2,fe3cr.delivery.mp.microsoft.com
52.253.130.84,geo.prod.do.dsp.mp.microsoft.com
104.107.183.221,cp501.prod.do.dsp.mp.microsoft.com
104.107.183.221,cp501.prod.do.dsp.mp.microsoft.com
104.107.183.221,cp501.prod.do.dsp.mp.microsoft.com
104.107.184.14,cp801.prod.do.dsp.mp.microsoft.com
40.122.160.14,v10.events.data.microsoft.com
104.107.183.221,disc501.prod.do.dsp.mp.microsoft.com
104.107.183.221,disc501.prod.do.dsp.mp.microsoft.com
104.107.183.221,disc501.prod.do.dsp.mp.microsoft.com
191.232.139.2,fe3cr.delivery.mp.microsoft.com
52.223.241.2,video-weaver.atl01.hls.ttvnw.net
52.114.32.24,v10.events.data.microsoft.com
128.116.112.44,users.roblox.com
40.122.160.14,v10.events.data.microsoft.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
172.217.3.106,safebrowsing.googleapis.com
40.122.160.14,v10.events.data.microsoft.com
35.186.224.47,dealer.spotify.com
52.35.109.67,ece4.playfabapi.com
69.166.1.15,apex.go.sonobi.com
206.189.254.17,e.serverbid.com
40.122.160.14,v10.events.data.microsoft.com
172.217.3.106,oauthaccountmanager.googleapis.com
172.217.12.174,android.clients.google.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
172.217.3.106,oauthaccountmanager.googleapis.com
31.13.66.19,scontent.xx.fbcdn.net
172.217.7.3,update.googleapis.com
172.253.63.188,mtalk.google.com
40.122.160.14,v10.events.data.microsoft.com
172.217.3.106,oauthaccountmanager.googleapis.com
172.217.3.106,oauthaccountmanager.googleapis.com
172.217.9.237,accounts.google.com
172.217.3.106,oauthaccountmanager.googleapis.com
172.217.3.106,oauthaccountmanager.googleapis.com
172.217.3.106,oauthaccountmanager.googleapis.com
157.240.147.33,instagram.fric1-1.fna.fbcdn.net
172.217.11.10,safebrowsing.googleapis.com
151.101.1.164,www.nytimes.com
172.217.9.234,chromefeedcontentsuggestions-pa.googleapis.com
172.217.10.72,www.googletagmanager.com
172.217.6.202,people-pa.clients6.google.com
172.217.6.202,people-pa.clients6.google.com
151.101.1.164,samizdat-graphql.nytimes.com
172.217.10.243,a.et.nytimes.com
151.101.129.164,nytimes.com
23.193.217.21,contextual.media.net
35.244.188.62,als-svc.nytimes.com
13.225.227.2,c.amazon-adsystem.com
172.217.10.34,securepubads.g.doubleclick.net
148.153.38.118,api.vc.bilibili.com
40.122.160.14,v10.events.data.microsoft.com
13.225.227.2,c.amazon-adsystem.com
172.217.6.226,adservice.google.com
172.217.10.42,people-pa.googleapis.com
172.217.10.42,people-pa.googleapis.com
52.3.82.245,dt.adsafeprotected.com
172.253.63.109,imap.gmail.com
172.217.10.42,people-pa.googleapis.com
172.217.10.42,people-pa.googleapis.com
172.217.10.42,people-pa.googleapis.com
52.73.164.244,streeteasy.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
172.217.10.42,people-pa.googleapis.com
40.122.160.14,v10.events.data.microsoft.com
172.217.10.42,people-pa.googleapis.com
172.217.10.42,people-pa.googleapis.com
191.232.139.2,fe3cr.delivery.mp.microsoft.com
52.94.232.32,s.amazon-adsystem.com
172.217.11.46,clients4.google.com
172.217.11.46,clients4.google.com
151.101.65.164,g1.nyt.com
23.194.120.202,cdn.optimizely.com
172.217.3.106,oauthaccountmanager.googleapis.com
23.194.120.202,cdn.optimizely.com
52.73.243.101,et.nytimes.com
50.17.30.163,et.nytimes.com
50.17.30.163,et.nytimes.com
50.17.30.163,et.nytimes.com
50.17.30.163,et.nytimes.com
191.232.139.2,fe3cr.delivery.mp.microsoft.com
50.17.30.163,et.nytimes.com
104.127.43.201,sb.scorecardresearch.com
23.10.89.229,tags.bluekai.com
23.78.199.149,a3013110282.cdn.optimizely.com
40.122.160.14,v10.events.data.microsoft.com
34.235.18.92,et.nytimes.com
52.86.84.216,api-js.datadome.co
40.122.160.14,v10.events.data.microsoft.com
13.225.230.116,js.datadome.co
23.10.89.229,stags.bluekai.com
23.10.89.229,stags.bluekai.com
104.127.43.201,sb.scorecardresearch.com
34.235.18.92,et.nytimes.com
34.235.18.92,et.nytimes.com
104.107.183.221,cp501.prod.do.dsp.mp.microsoft.com
35.241.35.241,meter-svc.nytimes.com
172.217.10.243,purr.nytimes.com
172.217.10.243,a.nytimes.com
104.107.183.221,disc501.prod.do.dsp.mp.microsoft.com
104.107.183.221,cp501.prod.do.dsp.mp.microsoft.com
40.122.160.14,v10.events.data.microsoft.com
52.45.67.40,logx.optimizely.com
151.101.129.164,myaccount.nytimes.com
40.79.65.235,array502.prod.do.dsp.mp.microsoft.com
52.253.130.84,geo.prod.do.dsp.mp.microsoft.com
23.10.89.229,tags.bluekai.com
23.10.89.229,tags.bluekai.com
172.217.10.46,www.google-analytics.com
13.225.221.210,static.chartbeat.com
23.78.199.149,a3013110282.cdn.optimizely.com
23.193.193.119,secure-assets.rubiconproject.com
172.217.7.3,update.googleapis.com
172.217.12.198,5290727.fls.doubleclick.net
3.94.216.109,api-js.datadome.co
151.101.193.164,mwcm.nytimes.com
34.237.17.44,pnytimes.chartbeat.net
40.122.160.14,v10.events.data.microsoft.com
23.10.89.229,stags.bluekai.com
74.125.192.155,stats.g.doubleclick.net
104.107.183.221,cp501.prod.do.dsp.mp.microsoft.com
104.107.183.221,cp501.prod.do.dsp.mp.microsoft.com
104.107.183.221,cp501.prod.do.dsp.mp.microsoft.com
104.107.183.221,cp501.prod.do.dsp.mp.microsoft.com
23.10.89.229,stags.bluekai.com
23.78.168.242,eus.rubiconproject.com
23.78.168.242,eus.rubiconproject.com
23.10.89.229,stags.bluekai.com
208.185.50.80,pixel-us-east.rubiconproject.com
104.107.183.221,disc501.prod.do.dsp.mp.microsoft.com
104.107.183.221,disc501.prod.do.dsp.mp.microsoft.com
34.234.23.30,logx.optimizely.com
172.217.11.36,www.google.com
104.107.183.221,disc501.prod.do.dsp.mp.microsoft.com
172.217.3.106,oauthaccountmanager.googleapis.com
40.122.160.14,v10.events.data.microsoft.com
204.79.197.200,c.bing.com
151.101.2.49,sync-tm.everesttech.net
172.217.12.130,googleads.g.doubleclick.net
172.217.6.226,cm.g.doubleclick.net
104.244.42.195,analytics.twitter.com
172.217.6.226,cm.g.doubleclick.net
172.217.7.10,growth-pa.googleapis.com
74.121.138.91,sync.mathtag.com
68.67.179.164,secure.adnxs.com
23.10.89.229,tags.bluekai.com
23.10.89.229,tags.bluekai.com
208.185.50.80,pixel.rubiconproject.com
31.13.71.1,webdav.facebook.com
208.185.50.80,pixel.rubiconproject.com
208.185.50.80,pixel.rubiconproject.com
104.107.183.221,disc501.prod.do.dsp.mp.microsoft.com
104.18.33.108,platform.iteratehq.com
172.217.12.130,pagead2.googlesyndication.com
17.248.135.81,p29-contacts.icloud.com
172.217.10.129,tpc.googlesyndication.com
104.69.14.165,use.typekit.net
104.18.32.108,iteratehq.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
172.253.63.109,imap.gmail.com
104.22.2.109,builds.parsecgaming.com
104.22.2.109,builds.parsecgaming.com
59.111.179.214,httpdns.n.netease.com
40.122.160.14,v10.events.data.microsoft.com
13.225.210.76,d3cv4a9a9wh0bt.cloudfront.net
52.109.6.6,roaming.officeapps.live.com
52.109.12.70,pptsgs.officeapps.live.com
17.167.192.128,gs-loc.apple.com
23.40.30.102,xp.apple.com
18.235.79.162,ss-prod-ue1-notif-32.aws.adobess.com
52.109.6.6,roaming.officeapps.live.com
23.43.56.192,play.itunes.apple.com
172.253.63.108,imap.gmail.com
172.253.63.108,imap.gmail.com
23.22.181.213,ss-prod-ue1-notif-27.aws.adobess.com
23.21.193.169,duckduckgo.com
40.122.160.14,v10.events.data.microsoft.com
17.167.194.149,gs-loc.apple.com
23.21.193.199,external-content.duckduckgo.com
148.153.64.18,message.bilibili.com
191.232.139.2,fe3cr.delivery.mp.microsoft.com
40.122.160.14,v10.events.data.microsoft.com
