172.217.10.74,firebasestorage.googleapis.com
172.217.10.234,www.googleapis.com
172.217.10.234,www.googleapis.com
172.217.10.234,www.googleapis.com
203.205.235.161,mail.qq.com
165.254.0.75,upos-hz-mirrorakam.akamaized.net
165.254.0.75,upos-hz-mirrorakam.akamaized.net
13.225.230.85,desktop.tidal.com
222.186.170.165,cloudcfg.yfp2p.net
222.186.170.165,cloudcfg.yfp2p.net
65.55.44.109,vortex.data.microsoft.com
148.153.64.18,api.bilibili.com
114.236.138.149,api.yfscdn.net
114.236.138.149,api.yfscdn.net
52.179.129.229,arc.msn.com
65.55.44.109,vortex.data.microsoft.com
164.52.33.179,dataflow.biliapi.com
115.238.74.251,sdk-log-scdn.yfdts.net
164.52.33.179,dataflow.biliapi.com
115.238.74.251,sdk-log-scdn.yfdts.net
164.52.34.38,data.bilibili.com
13.225.218.138,d3cv4a9a9wh0bt.cloudfront.net
13.225.218.138,d3cv4a9a9wh0bt.cloudfront.net
17.248.187.204,api.apple-cloudkit.com
96.6.22.62,bag.itunes.apple.com
17.253.97.208,mesu.apple.com
17.248.135.115,gateway.icloud.com
148.153.64.18,www.bilibili.com
148.153.64.18,www.bilibili.com
148.153.64.18,message.bilibili.com
52.114.88.29,v20.events.data.microsoft.com
17.248.135.109,gateway.icloud.com
148.153.38.118,api.vc.bilibili.com
31.13.65.36,www.facebook.com
31.13.65.7,static.xx.fbcdn.net
162.159.134.233,discordapp.com
40.67.188.15,presence-heartbeat.xboxlive.com
17.248.135.109,gateway.icloud.com
13.107.5.91,www.xboxab.com
65.55.44.109,vortex.data.microsoft.com
148.153.64.18,api.bilibili.com
65.55.44.109,vortex.data.microsoft.com
69.192.108.239,api1.origin.com
17.253.97.205,mesu.apple.com
162.159.134.233,discordapp.com
172.217.10.133,inbox.google.com
172.217.10.133,inbox.google.com
164.52.34.38,data.bilibili.com
164.52.34.38,data.bilibili.com
148.153.64.18,api.bilibili.com
5.62.44.161,uib.ff.avast.com
148.153.38.118,search.bilibili.com
148.153.38.118,search.bilibili.com
20.36.218.63,settings-win.data.microsoft.com
13.225.218.182,d2h0cx97tjks2p.cloudfront.net
13.107.5.88,evoke-windowsservices-tas.msedge.net
13.233.7.148,data-flair.training
13.233.7.148,data-flair.training
35.186.224.47,dealer.spotify.com
52.179.129.229,arc.msn.com
13.225.218.138,d3cv4a9a9wh0bt.cloudfront.net
35.186.224.25,login5.spotify.com
40.70.184.83,ieonlinews.microsoft.com
65.55.44.109,vortex.data.microsoft.com
172.217.12.202,remotedesktop-pa.googleapis.com
172.217.12.202,remotedesktop-pa.googleapis.com
69.192.108.239,api1.origin.com
17.174.1.5,guzzoni.apple.com
40.67.188.15,presence-heartbeat.xboxlive.com
59.111.0.200,mumu.nie.netease.com
35.186.224.53,spclient.wg.spotify.com
148.153.64.18,message.bilibili.com
104.16.2.92,na.ledge.leagueoflegends.com
23.47.223.91,javadl-esd-secure.oracle.com
148.153.64.18,api.bilibili.com
148.153.64.18,api.bilibili.com
23.47.223.91,javadl-esd-secure.oracle.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
69.192.108.239,api1.origin.com
159.153.191.240,accounts.ea.com
159.153.191.238,gateway.ea.com
69.192.108.239,secure.download.dm.origin.com
172.217.12.142,www.google-analytics.com
162.159.130.233,discordapp.com
204.79.197.200,www.bing.com
13.107.18.11,substrate.office.com
13.107.18.11,substrate.office.com
162.159.138.234,us-central100.discord.media
31.13.65.51,graph.oculus.com
204.79.197.200,cn.bing.com
204.79.197.200,www.bing.com
13.107.18.11,substrate.office.com
40.90.22.184,login.live.com
162.159.133.233,discordapp.com
192.229.173.16,abs.twimg.com
192.229.173.16,abs.twimg.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
31.13.65.36,www.facebook.com
20.36.219.28,activity.windows.com
165.254.49.133,fp-as.azureedge.net
131.253.33.254,a-ring-fallback.msedge.net
13.107.255.17,peer5-ash.msedge.net
34.239.18.170,pin-river.data.ea.com
204.79.197.222,fp.msedge.net
23.78.209.78,www.origin.com
69.192.108.239,data1.origin.com
69.192.108.239,api1.origin.com
69.192.108.239,api1.origin.com
13.225.230.23,download.eac-cdn.com
13.225.218.115,d3cv4a9a9wh0bt.cloudfront.net
52.201.10.115,river.data.ea.com
52.215.101.30,gossip.easyanticheat.net
54.186.10.67,ekg.riotgames.com
65.55.44.109,vortex.data.microsoft.com
54.209.209.95,receive-lp1.dg.srv.nintendo.net
52.179.129.229,arc.msn.com
159.153.190.222,proxy.novafusion.ea.com
23.98.151.170,checkappexec.microsoft.com
69.192.108.239,api1.origin.com
18.205.47.109,prd-collector-anon.playbuzz.com
165.254.0.185,static.nvidiagrid.net
104.20.115.14,launcher.escapefromtarkov.com
96.6.24.134,peoplehub.xboxlive.com
40.81.41.49,sessiondirectory.xboxlive.com
40.81.41.49,sessiondirectory.xboxlive.com
31.13.65.36,www.facebook.com
20.36.218.208,userpresence.xboxlive.com
69.192.108.12,titlehub.xboxlive.com
31.13.65.7,static.xx.fbcdn.net
51.143.105.194,notificationinbox.xboxlive.com
40.90.10.66,chat.xboxlive.com
52.143.74.14,notify.xboxlive.com
40.90.10.180,rta.xboxlive.com
134.170.179.199,xsts.auth.xboxlive.com
104.20.114.14,www.escapefromtarkov.com
104.20.114.14,www.escapefromtarkov.com
104.20.114.14,www.escapefromtarkov.com
40.90.220.41,lfghub-anonymous.xboxlive.com
104.20.114.14,www.escapefromtarkov.com
172.217.10.72,www.googletagmanager.com
192.229.163.25,platform.twitter.com
192.229.163.25,platform.twitter.com
104.20.114.14,www.escapefromtarkov.com
172.217.11.46,www.youtube.com
104.244.42.200,syndication.twitter.com
77.88.21.119,mc.yandex.ru
192.229.173.16,cdn.syndication.twimg.com
192.229.173.16,cdn.syndication.twimg.com
96.17.64.192,iphone-ld.apple.com
77.88.21.119,mc.yandex.ru
77.88.21.119,mc.yandex.ru
77.88.21.119,mc.yandex.ru
52.201.10.115,river.data.ea.com
162.159.135.233,discordapp.com
65.55.44.109,vortex.data.microsoft.com
13.107.5.91,www.xboxab.com
13.107.3.128,config.edge.skype.com
52.218.236.187,R5-pc.s3.amazonaws.com
69.192.108.239,api1.origin.com
69.192.108.239,api1.origin.com
159.153.191.240,accounts.ea.com
34.234.123.7,friends.dm.origin.com
54.190.26.134,R5-pc.stryder.respawn.com
54.190.26.134,R5-pc.stryder.respawn.com
54.190.26.134,R5-pc.stryder.respawn.com
162.159.130.233,cdn.discordapp.com
65.55.44.109,vortex.data.microsoft.com
104.16.0.92,na.ledge.leagueoflegends.com
31.13.65.1,www.messenger.com
148.153.64.18,api.vc.bilibili.com
148.153.64.18,api.vc.bilibili.com
148.153.38.118,www.bilibili.com
47.246.24.230,s1.hdslb.com
162.159.137.234,us-east560.discord.media
65.55.44.109,vortex.data.microsoft.com
52.114.88.28,mobile.pipe.aria.microsoft.com
52.114.88.28,mobile.pipe.aria.microsoft.com
17.249.121.246,api-glb-nyc.smoot.apple.com
96.6.22.62,init.itunes.apple.com
96.6.24.89,xp.apple.com
20.36.218.63,settings-win.data.microsoft.com
165.254.0.107,play.itunes.apple.com
35.186.224.47,dealer.spotify.com
172.217.7.3,update.googleapis.com
8.36.113.137,events.gfe.nvidia.com
35.167.66.1,R5-pc-sub.stryder.respawn.com
162.159.138.234,us-central100.discord.media
52.24.233.184,r5-pc-sub36.stryder.respawn.com
172.217.3.99,www.gstatic.com
172.217.3.99,www.gstatic.com
172.217.12.202,www.googleapis.com
172.217.11.35,clientservices.googleapis.com
65.55.44.109,vortex.data.microsoft.com
172.217.6.234,oauthaccountmanager.googleapis.com
172.217.11.36,www.google.com
172.217.6.205,accounts.google.com
172.217.6.193,lh3.googleusercontent.com
172.217.3.99,www.gstatic.com
52.179.129.229,arc.msn.com
17.248.132.22,gateway.icloud.com
17.253.15.202,devimages-cdn.apple.com
17.248.187.16,p29-keyvalueservice.icloud.com
69.192.179.186,steamcommunity.com
24.105.29.76,telemetry-in.battle.net
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
172.217.10.238,play.google.com
216.165.47.16,shibboleth.nyu.edu
216.165.47.16,shibboleth.nyu.edu
216.165.47.16,shibboleth.nyu.edu
35.168.223.51,www.netflix.com
216.165.47.12,www.nyu.edu
172.217.10.131,ssl.gstatic.com
172.217.10.131,ssl.gstatic.com
20.36.218.63,settings-win.data.microsoft.com
203.205.255.248,q2.qlogo.cn
203.205.249.177,203.205.249.177
203.205.248.86,203.205.248.86
172.253.63.188,mtalk.google.com
172.217.7.3,update.googleapis.com
35.186.224.53,api.spotify.com
65.55.44.109,vortex.data.microsoft.com
128.238.155.11,128.238.155.11
52.44.13.29,nummus.robinhood.com
128.238.155.11,128.238.155.11
65.55.44.109,vortex.data.microsoft.com
193.182.15.116,audio-sp-dca-13.spotifycdn.net
192.229.173.16,abs.twimg.com
192.229.173.16,abs.twimg.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
172.217.11.36,www.google.com
172.217.6.193,apidata.googleusercontent.com
172.217.6.205,accounts.google.com
35.186.224.53,api.spotify.com
150.109.207.111,imgcache.qq.com
150.109.207.111,imgcache.qq.com
172.217.9.229,mail.google.com
203.205.254.152,p.qpic.cn
65.55.44.109,vortex.data.microsoft.com
52.179.129.229,arc.msn.com
31.13.65.36,www.facebook.com
31.13.65.7,static.xx.fbcdn.net
162.159.129.233,discordapp.com
17.111.103.83,humb.apple.com
17.248.187.132,gateway.icloud.com
52.114.158.50,v10.events.data.microsoft.com
13.107.3.128,config.edge.skype.com
17.56.138.24,cma.itunes.apple.com
17.248.135.75,setup.icloud.com
40.121.3.131,wdcp.microsoft.com
172.217.12.202,www.googleapis.com
172.217.12.138,gem-pa.googleapis.com
65.55.44.109,vortex.data.microsoft.com
20.36.219.28,activity.windows.com
104.31.75.156,twitchemotes.com
65.55.44.109,vortex.data.microsoft.com
216.176.200.22,justgetflux.com
52.55.142.184,polka.typekit.com
157.255.196.66,access-sngapm.qcloud.com
17.253.15.203,valid.apple.com
172.217.10.234,safebrowsing.googleapis.com
17.248.135.47,p51-calendars.icloud.com
17.248.135.172,p13-caldav.icloud.com
17.249.162.38,gsp-ssl.ls.apple.com
52.55.142.184,polka.typekit.com
128.1.102.21,sqimg.qq.com
203.205.179.231,safebrowsing.urlsec.qq.com
17.248.135.75,p13-caldav.icloud.com.cn
17.248.135.75,p13-caldav.icloud.com.cn
17.248.142.18,p13-caldav.icloud.com.cn
148.153.38.118,search.bilibili.com
148.153.38.118,search.bilibili.com
17.248.142.18,p13-caldav.icloud.com.cn
23.43.168.33,configuration.apple.com
13.225.218.225,d3cv4a9a9wh0bt.cloudfront.net
18.205.47.109,prd-collector-anon.playbuzz.com
35.186.224.47,dealer.spotify.com
17.248.142.55,p31-contacts.icloud.com
52.96.88.82,outlook.office365.com
65.55.44.109,vortex.data.microsoft.com
40.97.188.226,outlook.office365.com
172.217.10.133,inbox.google.com
172.217.11.46,google.com
104.67.12.33,files.constantcontact.com
104.67.12.33,imgssl.constantcontact.com
104.67.12.33,files.constantcontact.com
104.67.12.33,files.constantcontact.com
104.67.12.33,files.constantcontact.com
52.96.87.210,outlook.office365.com
17.167.194.224,gsp64-ssl.ls.apple.com
17.248.135.210,p13-contacts.icloud.com
172.217.197.108,imap.gmail.com
172.217.7.3,update.googleapis.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
52.54.120.65,login.mathworks.com
65.55.44.109,vortex.data.microsoft.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
23.221.200.217,www.mathworks.com
35.227.237.213,www.feelinsonice.com
23.221.200.217,www.mathworks.com
35.190.43.134,us-east4-gcp.api.snapchat.com
23.221.200.217,www.mathworks.com
52.21.39.168,loca.sc-jpl.com
151.101.0.133,raw.githubusercontent.com
130.211.46.74,usc.adserver.snapads.com
3.222.10.43,authnz.mathworks.com
3.209.124.67,aws.api.snapchat.com
3.231.234.68,notifications.mathworks.com
23.43.168.33,bag.itunes.apple.com
96.6.24.74,services.mathworks.com
96.6.24.89,xp.apple.com
35.186.197.135,app-analytics.snapchat.com
216.239.36.126,mvm.snapchat.com
99.84.32.6,cf-st.sc-cdn.net
148.153.38.118,api.vc.bilibili.com
96.6.24.74,services.mathworks.com
162.159.133.232,media.discordapp.net
148.153.38.118,message.bilibili.com
17.167.194.149,gs-loc.apple.com
52.96.87.210,outlook.office365.com
52.96.87.210,outlook.office365.com
34.196.189.229,scss.adobesc.com
35.190.43.134,gcp.api.snapchat.com
17.167.192.128,gs-loc.apple.com
172.217.222.109,imap.gmail.com
40.97.190.18,outlook.office365.com
216.165.47.16,shibboleth.nyu.edu
216.165.47.16,shibboleth.nyu.edu
52.1.177.66,scss.adobesc.com
34.202.82.115,cc-api-data.adobe.io
54.158.154.1,na1e-acc.services.adobe.com
3.90.133.71,cc-api-data.adobe.io
34.225.11.222,acp-ss-ue1.adobe.io
34.239.239.98,na1e-acc.services.adobe.com
52.54.70.243,ss-prod-ue1-notif-27.aws.adobess.com
34.196.122.125,acp-ss-ue1.adobe.io
23.22.181.213,ss-prod-ue1-notif-27.aws.adobess.com
172.217.222.109,imap.gmail.com
23.98.151.170,checkappexec.microsoft.com
52.96.88.50,outlook.office365.com
35.186.224.53,spclient.wg.spotify.com
52.179.129.229,arc.msn.com
54.164.56.104,www.netflix.com
52.109.12.21,nexus.officeapps.live.com
52.96.88.50,outlook.office365.com
172.217.222.109,imap.gmail.com
40.97.188.226,outlook.office365.com
35.190.43.134,gcp.api.snapchat.com
40.97.188.226,outlook.office365.com
172.217.222.109,imap.gmail.com
20.36.218.63,settings-win.data.microsoft.com
40.97.188.226,outlook.office365.com
52.203.24.160,datarouter.ol.epicgames.com
40.97.188.226,outlook.office365.com
40.97.188.226,outlook.office365.com
96.6.23.177,gspe35-ssl.ls.apple.com
17.249.121.246,api.smoot.apple.com
54.84.32.14,f-log-extension.grammarly.io
23.43.168.33,init.itunes.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
96.6.24.89,xp.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
172.217.222.109,imap.gmail.com
23.43.56.27,play.itunes.apple.com
192.229.173.16,abs.twimg.com
192.229.173.16,abs.twimg.com
193.70.6.186,skribbl.io
52.96.69.2,outlook.office365.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
172.217.197.109,imap.gmail.com
172.217.222.109,imap.gmail.com
23.43.168.33,configuration.apple.com
104.16.139.9,www.ifun.tv
172.217.10.232,www.googletagmanager.com
104.16.140.9,ppt.ifun.tv
104.16.139.9,m6.ifun.tv
104.26.14.9,token.timegate.vip
172.217.10.14,www.google-analytics.com
17.248.216.3,keyvalueservice.icloud.com.cn
17.248.216.2,p13-keyvalueservice.icloud.com.cn
13.225.218.115,d3cv4a9a9wh0bt.cloudfront.net
104.16.31.91,na.ledge.leagueoflegends.com
3.226.55.227,datarouter.ol.epicgames.com
13.78.187.58,array802.prod.do.dsp.mp.microsoft.com
52.34.152.98,ekg.riotgames.com
17.248.142.24,gateway.icloud.com.cn
17.248.135.204,metrics.icloud.com
52.23.119.196,rtm.tnt-ea.com
23.98.151.170,checkappexec.microsoft.com
162.159.130.232,media.discordapp.net
162.159.129.232,media.discordapp.net
31.13.65.7,static.xx.fbcdn.net
13.225.230.111,api-cache.blizzcon.com
31.13.65.1,www.messenger.com
165.254.0.66,weather-data.apple.com
165.254.0.66,weather-data.apple.com
52.114.128.44,mobile.pipe.aria.microsoft.com
52.114.128.44,mobile.pipe.aria.microsoft.com
193.70.6.186,skribbl.io
193.70.6.186,skribbl.io
184.169.144.177,tlc.thinkorswim.com
184.169.144.177,tlc.thinkorswim.com
52.179.129.229,arc.msn.com
17.248.135.235,gateway-carry.icloud.com
34.225.167.174,robinhood.com
34.196.122.125,acp-ss-ue1.adobe.io
23.22.181.213,ss-prod-ue1-notif-27.aws.adobess.com
216.165.47.16,shibboleth.nyu.edu
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
35.188.42.15,sentry.io
216.165.47.12,www.nyu.edu
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
198.200.171.191,analytics.tdameritrade.com
18.205.47.109,prd-collector-anon.playbuzz.com
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
172.217.10.106,passwordsleakcheck-pa.googleapis.com
52.179.129.229,arc.msn.com
198.200.171.191,analytics.tdameritrade.com
198.200.171.191,analytics.tdameritrade.com
198.200.171.191,analytics.tdameritrade.com
198.200.171.191,analytics.tdameritrade.com
148.153.38.118,www.bilibili.com
47.246.24.232,s1.hdslb.com
47.246.24.229,s2.hdslb.com
13.225.218.115,d3cv4a9a9wh0bt.cloudfront.net
13.225.218.115,d3cv4a9a9wh0bt.cloudfront.net
13.107.3.128,config.edge.skype.com
35.186.224.47,dealer.spotify.com
52.114.6.47,v10.events.data.microsoft.com
216.165.47.16,shibboleth.nyu.edu
216.165.47.16,shibboleth.nyu.edu
216.165.47.12,www.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
198.200.171.191,analytics.tdameritrade.com
198.200.171.191,analytics.tdameritrade.com
198.200.171.191,analytics.tdameritrade.com
198.200.171.191,analytics.tdameritrade.com
198.200.171.191,analytics.tdameritrade.com
172.217.10.234,safebrowsing.googleapis.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
172.253.63.188,mtalk.google.com
35.186.224.53,spclient.wg.spotify.com
192.229.173.16,abs.twimg.com
192.229.173.16,abs.twimg.com
172.217.10.131,ssl.gstatic.com
172.217.10.131,ssl.gstatic.com
59.111.0.200,mumu.nie.netease.com
148.153.38.118,message.bilibili.com
65.55.44.109,vortex.data.microsoft.com
13.225.220.48,api-v2.soundcloud.com
172.217.10.131,ssl.gstatic.com
172.217.10.131,ssl.gstatic.com
148.153.64.18,api.vc.bilibili.com
172.217.10.131,ssl.gstatic.com
172.217.10.131,ssl.gstatic.com
13.225.218.225,d3cv4a9a9wh0bt.cloudfront.net
13.225.220.46,l9bjkkhaycw6f8f4.soundcloud.com
17.248.187.132,api.apple-cloudkit.com
35.186.224.53,spclient.wg.spotify.com
13.78.187.58,array802.prod.do.dsp.mp.microsoft.com
172.217.3.106,safebrowsing.googleapis.com
40.67.188.15,presence-heartbeat.xboxlive.com
52.179.129.229,arc.msn.com
13.225.220.48,api-v2.soundcloud.com
165.254.0.64,steamuserimages-a.akamaihd.net
165.254.0.64,steamuserimages-a.akamaihd.net
165.254.0.64,steamuserimages-a.akamaihd.net
52.44.13.29,nummus.robinhood.com
192.16.31.139,www.dota2.com
192.229.173.16,abs.twimg.com
192.229.173.16,abs.twimg.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
35.186.224.53,spclient.wg.spotify.com
40.67.188.15,presence-heartbeat.xboxlive.com
52.10.96.197,R5-pc.stryder.respawn.com
52.10.96.197,R5-pc.stryder.respawn.com
52.10.96.197,R5-pc.stryder.respawn.com
52.10.96.197,R5-pc.stryder.respawn.com
23.22.181.213,ss-prod-ue1-notif-27.aws.adobess.com
13.107.3.128,config.edge.skype.com
52.71.224.144,river.data.ea.com
40.116.120.16,officehomeblobs.blob.core.windows.net
52.4.42.220,prd-collector-anon.playbuzz.com
35.186.224.53,spclient.wg.spotify.com
104.31.81.149,sponsor.ajay.app
20.36.219.28,activity.windows.com
35.186.224.53,spclient.wg.spotify.com
107.155.58.99,s1.url.cn
31.13.65.7,static.xx.fbcdn.net
107.155.58.99,s1.url.cn
172.217.12.170,firebasestorage.googleapis.com
107.155.58.99,s1.url.cn
35.186.224.53,spclient.wg.spotify.com
54.213.143.110,cas.samsungcloud.com
107.155.58.99,s1.url.cn
13.225.220.46,l9bjkkhaycw6f8f4.soundcloud.com
198.200.171.191,analytics.tdameritrade.com
35.186.224.53,spclient.wg.spotify.com
52.71.224.144,river.data.ea.com
54.70.109.240,r5-pc-sub36.stryder.respawn.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
52.179.129.229,arc.msn.com
13.225.220.48,api-v2.soundcloud.com
47.246.24.232,s1.hdslb.com
47.246.24.229,s2.hdslb.com
148.153.45.10,search.bilibili.com
148.153.45.10,search.bilibili.com
17.248.135.18,gateway.icloud.com.cn
17.248.135.119,metrics.icloud.com
13.225.226.153,slack.com
172.217.12.138,remotedesktop-pa.googleapis.com
172.217.12.138,remotedesktop-pa.googleapis.com
35.186.224.47,dealer.spotify.com
172.217.10.138,wirelessdevicestats.googleapis.com
172.217.10.138,wirelessdevicestats.googleapis.com
172.217.11.46,calendar.google.com
17.253.15.202,c.apple.news
172.217.11.46,calendar.google.com
35.186.224.53,spclient.wg.spotify.com
23.43.169.146,configuration.ls.apple.com
17.249.121.246,api-glb-nyc.smoot.apple.com
172.217.10.238,clients1.google.com
17.249.162.38,gsp-ssl.ls.apple.com
165.254.0.66,weather-data.apple.com
165.254.0.66,weather-data.apple.com
165.254.0.66,weather-data.apple.com
165.254.0.66,weather-data.apple.com
35.186.224.53,spclient.wg.spotify.com
117.78.34.70,www.guokr.com
104.17.64.4,cdnjs.cloudflare.com
65.153.158.200,3-im.guokr.com
151.101.2.217,cdn.ravenjs.com
65.153.158.203,1-im.guokr.com
65.153.158.201,static-new.guokr.com
17.253.97.207,mesu.apple.com
65.153.158.198,2-im.guokr.com
123.206.5.173,nbrecsys.4paradigm.com
125.77.154.35,cpro.baidustatic.com
172.217.12.132,www.google.com
172.217.11.36,www.google.com
172.217.11.34,adservice.google.com
172.217.7.2,googleads.g.doubleclick.net
130.211.26.229,s.joinhoney.com
148.153.38.118,message.bilibili.com
162.247.242.19,bam.nr-data.net
208.80.154.224,zh.wikipedia.org
208.80.154.240,upload.wikimedia.org
208.80.154.224,zh.wikipedia.org
208.80.154.224,zh.wikipedia.org
208.80.154.224,zh.wikipedia.org
23.22.181.213,ss-prod-ue1-notif-27.aws.adobess.com
172.217.6.193,apidata.googleusercontent.com
13.225.220.60,l9bjkkhaycw6f8f4.soundcloud.com
17.248.135.78,p48-caldav.icloud.com
35.186.224.53,api.spotify.com
148.153.38.118,api.vc.bilibili.com
162.159.130.233,discordapp.com
216.165.46.10,newclasses.nyu.edu
172.217.10.110,sb-ssl.google.com
193.70.6.186,skribbl.io
35.186.224.53,spclient.wg.spotify.com
17.248.135.45,p14-caldav.icloud.com
17.248.135.212,p14-caldav.icloud.com
192.229.173.16,abs.twimg.com
192.229.173.16,abs.twimg.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
172.217.10.133,inbox.google.com
17.142.169.199,gsp64-ssl.ls.apple.com
172.217.7.1,ci5.googleusercontent.com
172.217.12.193,ci6.googleusercontent.com
172.217.7.1,ci5.googleusercontent.com
172.217.9.229,mail.google.com
52.179.129.229,arc.msn.com
172.217.10.238,play.google.com
172.217.10.238,play.google.com
52.4.42.220,prd-collector-anon.playbuzz.com
13.225.230.118,desktop.tidal.com
