69.166.1.15,apex.go.sonobi.com
52.216.171.115,cloudsync-prod.s3.amazonaws.com
13.107.42.12,bn1305.storage.live.com
172.253.122.188,mtalk.google.com
172.217.6.238,clients4.google.com
211.110.62.164,image.donga.com
101.79.241.137,dimg.donga.com
52.114.132.74,v10.events.data.microsoft.com
40.126.2.37,login.microsoftonline.com
141.226.224.32,cds.taboola.com
141.226.224.32,cds.taboola.com
20.44.82.31,licensing.mp.microsoft.com
172.217.7.3,update.googleapis.com
40.90.22.186,login.live.com
23.78.197.20,static.mindtap.cengage.com
34.198.112.198,ng.cengage.com
34.198.112.198,ng.cengage.com
17.248.187.69,p27-ckdatabase.icloud.com
23.14.151.171,ffconf.ecbsn.com
17.248.187.69,p27-ckdatabase.icloud.com
52.7.135.84,river.data.ea.com
52.114.132.73,mobile.pipe.aria.microsoft.com
52.114.158.102,v10.events.data.microsoft.com
172.253.122.188,mtalk.google.com
31.13.65.36,www.facebook.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
184.50.220.126,www.robotevents.com
151.101.0.176,js.stripe.com
52.114.132.74,v10.events.data.microsoft.com
141.226.224.32,cds.taboola.com
141.226.224.32,cds.taboola.com
20.36.218.208,presence-heartbeat.xboxlive.com
23.60.68.82,ds-aksb-a.akamaihd.net
35.201.97.85,writio-1341.firebaseio.com
40.90.22.192,login.live.com
40.90.22.192,login.live.com
40.90.22.192,login.live.com
52.114.76.35,browser.pipe.aria.microsoft.com
130.211.34.183,api-js.mixpanel.com
35.201.97.85,s-usc1c-nss-271.firebaseio.com
35.201.97.85,s-usc1c-nss-271.firebaseio.com
35.201.97.85,s-usc1c-nss-271.firebaseio.com
35.201.97.85,s-usc1c-nss-271.firebaseio.com
34.211.139.218,api.amplitude.com
52.218.192.136,s3-us-west-2.amazonaws.com
13.225.230.124,m.stripe.network
23.43.255.98,livetileedge.dsx.mp.microsoft.com
23.43.255.98,livetileedge.dsx.mp.microsoft.com
52.40.38.37,m.stripe.com
52.179.129.229,arc.msn.com
52.179.129.229,arc.msn.com
52.179.129.229,arc.msn.com
52.113.194.132,config.teams.microsoft.com
52.114.128.43,mobile.pipe.aria.microsoft.com
52.114.7.36,browser.pipe.aria.microsoft.com
66.110.98.67,eaassets-a.akamaihd.net
17.57.144.5,courier.push.apple.com
159.153.190.222,proxy.novafusion.ea.com
141.226.224.32,cds.taboola.com
52.25.95.45,ekg.riotgames.com
211.110.62.164,image.donga.com
101.79.241.137,dimg.donga.com
141.226.224.32,cds.taboola.com
141.226.224.32,cds.taboola.com
52.25.233.180,ekg.riotgames.com
52.114.132.73,mobile.pipe.aria.microsoft.com
52.179.129.229,arc.msn.com
216.165.47.16,shibboleth.nyu.edu
216.165.47.16,shibboleth.nyu.edu
192.81.242.131,34acf0414d836d3f8d491c6186153694.my.2k.com
141.226.224.32,cds.taboola.com
141.226.224.32,cds.taboola.com
8.36.80.236,events.gfe.nvidia.com
13.225.230.85,desktop.tidal.com
8.36.80.236,events.gfe.nvidia.com
96.6.24.65,bcat-list-lp1.cdn.nintendo.net
52.7.135.84,river.data.ea.com
40.69.219.197,array615.prod.do.dsp.mp.microsoft.com
211.234.127.21,logs.81plug.com
34.238.5.157,datarouter.ol.epicgames.com
52.250.1.227,aoe-api.reliclink.com
52.11.105.241,ekg.riotgames.com
172.217.6.238,clients1.google.com
17.249.121.246,api-aka.smoot.apple.com
104.245.182.23,sub.robotevents.com
69.192.108.201,s.adroll.com
34.206.200.99,pixel-geo.prfct.co
162.216.230.238,cm-us.wargaming.net
162.216.230.238,cm-us.wargaming.net
162.216.230.238,cm-us.wargaming.net
162.216.230.238,cm-us.wargaming.net
162.216.230.238,cm-us.wargaming.net
185.12.242.33,cspreport.wargaming.net
185.12.242.33,cspreport.wargaming.net
185.12.242.33,cspreport.wargaming.net
185.12.242.33,cspreport.wargaming.net
185.12.242.33,cspreport.wargaming.net
185.12.242.33,cspreport.wargaming.net
72.21.206.140,s.amazon-adsystem.com
34.249.205.127,t.dcmn.io
34.236.234.184,d.adroll.mgr.consensu.org
204.79.197.200,bat.bing.com
104.20.50.83,st.bebi.com
93.158.134.119,mc.yandex.ru
13.107.18.11,substrate.office.com
13.225.230.6,sdk.dcmn.io
35.170.86.198,pixel-geo.prfct.co
18.214.73.53,d.adroll.com
93.158.134.119,mc.yandex.ru
93.158.134.119,mc.yandex.ru
93.158.134.119,mc.yandex.ru
93.158.134.119,mc.yandex.ru
74.119.119.139,gum.criteo.com
162.216.230.238,cm-us.wargaming.net
172.217.10.68,www.google.com
31.13.65.36,www.facebook.com
172.217.197.154,stats.g.doubleclick.net
162.216.230.238,cm-us.wargaming.net
162.216.230.238,cm-us.wargaming.net
162.216.230.238,cm-us.wargaming.net
162.216.230.238,cm-us.wargaming.net
162.216.230.238,cm-us.wargaming.net
40.90.22.191,login.live.com
69.192.108.201,s.adroll.com
74.119.119.150,sslwidget.criteo.com
13.107.18.11,outlook.office.com
20.36.218.63,settings-win.data.microsoft.com
128.116.112.44,users.roblox.com
172.217.11.46,encrypted-tbn0.gstatic.com
69.192.108.239,api1.origin.com
172.217.12.138,remotedesktop-pa.googleapis.com
172.217.12.138,remotedesktop-pa.googleapis.com
92.223.22.132,cds.wargaming.net
31.13.65.7,connect.facebook.net
209.237.196.128,api-0-4-0.twitter.com
107.154.249.100,www.corsair.com
107.154.249.100,www.corsair.com
23.192.6.54,p.typekit.net
209.197.3.15,maxcdn.bootstrapcdn.com
104.17.64.4,cdnjs.cloudflare.com
104.88.21.174,cwsmgmt.corsair.com
31.13.65.7,connect.facebook.net
87.250.251.119,mc.yandex.ru
87.250.251.119,mc.yandex.ru
211.110.62.164,image.donga.com
101.79.241.137,dimg.donga.com
24.105.29.76,telemetry-in.battle.net
141.226.224.32,cds.taboola.com
141.226.224.32,cds.taboola.com
35.229.34.229,sio-1.livestream.com
35.229.34.229,sio-1.livestream.com
35.229.34.229,sio-1.livestream.com
35.229.34.229,sio-1.livestream.com
35.229.34.229,sio-1.livestream.com
35.229.34.229,sio-1.livestream.com
35.229.34.229,sio-1.livestream.com
35.229.34.229,sio-1.livestream.com
52.210.59.33,sparta-gw-bfv.battlelog.com
69.195.163.128,api-37-0-0.twitter.com
209.237.195.128,api-0-5-0.twitter.com
35.229.34.229,sio-1.livestream.com
40.67.188.15,presence-heartbeat.xboxlive.com
23.203.127.76,cache.dominos.com
23.203.127.76,www.dominos.com
13.107.21.200,www.bing.com
13.225.218.21,d3cv4a9a9wh0bt.cloudfront.net
128.116.112.44,users.roblox.com
17.248.187.69,p27-ckdatabase.icloud.com
17.248.135.17,p27-content.icloud.com
184.25.176.56,configuration.apple.com
40.90.22.186,login.live.com
17.248.135.211,edge-123.usnyc.icloud-content.com
17.248.135.211,edge-123.usnyc.icloud-content.com
17.248.135.211,edge-123.usnyc.icloud-content.com
17.248.135.211,edge-123.usnyc.icloud-content.com
17.248.135.211,edge-123.usnyc.icloud-content.com
172.217.11.10,play.googleapis.com
59.111.0.200,mumu.nie.netease.com
52.250.1.227,aoe-api.reliclink.com
23.194.177.8,c.go-mpulse.net
23.194.177.8,c.go-mpulse.net
52.11.105.241,ekg.riotgames.com
17.248.135.211,edge-123.usnyc.icloud-content.com
17.248.135.211,edge-123.usnyc.icloud-content.com
17.248.135.211,edge-123.usnyc.icloud-content.com
52.114.132.73,mobile.pipe.aria.microsoft.com
192.81.242.131,34acf0414d836d3f8d491c6186153694.my.2k.com
52.203.212.125,rtm.tnt-ea.com
172.217.9.229,mail.google.com
20.36.218.63,settings.data.microsoft.com
40.91.76.181,xsts.auth.xboxlive.com
52.179.129.229,arc.msn.com
20.36.244.137,title.mgt.xboxlive.com
40.90.216.49,profile.xboxlive.com
204.79.197.200,www.bing.com
204.79.197.200,www.bing.com
52.114.128.9,v20.events.data.microsoft.com
134.170.179.106,xsts.auth.xboxlive.com
40.85.182.43,skypexbox.skype.com
104.16.1.92,na.ledge.leagueoflegends.com
52.188.42.235,azeus2-client-s.gateway.messenger.live.com
13.86.97.79,comments.xboxlive.com
40.90.10.60,social.xboxlive.com
52.143.74.14,notify.xboxlive.com
172.217.12.142,www.google-analytics.com
137.221.106.111,cache-cms-ext-us.battle.net
137.221.106.111,cache-cms-ext-us.battle.net
137.221.106.111,cache-cms-ext-us.battle.net
137.221.106.111,cache-cms-ext-us.battle.net
172.217.197.155,stats.g.doubleclick.net
172.217.11.36,www.google.com
52.113.194.132,config.teams.microsoft.com
24.105.29.76,telemetry-in.battle.net
35.186.224.47,dealer.spotify.com
172.217.3.106,firebasestorage.googleapis.com
52.114.132.20,mobile.pipe.aria.microsoft.com
52.114.132.20,mobile.pipe.aria.microsoft.com
172.217.12.142,tools.google.com
24.105.29.76,telemetry-in.battle.net
52.114.128.10,v20.events.data.microsoft.com
52.89.119.182,ekg.riotgames.com
104.17.143.21,loadouts.na2.leagueoflegends.com
13.225.230.39,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
128.116.112.44,users.roblox.com
101.79.241.137,dimg.donga.com
211.110.62.164,image.donga.com
52.114.6.47,v10.events.data.microsoft.com
185.85.238.130,st11.anime1.com
52.114.77.34,v20.events.data.microsoft.com
141.226.224.32,cds.taboola.com
141.226.224.32,cds.taboola.com
185.85.238.130,st11.anime1.com
34.214.25.129,pipes-prod-glutton.public.aws.demonware.net
52.89.119.182,ekg.riotgames.com
52.250.1.227,aoe-api.reliclink.com
172.217.12.202,wirelessdevicestats.googleapis.com
172.217.12.202,wirelessdevicestats.googleapis.com
23.78.197.20,static.mindtap.cengage.com
34.198.112.198,ng.cengage.com
34.198.112.198,ng.cengage.com
173.194.205.189,3.client-channel.google.com
3.221.245.228,public-ubiservices.ubi.com
34.238.4.235,developer.api.autodesk.com
172.217.10.110,clients6.google.com
172.217.10.110,clients6.google.com
52.114.128.43,mobile.pipe.aria.microsoft.com
137.221.106.102,us.battle.net
52.216.112.19,a360-statusdashboard.s3.amazonaws.com
18.235.244.245,datarouter.ol.epicgames.com
54.173.91.32,fusiondm.ft.autodesk.com
184.50.220.126,www.robotevents.com
13.107.6.160,tasks.office.com
52.11.105.241,ekg.riotgames.com
172.217.9.229,mail.google.com
13.225.230.38,ui-dls360.autodesk.com
35.186.224.53,spclient.wg.spotify.com
216.165.47.16,shibboleth.nyu.edu
216.165.47.16,shibboleth.nyu.edu
192.81.242.131,34acf0414d836d3f8d491c6186153694.my.2k.com
13.225.230.6,download.tidal.com
24.105.29.76,telemetry-in.battle.net
204.79.197.200,www.bing.com
107.155.58.99,s1.url.cn
52.2.191.132,laserver.logitech.io
52.179.129.229,arc.msn.com
107.155.58.99,s1.url.cn
104.16.34.99,playerpreferences.riotgames.com
52.223.241.2,video-weaver.atl01.hls.ttvnw.net
157.55.212.205,smartscreen-prod.microsoft.com
107.155.58.99,s1.url.cn
204.79.197.200,www.bing.com
107.155.58.99,s1.url.cn
13.107.18.11,substrate.office.com
40.126.2.37,login.microsoftonline.com
40.126.2.37,login.microsoftonline.com
204.79.197.222,fp.msedge.net
40.67.188.15,presence-heartbeat.xboxlive.com
35.186.224.53,spclient.wg.spotify.com
151.101.202.164,prod-fastly-us-west-2.video.pscp.tv
52.89.119.182,ekg.riotgames.com
20.36.218.208,presence-heartbeat.xboxlive.com
52.250.1.227,aoe-api.reliclink.com
20.36.218.208,presence-heartbeat.xboxlive.com
40.69.216.73,array611.prod.do.dsp.mp.microsoft.com
104.113.22.171,disc601.prod.do.dsp.mp.microsoft.com
104.20.50.83,st.bebi.com
31.13.65.1,edge-chat.facebook.com
31.13.65.1,edge-chat.facebook.com
52.25.170.114,ekg.riotgames.com
104.18.156.37,clientconfig.rpg.riotgames.com
104.16.34.99,data.riotgames.com
104.16.34.99,data.riotgames.com
69.195.180.128,api-30-0-0.twitter.com
165.254.0.112,ks-foundation.secure.dyn.riotcdn.net
211.110.62.164,image.donga.com
101.79.241.137,dimg.donga.com
165.254.0.75,ks-foundation.secure.dyn.riotcdn.net
165.254.0.75,ks-foundation.secure.dyn.riotcdn.net
165.254.0.75,ks-foundation.secure.dyn.riotcdn.net
165.254.0.75,ks-foundation.secure.dyn.riotcdn.net
165.254.0.75,ks-foundation.secure.dyn.riotcdn.net
165.254.0.75,ks-foundation.secure.dyn.riotcdn.net
165.254.0.75,ks-foundation.secure.dyn.riotcdn.net
165.254.0.75,ks-foundation.secure.dyn.riotcdn.net
165.254.0.75,ks-foundation.secure.dyn.riotcdn.net
165.254.0.75,ks-foundation.secure.dyn.riotcdn.net
128.116.112.44,users.roblox.com
130.211.16.53,d.joinhoney.com
141.226.224.32,cds.taboola.com
141.226.224.32,cds.taboola.com
52.13.229.94,ekg.riotgames.com
141.226.224.32,cds.taboola.com
141.226.224.32,cds.taboola.com
31.13.65.174,www.instagram.com
24.105.29.76,telemetry-in.battle.net
31.13.65.52,graph.instagram.com
69.195.168.128,api-45-0-0.twitter.com
52.223.241.2,video-weaver.atl01.hls.ttvnw.net
101.79.137.173,searchad-phinf.pstatic.net
141.226.224.32,cds.taboola.com
141.226.224.32,cds.taboola.com
209.237.192.128,api-2-0-0.twitter.com
93.184.215.217,video.twimg.com
93.184.215.217,video.twimg.com
172.217.6.193,drive-thirdparty.googleusercontent.com
172.217.6.193,drive-thirdparty.googleusercontent.com
172.217.6.193,drive-thirdparty.googleusercontent.com
172.217.6.193,drive-thirdparty.googleusercontent.com
172.217.6.193,drive-thirdparty.googleusercontent.com
172.217.6.193,drive-thirdparty.googleusercontent.com
204.79.197.200,www.bing.com
23.203.127.76,www.dominos.com
104.18.156.37,clientconfig.rpg.riotgames.com
23.203.127.76,cache.dominos.com
104.16.34.99,data.riotgames.com
104.18.156.37,clientconfig.rpg.riotgames.com
104.16.120.50,auth.riotgames.com
128.116.112.44,users.roblox.com
104.16.199.132,entitlements.auth.riotgames.com
104.18.156.37,clientconfig.rpg.riotgames.com
104.18.25.250,us.edge.rms.si.riotgames.com
104.16.37.99,playerpreferences.riotgames.com
104.18.25.250,pas.geo.si.riotgames.com
165.254.0.75,riot-client.dyn.riotcdn.net
165.254.0.112,bacon.secure.dyn.riotcdn.net
72.22.185.206,lol.secure.dyn.riotcdn.net
165.254.49.140,steamcdn-a.akamaihd.net
165.254.49.140,steamcdn-a.akamaihd.net
165.254.49.140,steamcdn-a.akamaihd.net
184.50.220.126,www.robotevents.com
101.79.241.137,dimg.donga.com
211.110.62.164,image.donga.com
104.107.1.206,www.autodesk.com
172.217.10.142,www.youtube.com
172.217.10.142,www.youtube.com
172.217.9.246,i.ytimg.com
141.226.224.32,cds.taboola.com
141.226.224.32,cds.taboola.com
172.217.12.161,yt3.ggpht.com
172.217.12.161,yt3.ggpht.com
52.89.119.182,ekg.riotgames.com
52.250.1.227,aoe-api.reliclink.com
52.223.241.2,video-weaver.atl01.hls.ttvnw.net
52.25.170.114,ekg.riotgames.com
192.81.242.131,34acf0414d836d3f8d491c6186153694.my.2k.com
13.225.230.12,api2.branch.io
54.243.177.194,e.crashlytics.com
141.226.224.32,cds.taboola.com
141.226.224.32,cds.taboola.com
172.253.63.109,imap.gmail.com
172.253.63.109,imap.gmail.com
104.17.187.107,zwyr157wwiu6eior.com
162.159.133.233,discordapp.com
203.205.219.229,client.show.qq.com
104.17.245.15,platform.api.riotgames.com
104.18.25.145,metric-api.newrelic.com
104.16.34.99,data.riotgames.com
52.13.229.94,ekg.riotgames.com
66.110.98.67,eaassets-a.akamaihd.net
35.241.52.229,cdp.cloud.unity3d.com
35.241.52.229,cdp.cloud.unity3d.com
13.107.3.128,config.edge.skype.com
13.67.186.79,phoenix.maelstrom.gameservices.xboxlive.com
104.18.156.37,clientconfig.rpg.riotgames.com
104.16.120.50,auth.riotgames.com
72.22.185.206,lol.secure.dyn.riotcdn.net
104.16.120.50,auth.riotgames.com
23.192.69.74,steam-chat.com
104.16.199.132,entitlements.auth.riotgames.com
52.179.129.229,arc.msn.com
104.18.24.250,us.edge.rms.si.riotgames.com
49.51.65.181,feed.shouji.sogou.com
104.18.24.250,us.edge.rms.si.riotgames.com
104.16.199.132,entitlements.auth.riotgames.com
148.153.64.18,api.vc.bilibili.com
148.153.64.18,api.vc.bilibili.com
27.221.28.204,theta.sogoucdn.com
35.229.34.229,sio-1.livestream.com
35.229.34.229,sio-1.livestream.com
35.229.34.229,sio-1.livestream.com
35.186.224.47,dealer.spotify.com
35.229.34.229,sio-1.livestream.com
35.229.34.229,sio-1.livestream.com
220.194.223.87,feed-cdn.shouji.sogou.com
35.229.34.229,sio-1.livestream.com
20.36.219.28,activity.windows.com
35.229.34.229,sio-1.livestream.com
35.229.34.229,sio-1.livestream.com
35.229.34.229,sio-1.livestream.com
13.107.18.11,substrate.office.com
13.107.18.11,substrate.office.com
52.114.128.9,mobile.pipe.aria.microsoft.com
52.55.119.155,riotp0use1.www.vivox.com
52.13.229.94,ekg.riotgames.com
35.229.34.229,sio-1.livestream.com
220.194.223.87,feed-cdn.shouji.sogou.com
220.194.223.87,feed-cdn.shouji.sogou.com
211.110.62.164,image.donga.com
101.79.241.137,dimg.donga.com
173.194.68.189,6.client-channel.google.com
23.43.56.192,steamcommunity-a.akamaihd.net
23.43.56.192,steamcommunity-a.akamaihd.net
24.105.29.76,telemetry-in.battle.net
23.43.56.202,steamuserimages-a.akamaihd.net
23.43.56.202,steamuserimages-a.akamaihd.net
23.43.56.202,steamuserimages-a.akamaihd.net
52.250.1.227,aoe-api.reliclink.com
52.250.1.227,aoe-api.reliclink.com
52.223.241.2,video-weaver.atl01.hls.ttvnw.net
141.226.224.32,cds.taboola.com
141.226.224.32,cds.taboola.com
34.234.227.184,lightswitch-public-service-prod06.ol.epicgames.com
104.18.24.250,us.vts.si.riotgames.com
104.16.11.33,lq.na2.lol.riotgames.com
52.55.119.155,riotp0use1.www.vivox.com
119.28.109.132,sa.sogou.com
119.28.109.132,sa.sogou.com
119.28.109.132,sa.sogou.com
119.28.109.132,sa.sogou.com
211.159.235.58,ping-weimenhu.shouji.sogou.com
104.17.155.2,clubs.leagueoflegends.com
104.17.48.19,na1.cap.riotgames.com
104.17.48.19,na1.cap.riotgames.com
104.18.97.33,acs.leagueoflegends.com
104.16.2.92,na.ledge.leagueoflegends.com
104.16.2.92,na.ledge.leagueoflegends.com
104.16.37.99,playerpreferences.riotgames.com
52.11.18.161,po-service.usw2.leagueoflegends.com
128.116.112.44,users.roblox.com
172.65.244.155,na2.chat.si.riotgames.com
172.253.122.108,imap.gmail.com
17.248.135.214,gateway-carry.icloud.com
52.13.229.94,ekg.riotgames.com
40.91.76.181,xsts.auth.xboxlive.com
104.16.2.92,na.ledge.leagueoflegends.com
20.36.244.137,title.mgt.xboxlive.com
104.17.142.21,loadouts.na2.leagueoflegends.com
40.67.188.15,presence-heartbeat.xboxlive.com
52.250.1.227,aoe-api.reliclink.com
52.250.1.227,aoe-api.reliclink.com
13.225.230.38,js.prd.fusionapi.autodesk.com
104.16.37.99,playerpreferences.riotgames.com
13.225.230.39,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
172.253.63.108,imap.gmail.com
13.225.218.138,d3cv4a9a9wh0bt.cloudfront.net
172.217.9.237,accounts.google.com
172.217.11.36,www.google.com
172.217.11.42,www.googleapis.com
23.78.197.20,static.mindtap.cengage.com
3.93.29.170,ng.cengage.com
3.93.29.170,ng.cengage.com
52.250.1.227,aoe-api.reliclink.com
172.217.10.110,android.clients.google.com
172.253.122.188,mtalk.google.com
172.217.10.46,docs.google.com
52.250.1.227,aoe-api.reliclink.com
52.13.229.94,ekg.riotgames.com
104.18.122.104,america.tas.riotgames.com
165.254.0.106,lolstatic-a.akamaihd.net
172.217.3.99,www.gstatic.com
172.217.3.99,www.gstatic.com
172.217.7.3,clientservices.googleapis.com
69.192.108.239,api1.origin.com
211.110.62.164,image.donga.com
101.79.241.137,dimg.donga.com
104.16.11.33,store.na2.lol.riotgames.com
52.11.101.210,recofriender.leagueoflegends.com
141.226.224.32,cds.taboola.com
141.226.224.32,cds.taboola.com
66.163.35.36,sec-tws-prod-vip.webex.com
172.217.12.206,apis.google.com
184.50.220.126,www.robotevents.com
104.16.2.92,na.ledge.leagueoflegends.com
52.114.88.28,v10.events.data.microsoft.com
173.194.61.28,r6---sn-ab5szn7y.googlevideo.com
173.194.61.28,r6---sn-ab5szn7y.googlevideo.com
52.114.128.43,mobile.pipe.aria.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
104.16.3.92,na.ledge.leagueoflegends.com
172.217.3.99,ssl.gstatic.com
172.217.3.99,ssl.gstatic.com
13.107.136.9,nyu0-my.sharepoint.com
52.114.132.22,v10.events.data.microsoft.com
52.25.170.114,ekg.riotgames.com
216.165.47.16,shibboleth.nyu.edu
216.165.47.16,shibboleth.nyu.edu
192.81.242.131,34acf0414d836d3f8d491c6186153694.my.2k.com
172.217.3.110,www.youtube.com
172.217.3.110,www.youtube.com
203.205.219.229,client.show.qq.com
172.217.12.193,lh3.googleusercontent.com
52.114.128.43,mobile.pipe.aria.microsoft.com
52.40.135.92,ekg.riotgames.com
101.79.241.137,dimg.donga.com
211.110.62.164,image.donga.com
31.13.65.7,scontent.xx.fbcdn.net
40.121.3.131,wdcp.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
52.13.229.94,ekg.riotgames.com
172.217.10.110,drive.google.com
8.36.80.236,events.gfe.nvidia.com
172.217.12.193,lh3.googleusercontent.com
23.78.211.199,frontpage.na.leagueoflegends.com
165.254.0.106,lolstatic-a.akamaihd.net
165.254.0.106,lolstatic-a.akamaihd.net
165.254.0.106,lolstatic-a.akamaihd.net
165.254.0.106,lolstatic-a.akamaihd.net
172.217.11.46,www.youtube.com
141.226.224.32,cds.taboola.com
141.226.224.32,cds.taboola.com
165.254.0.106,lolstatic-a.akamaihd.net
165.254.0.106,lolstatic-a.akamaihd.net
104.16.34.99,fs.riotgames.com
23.78.161.205,oembed.leagueoflegends.com
104.17.166.5,pft.leagueoflegends.com
52.114.6.47,v10.events.data.microsoft.com
52.41.38.113,ekg.riotgames.com
165.254.0.81,am-a.akamaihd.net
165.254.0.81,am-a.akamaihd.net
165.254.0.81,am-a.akamaihd.net
165.254.0.81,am-a.akamaihd.net
52.41.38.113,ekg.riotgames.com
52.41.38.113,ekg.riotgames.com
52.41.38.113,ekg.riotgames.com
52.41.38.113,ekg.riotgames.com
52.41.38.113,ekg.riotgames.com
