3.224.19.58,account-public-service-prod.ak.epicgames.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
104.107.53.236,www.robotevents.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
17.248.135.209,metrics.icloud.com
151.101.116.176,js.stripe.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
172.217.6.202,remotedesktop-pa.googleapis.com
172.217.6.202,remotedesktop-pa.googleapis.com
65.55.44.109,vortex.data.microsoft.com
8.36.80.236,events.gfe.nvidia.com
52.218.213.16,s3-us-west-2.amazonaws.com
13.107.246.254,t-ring.msedge.net
204.79.197.222,2804c79caf92304ac14f9fce20367530.clo.footprintdns.com
34.234.26.231,category.blocksite.co
13.107.136.254,spo-ring.msedge.net
204.79.197.222,fp.msedge.net
128.116.112.44,users.roblox.com
35.165.230.254,m.stripe.com
172.217.3.99,ssl.gstatic.com
172.253.63.188,mtalk.google.com
35.186.224.53,spclient.wg.spotify.com
23.41.189.142,gspe1-ssl.ls.apple.com
13.33.46.196,d3cv4a9a9wh0bt.cloudfront.net
162.159.136.234,gateway.discord.gg
162.159.130.235,best.discord.media
162.159.134.233,status.discordapp.com
162.159.133.233,discordapp.com
52.179.129.229,arc.msn.com
13.68.93.109,sls.update.microsoft.com
24.105.29.76,telemetry-in.battle.net
24.105.29.76,telemetry-in.battle.net
52.113.194.132,config.teams.microsoft.com
13.107.42.12,dm2305.storage.live.com
52.239.151.138,onedriveclucproddm20030.blob.core.windows.net
24.105.29.76,telemetry-in.battle.net
52.177.165.30,skydrive.wns.windows.com
24.105.29.76,telemetry-in.battle.net
104.44.88.28,skydrivesync.policies.live.net
104.122.146.167,go.microsoft.com
40.90.22.192,login.live.com
52.113.194.132,config.teams.microsoft.com
52.114.128.43,mobile.pipe.aria.microsoft.com
52.114.128.43,mobile.pipe.aria.microsoft.com
24.105.29.76,telemetry-in.battle.net
104.44.88.28,windows.policies.live.net
52.177.165.30,client.wns.windows.com
40.90.22.192,login.live.com
24.105.29.76,telemetry-in.battle.net
23.43.253.52,api1.origin.com
104.44.88.28,storage.live.com
24.105.29.76,telemetry-in.battle.net
23.67.197.105,kv801.prod.do.dsp.mp.microsoft.com
128.116.112.44,users.roblox.com
13.107.42.12,dm2305.storage.live.com
35.186.224.47,dealer.spotify.com
13.107.5.88,outlookmobile-office365-tas.msedge.net
24.105.29.76,telemetry-in.battle.net
13.107.42.12,api.onedrive.com
23.43.253.52,api1.origin.com
52.114.76.34,mobile.pipe.aria.microsoft.com
52.114.76.34,mobile.pipe.aria.microsoft.com
159.153.191.240,accounts.ea.com
172.217.12.131,beacons3.gvt2.com
34.230.114.151,rtm.tnt-ea.com
104.122.146.167,go.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
24.105.29.76,telemetry-in.battle.net
104.44.88.28,windows.policies.live.net
209.237.204.128,api-0-4-8.twitter.com
24.105.29.76,telemetry-in.battle.net
52.114.128.43,mobile.pipe.aria.microsoft.com
23.43.253.52,api1.origin.com
23.43.253.52,api1.origin.com
23.43.253.52,api1.origin.com
23.43.253.52,api1.origin.com
23.43.253.52,api1.origin.com
159.153.191.238,gateway.ea.com
23.43.253.52,api1.origin.com
24.105.29.76,telemetry-in.battle.net
23.43.253.52,api1.origin.com
23.43.253.52,api1.origin.com
23.43.253.52,api1.origin.com
23.43.253.52,api1.origin.com
23.43.253.52,api1.origin.com
23.43.253.52,api1.origin.com
52.1.142.131,dirtybits.api.origin.com
52.0.206.17,groups.gameservices.ea.com
52.22.194.176,friends.gs.ea.com
52.22.194.176,friends.gs.ea.com
52.22.194.176,friends.gs.ea.com
52.0.206.17,groups.gameservices.ea.com
52.22.194.176,friends.gs.ea.com
13.107.42.12,dm2305.storage.live.com
59.111.0.200,mumu.nie.netease.com
24.105.29.76,telemetry-in.battle.net
23.43.253.52,api1.origin.com
23.43.253.52,api1.origin.com
23.43.253.52,api1.origin.com
23.43.253.52,api1.origin.com
23.43.253.52,api1.origin.com
23.43.253.52,api1.origin.com
24.105.29.76,telemetry-in.battle.net
24.105.29.76,telemetry-in.battle.net
24.105.29.76,telemetry-in.battle.net
159.153.191.240,accounts.ea.com
23.203.125.223,store.steampowered.com
159.153.191.238,gateway.ea.com
23.43.253.52,api1.origin.com
17.248.135.239,gateway.icloud.com
24.105.29.76,telemetry-in.battle.net
24.105.29.76,telemetry-in.battle.net
24.105.29.76,telemetry-in.battle.net
24.105.29.76,telemetry-in.battle.net
23.203.132.58,contentapi.origin.com
23.203.132.58,contentapi.origin.com
23.203.132.58,contentapi.origin.com
23.203.132.58,contentapi.origin.com
52.70.34.175,pin-em.data.ea.com
23.203.132.58,www.origin.com
24.105.29.76,telemetry-in.battle.net
96.17.236.129,cdn2.inner-active.mobi
17.154.67.25,p29-buy.itunes.apple.com
24.105.29.76,telemetry-in.battle.net
172.217.11.3,settings.crashlytics.com
172.217.3.106,device-provisioning.googleapis.com
24.105.29.76,telemetry-in.battle.net
31.13.65.1,graph.facebook.com
31.13.65.1,graph.facebook.com
172.217.11.46,www.google-analytics.com
34.205.222.56,pin-river.data.ea.com
23.21.210.87,e.crashlytics.com
24.105.29.76,telemetry-in.battle.net
104.16.85.62,grindr.mobi
172.217.10.138,fcmtoken.googleapis.com
31.13.65.1,graph.facebook.com
31.13.65.1,graph.facebook.com
104.16.42.210,cdns.grindr.com
24.105.29.76,telemetry-in.battle.net
152.195.55.192,service.cmp.oath.com
69.192.110.94,z.moatads.com
152.195.55.192,service.cmp.oath.com
54.243.16.173,ads.nexage.com
52.203.3.18,river.data.ea.com
192.48.236.10,ads.mopub.com
172.217.11.14,docs.google.com
24.105.29.76,telemetry-in.battle.net
34.200.10.214,adc3-launch.adcolony.com
104.19.160.19,cdn.88-f.net
172.217.11.4,www.google.com
34.203.153.45,ads30.adcolony.com
104.19.160.19,config.88-f.net
34.252.149.99,launches.appsflyer.com
24.105.29.76,telemetry-in.battle.net
34.226.53.157,events3alt.adcolony.com
107.23.7.140,events3.adcolony.com
52.45.21.227,srv.dc-1.net
151.101.1.208,gaspra.iad-03.braze.com
23.203.102.7,bag.itunes.apple.com
24.105.29.76,telemetry-in.battle.net
23.203.102.7,itunes.apple.com
23.192.75.231,steamcommunity.com
23.192.75.231,steamcommunity.com
23.192.75.231,steamcommunity.com
52.70.182.163,chat.grindr.com
52.54.216.211,presence.grindr.com
104.76.111.158,ads.api.vungle.com
20.36.218.63,settings-win.data.microsoft.com
24.105.29.76,telemetry-in.battle.net
72.22.185.200,steamcdn-a.akamaihd.net
72.22.185.200,steamcdn-a.akamaihd.net
72.22.185.200,steamcdn-a.akamaihd.net
3.217.207.251,public-ubiservices.ubi.com
20.36.218.63,settings.data.microsoft.com
151.101.129.130,appboy-images.com
151.101.129.130,appboy-images.com
151.101.129.130,appboy-images.com
151.101.129.130,appboy-images.com
151.101.129.130,appboy-images.com
151.101.129.130,appboy-images.com
24.105.29.76,telemetry-in.battle.net
52.179.129.229,arc.msn.com
204.79.197.200,www.bing.com
151.101.129.130,appboy-images.com
72.22.185.209,steamcdn-a.akamaihd.net
72.22.185.209,steamcdn-a.akamaihd.net
72.22.185.198,steamstore-a.akamaihd.net
72.22.185.209,steamcdn-a.akamaihd.net
24.105.29.76,telemetry-in.battle.net
24.105.29.76,telemetry-in.battle.net
172.217.11.19,www.flashvid.net
198.134.112.243,padsdown.com
24.105.29.76,telemetry-in.battle.net
24.105.29.76,telemetry-in.battle.net
203.205.137.101,d3g.qq.com
24.105.29.76,telemetry-in.battle.net
24.105.29.76,telemetry-in.battle.net
59.111.0.200,mumu.nie.netease.com
24.105.29.76,telemetry-in.battle.net
34.203.118.125,wd.adcolony.com
24.105.29.76,telemetry-in.battle.net
59.111.0.200,mumu.nie.netease.com
24.105.29.76,telemetry-in.battle.net
24.105.29.76,telemetry-in.battle.net
24.105.29.76,telemetry-in.battle.net
34.206.218.56,public-ws-ubiservices.ubi.com
35.186.224.53,spclient.wg.spotify.com
35.186.224.53,spclient.wg.spotify.com
35.186.224.53,spclient.wg.spotify.com
35.186.224.53,spclient.wg.spotify.com
35.186.224.53,spclient.wg.spotify.com
35.186.224.53,spclient.wg.spotify.com
151.101.118.248,merch-img.scdn.co
151.101.118.248,merch-img.scdn.co
151.101.118.248,merch-img.scdn.co
151.101.118.248,i.scdn.co
151.101.118.248,i.scdn.co
24.105.29.76,telemetry-in.battle.net
72.21.81.200,onecs-live.azureedge.net
13.107.21.200,www.bing.com
24.105.29.76,telemetry-in.battle.net
24.105.29.76,telemetry-in.battle.net
17.248.135.81,gateway.icloud.com
24.105.29.76,telemetry-in.battle.net
52.45.52.125,datafeeds.symantec.com
203.205.255.88,i.y.qq.com
52.114.128.43,self.events.data.microsoft.com
13.107.51.254,q-ring-fallback.msedge.net
13.107.255.16,peer4-ash.msedge.net
24.105.29.76,telemetry-in.battle.net
51.141.33.202,7eef226166fff0653b43a2f9444f2ede.clo.footprintdns.com
17.248.187.133,edge-171.usnyc.icloud-content.com
17.248.187.133,edge-171.usnyc.icloud-content.com
17.248.187.133,edge-171.usnyc.icloud-content.com
17.248.187.133,edge-171.usnyc.icloud-content.com
24.105.29.76,telemetry-in.battle.net
104.87.14.116,api1.origin.com
24.105.29.76,telemetry-in.battle.net
24.105.29.76,telemetry-in.battle.net
17.248.135.148,metrics.icloud.com
13.33.46.225,d3cv4a9a9wh0bt.cloudfront.net
13.107.42.12,dm2305.storage.live.com
24.105.29.76,telemetry-in.battle.net
24.105.29.76,telemetry-in.battle.net
128.116.112.44,users.roblox.com
24.105.29.76,telemetry-in.battle.net
172.217.11.46,app-measurement.com
172.217.11.46,app-measurement.com
24.105.29.76,telemetry-in.battle.net
23.43.253.52,api1.origin.com
172.217.11.46,app-measurement.com
24.105.29.76,telemetry-in.battle.net
172.217.9.229,mail.google.com
111.161.111.57,q.i.gdt.qq.com
24.105.29.76,telemetry-in.battle.net
52.114.128.10,v10.events.data.microsoft.com
24.105.29.76,telemetry-in.battle.net
52.114.128.10,v20.events.data.microsoft.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
52.114.128.43,mobile.pipe.aria.microsoft.com
52.114.128.43,mobile.pipe.aria.microsoft.com
13.68.93.109,sls.update.microsoft.com
24.105.29.76,telemetry-in.battle.net
3.217.207.251,public-ubiservices.ubi.com
24.105.29.76,telemetry-in.battle.net
52.203.3.18,river.data.ea.com
52.114.128.10,v10.events.data.microsoft.com
172.217.12.138,wirelessdevicestats.googleapis.com
172.217.12.138,wirelessdevicestats.googleapis.com
54.157.68.204,home.hulu.com
72.22.185.201,ubistatic3-a.akamaihd.net
52.223.241.2,video-weaver.atl01.hls.ttvnw.net
151.101.117.87,auth.hulu.com
203.205.254.103,apphub.qzone.qq.com
23.203.127.111,www.hulu.com
104.122.146.69,embed.gog.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
104.122.146.69,api.gog.com
31.13.71.36,www.facebook.com
216.165.47.16,shibboleth.nyu.edu
216.165.47.16,shibboleth.nyu.edu
104.122.146.69,content-system.gog.com
13.90.146.211,wdcp.microsoft.com
104.126.112.182,armmf.adobe.com
35.186.224.53,spclient.wg.spotify.com
20.44.86.43,watson.telemetry.microsoft.com
13.107.42.12,api.onedrive.com
104.122.146.69,presence.gog.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
104.122.146.69,content-system.gog.com
151.101.116.175,consumer.krxd.net
