99.83.135.170,capi.grammarly.com
47.246.17.228,update.golink.com
104.17.209.9,api.golinkapi.com
5.62.40.203,analytics.ff.avast.com
104.17.209.9,api.golinkapi.com
104.17.209.9,api.golinkapi.com
104.17.209.9,api.golinkapi.com
35.186.197.135,app-analytics.snapchat.com
13.225.212.44,cf-st.sc-cdn.net
104.17.209.9,api.golinkapi.com
198.145.13.14,in.getclicky.com
104.17.209.9,api.golinkapi.com
152.195.54.20,services.gfe.nvidia.com
13.225.203.37,l9bjkkhaycw6f8f4.soundcloud.com
104.17.209.9,api.golinkapi.com
104.17.209.9,api.golinkapi.com
104.17.209.9,api.golinkapi.com
13.225.212.44,cf-st.sc-cdn.net
13.225.212.44,cf-st.sc-cdn.net
104.17.209.9,api.golinkapi.com
47.246.22.230,cdn.staticfile.org
24.105.29.76,telemetry-in.battle.net
23.194.120.195,api1.origin.com
172.217.12.142,android.clients.google.com
8.36.80.192,events.gfe.nvidia.com
104.17.209.9,api.golinkapi.com
183.131.207.66,ia.51.la
183.131.207.66,ia.51.la
104.17.209.9,api.golinkapi.com
104.17.209.9,api.golinkapi.com
52.114.128.10,v10.events.data.microsoft.com
104.17.209.9,api.golinkapi.com
104.17.209.9,api.golinkapi.com
104.17.209.9,api.golinkapi.com
151.101.2.217,snapchat.media.giphy.com
151.101.2.217,snapchat.media.giphy.com
151.101.2.217,snapchat.media.giphy.com
151.101.2.217,snapchat.media.giphy.com
216.239.36.126,app.snapchat.com
104.17.209.9,api.golinkapi.com
40.90.22.192,login.live.com
104.16.120.50,auth.riotgames.com
104.16.198.132,entitlements.auth.riotgames.com
104.18.24.250,pas.geo.si.riotgames.com
216.98.62.45,msr-public-ubiservices.ubi.com
23.40.30.29,us-ivt.np.community.playstation.net
172.217.10.78,play.google.com
52.89.126.68,ekg.riotgames.com
34.194.218.161,river.data.ea.com
52.113.194.132,config.teams.microsoft.com
172.217.12.163,clientservices.googleapis.com
208.80.154.224,en.wikipedia.org
208.80.154.240,upload.wikimedia.org
128.116.112.44,users.roblox.com
52.114.128.10,v10.events.data.microsoft.com
52.114.77.34,mobile.pipe.aria.microsoft.com
52.114.77.34,mobile.pipe.aria.microsoft.com
104.16.198.132,entitlements.auth.riotgames.com
104.17.209.9,api.golinkapi.com
192.229.173.16,abs.twimg.com
192.229.173.16,abs.twimg.com
104.17.209.9,api.golinkapi.com
54.173.145.52,receive-lp1.dg.srv.nintendo.net
52.179.129.229,arc.msn.com
52.89.126.68,ekg.riotgames.com
104.17.209.9,api.golinkapi.com
52.25.170.114,ekg.riotgames.com
104.17.209.9,api.golinkapi.com
172.217.10.234,wirelessdevicestats.googleapis.com
172.217.10.234,wirelessdevicestats.googleapis.com
34.205.47.229,dauth-lp1.ndas.srv.nintendo.net
34.205.47.229,dauth-lp1.ndas.srv.nintendo.net
34.205.47.229,dauth-lp1.ndas.srv.nintendo.net
34.205.47.229,dauth-lp1.ndas.srv.nintendo.net
34.205.47.229,dauth-lp1.ndas.srv.nintendo.net
23.40.29.175,bcat-list-lp1.cdn.nintendo.net
34.205.47.229,dauth-lp1.ndas.srv.nintendo.net
13.225.62.18,e0d67c509fb203858ebcb2fe3f88c2aa.baas.nintendo.com
13.225.62.18,e0d67c509fb203858ebcb2fe3f88c2aa.baas.nintendo.com
134.209.131.220,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
104.17.209.9,api.golinkapi.com
13.225.62.18,e0d67c509fb203858ebcb2fe3f88c2aa.baas.nintendo.com
104.17.209.9,api.golinkapi.com
52.25.18.216,storage.lp1.scsi.srv.nintendo.net
13.107.5.88,outlookmobile-office365-tas.msedge.net
185.151.204.51,view.adjust.com
107.22.59.176,pixel.adsafeprotected.com
23.40.28.187,scsi-policy-lp1.cdn.nintendo.net
104.17.209.9,api.golinkapi.com
52.25.18.216,storage.lp1.scsi.srv.nintendo.net
104.17.209.9,api.golinkapi.com
52.25.18.216,storage.lp1.scsi.srv.nintendo.net
52.25.18.216,storage.lp1.scsi.srv.nintendo.net
40.69.216.73,array611.prod.do.dsp.mp.microsoft.com
52.25.18.216,storage.lp1.scsi.srv.nintendo.net
13.226.39.15,scsi-download.lp1.scsi.srv.nintendo.net
52.0.62.30,river.data.ea.com
104.244.37.20,dt.adsafeprotected.com
31.13.66.35,www.facebook.com
52.25.18.216,storage.lp1.scsi.srv.nintendo.net
203.205.255.191,btrace.qq.com
52.25.18.216,storage.lp1.scsi.srv.nintendo.net
52.25.18.216,storage.lp1.scsi.srv.nintendo.net
52.0.62.30,river.data.ea.com
23.43.56.203,madden20.service.easports.com
54.173.145.52,receive-lp1.dg.srv.nintendo.net
8.36.80.192,events.gfe.nvidia.com
54.173.145.52,receive-lp1.dg.srv.nintendo.net
8.36.80.192,events.gfe.nvidia.com
52.114.74.45,v20.events.data.microsoft.com
31.13.66.19,scontent-iad3-1.xx.fbcdn.net
13.225.203.37,l9bjkkhaycw6f8f4.soundcloud.com
172.217.12.206,redirector.gvt1.com
20.36.218.63,settings-win.data.microsoft.com
173.194.185.231,r2---sn-ab5l6ndy.gvt1.com
128.116.112.44,users.roblox.com
52.218.193.105,scsi-upload-lp1.s3-us-west-2.amazonaws.com
35.186.224.53,spclient.wg.spotify.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
23.40.28.187,scsi-policy-lp1.cdn.nintendo.net
52.25.18.216,storage.lp1.scsi.srv.nintendo.net
52.25.18.216,storage.lp1.scsi.srv.nintendo.net
52.218.193.105,scsi-upload-lp1.s3-us-west-2.amazonaws.com
52.25.18.216,storage.lp1.scsi.srv.nintendo.net
34.73.232.153,www.overleaf.com
52.25.18.216,storage.lp1.scsi.srv.nintendo.net
52.25.18.216,storage.lp1.scsi.srv.nintendo.net
18.233.133.222,udc-service.mathworks.com
52.25.18.216,storage.lp1.scsi.srv.nintendo.net
104.244.37.20,dt.adsafeprotected.com
40.90.22.183,login.live.com
128.238.155.11,128.238.155.11
20.36.218.63,settings-win.data.microsoft.com
128.238.155.11,128.238.155.11
20.36.219.28,activity.windows.com
104.196.12.179,eg.poly.edu
52.218.253.1,scsi-upload-lp1.s3-us-west-2.amazonaws.com
52.0.62.30,river.data.ea.com
172.217.7.14,clients4.google.com
172.217.7.3,update.googleapis.com
157.55.212.205,smartscreen-prod.microsoft.com
52.87.63.98,prd-collector-anon.playbuzz.com
157.55.212.205,smartscreen-prod.microsoft.com
23.194.120.19,fswitch.dl.playstation.net
23.194.120.195,api1.origin.com
104.27.139.150,epic7x.com
151.139.128.10,cdn.intergi.com
104.16.126.175,unpkg.com
13.225.212.99,cdn.pubguru.com
40.67.188.15,presence-heartbeat.xboxlive.com
18.233.133.222,udc-service.mathworks.com
18.233.133.222,udc-service.mathworks.com
172.217.12.202,people-pa.clients6.google.com
52.25.18.216,storage.lp1.scsi.srv.nintendo.net
52.25.18.216,storage.lp1.scsi.srv.nintendo.net
18.233.133.222,udc-service.mathworks.com
52.25.18.216,storage.lp1.scsi.srv.nintendo.net
35.186.224.47,dealer.spotify.com
52.218.237.65,scsi-upload-lp1.s3-us-west-2.amazonaws.com
34.206.116.121,udc-service.mathworks.com
52.179.129.229,arc.msn.com
104.16.31.91,na.ledge.leagueoflegends.com
52.23.89.243,udc-service.mathworks.com
52.25.18.216,storage.lp1.scsi.srv.nintendo.net
34.206.116.121,udc-service.mathworks.com
52.25.18.216,storage.lp1.scsi.srv.nintendo.net
52.25.18.216,storage.lp1.scsi.srv.nintendo.net
34.206.116.121,udc-service.mathworks.com
34.206.116.121,udc-service.mathworks.com
13.226.39.90,slack.com
38.106.231.204,osfsr.lenovomm.com
134.209.131.220,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
38.106.231.204,osfsr.lenovomm.com
38.106.231.204,osfsr.lenovomm.com
38.106.231.204,osfsr.lenovomm.com
38.106.231.204,osfsr.lenovomm.com
182.92.244.228,dsp.lenovo.com.cn
18.213.23.109,udc-service.mathworks.com
52.10.101.255,ekg.riotgames.com
20.36.218.63,settings-win.data.microsoft.com
39.96.106.241,hao.lenovo.com.cn
47.95.131.3,nsl.lenovo.com.cn
172.217.10.110,www.google-analytics.com
52.0.62.30,river.data.ea.com
182.92.244.228,dsp.lenovo.com.cn
148.153.38.118,message.bilibili.com
148.153.38.118,api.vc.bilibili.com
39.96.106.241,hao.lenovo.com.cn
34.206.116.121,udc-service.mathworks.com
182.92.244.228,dsp.lenovo.com.cn
104.244.37.20,dt.adsafeprotected.com
23.40.30.102,xp.apple.com
23.43.56.193,play.itunes.apple.com
34.206.116.121,udc-service.mathworks.com
34.206.116.121,udc-service.mathworks.com
13.225.64.110,d3cv4a9a9wh0bt.cloudfront.net
122.225.67.199,smartdl.lenovo.com.cn
35.186.224.53,spclient.wg.spotify.com
13.225.203.37,l9bjkkhaycw6f8f4.soundcloud.com
104.16.11.33,store.na2.lol.riotgames.com
52.114.128.10,v20.events.data.microsoft.com
13.225.62.18,a-v2.sndcdn.com
13.225.59.62,api-v2.soundcloud.com
13.225.59.62,api-v2.soundcloud.com
13.225.212.114,i1.sndcdn.com
13.225.212.114,i1.sndcdn.com
13.225.59.62,api-v2.soundcloud.com
13.225.212.61,cf-hls-media.sndcdn.com
40.67.188.15,presence-heartbeat.xboxlive.com
52.10.101.255,ekg.riotgames.com
17.248.135.77,metrics.icloud.com
152.195.54.20,services.gfe.nvidia.com
13.225.203.37,l9bjkkhaycw6f8f4.soundcloud.com
152.195.54.20,services.gfe.nvidia.com
23.212.30.119,go.microsoft.com
204.79.197.200,cn.bing.com
13.107.21.200,www.bing.com
40.90.136.19,windows.policies.live.net
40.79.66.194,array501.prod.do.dsp.mp.microsoft.com
13.226.39.97,et.tidal.com
8.36.80.244,events.gfe.nvidia.com
34.226.160.197,loca.sc-jpl.com
52.10.101.255,ekg.riotgames.com
8.36.80.244,events.gfe.nvidia.com
172.217.11.78,redirector.gvt1.com
8.36.80.244,events.gfe.nvidia.com
52.20.105.63,river.data.ea.com
52.252.240.215,eafddirect.msedge.net
131.253.33.254,a-ring-fallback.msedge.net
8.36.80.244,events.gfe.nvidia.com
173.194.31.105,r3---sn-ab5szn7d.gvt1.com
13.107.3.254,s-ring.msedge.net
204.79.197.222,fp.msedge.net
8.36.80.244,events.gfe.nvidia.com
23.192.75.231,api.steampowered.com
104.16.34.99,playerpreferences.riotgames.com
172.217.11.42,fcmconnection.googleapis.com
35.186.224.53,spclient.wg.spotify.com
35.186.224.53,spclient.wg.spotify.com
35.186.224.53,spclient.wg.spotify.com
35.186.224.53,spclient.wg.spotify.com
35.186.224.53,spclient.wg.spotify.com
128.116.112.44,users.roblox.com
23.38.167.33,steamcdn-a.akamaihd.net
23.38.167.33,steamcdn-a.akamaihd.net
23.38.167.33,steamcdn-a.akamaihd.net
40.79.67.176,geo.prod.do.dsp.mp.microsoft.com
23.51.184.143,store.steampowered.com
52.177.165.30,client.wns.windows.com
23.51.187.192,kv801.prod.do.dsp.mp.microsoft.com
23.192.69.74,steam-chat.com
23.192.69.74,steam-chat.com
23.51.184.143,store.steampowered.com
13.107.3.128,config.edge.skype.com
23.194.120.77,r4.res.office365.com
52.96.9.178,7b0116a8a3834984b899de19225b7ac5.fp.measure.office.com
23.51.184.143,store.steampowered.com
23.51.184.143,store.steampowered.com
23.51.184.143,store.steampowered.com
23.38.167.80,steamcdn-a.akamaihd.net
192.229.173.16,abs.twimg.com
192.229.173.16,abs.twimg.com
104.244.42.65,twitter.com
40.122.160.14,browser.pipe.aria.microsoft.com
23.44.17.54,api.steampowered.com
13.107.3.128,edge.skype.com
54.210.113.65,www.netflix.com
54.210.113.65,www.netflix.com
23.48.32.121,steamcdn-a.akamaihd.net
23.48.32.121,steamcdn-a.akamaihd.net
23.48.32.121,steamcdn-a.akamaihd.net
23.212.34.217,store.steampowered.com
17.253.97.202,mesu.apple.com
52.96.35.2,atm-fp-direct.office.com
52.108.16.17,waconatm.officeapps.live.com
13.107.6.163,upload.fp.measure.office.com
23.10.150.133,steam-chat.com
23.212.34.217,store.steampowered.com
23.10.150.133,steam-chat.com
23.43.56.193,steamstore-a.akamaihd.net
13.225.64.107,d3cv4a9a9wh0bt.cloudfront.net
52.10.101.255,ekg.riotgames.com
24.105.29.76,telemetry-in.battle.net
172.217.11.174,www.google-analytics.com
152.195.55.22,gfwsl.geforce.com
23.48.32.121,steamcdn-a.akamaihd.net
35.186.224.53,spclient.wg.spotify.com
162.159.135.233,discordapp.com
162.159.130.233,discordapp.com
54.210.113.65,www.netflix.com
172.253.122.188,mtalk.google.com
182.92.244.228,dsp.lenovo.com.cn
3.211.88.25,push.prod.netflix.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
52.159.17.76,tsfe.trafficshaping.dsp.mp.microsoft.com
38.106.231.204,osfsr.lenovomm.com
8.36.80.192,events.gfe.nvidia.com
20.36.218.63,settings-win.data.microsoft.com
52.114.158.92,v10.events.data.microsoft.com
23.51.187.192,cp801.prod.do.dsp.mp.microsoft.com
23.51.187.192,cp801.prod.do.dsp.mp.microsoft.com
23.51.187.192,disc801.prod.do.dsp.mp.microsoft.com
23.51.187.192,disc801.prod.do.dsp.mp.microsoft.com
204.79.197.200,www.bing.com
3.230.35.253,se3v5tjfff3aet.me
8.36.80.192,events.gfe.nvidia.com
3.230.35.253,se3v5tjfff3aet.me
20.44.82.31,licensing.mp.microsoft.com
52.159.17.76,tsfe.trafficshaping.dsp.mp.microsoft.com
20.44.82.31,licensing.mp.microsoft.com
31.13.66.19,scontent.xx.fbcdn.net
31.13.66.19,static.xx.fbcdn.net
23.51.186.146,go.microsoft.com
20.44.82.31,licensing.mp.microsoft.com
40.90.136.166,windows.policies.live.net
20.44.82.31,licensing.mp.microsoft.com
20.44.82.31,licensing.mp.microsoft.com
20.44.82.31,licensing.mp.microsoft.com
52.114.76.37,browser.pipe.aria.microsoft.com
8.36.80.192,events.gfe.nvidia.com
13.226.39.90,slack.com
52.179.129.229,arc.msn.com
59.111.0.200,mumu.nie.netease.com
172.253.122.188,mtalk.google.com
23.43.58.58,id.razer.com
52.114.158.92,v20.events.data.microsoft.com
134.209.131.220,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
172.217.12.170,www.googleapis.com
172.217.6.237,accounts.google.com
162.159.134.234,gateway.discord.gg
40.119.2.214,settings-win.data.microsoft.com
162.159.129.235,best.discord.media
162.159.133.233,status.discordapp.com
162.159.129.233,discordapp.com
52.113.194.132,config.teams.microsoft.com
52.20.105.63,river.data.ea.com
13.107.42.12,bn1301.storage.live.com
40.69.176.16,onedriveclucproddm20007.blob.core.windows.net
23.194.131.138,www3.corsair.com
52.87.63.98,prd-collector-anon.playbuzz.com
52.114.128.43,mobile.pipe.aria.microsoft.com
52.114.128.43,mobile.pipe.aria.microsoft.com
192.147.130.245,hbrt.adobe.com
24.105.29.76,telemetry-in.battle.net
104.244.37.20,dt.adsafeprotected.com
52.232.222.105,in.appcenter.ms
172.217.12.130,pagead2.googlesyndication.com
172.253.122.188,mtalk.google.com
52.10.101.255,ekg.riotgames.com
52.114.77.33,mobile.pipe.aria.microsoft.com
54.210.113.65,www.netflix.com
128.116.112.44,users.roblox.com
208.80.154.224,en.wikipedia.org
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
172.217.7.14,clients4.google.com
137.135.96.104,wdcp.microsoft.com
35.186.224.53,spclient.wg.spotify.com
209.197.3.15,maxcdn.bootstrapcdn.com
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
151.101.0.93,www.houzz.com
162.254.192.100,cm1-iad1.cm.steampowered.com
23.194.131.193,resources.tidal.com
23.194.131.219,resources.tidal.com
216.165.47.12,www.nyu.edu
23.194.131.219,resources.tidal.com
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
23.51.180.243,cloud.typography.com
31.13.66.35,www.facebook.com
34.210.241.6,mc-004.bytefence.com
52.114.158.92,v10.events.data.microsoft.com
20.44.82.31,licensing.mp.microsoft.com
20.44.82.31,licensing.mp.microsoft.com
31.13.66.19,scontent-iad3-1.xx.fbcdn.net
23.48.215.233,static.nvidiagrid.net
104.244.37.20,dt.adsafeprotected.com
52.20.105.63,river.data.ea.com
23.43.56.187,steamcommunity-a.akamaihd.net
52.10.101.255,ekg.riotgames.com
211.234.127.21,logs.81plug.com
151.139.128.10,cdn.intergi.com
104.27.139.150,epic7x.com
104.16.126.175,unpkg.com
13.225.212.10,cdn.pubguru.com
192.0.78.179,blog.counter-strike.net
151.101.250.214,api.twitch.tv
23.38.167.33,steamcdn-a.akamaihd.net
20.36.218.63,settings-win.data.microsoft.com
23.55.36.91,static.nvidiagrid.net
162.159.135.233,cdn.discordapp.com
162.159.134.233,discordapp.com
92.223.21.26,cat.wargaming.net
162.159.133.233,discordapp.com
184.28.188.193,steamcommunity-a.akamaihd.net
23.44.17.54,api.steampowered.com
99.83.135.170,capi.grammarly.com
35.186.224.47,dealer.spotify.com
172.217.11.42,safebrowsing.googleapis.com
